Running Reverse KL,Itration,Running Forward KL,Real Sto Return,Real Det Return
25.1319,0,74.3502,-28.69,494.49
25.086,1,73.9745,-33.58,243.32
27.274,2,71.7083,-0.96,409.77
26.9105,3,71.5777,25.98,598.22
26.9504,4,71.049,34.47,565.85
27.2186,5,69.6946,51.95,608.48
27.8764,6,68.932,76.03,850.28
27.2631,7,67.8389,112.31,738.63
28.4861,8,68.628,90.49,950.02
29.0108,9,68.9458,199.35,796.91
28.5813,10,68.0729,152.08,788.77
29.0824,11,68.5073,144.46,824.45
27.2655,12,64.621,252.41,729.84
28.3503,13,65.6279,284.55,827.32
28.1302,14,64.6716,176.17,927.25
27.8246,15,63.8266,354.52,1096.18
29.9335,16,68.6511,259.24,830.98
27.9549,17,63.4019,327.18,986.58
27.4133,18,64.3002,477.06,1256.04
26.9604,19,63.4417,255.75,967.63
27.542,20,66.0625,230.55,667.41
28.1832,21,65.1055,384.89,1039.18
26.7544,22,63.448,362.22,1128.98
27.2365,23,63.5529,222.36,808.17
27.1127,24,63.187,224.72,870.0
26.1478,25,63.3103,184.45,842.63
27.6189,26,63.0445,260.39,761.24
25.4932,27,58.3634,646.58,1108.68
24.4861,28,58.1841,387.15,1068.79
25.2881,29,58.4991,608.57,966.23
23.9266,30,55.5415,582.27,1555.91
26.2014,31,60.023,408.89,980.18
25.0869,32,58.5157,891.89,1847.39
23.7686,33,57.5746,528.52,1654.49
21.6196,34,53.8691,645.14,1483.93
24.4823,35,57.8429,427.37,1178.19
24.243,36,57.0172,671.81,1269.37
25.1734,37,58.269,916.91,1918.49
22.6027,38,54.005,793.92,1302.64
23.7188,39,56.5535,696.52,1072.96
22.6751,40,55.1369,715.32,1160.64
23.4735,41,56.8092,821.93,1612.19
22.827,42,54.9399,978.99,1703.51
21.6666,43,52.5937,1169.69,1725.15
21.561,44,52.9858,881.15,1701.78
21.897,45,52.24,1520.05,2084.08
20.6619,46,50.3259,1259.85,1736.31
22.3961,47,53.9745,1206.34,1816.19
19.4477,48,49.5105,1266.7,1583.58
20.6507,49,49.5,1860.85,2316.0
20.9558,50,50.5253,1022.91,2089.3
22.6146,51,55.8595,742.99,1009.68
19.1574,52,47.5067,1289.15,2442.7
22.0516,53,47.3306,1325.98,2164.37
19.3948,54,46.1273,1384.83,2374.1
20.29,55,52.5699,1184.56,2043.96
20.3367,56,49.0975,1581.8,2208.68
19.8952,57,50.8084,881.81,1207.8
22.1972,58,56.64,738.64,1267.97
20.7096,59,50.5445,1799.65,2777.38
22.1281,60,54.4119,1224.39,1918.03
21.2385,61,55.9812,1391.88,1962.26
19.7276,62,51.2586,1385.2,1827.64
22.3449,63,48.4442,2193.55,2623.03
27.8427,64,50.007,2514.56,3188.12
21.2217,65,49.7052,1441.11,1734.38
23.1248,66,51.1768,1965.49,2204.15
22.9411,67,55.7175,1425.9,1374.21
28.5111,68,51.9309,2677.81,3180.2
22.0802,69,51.3773,2265.84,2468.27
23.3915,70,52.6034,2087.45,2411.9
22.2833,71,50.2203,2272.78,2933.55
21.4723,72,48.8958,2075.84,2767.18
22.7576,73,52.9566,2162.53,2877.15
22.2266,74,54.5158,1278.08,2029.01
22.0958,75,52.489,889.16,1384.68
21.9142,76,50.9398,2143.17,2501.84
30.1792,77,51.8087,2388.58,2553.57
23.8958,78,51.5229,2469.1,2805.93
25.3915,79,50.6505,2692.93,3288.11
23.8105,80,52.4327,1934.51,2816.6
22.1405,81,51.5355,2553.0,2641.42
23.3418,82,53.2377,2090.9,2718.89
23.6625,83,53.2909,1912.38,2620.45
24.4543,84,52.1137,2069.32,3103.15
23.7641,85,51.3936,2272.78,2205.35
22.2753,86,52.711,2045.95,3350.3
23.3771,87,51.4489,2577.25,2765.21
24.1166,88,51.5686,2348.51,2645.8
31.9123,89,53.8363,1963.26,2986.2
25.0735,90,54.904,1947.33,2793.3
33.5252,91,51.582,2855.1,3702.47
27.2272,92,51.8941,2573.83,3579.39
25.7167,93,52.7262,2258.64,2314.91
36.5088,94,52.4163,3401.01,3548.63
27.9171,95,51.7627,2574.26,3768.8
29.7383,96,53.8572,2694.51,3469.33
25.7186,97,53.0224,2887.4,3423.47
26.0992,98,55.0839,1973.33,2461.55
30.3845,99,53.2444,2800.64,3354.49
40.0378,100,57.6929,2433.3,2923.59
36.3258,101,56.2418,3287.68,3888.99
39.1384,102,58.2221,1945.98,1993.82
32.3323,103,52.2553,2533.42,3803.54
26.9419,104,53.4213,3222.81,3599.73
34.6851,105,54.1503,3380.41,3787.32
40.0636,106,55.4714,3082.17,3853.96
36.6913,107,52.983,2951.81,3551.87
30.3217,108,53.4334,3356.19,3402.64
30.4721,109,52.8988,2537.86,3658.87
38.8689,110,54.2997,3323.77,4083.58
40.175,111,57.206,3204.93,3262.64
35.0607,112,53.5085,2986.25,3971.49
32.6015,113,54.6323,2214.59,3572.86
28.1541,114,52.6767,2641.51,3886.89
28.9035,115,53.2466,3759.25,3851.73
27.1513,116,54.67,2528.06,3428.73
39.4612,117,56.1951,3258.96,3857.71
28.3905,118,55.4535,2845.64,3926.56
37.5487,119,57.7189,1811.29,2149.7
