Itration,Real Det Return,Running Forward KL,Running Reverse KL,Real Sto Return
0,263.57,76.3108,27.5755,-101.97
1,434.43,74.8406,27.344,-63.56
2,521.8,74.2942,27.2961,-24.54
3,608.89,73.9726,30.3275,-6.98
4,543.84,74.8991,30.1494,48.71
5,613.55,73.2103,30.4829,54.96
6,724.47,72.302,29.576,93.48
7,675.4,72.9889,30.6876,95.36
8,717.36,70.7822,31.422,128.09
9,710.87,73.6658,31.8048,153.35
10,757.45,72.6684,32.0997,142.39
11,848.34,72.0903,31.9907,147.96
12,907.68,71.1896,31.4946,226.98
13,863.34,71.9152,32.5243,180.63
14,875.52,72.4284,32.1068,223.65
15,782.79,71.2243,32.5355,196.37
16,861.83,71.1475,31.8691,200.87
17,857.29,72.1079,31.991,178.63
18,887.42,73.2158,31.8596,205.62
19,941.2,70.3147,31.0909,251.83
20,933.76,72.0583,31.9226,162.32
21,754.93,73.5766,31.4366,235.65
22,887.66,70.3724,30.7398,174.24
23,928.8,72.4896,31.8523,210.52
24,856.63,71.5843,31.2233,221.18
25,928.4,70.6942,30.6458,224.67
26,877.64,70.5391,30.8766,146.15
27,993.21,69.229,30.246,198.73
28,862.1,71.3772,30.5187,185.13
29,783.16,72.0981,31.0467,205.58
30,875.26,71.2885,30.6631,189.88
31,954.18,70.5624,30.5266,195.68
32,806.52,70.8005,30.9208,203.45
33,711.18,72.7807,31.3395,180.78
34,900.56,72.2909,31.5059,240.54
35,969.36,72.0349,31.0787,200.73
36,873.03,69.4138,29.9496,174.93
37,919.78,71.1334,31.0371,198.65
38,913.85,71.0556,31.1628,225.67
39,832.23,71.7059,30.4403,255.08
40,832.83,70.6033,30.4648,233.49
41,710.76,70.7045,30.6734,218.83
42,944.83,68.5007,29.6806,251.49
43,798.68,69.7805,30.4484,251.29
44,845.26,69.2917,29.7422,322.83
45,899.06,72.0729,30.7838,220.47
46,826.78,72.3176,31.4913,222.4
47,713.07,70.8023,31.3901,204.48
48,745.75,68.7744,30.4621,192.87
49,754.41,71.6158,31.1495,201.79
50,732.17,67.7561,29.8985,248.64
51,817.98,68.9376,30.3842,283.4
52,996.79,70.6171,30.8588,269.31
53,809.72,68.845,30.0887,314.57
54,894.02,66.7909,29.1264,298.36
55,778.62,69.7849,30.8089,221.62
56,906.52,67.1675,29.8351,294.71
57,891.27,69.2107,30.6693,289.68
58,825.26,68.8814,30.2265,246.08
59,746.08,67.3398,29.9511,291.49
60,982.4,67.6195,30.162,453.09
61,992.5,67.7989,30.6536,352.31
62,833.66,63.9397,28.5834,356.36
63,964.06,65.0599,28.6922,394.74
64,964.61,70.6361,31.64,354.63
65,828.86,71.7299,31.0767,279.57
66,886.72,66.7703,30.1237,314.53
67,958.12,68.6501,30.2639,282.15
68,1013.1,66.5932,30.0953,392.27
69,973.34,68.2913,30.1368,309.07
70,953.49,64.5798,28.9719,385.66
71,71.94,73.9473,69.6388,-270.28
72,731.79,66.6961,31.0573,283.72
73,791.25,70.1403,30.5264,267.44
74,906.34,69.6699,29.9146,287.58
75,952.81,70.4698,30.5412,310.02
76,1054.06,67.3083,30.3864,348.53
77,955.47,68.875,30.6778,382.65
78,1008.14,70.432,31.4565,378.54
79,999.97,67.6608,30.1379,383.59
80,977.7,70.0468,31.8443,359.84
81,891.7,69.7704,31.3572,355.16
82,906.9,69.2917,31.9311,494.95
83,1322.14,66.45,30.8806,391.65
84,888.42,70.0781,31.6089,369.24
85,1122.79,65.6167,29.8679,396.25
86,1086.5,65.5551,29.5705,413.28
87,1244.93,60.2552,27.6304,520.4
88,1052.6,65.7325,29.2753,375.81
89,951.41,69.4442,30.4214,236.33
90,966.79,70.2087,30.8996,338.71
91,1089.89,65.652,29.5852,439.6
92,839.14,67.216,29.854,272.32
93,963.4,68.5541,32.8108,256.9
94,605.25,72.2343,31.4396,231.79
95,887.95,68.0649,30.1967,220.48
96,778.83,69.8511,30.6933,307.68
97,820.82,66.924,29.133,326.78
98,993.19,68.8655,30.619,335.2
99,946.16,65.6123,29.9631,400.6
100,1096.59,67.9598,30.545,407.48
101,925.56,67.3675,30.981,344.15
102,955.75,66.8554,30.3754,303.84
103,1032.79,68.0646,30.3133,371.04
104,979.83,67.6445,30.8818,347.21
105,1101.55,66.2028,29.2193,418.74
106,1177.08,65.7643,29.9577,511.6
107,1072.57,64.029,28.6968,421.18
108,1024.9,64.7281,29.4135,436.61
109,1075.3,61.8265,28.7657,615.72
110,1112.01,66.8133,29.9357,380.12
111,1013.86,66.7075,30.7144,384.98
112,715.34,70.3051,33.5398,181.79
113,846.36,67.7069,28.0636,193.91
114,953.43,66.8343,28.0433,266.5
115,993.19,68.2047,29.1807,264.9
116,996.69,69.7796,30.6328,373.43
117,1023.31,67.4517,30.6347,442.12
118,1029.84,69.9706,31.0144,371.33
119,1061.79,66.6207,30.8918,476.95
120,974.69,66.6296,30.7461,352.72
121,964.01,66.6226,30.2733,406.49
122,1021.46,67.2856,30.1845,452.93
123,1084.83,63.1764,28.7694,462.69
124,1079.47,67.2335,30.5729,446.71
125,1000.53,67.028,30.1206,418.6
126,899.06,63.7103,29.1312,491.31
127,1641.73,59.406,28.1067,959.47
128,1054.02,59.5749,27.1071,466.26
129,1145.46,66.5448,30.2387,459.87
130,1193.96,56.871,26.2139,473.28
131,1117.16,64.7504,29.4502,561.71
132,1054.91,64.2141,29.8151,504.95
133,1023.37,66.9478,30.2273,368.14
134,1076.66,65.5024,29.3726,468.58
135,1046.84,66.701,29.8916,392.8
136,1007.16,63.9696,29.25,373.98
137,1013.52,63.6415,29.0643,430.72
138,1230.59,63.3163,29.1485,703.94
139,1020.86,67.8515,30.3406,385.42
140,1069.88,63.7913,28.7079,446.54
141,1085.32,68.0023,30.3978,399.2
142,1103.99,66.9083,30.3507,439.9
143,1116.81,63.0826,28.2649,466.26
144,815.32,66.083,29.3424,393.93
145,1084.49,65.7613,29.7371,450.29
146,956.6,65.0242,28.9762,383.01
147,941.13,69.7778,30.5603,381.42
148,753.6,68.9237,30.201,371.89
149,1277.96,62.1088,28.2282,463.18
150,975.72,66.6168,29.5007,388.05
151,930.38,61.676,26.9906,328.42
152,1116.71,61.2983,27.7833,473.56
153,1045.1,66.4398,28.9704,357.51
154,1097.27,63.0422,30.8017,612.62
155,1640.32,54.1792,24.0281,1074.9
156,1494.97,60.0297,27.8318,627.21
157,1049.05,65.8056,30.1473,532.16
158,1068.42,61.8973,27.9917,600.4
159,1109.07,64.7586,28.9476,484.28
160,1213.06,58.388,25.9673,631.07
161,1218.78,62.8894,29.004,616.04
162,1048.98,62.6677,28.6878,515.42
163,1208.41,64.3209,29.6603,554.18
164,1220.43,60.4516,27.0582,547.89
165,1067.28,58.9638,26.5054,519.68
166,1311.13,63.7281,29.042,630.24
167,1035.66,68.1307,29.8551,336.08
168,968.17,64.3501,28.9028,557.54
169,1065.85,65.4218,29.1079,515.06
170,1715.45,57.9826,25.6626,679.51
171,1032.13,58.5952,25.6952,587.95
172,730.71,68.1872,35.3606,559.87
173,1189.47,59.3702,26.5241,441.17
174,1721.78,54.6624,24.2736,962.27
175,1316.28,60.2535,27.3935,578.03
176,1068.04,60.357,26.7306,567.78
177,1211.43,60.6128,26.8128,712.87
178,1150.85,66.1725,29.4166,546.24
179,1415.97,60.038,26.8088,582.04
180,1641.89,52.5811,22.4916,1114.05
181,1353.58,53.1778,23.0336,847.36
182,1246.47,57.9286,25.395,622.66
183,1168.65,56.8917,25.3037,700.62
184,1045.38,60.9045,27.7187,497.14
185,882.12,63.0498,28.0019,492.29
186,1853.14,56.7752,25.3708,1012.47
187,-52.81,92.1762,81.1445,160.23
188,1612.98,54.41,23.7016,789.96
189,1176.14,62.3939,27.7352,610.56
190,1929.48,54.7688,23.0272,1091.08
191,1459.58,56.4981,24.9735,678.54
192,1274.91,59.3405,26.1094,574.4
193,1355.72,62.3275,27.9494,559.34
194,1366.74,57.0155,25.0626,500.53
195,1099.47,60.7529,27.1219,498.23
196,1274.58,55.4035,23.7029,652.06
197,1461.65,53.1092,22.8815,712.85
198,1260.54,59.212,25.9668,615.69
199,1605.44,55.2204,24.6327,951.9
200,1397.06,59.5958,26.792,630.19
201,1073.97,57.5822,25.5875,549.36
202,1057.98,64.9933,39.6914,336.38
203,1081.16,58.9596,26.0514,421.87
204,832.14,68.1852,29.7142,274.62
205,1060.05,62.3169,27.3403,426.76
206,980.77,63.6924,28.2375,447.21
207,1050.28,63.7664,28.4557,580.48
208,1009.83,54.4557,23.087,535.17
209,1155.32,62.8594,28.6808,532.34
210,887.52,56.0832,24.4329,647.45
211,835.37,62.7327,28.0025,477.94
212,423.08,67.6307,43.6614,70.93
213,974.04,67.1478,28.9671,323.26
214,887.36,62.5056,27.1604,456.2
215,1054.64,59.4644,25.9288,507.53
216,967.37,59.9241,25.9189,610.81
217,1279.01,55.6389,23.3622,505.04
218,1083.2,61.3431,27.2204,468.79
219,1249.65,58.9164,26.3497,635.02
220,813.73,58.8302,26.2602,407.06
221,1103.64,58.928,26.123,652.44
222,828.41,59.9766,26.4964,535.83
223,1149.7,62.064,27.8932,625.7
224,995.9,59.0904,26.1507,489.1
225,1292.53,60.1735,26.4714,878.85
226,1372.4,57.5919,29.6627,515.99
227,1359.28,56.5714,24.3781,663.54
228,1321.08,57.2863,24.297,713.1
229,1255.21,55.0149,23.0204,548.96
230,1096.64,61.2503,27.1434,508.45
231,1141.05,61.8843,27.6991,488.25
232,931.07,61.1557,26.9894,371.86
233,877.51,62.8415,28.3067,491.26
234,1146.28,61.5666,27.9957,415.27
235,891.59,59.6875,26.762,381.92
236,1118.3,61.8523,27.6822,460.19
237,809.09,62.8625,27.988,506.9
238,1024.21,66.0095,29.7976,444.59
239,1118.97,63.1483,28.5707,499.68
240,901.05,64.1577,28.9412,536.82
241,1187.14,61.7154,27.714,451.14
242,1281.48,61.6926,27.7277,544.75
243,834.74,63.4848,28.4944,498.31
244,1055.17,65.8285,29.3908,503.0
245,1165.42,64.3968,29.3405,582.32
246,1070.11,66.6099,29.6421,495.3
247,1038.26,66.9175,29.9694,407.44
248,1017.7,62.7944,28.3168,572.86
249,1061.75,63.3824,28.5778,418.35
250,1223.54,62.7259,28.804,551.96
251,991.44,66.057,30.0024,470.22
252,920.01,64.2796,29.1518,501.74
253,881.37,65.3917,29.6143,440.15
254,897.59,64.7913,28.5726,455.9
255,1033.88,57.8077,25.8446,646.13
256,985.07,61.7442,27.8638,438.43
257,1044.31,65.4905,29.2846,532.4
258,1131.32,62.174,28.7316,496.0
259,916.2,66.5812,30.1647,526.73
260,1148.63,64.4341,29.8641,507.83
261,1109.07,62.8113,28.8792,576.36
262,1057.11,64.3014,29.386,446.88
263,1000.24,61.108,28.3456,455.86
264,911.71,63.4972,29.0758,480.84
265,1179.37,62.8316,27.8381,686.45
266,874.83,63.6838,28.9106,434.19
267,1099.1,58.3393,26.4405,658.68
268,1071.81,64.5208,28.6985,424.98
269,1179.47,63.0466,28.8431,515.17
270,880.88,62.7888,28.403,521.89
271,1569.99,58.619,26.5602,624.95
272,1261.26,60.249,27.1973,459.63
273,885.86,63.9633,28.4901,641.49
274,1122.78,59.279,26.3954,599.5
275,1075.49,59.3452,26.6463,492.0
276,929.31,59.8873,26.9816,612.33
277,1228.7,57.16,25.047,627.51
278,1206.37,58.9643,26.5085,625.99
279,922.65,63.7539,28.2574,516.75
280,984.76,65.3101,28.9582,453.73
281,1168.26,58.6409,26.8032,516.87
282,1218.66,55.9771,24.3377,628.16
283,1203.12,61.1987,27.5868,733.22
284,1262.92,60.4227,26.9526,733.47
285,1378.15,61.3722,27.8117,538.52
286,1072.75,61.8966,27.8624,583.9
287,1392.43,63.742,28.7726,739.77
288,1128.34,60.4446,27.2463,596.14
289,1186.4,60.1051,26.5944,577.78
290,1238.66,60.2347,27.094,692.86
291,1100.8,65.7032,29.2797,529.61
292,1287.43,65.2145,29.2662,477.08
293,1180.46,56.0732,24.22,619.82
294,1195.95,59.3325,26.7425,694.81
295,1177.41,56.9755,24.9508,643.16
296,1179.3,61.3217,26.8636,747.08
297,1346.45,56.5088,24.6148,817.58
298,1081.42,61.0689,27.4078,569.19
299,1043.09,62.6239,28.0113,478.88
300,1345.27,56.892,24.5044,685.28
301,1222.09,55.216,23.4053,942.72
302,1287.02,55.2863,23.4471,654.59
303,1201.07,62.0358,26.8726,701.97
304,1329.46,57.6804,24.7656,661.43
305,1387.4,61.1118,26.9202,579.5
306,1223.77,55.3269,24.0837,774.17
307,1211.89,56.8657,25.1899,590.73
308,1044.04,63.0719,27.5011,483.54
309,1020.84,61.2791,27.4859,420.84
310,1168.02,65.472,29.1253,528.14
311,1109.47,64.1508,28.8556,560.68
312,965.14,61.029,27.3397,490.31
313,1092.62,62.7678,27.6526,547.65
314,1204.24,56.2734,24.3418,808.55
315,1272.27,60.5485,26.7443,611.76
316,1136.75,59.4294,26.0018,607.4
317,987.05,59.6373,26.4729,597.85
318,1264.4,59.4992,26.3037,518.61
319,1193.1,58.2825,25.2251,594.25
320,1147.01,60.761,27.0701,575.44
321,1167.53,60.4296,25.8846,659.68
322,1102.11,63.1164,28.3081,593.55
323,1267.04,56.7392,25.0698,673.96
324,1332.49,59.149,26.0603,592.04
325,1195.16,61.4196,27.0185,554.82
326,1096.92,58.1268,25.4939,645.45
327,1278.48,58.9407,26.725,634.31
328,1114.03,57.4133,25.7468,615.98
329,1302.55,59.5348,26.4586,688.32
330,1197.43,55.3524,24.2614,657.98
331,1200.35,58.1787,26.17,648.14
332,1402.96,53.2661,23.396,901.61
333,1602.14,57.6256,25.2411,822.45
334,1472.13,59.5544,27.4538,958.04
335,1888.26,51.5395,21.875,960.73
336,1419.21,54.9993,23.7518,843.35
337,1572.96,52.5266,22.1235,909.53
338,1551.12,52.9078,21.9854,978.89
339,1363.52,54.2475,23.8471,773.61
340,1640.93,55.9947,24.6926,1031.25
341,1450.68,54.8452,24.1719,668.18
342,1679.43,54.6344,23.5066,1149.83
343,1374.55,60.5906,27.456,959.48
344,1461.7,56.213,27.6239,777.51
345,1268.17,56.565,24.5173,667.57
346,1613.31,58.441,26.2479,757.64
347,1433.97,60.1451,26.9012,813.57
348,1276.76,60.941,28.1081,913.64
349,1614.7,54.7279,29.7323,1176.47
350,425.21,81.643,71.3519,180.74
351,1928.68,59.9043,37.3154,1560.66
352,2204.56,57.4431,35.6881,1656.68
353,1161.36,62.4097,42.7086,1210.08
354,580.22,72.8739,57.5871,539.8
355,-2209.87,107.6799,287.2912,-2276.13
356,-984.83,94.8804,471.4996,-1129.46
357,-576.65,86.1438,299.9665,-227.4
358,-1188.45,90.6257,305.5,-1297.84
359,-982.13,86.6844,171.4475,-986.3
360,-2314.45,105.6662,253.286,-1970.43
361,-851.8,80.3425,175.9942,-824.59
362,-681.76,86.2267,302.5604,-924.72
363,-379.27,80.2376,182.8958,-391.28
364,-595.23,80.0503,122.2165,-675.13
365,-849.81,82.7476,161.2995,-924.94
366,-919.63,87.0183,377.1608,-1237.97
367,-1094.1,82.1369,209.961,-1051.5
368,-1148.07,92.1272,112.6571,-969.44
369,-783.71,99.1995,84.9677,-797.93
370,-723.93,95.0835,83.4499,-791.61
371,-779.28,93.2206,79.875,-773.49
372,-780.83,91.9412,90.9043,-632.73
