Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL,Itration
74.5695,655.48,-120.75,25.0729,0
73.9151,440.39,-100.65,25.959,1
75.6477,559.16,-49.82,27.1539,2
72.3428,691.34,7.35,27.9761,3
74.5751,707.29,27.65,29.9219,4
73.0679,767.14,39.68,30.5922,5
71.675,607.03,87.33,30.4538,6
72.4354,716.51,119.94,31.1135,7
73.6095,689.42,130.42,32.1235,8
73.544,692.47,182.14,31.643,9
72.6655,856.15,172.43,32.8742,10
71.7669,727.62,204.26,33.2954,11
73.4596,698.17,197.76,32.2892,12
71.154,608.45,204.09,32.4319,13
72.5265,763.06,217.46,32.9269,14
73.0332,715.85,201.7,31.9439,15
71.0145,775.86,231.54,32.1828,16
73.8676,747.0,267.63,32.5138,17
72.3846,683.92,185.44,31.7547,18
70.7131,766.31,181.71,31.8956,19
74.0931,673.46,153.59,31.8824,20
72.7328,917.81,271.59,31.8217,21
74.0519,932.87,205.27,32.0733,22
71.908,823.38,250.75,32.4565,23
72.8572,808.71,259.6,32.1679,24
72.0919,804.09,233.91,31.7525,25
71.4717,727.08,246.49,32.1699,26
71.1471,889.67,264.4,32.045,27
71.4228,829.05,247.59,31.612,28
72.7591,745.0,233.79,31.6556,29
73.9736,512.25,162.41,31.9453,30
72.6961,712.12,133.31,33.0887,31
72.8701,782.0,133.64,33.0639,32
73.3824,726.2,162.45,31.6682,33
72.815,758.45,244.55,32.4157,34
73.6339,721.87,323.97,32.5538,35
73.6236,647.24,211.12,32.2507,36
71.9394,862.77,241.02,31.7127,37
72.8888,751.18,247.27,31.8807,38
73.4723,809.61,244.37,32.2823,39
71.676,880.68,265.57,31.7911,40
75.2835,532.13,217.85,33.381,41
75.7527,-114.27,100.19,34.0899,42
78.4044,-203.09,-458.89,68.8987,43
75.1173,46.07,-174.38,36.8842,44
72.9457,200.82,-65.17,34.2383,45
75.0658,154.05,-57.64,33.5526,46
74.7208,228.38,-37.57,33.2762,47
74.9179,439.11,32.46,31.8165,48
72.1896,481.88,57.83,31.2748,49
69.7332,74.61,107.71,29.2587,50
71.6757,482.19,68.81,30.7755,51
73.3639,632.26,113.45,34.1795,52
69.9921,525.13,101.52,30.314,53
70.9611,561.55,157.92,30.518,54
70.8384,575.79,188.47,29.9079,55
73.3862,534.85,138.38,31.2132,56
72.3496,624.49,135.32,30.2592,57
73.9492,439.23,140.42,31.3577,58
73.4052,707.38,142.79,30.9756,59
73.1134,356.99,119.31,38.2479,60
70.8163,481.41,131.36,30.3705,61
70.3474,590.75,246.65,30.482,62
69.2825,617.1,183.97,30.0736,63
72.4703,138.98,162.31,32.026,64
73.9732,598.1,168.6,33.7604,65
72.6122,646.1,158.24,30.7208,66
74.0133,648.47,203.74,32.9444,67
73.2922,545.09,118.05,32.3953,68
73.7999,487.35,122.84,33.1986,69
73.3971,680.39,170.4,31.777,70
71.6546,717.64,173.25,29.7384,71
71.8996,310.55,202.33,30.1334,72
72.2375,500.47,198.91,30.7419,73
72.0906,399.81,244.32,30.8726,74
71.968,659.09,201.05,30.4406,75
71.1683,640.06,290.82,30.0336,76
74.2184,487.53,211.76,31.2996,77
70.2227,568.16,234.53,30.7649,78
74.4609,646.24,203.03,31.9535,79
71.6749,424.74,112.44,30.7947,80
68.8525,438.75,166.23,30.5878,81
70.3231,525.68,183.08,30.3463,82
68.8788,355.88,201.21,29.7435,83
72.8397,590.22,183.15,31.519,84
70.4663,637.76,162.34,30.7749,85
72.292,530.49,185.78,31.3737,86
67.2515,801.68,212.47,29.3936,87
69.4581,664.66,177.55,31.9347,88
71.3438,672.05,207.49,30.4449,89
70.754,747.08,137.2,30.9693,90
71.9519,594.79,149.0,30.9567,91
68.1531,489.01,161.79,29.5112,92
68.8875,996.37,223.02,30.6901,93
67.2219,720.13,233.54,31.9717,94
71.8601,634.58,231.4,31.4225,95
67.3685,1035.49,273.86,28.8999,96
67.6804,463.11,224.64,29.1508,97
69.6612,717.96,229.47,34.1846,98
71.4249,512.19,183.55,31.3613,99
69.09,397.1,121.35,32.905,100
68.382,544.72,205.6,30.1672,101
67.724,516.77,220.97,30.0885,102
67.2923,756.43,293.44,29.8399,103
70.0772,408.93,194.52,30.3848,104
67.456,506.78,187.73,28.301,105
69.8504,836.78,291.15,31.0545,106
71.1769,564.69,248.22,31.1597,107
70.4079,636.62,260.7,30.8265,108
70.108,330.05,205.57,31.1023,109
70.5865,389.54,123.84,30.1894,110
67.6081,493.49,228.07,29.2551,111
68.646,506.41,196.92,29.719,112
69.0755,575.77,205.28,29.4935,113
72.4791,637.88,254.46,30.4432,114
64.6494,554.29,185.78,26.9904,115
63.4281,762.39,218.51,28.3009,116
66.6584,1008.49,303.99,28.7053,117
74.0404,-57.51,-437.28,119.816,118
69.0571,334.33,108.47,38.1297,119
70.9451,293.25,39.42,37.5275,120
69.368,312.0,-34.83,31.3502,121
72.0303,277.63,-27.09,32.2142,122
67.3963,512.76,113.76,31.2491,123
66.6154,452.2,65.63,29.7071,124
72.8436,539.28,114.23,32.8843,125
68.5034,777.0,213.26,30.3202,126
67.1398,642.62,211.2,29.4298,127
66.2385,986.25,303.16,30.7561,128
65.3201,929.47,491.52,29.715,129
65.9466,494.22,299.61,32.8125,130
69.9439,686.46,110.54,39.2594,131
67.7857,724.72,232.04,30.8849,132
66.9385,776.73,234.57,32.1915,133
66.058,769.77,294.95,28.6512,134
64.6533,1117.1,250.4,26.5512,135
59.3465,1614.46,782.34,26.0682,136
64.8619,1283.27,491.98,27.8518,137
60.3746,1747.58,673.97,27.0336,138
63.6442,1309.49,463.21,28.4885,139
63.8986,1446.82,454.36,28.7244,140
59.9301,1939.89,772.26,26.8089,141
66.4547,1130.37,451.66,30.1691,142
68.9528,848.96,426.15,30.2233,143
68.5895,561.04,65.59,39.9326,144
62.2013,1223.33,427.82,29.5952,145
59.9195,1197.17,506.05,26.9386,146
63.2244,1063.79,543.84,28.6308,147
