Reward Loss,Running Forward KL,Real Sto Return,Running Env Steps,Itration,Running Reverse KL,Real Det Return,Running Update Time
19.928760528564453,75.0048,-54.51,0,0,23.2474,87.42,0
1.766994595527649,74.5871,-74.59,5000,1,23.8765,261.32,1
-19.596710205078125,72.4698,-40.36,10000,2,24.4902,374.3,2
-34.1417350769043,72.2741,3.5,15000,3,25.0806,485.85,3
-50.7742919921875,71.1607,17.19,20000,4,25.8359,626.63,4
-70.88473510742188,72.6757,21.58,25000,5,27.028,515.69,5
-90.09831237792969,71.5045,50.82,30000,6,28.3417,746.61,6
-103.62645721435547,72.1905,78.29,35000,7,29.3919,560.76,7
-118.92823028564453,72.7891,87.22,40000,8,29.7884,624.61,8
-139.99169921875,72.4557,139.5,45000,9,30.7975,770.69,9
-139.21295166015625,69.7692,133.95,50000,10,28.9304,721.36,10
-169.4520721435547,73.7504,185.87,55000,11,31.7169,792.09,11
-176.41795349121094,71.2996,168.02,60000,12,30.8324,756.05,12
-192.91249084472656,72.1204,152.33,65000,13,30.3285,587.34,13
-202.67832946777344,71.6328,163.07,70000,14,30.4543,616.64,14
-223.23199462890625,72.6441,170.57,75000,15,31.7864,736.25,15
-242.5711212158203,73.6601,193.28,80000,16,31.6268,855.38,16
-254.6246337890625,73.326,181.35,85000,17,32.1362,673.52,17
-263.8018798828125,69.9528,157.75,90000,18,30.7029,737.52,18
-276.61724853515625,70.2516,133.45,95000,19,30.6049,687.85,19
-293.10919189453125,70.8427,208.94,100000,20,31.4684,803.43,20
-303.6471252441406,72.7533,213.72,105000,21,31.2383,694.11,21
-317.53582763671875,72.0644,169.48,110000,22,30.8758,682.51,22
-330.2002258300781,73.0192,138.92,115000,23,31.1505,446.9,23
-350.7314453125,71.4569,261.77,120000,24,31.095,677.78,24
-363.802734375,71.3182,232.9,125000,25,31.4436,875.23,25
-378.68011474609375,70.4282,261.86,130000,26,31.1531,797.56,26
-393.3692321777344,70.9948,319.82,135000,27,31.0964,887.57,27
-404.48419189453125,70.0351,320.32,140000,28,30.7901,1024.87,28
-406.8804016113281,68.0848,391.55,145000,29,30.0708,1222.29,29
-426.44818115234375,67.8441,349.91,150000,30,29.9859,1027.61,30
-443.5968322753906,69.7177,308.71,155000,31,30.6136,894.36,31
-473.12969970703125,71.0258,324.57,160000,32,31.1543,1119.73,32
-482.5316162109375,72.076,358.47,165000,33,31.1588,962.88,33
-492.51806640625,70.6837,396.1,170000,34,30.71,1140.75,34
-494.1587219238281,68.4669,413.22,175000,35,29.9439,983.46,35
-517.8502197265625,69.3932,248.12,180000,36,29.6133,806.93,36
-534.7194213867188,69.8195,429.57,185000,37,30.0505,1131.88,37
-551.447021484375,68.5808,380.27,190000,38,30.1846,1039.39,38
-568.1737670898438,69.8765,377.6,195000,39,30.6783,1072.11,39
-588.6806030273438,69.6173,351.53,200000,40,29.8434,787.21,40
-570.6986083984375,66.5722,427.82,205000,41,28.3974,947.49,41
-590.6016845703125,67.2764,561.17,210000,42,28.6115,1011.59,42
-614.7422485351562,67.7851,503.22,215000,43,29.9248,1117.64,43
-589.8114013671875,64.4111,626.79,220000,44,28.5179,1292.22,44
-657.0440063476562,69.5126,590.37,225000,45,30.1192,1048.49,45
-615.5822143554688,64.4602,760.29,230000,46,28.1801,1526.42,46
-610.7672729492188,64.7377,936.22,235000,47,29.1586,1627.27,47
-649.2705688476562,65.0598,616.27,240000,48,28.2161,1367.89,48
-710.7426147460938,67.1739,757.1,245000,49,29.0833,1279.44,49
-603.591552734375,63.0518,1109.71,250000,50,31.1082,1877.03,50
-593.5590209960938,61.6069,1349.09,255000,51,31.0143,2129.99,51
-695.8262939453125,64.4462,1021.68,260000,52,28.8672,1518.28,52
-627.223876953125,63.7899,1263.86,265000,53,31.0641,2315.63,53
-725.10791015625,66.3586,1055.57,270000,54,29.5414,1932.59,54
-758.3927001953125,66.499,745.19,275000,55,29.3678,1379.33,55
-663.33544921875,64.2776,1067.97,280000,56,31.2863,1288.2,56
-789.0313110351562,65.6356,568.77,285000,57,28.9737,942.82,57
-722.1285400390625,64.075,723.01,290000,58,30.3488,1122.59,58
-801.5645751953125,65.1932,951.98,295000,59,28.317,1285.41,59
-629.638671875,63.0489,1126.31,300000,60,35.0954,1915.74,60
-816.4212646484375,64.6983,665.04,305000,61,28.1603,843.65,61
-815.786376953125,64.2687,830.7,310000,62,28.3659,1398.4,62
-661.9990844726562,64.0913,1493.57,315000,63,40.4589,1772.32,63
-685.7485961914062,64.2508,1882.08,320000,64,39.4679,2882.35,64
-723.191162109375,65.8467,1833.44,325000,65,39.7311,2834.86,65
-830.109130859375,64.8577,1230.25,330000,66,31.987,2432.06,66
-785.8070068359375,64.0354,1346.72,335000,67,32.9185,1798.04,67
-713.456298828125,65.9234,1680.64,340000,68,41.0562,2541.24,68
-814.8274536132812,64.8622,2301.84,345000,69,36.0535,3161.01,69
-723.7970581054688,67.3155,2293.51,350000,70,42.4191,3290.96,70
-772.766357421875,66.1095,2025.29,355000,71,40.559,2348.5,71
-778.7842407226562,65.6821,1936.79,360000,72,41.6336,2815.84,72
-821.0331420898438,64.8011,2138.88,365000,73,38.485,3007.85,73
-804.5377197265625,67.2913,2338.09,370000,74,41.2169,3411.23,74
-850.62646484375,66.6184,2426.09,375000,75,38.0613,3609.25,75
-808.6649169921875,69.2155,3252.8,380000,76,46.4981,3955.8,76
-827.240966796875,68.979,2830.6,385000,77,46.7775,3552.96,77
-858.6519775390625,67.2041,2519.09,390000,78,42.5252,3571.63,78
-771.5838623046875,71.724,3005.64,395000,79,53.2959,3975.02,79
-790.9417724609375,69.7027,2644.12,400000,80,48.782,3718.65,80
-824.2717895507812,69.0573,3701.4,405000,81,49.702,4131.3,81
-838.2447509765625,73.8538,3490.67,410000,82,55.1415,3747.16,82
-835.1167602539062,72.1376,3283.72,415000,83,54.4589,3604.73,83
-934.4901123046875,70.002,3355.71,420000,84,48.3157,4100.24,84
-845.991455078125,72.7726,2802.73,425000,85,58.5459,3323.28,85
-855.3009033203125,74.558,1857.0,430000,86,56.2866,3349.17,86
-856.8985595703125,73.9273,3568.16,435000,87,57.5784,4322.3,87
-942.058349609375,68.6914,3310.09,440000,88,50.2288,3919.65,88
-914.5397338867188,71.011,3357.16,445000,89,54.6732,3548.62,89
-1051.9005126953125,68.041,3034.81,450000,90,43.1512,2952.09,90
-938.9318237304688,73.254,3701.67,455000,91,57.0623,4265.91,91
-1021.0875244140625,69.3727,3450.2,460000,92,47.0428,4060.62,92
-1019.7925415039062,69.7026,3648.61,465000,93,49.4697,3820.86,93
-1016.790771484375,70.9791,4217.8,470000,94,55.3939,4195.48,94
-1024.500244140625,69.6379,3233.93,475000,95,53.041,4278.66,95
-1070.0396728515625,71.1877,2622.18,480000,96,53.682,3448.72,96
-1030.430419921875,70.2499,3214.06,485000,97,51.6683,4466.08,97
-1050.78173828125,75.1418,3576.92,490000,98,58.9367,4591.87,98
-1197.871826171875,68.7223,2674.41,495000,99,44.2458,3470.94,99
-1089.286376953125,72.0288,2923.67,500000,100,58.3172,3816.56,100
-1100.7852783203125,71.6564,3609.19,505000,101,57.3495,4040.37,101
-1206.3350830078125,69.2418,3397.6,510000,102,48.5711,3923.65,102
-1210.4700927734375,68.3044,3245.67,515000,103,46.4763,3911.42,103
-1102.6534423828125,75.4991,3456.98,520000,104,61.7604,5128.2,104
-1181.08935546875,73.4629,3115.54,525000,105,61.1743,3947.65,105
-1213.3623046875,71.874,3860.88,530000,106,53.2975,4346.39,106
-1194.6353759765625,74.436,3620.0,535000,107,64.4165,4458.06,107
-1293.8592529296875,72.7359,2829.71,540000,108,58.3869,3438.8,108
-1274.7852783203125,73.3202,4237.22,545000,109,62.9651,4966.6,109
-1288.7890625,72.5736,3310.03,550000,110,61.4181,4204.79,110
-1316.0787353515625,71.3082,3472.19,555000,111,57.6544,4758.33,111
-1285.86767578125,78.5202,3602.53,560000,112,64.1528,4116.11,112
-1324.02783203125,80.3823,3730.59,565000,113,69.0096,4711.39,113
-1285.697509765625,81.014,4032.89,570000,114,71.215,4786.05,114
-1310.453369140625,76.4777,3810.19,575000,115,61.6183,4953.88,115
-1353.15869140625,79.7208,4451.2,580000,116,70.9322,4735.35,116
-1385.704345703125,73.9879,4455.95,585000,117,63.6489,4789.72,117
-1477.865234375,68.9529,3719.3,590000,118,51.4081,4653.25,118
-1452.8260498046875,70.4321,4019.45,595000,119,55.0741,4374.76,119
-1466.697998046875,74.4276,4603.51,600000,120,64.3613,5181.87,120
-1473.2327880859375,73.9284,4739.18,605000,121,64.8438,4745.38,121
-1506.5140380859375,70.3875,4234.37,610000,122,55.7303,4370.7,122
-1641.3240966796875,69.0821,4324.19,615000,123,52.2613,4646.59,123
-1489.090087890625,73.5912,4276.9,620000,124,62.0651,5340.74,124
-1576.129150390625,69.8074,4270.73,625000,125,55.9878,4854.46,125
-1660.794921875,71.6245,4215.05,630000,126,59.7888,5034.71,126
-1674.8992919921875,79.5646,4965.46,635000,127,72.6115,5095.87,127
-1672.7554931640625,77.2865,4246.1,640000,128,64.4091,4378.52,128
-1715.6048583984375,75.879,4518.19,645000,129,70.5982,5234.96,129
-1787.3843994140625,71.1617,4867.42,650000,130,54.6967,4632.69,130
-1765.517578125,69.7232,4449.26,655000,131,52.0233,4911.68,131
-1784.7562255859375,77.5482,4481.62,660000,132,70.0966,5124.47,132
-1839.322021484375,77.546,4808.94,665000,133,70.3866,5415.87,133
-1852.90478515625,69.7063,4497.26,670000,134,53.5969,5100.86,134
-1937.087890625,80.0614,4605.04,675000,135,74.7787,5209.22,135
-1920.0433349609375,80.6107,4683.31,680000,136,74.164,5056.83,136
-1920.8890380859375,77.0856,4868.37,685000,137,69.3746,5525.65,137
-1967.86572265625,82.9717,4956.32,690000,138,78.4269,5329.28,138
-1982.6495361328125,81.0925,4589.26,695000,139,72.3859,5024.06,139
-2022.34130859375,73.3288,4930.66,700000,140,64.8143,5321.44,140
-2104.546630859375,79.4259,5132.41,705000,141,74.9203,5495.65,141
-2145.578369140625,78.7115,4899.04,710000,142,70.0029,5531.1,142
-2172.17724609375,82.9901,5082.91,715000,143,76.5328,5474.53,143
-2198.552734375,79.5504,4854.82,720000,144,73.0694,5451.16,144
-2218.89453125,71.6093,4312.11,725000,145,60.1256,4896.7,145
-2264.342529296875,75.2136,4580.93,730000,146,70.1183,4952.66,146
-2291.689697265625,74.7226,4629.71,735000,147,69.2769,5394.71,147
-2295.967041015625,73.4227,5130.35,740000,148,66.7219,5248.85,148
-2381.15478515625,78.2894,4257.47,745000,149,71.3174,4912.88,149
-2415.066162109375,77.5858,4263.48,750000,150,75.0617,5326.08,150
-2409.013427734375,73.7667,5052.34,755000,151,65.7208,5601.34,151
-2475.95556640625,77.2752,4955.13,760000,152,73.3803,5225.73,152
-2519.581787109375,76.5078,5020.76,765000,153,73.3411,5450.05,153
-2532.61279296875,78.8119,4544.57,770000,154,79.7989,4904.03,154
-2584.44921875,78.6251,5098.69,775000,155,70.7011,5640.4,155
-2572.424560546875,75.7764,5218.31,780000,156,72.0812,5641.3,156
