Itration,Real Sto Return,Running Update Time,Running Env Steps,Running Reverse KL,Running Forward KL,Reward Loss,Real Det Return
0,-130.41,0,0,24.8032,73.5966,-20.467714309692383,323.42
1,-73.52,1,5000,24.9408,72.9974,-35.56264877319336,486.2
2,-33.92,2,10000,26.5908,73.4803,-54.31669998168945,398.98
3,19.4,3,15000,27.4648,73.2241,-63.91636276245117,624.52
4,21.8,4,20000,27.3182,71.3586,-76.07386779785156,663.09
5,67.88,5,25000,29.6897,71.9715,-90.25670623779297,824.05
6,111.48,6,30000,30.4715,70.442,-109.5217056274414,875.7
7,128.35,7,35000,30.2574,70.1728,-121.36563873291016,492.3
8,167.31,8,40000,31.7175,70.982,-136.39096069335938,789.9
9,189.47,9,45000,30.8725,69.92,-146.3759002685547,814.75
10,169.76,10,50000,30.6847,71.8283,-159.54190063476562,951.23
11,120.22,11,55000,31.064,71.1495,-172.69020080566406,532.23
12,147.97,12,60000,30.5808,70.787,-181.7339630126953,823.84
13,134.55,13,65000,31.5266,71.7646,-195.71551513671875,802.44
14,198.81,14,70000,30.4397,69.0639,-207.9510040283203,765.86
15,154.62,15,75000,31.2293,70.9185,-216.4779052734375,743.08
16,194.92,16,80000,31.4164,69.0531,-225.62472534179688,862.04
17,169.95,17,85000,29.9758,68.9622,-238.5218963623047,893.19
18,189.69,18,90000,32.1093,72.1109,-257.4385070800781,868.79
19,183.5,19,95000,31.3206,72.4045,-270.76318359375,938.15
20,185.58,20,100000,30.504,72.0613,-277.30364990234375,852.99
21,149.19,21,105000,31.1645,71.08,-290.1716003417969,861.09
22,93.32,22,110000,33.2346,71.9045,-298.0782775878906,694.74
23,125.03,23,115000,33.1617,73.7252,-316.9217529296875,484.06
24,130.78,24,120000,33.5791,73.079,-326.0653991699219,145.71
