Itration,Reward Loss,Real Det Return,Running Reverse KL,Running Env Steps,Real Sto Return,Running Update Time,Running Forward KL
0,-21.730989456176758,282.53,25.0533,0,-120.8,0,76.0636
1,-44.630924224853516,446.85,25.631,5000,-20.58,1,73.8522
2,-47.38530349731445,431.86,26.3818,10000,-13.05,2,73.3885
3,-65.9824447631836,356.85,27.8823,15000,6.63,3,74.1354
4,-77.81426239013672,276.87,28.5502,20000,14.83,4,74.85
5,-91.69991302490234,383.7,28.4361,25000,79.04,5,74.1072
6,-98.6672134399414,583.56,28.8218,30000,112.52,6,71.4733
7,-119.1780776977539,502.73,29.8657,35000,89.03,7,73.3637
8,-128.51084899902344,745.93,30.364,40000,162.99,8,70.162
9,-144.96522521972656,662.01,31.6335,45000,166.42,9,72.7317
10,-156.64547729492188,699.64,30.6897,50000,118.6,10,71.5173
11,-167.11488342285156,755.0,31.1753,55000,265.94,11,73.1701
12,-168.19223022460938,759.88,29.9035,60000,257.6,12,68.2747
13,-176.532958984375,618.4,29.1793,65000,248.74,13,68.3035
14,-188.51377868652344,991.58,29.2241,70000,274.95,14,66.642
15,-201.8389129638672,816.88,29.0689,75000,311.25,15,66.7588
16,-218.48646545410156,650.77,30.7839,80000,375.44,16,69.4722
17,-222.01499938964844,759.65,28.7156,85000,431.15,17,65.7637
18,-221.98756408691406,1237.94,27.0765,90000,490.46,18,63.1229
19,-244.7196502685547,824.08,28.2976,95000,259.81,19,66.2162
20,-256.1822509765625,917.81,28.7666,100000,291.83,20,67.2259
21,-265.0180969238281,577.3,31.2283,105000,323.75,21,65.6664
22,-308.5299987792969,38.07,41.9311,110000,23.69,22,72.8458
23,-329.1824645996094,-613.68,63.0024,115000,-513.4,23,82.4766
24,-307.4711608886719,131.83,29.4599,120000,-23.65,24,69.218
25,-310.94512939453125,253.0,27.5071,125000,-19.98,25,69.2484
26,-337.5215759277344,227.96,30.3093,130000,-153.78,26,71.9818
27,-324.3273010253906,185.01,25.413,135000,26.16,27,70.3666
28,-332.3222351074219,300.27,25.4584,140000,-1.24,28,66.0596
29,-358.5967712402344,361.16,27.8435,145000,22.39,29,66.1731
30,-366.7214050292969,481.54,26.3015,150000,62.64,30,66.5627
31,-385.1119079589844,555.14,28.7471,155000,103.39,31,66.9878
32,-393.0395812988281,458.26,29.3051,160000,179.82,32,68.9775
33,-392.2308044433594,697.91,28.1247,165000,152.11,33,68.6145
34,-411.312255859375,381.17,26.7906,170000,124.46,34,67.1008
35,-432.8692626953125,627.22,28.0917,175000,280.38,35,69.2074
36,-447.0155944824219,649.84,27.0528,180000,195.51,36,67.6792
37,-484.7318420410156,368.41,28.6612,185000,124.11,37,72.6247
38,-454.7467956542969,545.44,27.3125,190000,183.98,38,65.8829
39,-506.3285827636719,463.96,28.9866,195000,223.5,39,70.0656
40,-500.6629333496094,732.85,27.9558,200000,232.31,40,66.9391
41,-503.9715881347656,762.05,27.6107,205000,194.53,41,64.3665
42,-529.7077026367188,688.44,28.6067,210000,231.81,42,65.664
43,-542.0075073242188,635.25,26.6379,215000,217.12,43,65.8104
44,-541.5671997070312,773.25,25.978,220000,271.97,44,66.1481
45,-565.7384643554688,656.85,26.797,225000,227.73,45,66.1446
46,-608.6784057617188,537.34,29.2407,230000,196.31,46,70.406
47,-605.11181640625,569.42,28.1258,235000,97.12,47,68.1078
48,-631.9008178710938,657.72,29.5562,240000,141.33,48,71.639
49,-641.7113037109375,420.5,27.7844,245000,125.85,49,69.5293
50,-645.1848754882812,797.59,27.7164,250000,175.36,50,66.3281
51,-640.2395629882812,592.99,26.5508,255000,190.77,51,65.0597
52,-653.6165771484375,390.16,25.8304,260000,108.3,52,64.5142
53,-684.1709594726562,644.71,26.3416,265000,197.78,53,64.8281
54,-678.3515014648438,673.53,26.4702,270000,249.93,54,63.9213
55,-738.177490234375,651.71,28.3476,275000,231.97,55,69.0431
56,-682.4109497070312,839.04,24.4362,280000,328.3,56,61.1459
57,-670.5394897460938,979.88,23.537,285000,269.61,57,59.5275
58,-797.1541137695312,571.34,29.9571,290000,151.42,58,67.9566
59,-777.645751953125,578.36,25.3312,295000,222.99,59,65.0201
60,-844.3370361328125,496.05,28.8523,300000,198.53,60,71.106
61,-803.1641845703125,607.58,25.2354,305000,211.87,61,64.153
62,-822.3986206054688,793.52,26.7964,310000,348.64,62,64.5416
63,-863.6843872070312,562.04,27.8197,315000,245.44,63,68.5594
64,-897.91259765625,517.55,28.833,320000,182.4,64,69.8984
65,-882.8560791015625,507.36,28.1391,325000,105.26,65,65.208
66,-936.4019775390625,432.64,30.9636,330000,89.0,66,68.3072
67,-930.5469970703125,439.3,27.5011,335000,143.52,67,68.3935
68,-959.7525634765625,292.8,27.5948,340000,92.8,68,67.0806
69,-948.9776000976562,424.89,26.4217,345000,129.43,69,64.7595
70,-993.7788696289062,577.15,27.6343,350000,151.76,70,68.5775
71,-983.571533203125,718.56,27.2102,355000,178.86,71,62.5519
72,-1004.2893676757812,587.45,26.2771,360000,165.13,72,63.4
73,-1054.908935546875,646.44,28.1086,365000,235.33,73,65.8006
74,-1003.376708984375,851.0,25.0777,370000,278.26,74,60.786
75,-1006.0386962890625,720.32,25.3527,375000,381.76,75,58.6609
76,-1084.3690185546875,839.34,27.4406,380000,335.13,76,63.6106
77,-979.2594604492188,1090.5,23.3406,385000,625.06,77,58.5937
78,-1127.1998291015625,579.71,27.1545,390000,185.61,78,63.6989
79,-1172.623779296875,652.72,28.3131,395000,239.05,79,67.2142
80,-1189.40283203125,570.74,28.5756,400000,216.19,80,65.5024
81,-1189.7149658203125,534.4,30.7698,405000,315.64,81,63.5485
82,-1230.28955078125,647.52,27.8099,410000,153.98,82,65.1821
83,-1284.2142333984375,365.64,29.8179,415000,114.46,83,69.2648
84,-1244.476806640625,655.21,29.9174,420000,218.34,84,64.666
85,-1319.337158203125,587.5,28.4906,425000,138.41,85,67.3464
86,-1320.8507080078125,805.65,27.7378,430000,346.93,86,64.4189
87,-1396.8629150390625,537.04,32.1866,435000,148.84,87,67.4475
88,-1340.809326171875,568.38,26.7147,440000,149.44,88,64.0114
89,-1360.5406494140625,490.1,26.4821,445000,168.65,89,62.2745
90,-1378.22705078125,555.39,25.8714,450000,155.3,90,64.5192
91,-1426.5211181640625,566.64,26.0489,455000,139.6,91,66.1308
92,-1396.3740234375,633.23,25.2843,460000,274.05,92,62.9022
93,-1411.4404296875,813.81,25.7477,465000,276.29,93,60.6554
94,-1406.888427734375,687.3,23.8264,470000,211.96,94,61.3342
95,-1428.41650390625,1085.07,25.2093,475000,443.94,95,61.0874
96,-1527.8372802734375,792.1,25.1335,480000,320.62,96,62.916
97,-1271.6512451171875,1087.97,20.0357,485000,334.2,97,53.3691
98,-1562.72216796875,943.95,26.1653,490000,369.28,98,60.8716
99,-1546.181884765625,716.36,25.3316,495000,308.61,99,60.2192
100,-1657.3341064453125,525.15,28.7424,500000,260.68,100,64.7167
101,-1555.0738525390625,741.03,22.9297,505000,441.28,101,59.352
102,-1771.6119384765625,448.13,27.6198,510000,199.67,102,67.287
103,-1524.23779296875,979.74,21.4175,515000,546.13,103,56.9921
104,-1812.2352294921875,515.53,26.7446,520000,241.87,104,65.7671
105,-1800.6676025390625,497.63,25.9573,525000,186.55,105,64.1222
106,-1694.29345703125,931.53,23.6941,530000,416.09,106,58.6987
107,-1651.25439453125,1179.3,22.1103,535000,425.93,107,58.2541
108,-1692.2008056640625,713.89,22.5571,540000,262.08,108,59.8966
109,-1892.900146484375,437.21,26.2386,545000,112.07,109,64.285
110,-1877.0465087890625,651.72,24.9478,550000,336.16,110,61.483
111,-1778.1497802734375,1218.41,22.5756,555000,542.23,111,56.7269
112,-1777.1409912109375,1022.9,19.9421,560000,390.05,112,56.2875
113,-1979.4647216796875,438.35,23.8713,565000,275.42,113,60.1688
114,-1988.8509521484375,806.8,23.1567,570000,335.07,114,59.8189
115,-2108.066650390625,351.42,42.9454,575000,33.14,115,67.731
116,-2215.579345703125,498.89,28.2439,580000,64.34,116,66.0386
117,-2155.31201171875,553.24,27.2424,585000,368.71,117,62.6338
118,-1987.099853515625,960.87,20.239,590000,334.6,118,56.8475
119,-2048.039794921875,683.83,22.3832,595000,337.21,119,58.4047
120,-2132.189453125,1004.4,22.3314,600000,372.26,120,58.023
121,-2253.348388671875,845.72,24.7631,605000,368.71,121,62.0493
122,-1933.249267578125,1318.71,18.7071,610000,414.19,122,53.9184
123,-2245.233154296875,706.91,21.4216,615000,354.3,123,57.8461
124,-2399.102783203125,550.95,25.6823,620000,394.5,124,62.316
125,-2125.01513671875,1256.89,19.1633,625000,366.01,125,54.4432
126,-2448.384521484375,765.24,26.1067,630000,410.02,126,62.6009
127,-2448.680908203125,771.54,25.4918,635000,323.09,127,60.9377
128,-1787.7152099609375,1514.42,17.3141,640000,875.01,128,51.5345
129,-2472.211181640625,680.86,22.9561,645000,334.42,129,60.8451
130,-2283.74658203125,928.18,19.1165,650000,398.88,130,56.5103
131,-2370.94580078125,1007.64,19.9002,655000,386.61,131,55.3328
132,-2156.1767578125,1528.84,18.9976,660000,637.21,132,51.2891
133,-2360.77197265625,1305.83,20.3549,665000,728.86,133,52.8625
134,-2076.506103515625,1563.46,18.3208,670000,1128.88,134,49.1042
135,-2698.4091796875,1392.08,22.5618,675000,832.5,135,58.2827
136,-2677.221435546875,-30.38,24.2757,680000,486.94,136,59.3304
137,-2712.822021484375,994.73,23.7415,685000,571.22,137,56.4535
138,-2756.337890625,1580.78,22.6616,690000,630.89,138,58.1141
139,-2842.146484375,629.26,27.6696,695000,295.75,139,61.5987
140,-2780.77685546875,1052.05,23.7733,700000,687.83,140,60.6614
141,-2815.825927734375,775.43,22.4033,705000,415.18,141,59.5071
142,-2241.4521484375,1182.63,23.6132,710000,700.65,142,56.2055
143,-2224.046142578125,2005.59,19.1088,715000,884.48,143,54.2176
144,-2214.974365234375,2408.69,18.4793,720000,1138.83,144,50.9582
145,-2335.41455078125,2180.23,16.3429,725000,1248.2,145,50.1203
146,-2009.194580078125,2496.32,12.8561,730000,941.67,146,44.6312
147,-3061.10791015625,1282.29,21.76,735000,974.32,147,57.1454
148,-2252.8056640625,1919.23,14.4972,740000,1007.52,148,47.7196
149,-2362.2001953125,1297.06,16.6578,745000,823.74,149,49.6139
150,-2493.548095703125,1968.31,17.1435,750000,1017.04,150,49.5365
151,-2661.919189453125,1820.75,16.4811,755000,894.57,151,48.9228
152,-2829.555908203125,1536.27,17.3351,760000,579.8,152,51.4049
153,-3306.2177734375,869.82,21.9944,765000,572.84,153,56.6579
154,-3251.394775390625,1143.85,20.6438,770000,814.86,154,55.5134
155,-3340.469482421875,722.22,20.7985,775000,557.69,155,57.1422
156,-3163.993408203125,1308.34,18.959,780000,612.42,156,54.1005
157,-3291.873779296875,1475.56,18.2112,785000,618.44,157,55.9948
158,-3229.349609375,1000.49,20.1658,790000,1036.16,158,54.6641
159,-3779.98681640625,832.8,22.9851,795000,459.42,159,59.0842
160,-3048.813720703125,686.0,16.4505,800000,682.28,160,50.6977
161,-3034.198486328125,1411.47,16.5224,805000,921.07,161,51.0202
162,-3303.777099609375,1372.68,16.8352,810000,838.59,162,52.104
163,-3831.4150390625,945.37,23.6173,815000,556.21,163,58.6023
164,-4039.199462890625,590.51,23.4326,820000,278.75,164,63.074
165,-4142.30078125,662.49,23.7431,825000,289.49,165,61.3282
166,-3332.84033203125,1229.49,16.1922,830000,765.74,166,50.3994
167,-3332.74462890625,1708.49,16.2299,835000,807.53,167,50.0653
168,-3340.740478515625,1467.06,16.7643,840000,1073.76,168,48.0455
169,-4049.267822265625,1142.94,20.4719,845000,671.07,169,54.5621
170,-4128.2451171875,1587.36,22.3224,850000,807.21,170,56.8153
171,-3980.246337890625,912.39,21.8808,855000,404.91,171,57.0271
172,-3093.317626953125,1740.87,15.8943,860000,1084.14,172,49.1718
173,-3191.44921875,1965.79,14.788,865000,1091.76,173,47.9118
174,-4562.845703125,779.02,25.2556,870000,735.62,174,60.2948
175,-4277.71923828125,735.53,23.1904,875000,649.21,175,56.886
176,-4284.66455078125,868.31,19.7924,880000,513.12,176,54.3952
177,-4808.1767578125,870.58,22.4016,885000,560.9,177,58.8936
178,-3786.429443359375,1399.34,15.653,890000,1182.81,178,49.3882
179,-4859.98828125,874.46,22.9479,895000,633.73,179,59.4883
180,-4897.45068359375,2001.62,22.3495,900000,729.58,180,58.2138
181,-4213.35791015625,1069.62,17.0059,905000,872.62,181,52.7403
182,-3690.7197265625,2433.66,14.0393,910000,1009.59,182,47.9057
183,-4107.88818359375,2271.54,16.3462,915000,1133.92,183,49.3073
184,-4826.38720703125,891.41,19.112,920000,644.26,184,55.5636
185,-4018.686279296875,1811.11,14.5909,925000,1035.78,185,47.2965
186,-5046.6064453125,877.26,22.3863,930000,415.0,186,57.192
187,-5014.45361328125,1060.93,21.0881,935000,524.62,187,55.6011
188,-5051.03515625,1362.81,21.5915,940000,722.28,188,54.837
189,-4523.8642578125,1429.73,16.3928,945000,940.35,189,50.4011
190,-3308.67919921875,2130.43,11.7664,950000,1370.73,190,43.5057
191,-3084.06298828125,2242.83,9.8704,955000,699.03,191,41.7269
192,-3746.657958984375,1943.77,15.1922,960000,1161.82,192,46.9003
193,-5027.46337890625,1116.19,20.1251,965000,1059.08,193,51.1337
194,-3955.36572265625,2390.86,12.5272,970000,1019.95,194,46.8784
195,-5004.1689453125,630.68,17.5292,975000,761.23,195,52.2698
196,-5212.0,894.59,21.0483,980000,396.69,196,54.7398
197,-5248.1357421875,1040.01,19.9795,985000,504.35,197,51.1538
198,-3989.812744140625,1853.45,13.1459,990000,1370.49,198,46.8078
199,-5238.87939453125,1096.45,19.4417,995000,772.75,199,51.7859
200,-4065.73583984375,1636.33,13.5993,1000000,1197.7,200,45.9273
201,-4311.63232421875,868.72,13.4324,1005000,870.42,201,46.5735
202,-5270.46875,1532.89,17.1224,1010000,736.37,202,50.4536
203,-5989.9765625,1302.58,20.0713,1015000,719.31,203,53.5248
204,-5473.666015625,1182.91,17.1172,1020000,566.83,204,51.2064
205,-6247.5947265625,1251.95,23.0067,1025000,676.51,205,54.1719
206,-5715.65478515625,607.29,18.1216,1030000,405.4,206,50.3604
207,-4917.4462890625,1809.31,13.5049,1035000,1061.72,207,47.3311
208,-6148.48388671875,1166.61,18.864,1040000,655.94,208,52.3552
209,-5305.0263671875,1291.19,14.0865,1045000,1149.09,209,48.4558
210,-5421.40478515625,1356.76,14.2211,1050000,941.76,210,48.0311
211,-6914.1806640625,1260.0,21.1244,1055000,488.62,211,55.1703
212,-4738.9736328125,1626.23,12.0144,1060000,1215.44,212,43.2431
213,-6046.66943359375,1122.43,15.7337,1065000,852.72,213,48.9127
214,-4854.07470703125,2254.93,11.6655,1070000,963.03,214,44.1676
215,-5224.744140625,1274.78,12.7255,1075000,915.22,215,47.1131
216,-6818.86572265625,832.03,19.8754,1080000,431.51,216,52.2212
217,-6240.78955078125,1844.36,16.2275,1085000,1014.14,217,49.6657
218,-4924.69287109375,1869.89,12.9888,1090000,1311.12,218,46.9144
