Real Det Return,Running Reverse KL,Reward Loss,Running Env Steps,Itration,Real Sto Return,Running Update Time,Running Forward KL
292.63,27.9894,240.34149169921875,0,0,-90.53,0,75.5728
329.17,27.6055,163.10423278808594,5000,1,-19.56,1,74.2677
468.66,26.6426,116.87849426269531,10000,2,-11.27,2,72.5422
562.74,26.894,78.30936431884766,15000,3,-3.63,3,70.8592
657.39,28.4869,15.748665809631348,20000,4,19.93,4,71.4476
691.13,29.7898,-22.872262954711914,25000,5,59.35,5,69.4954
638.45,31.4364,-85.24662017822266,30000,6,92.45,6,71.9508
785.57,30.9742,-152.4233856201172,35000,7,141.55,7,70.7509
889.06,30.0262,-208.26307678222656,40000,8,201.07,8,68.9035
727.41,31.0247,-279.95361328125,45000,9,220.24,9,70.9139
1007.63,30.4598,-331.0518798828125,50000,10,234.61,10,69.748
916.45,30.6911,-391.68524169921875,55000,11,247.59,11,69.7482
810.45,30.8726,-480.2210693359375,60000,12,185.18,12,70.4789
954.75,30.1537,-504.7371520996094,65000,13,234.38,13,67.6032
907.37,30.499,-589.6099853515625,70000,14,206.39,14,69.9537
920.32,31.3062,-616.5631103515625,75000,15,263.07,15,69.0874
974.99,30.1975,-701.3286743164062,80000,16,237.23,16,69.168
1060.8,30.3272,-748.2208251953125,85000,17,310.8,17,68.7726
855.44,31.8397,-852.0667724609375,90000,18,229.8,18,72.0891
1004.86,30.3945,-892.9945068359375,95000,19,235.13,19,69.8774
1017.85,30.4923,-954.9166870117188,100000,20,296.79,20,70.5958
1003.88,28.8309,-979.1814575195312,105000,21,267.78,21,67.6581
1045.75,29.7646,-1040.6832275390625,110000,22,280.13,22,67.8548
998.15,29.9626,-1116.072021484375,115000,23,330.63,23,69.2514
1091.2,28.0509,-1127.7662353515625,120000,24,325.68,24,65.1166
995.04,29.6509,-1224.813720703125,125000,25,265.68,25,68.3951
993.83,28.3145,-1271.797607421875,130000,26,258.09,26,65.8862
975.2,28.9803,-1333.1806640625,135000,27,298.8,27,67.0694
971.68,29.6169,-1412.7132568359375,140000,28,318.6,28,69.0212
1034.24,29.8721,-1487.667724609375,145000,29,344.22,29,69.2755
1080.4,29.1701,-1556.138671875,150000,30,240.03,30,67.6314
1021.98,28.4957,-1591.6373291015625,155000,31,327.64,31,67.2353
990.11,29.2114,-1665.9959716796875,160000,32,270.85,32,66.605
802.28,29.3376,-1722.0137939453125,165000,33,274.19,33,67.4435
