Real Sto Return,Running Reverse KL,Real Det Return,Itration,Running Forward KL,Running Env Steps,Running Update Time,Reward Loss
-80.87,26.1554,341.94,0,74.1975,0,0,231.36448669433594
-40.2,27.4564,589.07,1,74.6593,5000,1,149.61854553222656
-45.36,27.5169,579.47,2,73.1384,10000,2,120.13896942138672
-24.3,28.1776,547.05,3,74.185,15000,3,44.10251998901367
23.44,28.4962,695.04,4,71.4319,20000,4,7.574831008911133
50.12,29.5491,664.76,5,71.7881,25000,5,-31.683361053466797
110.73,29.5633,527.8,6,72.0682,30000,6,-82.55179595947266
123.71,31.0864,829.37,7,72.9285,35000,7,-140.49261474609375
157.44,31.5104,822.71,8,72.7946,40000,8,-210.10284423828125
180.78,30.6344,799.77,9,72.9045,45000,9,-254.0765838623047
175.19,31.2265,720.02,10,71.0398,50000,10,-295.72027587890625
141.47,31.1686,892.26,11,73.6994,55000,11,-419.3706359863281
125.27,31.3884,800.39,12,73.029,60000,12,-456.6070861816406
174.28,31.3013,882.8,13,72.951,65000,13,-505.8435974121094
145.38,31.8131,804.28,14,73.1507,70000,14,-581.8084716796875
193.4,31.1001,760.19,15,72.2225,75000,15,-622.5662841796875
204.51,31.4843,780.88,16,72.6387,80000,16,-692.8463745117188
177.72,31.0154,786.07,17,71.1919,85000,17,-735.0938720703125
169.6,31.352,878.64,18,71.6688,90000,18,-822.4364624023438
200.17,31.5978,646.22,19,72.313,95000,19,-897.1366577148438
183.28,30.9474,871.48,20,70.5868,100000,20,-932.2445068359375
196.94,31.0688,764.2,21,72.1473,105000,21,-982.5145874023438
179.66,31.6585,773.51,22,73.4245,110000,22,-1070.7552490234375
191.67,30.8298,872.42,23,72.1799,115000,23,-1106.31494140625
212.61,32.2081,763.75,24,73.8151,120000,24,-1177.322998046875
209.38,31.6155,874.34,25,72.8726,125000,25,-1253.622314453125
221.0,32.1262,678.51,26,73.4187,130000,26,-1298.34326171875
200.98,31.5964,783.91,27,74.8915,135000,27,-1394.5986328125
192.83,31.8339,714.88,28,72.4608,140000,28,-1440.582275390625
244.28,31.4651,871.68,29,72.7659,145000,29,-1468.4234619140625
221.42,31.0933,849.04,30,72.1918,150000,30,-1564.5233154296875
194.39,32.0223,891.46,31,73.453,155000,31,-1620.7178955078125
256.04,31.834,942.98,32,73.5582,160000,32,-1672.7374267578125
235.64,32.0364,888.91,33,74.0285,165000,33,-1751.61865234375
220.16,31.6636,828.06,34,72.9633,170000,34,-1840.015625
217.36,31.075,943.27,35,73.7979,175000,35,-1876.67333984375
234.69,31.4437,921.88,36,74.2199,180000,36,-1956.7803955078125
267.32,31.8825,864.09,37,74.4091,185000,37,-2028.69482421875
187.72,32.0176,987.49,38,72.2521,190000,38,-2037.823974609375
261.14,31.4634,910.45,39,73.1826,195000,39,-2144.36474609375
223.57,31.8805,971.86,40,75.1043,200000,40,-2243.931396484375
222.58,31.8834,911.37,41,73.1732,205000,41,-2269.393310546875
231.43,31.7386,815.06,42,74.2584,210000,42,-2380.388671875
257.39,31.981,954.67,43,72.5079,215000,43,-2410.087158203125
225.95,31.524,835.28,44,72.1069,220000,44,-2492.551513671875
259.5,32.3729,786.91,45,74.4175,225000,45,-2589.317138671875
264.32,31.954,825.81,46,74.2436,230000,46,-2664.36962890625
249.84,31.4603,994.92,47,73.2083,235000,47,-2709.1806640625
246.64,31.8823,844.46,48,74.2088,240000,48,-2804.8828125
289.83,31.9322,924.44,49,73.6167,245000,49,-2847.08544921875
281.35,31.3683,950.06,50,72.7071,250000,50,-2928.595703125
250.91,31.6713,923.87,51,71.985,255000,51,-3034.3125
219.05,32.0049,941.33,52,73.1374,260000,52,-3095.481689453125
296.46,31.6076,883.71,53,74.3633,265000,53,-3136.609619140625
235.73,31.6634,935.33,54,74.8748,270000,54,-3217.98193359375
233.8,30.9437,932.14,55,73.1795,275000,55,-3283.8955078125
285.09,31.7554,988.73,56,74.8252,280000,56,-3420.93310546875
277.39,31.3894,883.15,57,72.8996,285000,57,-3464.822021484375
309.76,32.0017,878.47,58,74.0083,290000,58,-3574.8935546875
288.09,31.721,951.73,59,72.7757,295000,59,-3593.4873046875
284.72,31.9852,980.28,60,73.7789,300000,60,-3761.068603515625
234.74,31.2918,869.33,61,73.6267,305000,61,-3823.066650390625
268.46,31.8106,988.85,62,72.5827,310000,62,-3900.42041015625
239.19,31.5935,899.08,63,73.7259,315000,63,-3987.3125
260.0,32.1756,995.24,64,74.684,320000,64,-4058.86572265625
276.05,31.7397,936.02,65,74.7678,325000,65,-4114.72705078125
244.26,31.0073,992.32,66,73.428,330000,66,-4245.58251953125
263.75,31.9196,818.84,67,73.7346,335000,67,-4352.2041015625
271.6,31.7469,892.32,68,72.3884,340000,68,-4453.85888671875
257.8,31.4706,937.98,69,73.5483,345000,69,-4503.94677734375
297.05,31.7719,899.14,70,72.4879,350000,70,-4586.21044921875
307.06,31.8927,873.78,71,72.8158,355000,71,-4681.21826171875
275.68,31.7004,984.85,72,74.0734,360000,72,-4771.5078125
295.09,31.739,951.39,73,73.896,365000,73,-4884.9541015625
233.0,31.6728,899.4,74,73.9306,370000,74,-4987.9765625
295.5,31.5126,928.46,75,73.1712,375000,75,-5048.61669921875
241.2,31.5669,786.71,76,74.4984,380000,76,-5145.62890625
265.9,31.4206,801.92,77,73.6172,385000,77,-5223.02197265625
298.34,31.5849,938.22,78,71.7316,390000,78,-5385.78857421875
299.15,32.4349,890.47,79,74.3078,395000,79,-5518.86279296875
306.11,31.9192,795.42,80,73.3312,400000,80,-5605.64306640625
215.35,31.3323,701.94,81,73.3023,405000,81,-5652.46826171875
288.88,31.1282,850.37,82,72.9953,410000,82,-5715.96435546875
280.38,31.785,798.75,83,74.253,415000,83,-5883.48388671875
295.02,32.1106,987.64,84,73.8096,420000,84,-6028.068359375
290.78,31.769,845.82,85,74.708,425000,85,-6074.84130859375
272.95,31.7662,803.78,86,73.8612,430000,86,-6219.6201171875
298.67,31.5985,934.36,87,73.5228,435000,87,-6352.40771484375
294.31,31.9868,902.84,88,73.4728,440000,88,-6485.9619140625
253.59,31.3837,940.16,89,74.2487,445000,89,-6539.08935546875
284.27,31.4774,756.67,90,73.5962,450000,90,-6633.18017578125
226.12,31.193,610.12,91,74.248,455000,91,-6843.69677734375
257.93,31.7288,946.05,92,73.6705,460000,92,-6844.36767578125
298.69,31.8304,855.55,93,72.9361,465000,93,-7055.6630859375
273.13,31.7072,822.13,94,74.7763,470000,94,-7183.51318359375
318.65,31.7863,904.21,95,73.0997,475000,95,-7235.10400390625
257.4,31.7476,803.52,96,74.4482,480000,96,-7337.2197265625
296.43,31.5037,775.07,97,73.0052,485000,97,-7559.24365234375
272.76,31.5319,843.97,98,74.2814,490000,98,-7723.15576171875
302.7,31.699,929.22,99,73.3567,495000,99,-7886.31787109375
278.36,31.4759,856.36,100,73.8057,500000,100,-7899.3408203125
254.26,31.8483,992.25,101,74.3816,505000,101,-8149.97705078125
272.83,31.3676,934.67,102,73.4496,510000,102,-8303.3486328125
302.08,31.6289,877.69,103,73.2376,515000,103,-8284.634765625
