Running Reverse KL,Running Update Time,Real Sto Return,Running Env Steps,Reward Loss,Itration,Real Det Return,Running Forward KL
25.5515,0,-48.85,0,221.00982666015625,0,266.27,75.5186
26.0524,1,-46.91,5000,167.45086669921875,1,274.9,74.0961
26.841,2,-1.9,10000,114.79798126220703,2,471.46,72.8343
27.2144,3,12.11,15000,70.46849822998047,3,425.49,73.2389
28.373,4,51.58,20000,2.8562936782836914,4,775.53,72.8716
28.6839,5,106.42,25000,-3.6978020668029785,5,798.21,72.0185
29.7205,6,174.38,30000,-26.214614868164062,6,830.97,70.1121
28.469,7,220.89,35000,-138.52947998046875,7,896.61,68.6381
29.0888,8,180.34,40000,-177.7173614501953,8,748.88,71.6031
29.6641,9,122.49,45000,-242.82901000976562,9,623.0,71.9205
29.3409,10,154.67,50000,-316.2948303222656,10,678.83,69.866
29.2253,11,231.73,55000,-322.8825378417969,11,981.85,67.7396
28.7063,12,292.45,60000,-405.2392578125,12,661.94,68.3013
28.6709,13,140.89,65000,-452.33282470703125,13,538.02,68.131
29.8097,14,184.93,70000,-539.2275390625,14,765.84,71.1913
29.386,15,492.14,75000,-555.53564453125,15,1411.71,66.3602
29.8841,16,317.3,80000,-636.3087768554688,16,891.42,68.7378
29.5064,17,202.17,85000,-717.4466552734375,17,443.82,71.6508
29.1427,18,320.77,90000,-774.2525024414062,18,1013.25,70.0287
28.8171,19,244.98,95000,-800.427001953125,19,701.3,67.3656
28.124,20,359.99,100000,-856.7603759765625,20,951.91,67.3848
27.6549,21,607.67,105000,-910.1251220703125,21,940.87,66.2132
27.672,22,653.52,110000,-943.0164184570312,22,1111.28,64.5529
28.5502,23,521.71,115000,-987.3297119140625,23,1104.23,65.1352
28.0386,24,280.03,120000,-1066.526123046875,24,888.4,66.9089
27.5626,25,644.45,125000,-1118.9801025390625,25,1084.1,65.1537
26.2236,26,444.56,130000,-1144.7176513671875,26,1012.02,63.9399
26.166,27,697.35,135000,-1209.280029296875,27,969.87,63.9567
27.3227,28,1011.45,140000,-1230.579833984375,28,1616.98,64.2511
27.4188,29,651.04,145000,-1282.12060546875,29,1090.07,64.5116
27.4672,30,627.09,150000,-1367.6474609375,30,1328.32,65.1708
28.5745,31,1076.36,155000,-1328.65380859375,31,1340.37,63.7099
27.1717,32,609.08,160000,-1401.510009765625,32,1247.24,63.8181
31.6653,33,1158.45,165000,-1306.2347412109375,33,1766.99,60.2139
25.9989,34,592.91,170000,-1566.5689697265625,34,954.17,63.3251
31.082,35,1320.34,175000,-1502.993408203125,35,2204.0,61.921
26.1882,36,442.17,180000,-1679.6722412109375,36,828.14,64.4498
32.3893,37,1311.6,185000,-1502.8609619140625,37,2033.49,63.1337
26.7459,38,870.83,190000,-1700.8582763671875,38,1789.0,63.2466
25.92,39,837.43,195000,-1855.8565673828125,39,916.25,64.9659
27.988,40,977.95,200000,-1729.21142578125,40,2135.71,62.3746
28.753,41,1245.44,205000,-1771.14697265625,41,2758.9,62.0231
28.3236,42,837.56,210000,-1828.4249267578125,42,1822.31,61.5998
26.3149,43,1094.17,215000,-1915.498046875,43,2141.51,62.1078
26.8024,44,1673.75,220000,-1984.7940673828125,44,1922.39,62.5435
27.5003,45,977.77,225000,-2141.40185546875,45,1414.62,64.6484
26.0956,46,846.05,230000,-2046.724609375,46,1374.14,61.5868
30.0191,47,1342.17,235000,-2107.27294921875,47,1607.45,63.1531
30.3802,48,1468.5,240000,-1965.2073974609375,48,2243.21,61.9658
35.3438,49,2303.38,245000,-2065.930908203125,49,3397.35,63.7921
32.6984,50,2506.17,250000,-2115.000732421875,50,3106.13,62.1683
42.5919,51,2159.54,255000,-2037.2808837890625,51,3744.79,63.9108
44.882,52,2797.23,260000,-2106.761962890625,52,3293.62,62.9095
31.2729,53,1304.87,265000,-2366.527099609375,53,1569.27,65.0579
41.103,54,2700.12,270000,-2333.316650390625,54,2919.06,63.8208
32.7478,55,1665.39,275000,-2341.176513671875,55,2770.48,62.979
38.7613,56,1956.46,280000,-2274.7080078125,56,4224.2,64.0583
35.6632,57,2238.52,285000,-2498.468994140625,57,3063.81,64.7584
48.2881,58,3160.3,290000,-2258.263671875,58,3803.33,67.2568
51.0452,59,3161.94,295000,-2350.0087890625,59,3010.77,68.8806
39.2508,60,2737.24,300000,-2560.395751953125,60,3512.73,65.5563
52.2141,61,3106.28,305000,-2383.0087890625,61,4003.23,70.5319
51.8623,62,2920.01,310000,-2447.914794921875,62,4143.4,71.1518
52.4138,63,3566.09,315000,-2556.21826171875,63,4055.12,68.9481
56.3854,64,3890.66,320000,-2635.21337890625,64,4153.04,69.4375
53.0513,65,3786.25,325000,-2526.086669921875,65,4373.49,70.4322
67.5365,66,3877.0,330000,-2721.943115234375,66,4581.36,79.6352
49.1814,67,3316.18,335000,-2781.0283203125,67,4202.59,68.5655
35.3449,68,2975.71,340000,-3016.005615234375,68,4540.46,63.9669
59.305,69,3654.86,345000,-2864.55810546875,69,4488.47,72.689
45.8236,70,3096.32,350000,-3088.626708984375,70,3787.62,66.5202
48.8135,71,3484.04,355000,-3070.066162109375,71,4072.94,67.8775
44.4693,72,3749.01,360000,-3359.053955078125,72,4283.59,67.2122
41.7279,73,2203.61,365000,-3301.406005859375,73,3087.07,67.0082
48.5033,74,3485.62,370000,-3192.04443359375,74,4802.56,68.4698
47.1732,75,3958.71,375000,-3387.585693359375,75,4308.39,68.2942
56.2718,76,2443.06,380000,-3415.764892578125,76,3856.96,71.264
45.2868,77,2358.67,385000,-3478.072509765625,77,3552.45,67.3238
61.9366,78,2952.12,390000,-3562.5478515625,78,3721.45,75.1314
51.7436,79,3538.49,395000,-3629.8291015625,79,4257.89,68.9853
53.9101,80,3693.58,400000,-3692.237548828125,80,4240.95,69.3579
37.7058,81,2765.36,405000,-3861.93408203125,81,4400.16,66.716
51.4922,82,2442.13,410000,-3854.16455078125,82,3922.51,70.3801
50.1148,83,3140.9,415000,-3978.698974609375,83,4288.21,72.3677
53.2492,84,3923.57,420000,-3851.197021484375,84,4651.76,67.8156
43.1362,85,2792.01,425000,-4036.8359375,85,3460.18,68.43
55.1929,86,4238.43,430000,-4184.55419921875,86,4697.34,71.8345
51.9012,87,4077.33,435000,-4136.12939453125,87,4628.59,69.6679
56.1512,88,3965.29,440000,-4346.37744140625,88,4352.82,71.3264
50.4346,89,3637.46,445000,-4430.75146484375,89,4261.34,69.7123
51.8831,90,3254.84,450000,-4659.41845703125,90,4368.24,70.1241
65.2249,91,3163.63,455000,-4581.17822265625,91,4173.84,78.2062
68.061,92,4041.23,460000,-4785.0361328125,92,4720.29,76.0006
63.8601,93,4507.54,465000,-4845.6240234375,93,5099.6,74.1447
44.2231,94,3130.14,470000,-4772.40478515625,94,3492.75,68.2473
54.7476,95,4207.59,475000,-4946.6943359375,95,4896.54,70.3701
54.9253,96,4438.07,480000,-4936.201171875,96,5243.42,69.6
64.9181,97,4352.22,485000,-5048.84619140625,97,4717.75,75.0945
66.1553,98,4400.7,490000,-5182.86572265625,98,4967.34,76.5317
62.4692,99,4053.97,495000,-5200.63037109375,99,4839.81,75.8777
60.9991,100,4318.73,500000,-5477.134765625,100,5058.63,72.7505
63.3888,101,4412.26,505000,-5648.98388671875,101,5015.19,78.7834
47.8466,102,4405.1,510000,-5515.56787109375,102,5142.77,68.2839
67.0457,103,3848.62,515000,-5821.07373046875,103,4820.3,80.0214
67.6772,104,4525.93,520000,-5832.9287109375,104,4609.5,80.0164
62.2003,105,4559.73,525000,-6019.78515625,105,5048.96,75.6386
58.6537,106,4425.08,530000,-5984.5166015625,106,4070.0,71.3376
63.7356,107,4319.35,535000,-6443.05615234375,107,5180.78,74.8684
47.4458,108,4294.42,540000,-6021.5537109375,108,4726.63,69.1566
60.1909,109,4048.96,545000,-6257.89892578125,109,4337.48,72.5424
63.6353,110,4065.81,550000,-6443.33251953125,110,4996.01,73.7265
65.0321,111,4331.7,555000,-6605.9619140625,111,5051.64,76.5104
65.0205,112,4295.42,560000,-6747.26416015625,112,5481.58,77.402
69.2289,113,4293.67,565000,-7042.6865234375,113,4846.61,80.5832
69.431,114,4345.22,570000,-7130.1005859375,114,4635.55,78.6089
69.8641,115,4478.22,575000,-7045.30517578125,115,4803.89,81.7333
74.4023,116,4896.38,580000,-7255.869140625,116,5175.18,79.6923
62.6555,117,3708.85,585000,-7323.619140625,117,4685.22,72.8724
77.1878,118,4687.96,590000,-7631.6181640625,118,5366.71,84.6943
60.7057,119,4908.79,595000,-7803.580078125,119,4580.34,74.4881
71.5905,120,4541.51,600000,-7642.54931640625,120,5215.02,79.861
77.8307,121,4951.66,605000,-7955.9736328125,121,5410.9,79.6641
67.8446,122,4649.48,610000,-8158.59423828125,122,5020.78,74.858
65.9976,123,4313.1,615000,-7906.81103515625,123,5450.98,74.8549
67.9689,124,4400.8,620000,-8292.455078125,124,4957.04,80.4501
68.576,125,4592.3,625000,-8368.470703125,125,5582.7,75.8208
66.2475,126,4582.16,630000,-8563.02734375,126,5118.79,75.576
73.5773,127,4717.96,635000,-8763.2744140625,127,5326.64,81.886
72.8766,128,4006.72,640000,-8811.294921875,128,5376.95,80.1619
68.4331,129,4183.56,645000,-9162.7802734375,129,5241.48,80.8742
67.5205,130,4638.77,650000,-9141.572265625,130,4764.8,74.5884
60.7014,131,4442.08,655000,-9142.52734375,131,5049.28,73.3477
59.6003,132,4782.55,660000,-9178.7578125,132,5563.05,69.6696
73.5804,133,5140.96,665000,-9978.599609375,133,5201.06,80.5602
66.8232,134,4338.96,670000,-10036.7783203125,134,4979.43,78.9312
69.2471,135,4244.18,675000,-9709.6337890625,135,5676.66,79.6835
66.864,136,4415.21,680000,-9881.94921875,136,5344.27,74.9019
61.4244,137,4869.39,685000,-9981.1748046875,137,5176.01,72.051
71.113,138,4448.7,690000,-10573.63671875,138,5299.21,83.4804
65.2053,139,4664.98,695000,-10496.5830078125,139,4745.53,76.4344
70.5877,140,4302.26,700000,-10707.345703125,140,5720.17,78.9518
57.5259,141,3709.49,705000,-10203.8701171875,141,4997.12,71.4024
