Running Forward KL,Running Reverse KL,Itration,Real Det Return,Real Sto Return
158.7076,11.7926,0,3.38,-207.28
158.6493,12.2718,1,22.23,-37.83
158.268,12.966,2,852.31,275.35
158.1968,14.56,3,946.27,586.7
158.1495,15.02,4,1080.45,681.6
158.1814,15.5673,5,977.41,637.45
157.9966,15.2768,6,1209.26,830.77
157.7714,15.2958,7,1217.1,912.25
157.7154,15.7157,8,1335.11,901.24
157.8581,15.9174,9,1424.4,1030.0
157.9772,16.2515,10,1520.66,1089.67
157.8204,16.355,11,1568.18,1106.88
158.03,16.7958,12,1533.24,1181.95
157.9753,16.546,13,1570.24,1171.79
157.9491,16.8883,14,1619.97,1241.02
158.0488,16.8209,15,1642.38,1260.97
157.8116,16.4862,16,1714.56,1314.36
157.9916,16.8876,17,1730.57,1327.24
157.9236,16.5578,18,1778.04,1363.79
157.9759,16.8553,19,1806.04,1401.44
157.8283,16.8797,20,1844.88,1457.28
157.6025,16.7327,21,1889.02,1489.82
157.6164,16.7502,22,1880.74,1504.9
157.8129,17.2184,23,1910.65,1506.98
157.6445,16.8867,24,1912.86,1538.91
157.5668,16.6534,25,1887.04,1522.35
157.6106,17.0983,26,1974.48,1561.03
157.4942,16.9185,27,1983.14,1591.26
157.3863,16.8355,28,1974.52,1633.05
157.4205,16.7629,29,1992.54,1628.82
157.5277,16.271,30,1880.9,1583.76
157.5407,16.6524,31,2060.32,1651.76
157.3533,16.3703,32,2001.68,1674.09
157.3397,16.1916,33,1983.23,1629.7
157.3892,16.5854,34,2037.69,1656.12
157.4985,16.4791,35,2023.92,1653.66
