Running Reverse KL,Itration,Real Sto Return,Real Det Return,Running Forward KL
12.011,0,-178.7,5.01,158.6297
12.623,1,61.93,797.27,158.6206
14.4627,2,412.66,875.29,158.6098
14.911,3,565.8,986.52,158.3556
15.2257,4,690.4,1110.55,158.3196
15.2282,5,688.97,1101.75,158.1156
15.4411,6,861.67,1252.98,157.9998
15.5288,7,883.48,1233.32,158.0093
15.1745,8,800.52,1180.6,157.8273
15.5478,9,982.58,1439.83,157.6882
15.392,10,1019.52,1489.3,157.8699
15.9062,11,1083.4,1529.7,158.0116
16.3526,12,1136.57,1524.5,158.1049
16.4238,13,1161.46,1528.38,158.1103
16.6133,14,1149.0,1582.57,158.2716
16.4429,15,1166.5,1662.83,158.0784
16.0341,16,1313.58,1745.66,157.8658
15.9668,17,1323.83,1804.55,157.887
16.2776,18,1357.47,1781.24,157.8709
16.4842,19,1378.03,1824.58,157.9605
16.6717,20,1421.57,1818.21,157.8276
16.482,21,1455.48,1897.48,157.8837
16.6496,22,1381.67,1899.63,157.977
16.6031,23,1472.74,1912.63,157.824
16.5238,24,1534.3,1929.96,157.6843
16.4661,25,1524.05,1947.7,157.6341
16.6747,26,1559.33,1932.68,157.9048
16.7215,27,1612.69,1985.47,157.633
16.5182,28,1610.21,1968.7,157.6347
16.1506,29,1585.77,1930.1,157.4847
16.9144,30,1624.43,1999.47,157.7106
16.7852,31,1620.17,1947.2,157.7101
16.3809,32,1615.84,1950.02,157.5322
16.4358,33,1655.0,2003.43,157.3823
16.435,34,1656.89,2048.57,157.4794
16.8594,35,1679.83,1993.8,157.3546
16.5077,36,1710.92,2108.4,157.2228
16.4248,37,1704.31,2053.62,157.2924
16.2542,38,1615.31,1909.47,157.3643
16.6399,39,1720.94,1994.22,157.4341
16.28,40,1707.4,2053.68,157.0556
16.148,41,1677.69,1991.28,157.2388
