Itration,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return
0,12.0442,158.6458,-175.96,-47.54
1,11.9457,158.4294,-80.79,14.71
2,11.887,158.1055,59.57,431.03
3,12.148,157.82,214.31,847.68
4,12.5107,157.6401,431.93,1044.53
5,13.3265,157.8153,524.96,977.48
6,13.5356,157.6495,608.9,729.49
7,14.3461,157.9697,733.86,1084.23
8,15.1144,157.7842,831.62,1163.82
9,14.7757,157.7444,904.64,1003.8
10,15.7508,157.855,1007.87,1387.99
11,16.6097,157.9635,1156.05,1589.84
12,16.4651,157.9788,1143.54,1533.0
13,16.2806,157.6517,1179.28,1591.53
14,16.8009,157.9131,1242.37,1624.35
15,16.6708,157.8547,1278.32,1693.06
16,16.5507,157.8728,1315.11,1761.77
17,16.6391,157.767,1334.72,1776.04
18,16.6621,157.7758,1354.22,1829.77
19,16.8022,157.6704,1410.73,1827.46
20,16.5383,157.6873,1416.0,1851.67
21,16.3537,157.6399,1432.1,1824.06
22,16.3963,157.6561,1474.48,1875.53
23,16.2571,157.7195,1494.8,1837.96
24,16.2784,157.597,1500.53,1889.67
25,16.727,157.7012,1501.21,1932.94
26,16.4805,157.6353,1538.57,1960.79
27,16.8093,157.694,1542.55,1930.09
28,16.0438,157.4455,1511.0,1853.57
29,16.2844,157.6518,1525.15,1920.96
30,16.145,157.5465,1561.39,1966.68
31,16.6934,157.5544,1604.79,1964.58
32,16.906,157.5654,1639.12,1985.97
33,16.3122,157.4023,1588.1,1915.09
34,16.1903,157.4566,1594.57,1948.41
35,16.023,157.4316,1578.88,1965.44
36,16.2619,157.3233,1633.9,1989.5
37,16.037,157.4421,1630.02,1959.68
38,16.4818,157.2843,1666.3,2060.17
39,16.2645,157.5443,1632.63,2009.2
40,16.3923,157.2875,1688.47,2063.57
41,16.167,157.1954,1654.87,2021.49
42,16.7723,157.4454,1682.48,2013.1
43,16.3323,157.2635,1675.72,1992.04
44,16.5792,157.4289,1714.73,2003.75
45,16.2118,157.3172,1646.15,1940.65
46,16.5437,157.3647,1685.89,2074.25
47,16.2294,157.2893,1683.01,2039.4
48,16.2093,157.232,1693.75,2036.29
49,16.2243,157.3279,1630.72,1956.86
50,15.9036,157.035,1681.82,2080.6
51,16.2822,157.1919,1698.39,2009.45
52,15.8199,157.1017,1689.99,2056.63
53,16.015,157.0446,1745.68,2104.35
54,16.1358,157.023,1703.08,2066.51
55,15.9129,157.0042,1712.28,2068.97
56,16.2302,156.9171,1736.99,2090.84
57,16.4406,157.2595,1723.36,2092.24
58,15.8287,157.1229,1689.7,2065.38
59,15.9928,157.038,1735.67,2072.52
60,16.1572,156.9325,1736.81,2102.32
61,16.2046,156.9174,1764.0,2135.53
62,15.9486,156.9696,1748.17,2072.52
63,15.8708,156.706,1730.54,2119.28
64,16.0361,156.9657,1758.78,2089.4
65,16.0513,157.1682,1763.36,2099.91
66,15.9702,157.0148,1755.39,2067.05
67,16.0433,156.9693,1754.24,2052.84
68,15.9237,156.8842,1728.3,2077.39
69,15.7741,156.795,1750.05,2102.97
70,15.4859,156.7958,1718.49,2068.66
71,15.2634,156.7764,1731.36,2026.1
72,16.0256,156.7682,1792.64,2148.9
73,15.7565,157.0024,1740.13,2040.49
74,15.8998,156.9095,1775.14,2139.45
75,15.4984,156.8445,1728.42,2079.6
76,15.7644,156.7955,1760.19,2073.01
77,15.7406,156.8679,1752.66,2053.0
78,15.5287,156.9678,1758.52,2078.81
79,15.6811,157.0802,1783.24,2136.9
80,15.5694,157.0734,1775.15,2103.41
81,15.8132,156.8837,1797.47,2150.64
82,15.7317,156.8545,1794.15,2084.08
83,15.5587,156.7737,1761.77,2074.26
84,15.5918,156.7937,1791.15,2098.47
85,15.4639,156.775,1783.95,2122.89
86,15.5911,156.6816,1812.07,2114.66
87,15.7311,156.8463,1794.24,2132.16
88,15.7377,156.7853,1793.96,2158.69
89,16.0201,156.7638,1797.58,2141.02
90,15.6096,156.7455,1798.86,2126.93
91,15.7357,156.7109,1790.32,2126.01
92,15.6289,156.9447,1792.22,2132.14
93,15.7373,156.942,1799.21,2119.93
94,15.6515,156.9693,1812.84,2122.69
95,15.2562,156.7404,1760.24,2107.86
96,15.5725,156.997,1796.86,2093.5
97,15.3304,156.7513,1774.4,2103.91
98,15.5459,156.83,1820.6,2149.24
99,15.8218,156.7575,1857.75,2193.82
100,15.2977,156.7436,1799.15,2149.69
101,15.3885,156.8236,1795.95,2107.98
102,15.6608,156.7403,1827.01,2182.49
103,15.4717,156.8573,1791.29,2112.73
104,15.4321,156.7451,1826.6,2140.0
105,15.8351,156.8107,1846.93,2195.54
106,15.4299,156.6895,1777.65,2060.31
107,15.5955,156.789,1820.79,2178.13
108,15.2925,156.6994,1817.98,2138.46
109,15.9005,156.8109,1855.49,2190.38
110,15.5699,156.6545,1832.38,2219.87
111,15.7301,156.6075,1845.61,2206.49
112,15.6275,156.5422,1833.0,2160.43
113,15.653,156.8043,1795.97,2155.69
114,15.4619,156.6623,1800.84,2090.35
115,15.4961,156.8099,1834.77,2081.76
116,15.7731,156.7344,1862.67,2202.73
117,15.3868,156.8565,1843.3,2174.05
118,15.4811,156.8162,1825.63,2139.39
119,15.5686,156.7684,1869.94,2197.82
120,15.2773,156.8465,1841.26,2165.16
121,15.6328,156.8513,1834.86,2129.85
122,15.562,156.7893,1843.5,2182.43
123,15.5402,156.6701,1830.22,2139.62
124,15.5297,156.7675,1863.31,2181.62
125,15.6244,156.8417,1852.75,2213.7
126,15.4111,156.6253,1859.21,2195.28
127,15.1621,156.6517,1810.79,2163.45
128,15.2768,156.802,1824.66,2162.15
129,15.4014,156.8009,1848.09,2192.65
130,15.39,156.7777,1845.56,2133.15
131,15.3931,156.7588,1833.62,2144.61
132,15.4846,156.4486,1868.51,2202.8
133,15.4737,156.8066,1855.02,2217.32
134,15.3979,156.8627,1861.99,2162.07
135,15.6336,156.8702,1822.16,2133.19
136,15.3224,156.6934,1840.6,2183.0
137,15.2327,156.6447,1807.66,2145.85
138,15.3489,156.8194,1849.97,2195.96
139,15.5101,156.8607,1869.92,2211.1
140,15.4245,156.709,1872.03,2227.45
141,15.2178,156.7599,1847.57,2201.11
