Running Forward KL,Real Sto Return,Itration,Running Reverse KL,Real Det Return
158.4445,-194.0,0,11.529,-17.43
158.5499,-93.21,1,11.7246,-41.86
158.1467,61.46,2,11.6118,119.16
158.1245,187.87,3,12.0888,-0.35
157.9878,306.54,4,12.6199,714.78
157.844,486.18,5,13.427,742.67
157.9245,638.83,6,13.9395,1057.48
157.8172,647.35,7,14.17,905.54
157.7461,804.57,8,14.3994,1157.71
157.8016,865.0,9,14.8794,1376.73
157.6416,1000.23,10,15.496,1439.76
157.6869,1059.19,11,15.9464,1494.14
157.7723,1092.54,12,15.8888,1551.01
