Running Forward KL,Real Sto Return,Running Update Time,Reward Loss,Itration,Running Env Steps,Running Reverse KL,Real Det Return
158.3916,-181.58,0,29.94301986694336,0,0,11.4055,-30.04
157.9747,-23.8,1,-0.2053380012512207,1,5000,11.2526,165.58
157.4681,124.4,2,-28.326152801513672,2,10000,10.9131,871.64
157.5014,284.46,3,-69.62779235839844,3,15000,11.2868,814.99
156.9191,860.13,4,-71.99400329589844,4,20000,10.7083,1465.07
156.6496,1333.69,5,-118.965087890625,5,25000,11.6441,1598.79
156.7007,1697.88,6,-131.53407287597656,6,30000,13.3417,2239.21
156.2224,2171.47,7,-149.8876190185547,7,35000,13.1165,2612.85
156.2402,2590.77,8,-179.1260223388672,8,40000,13.1918,3114.3
155.9761,3009.84,9,-236.1660614013672,9,45000,14.3354,3370.96
156.2331,3394.34,10,-270.4263000488281,10,50000,14.4961,3819.89
155.7002,3635.64,11,-306.0860900878906,11,55000,14.6876,4054.36
155.3369,4206.78,12,-310.9744567871094,12,60000,15.2153,4701.07
155.2766,4637.14,13,-338.38531494140625,13,65000,15.7986,5083.17
154.7625,4868.1,14,-355.8110656738281,14,70000,15.2358,5353.55
154.7924,5251.98,15,-361.17364501953125,15,75000,16.0553,5543.17
153.8124,5620.44,16,-361.8489074707031,16,80000,16.2237,5828.08
153.7162,5735.86,17,-418.2734680175781,17,85000,15.4175,6179.08
152.7438,5977.42,18,-408.645263671875,18,90000,14.9749,6336.79
152.1229,5750.34,19,-403.2372741699219,19,95000,15.6516,6702.0
151.8995,6193.55,20,-434.2837829589844,20,100000,15.4177,6861.79
151.8968,6566.14,21,-436.4760437011719,21,105000,16.0237,6970.56
151.9654,6496.14,22,-494.2848815917969,22,110000,15.3594,7263.73
151.4739,6616.24,23,-502.01690673828125,23,115000,15.3376,6704.66
150.6708,7052.64,24,-467.1034240722656,24,120000,15.9509,7730.86
150.8126,6975.47,25,-507.9864196777344,25,125000,15.764,7356.36
151.301,7174.23,26,-525.3596801757812,26,130000,16.9823,7556.09
150.4344,7233.73,27,-525.3836669921875,27,135000,16.0883,7851.92
150.5491,7443.66,28,-531.457763671875,28,140000,17.2453,8097.1
150.5493,7557.55,29,-550.9376220703125,29,145000,17.6224,8048.66
150.4142,7837.24,30,-587.6788940429688,30,150000,16.8286,8355.33
150.1575,7049.01,31,-584.9840698242188,31,155000,16.523,8445.74
150.0099,8004.02,32,-567.090576171875,32,160000,18.0134,8497.99
150.7615,7755.1,33,-615.0845947265625,33,165000,18.6436,8484.91
150.2903,8197.56,34,-615.0106811523438,34,170000,18.6586,8829.17
149.7635,8273.72,35,-615.4306640625,35,175000,17.75,8846.44
150.0704,8195.54,36,-659.9276123046875,36,180000,18.4876,8642.01
150.007,8376.3,37,-676.861328125,37,185000,18.4163,8745.95
149.7412,8358.87,38,-706.4578857421875,38,190000,18.3721,8707.35
149.1491,8636.24,39,-695.4680786132812,39,195000,18.5706,9024.65
148.9884,8364.45,40,-752.8845825195312,40,200000,16.8551,9056.19
149.0477,8819.87,41,-730.8111572265625,41,205000,18.8011,9292.4
148.955,8729.13,42,-752.234375,42,210000,17.8433,9221.68
148.6929,8550.35,43,-778.4295043945312,43,215000,17.7213,8878.29
149.0723,8976.4,44,-799.4663696289062,44,220000,19.3692,9447.2
148.8478,8941.4,45,-793.8197021484375,45,225000,19.475,9401.46
149.3423,8953.31,46,-860.7689208984375,46,230000,19.7548,9367.16
149.2557,9025.0,47,-860.1876831054688,47,235000,18.9467,9393.54
149.5154,9012.37,48,-888.6166381835938,48,240000,19.5357,9468.25
150.2242,8683.63,49,-954.82421875,49,245000,20.3329,8968.94
149.3407,8898.0,50,-948.0942993164062,50,250000,20.3254,9330.36
148.6869,9121.88,51,-929.1771240234375,51,255000,20.1586,9516.18
148.9286,9407.29,52,-918.6852416992188,52,260000,21.0457,9781.58
147.5459,9589.42,53,-900.4781494140625,53,265000,19.8965,10064.57
149.1644,9405.38,54,-959.972412109375,54,270000,20.9279,9781.93
148.6862,9769.6,55,-931.8251342773438,55,275000,20.9109,10155.49
148.0638,9388.14,56,-957.3240356445312,56,280000,19.8371,10375.91
149.534,9378.65,57,-1050.6402587890625,57,285000,21.5599,9701.15
148.04,9496.59,58,-1019.0501098632812,58,290000,19.1845,10029.19
148.0522,9638.39,59,-1046.1129150390625,59,295000,20.8675,9978.24
147.4798,8232.23,60,-1118.0213623046875,60,300000,16.9059,9104.46
148.3544,9680.93,61,-1087.4033203125,61,305000,19.3351,10339.19
147.7335,10031.69,62,-1047.837646484375,62,310000,20.1135,10646.1
148.3474,9915.18,63,-1087.40771484375,63,315000,21.0117,10414.19
148.164,9384.06,64,-1184.328125,64,320000,17.8079,10434.23
147.7513,9496.51,65,-1117.79541015625,65,325000,20.5159,10394.9
147.5807,10070.3,66,-1111.0648193359375,66,330000,20.9098,10500.53
147.7637,10012.0,67,-1186.9208984375,67,335000,20.6835,10518.63
148.2569,9757.2,68,-1220.7109375,68,340000,21.9619,9989.35
148.1854,7398.79,69,-1482.686279296875,69,345000,15.4954,5877.21
147.7248,8941.99,70,-1299.5631103515625,70,350000,19.6372,9343.04
148.0347,10044.44,71,-1235.6470947265625,71,355000,20.9658,10477.73
147.1166,9913.95,72,-1241.3099365234375,72,360000,19.8823,10442.47
147.6772,10048.3,73,-1275.160400390625,73,365000,21.3768,10481.16
147.7213,9896.1,74,-1296.212890625,74,370000,21.4652,10560.81
147.4101,10196.25,75,-1320.539306640625,75,375000,21.5136,10509.36
147.4375,10063.64,76,-1338.8775634765625,76,380000,21.4504,10465.58
147.2497,10296.45,77,-1337.852294921875,77,385000,21.3598,10642.26
147.6218,9920.35,78,-1354.110107421875,78,390000,20.7705,10757.75
147.5032,8039.46,79,-1681.31591796875,79,395000,15.2527,7660.52
147.164,10081.44,80,-1437.9603271484375,80,400000,21.4276,10524.1
146.7537,9632.08,81,-1467.5126953125,81,405000,18.5901,9904.56
147.3422,10047.71,82,-1569.7076416015625,82,410000,20.0796,10512.53
146.9682,10371.11,83,-1474.7919921875,83,415000,20.6892,10901.75
147.1677,10096.35,84,-1522.970458984375,84,420000,21.3209,10450.89
147.2988,10275.92,85,-1518.2374267578125,85,425000,21.9985,10648.65
147.317,10061.04,86,-1521.1656494140625,86,430000,20.8884,10802.04
147.0858,10237.71,87,-1534.608642578125,87,435000,20.3945,10589.91
146.2164,10287.98,88,-1533.5208740234375,88,440000,19.3719,10763.84
146.9927,10229.23,89,-1601.41845703125,89,445000,21.1668,10657.31
147.1018,10087.31,90,-1667.04052734375,90,450000,22.0011,10403.29
146.8192,10336.97,91,-1628.42138671875,91,455000,20.9768,10749.17
146.7927,10392.0,92,-1654.80517578125,92,460000,20.7118,10704.09
147.0287,10207.97,93,-1682.29150390625,93,465000,22.2841,10660.79
145.8458,10475.32,94,-1640.5784912109375,94,470000,20.8083,10901.24
146.5625,10392.83,95,-1706.1114501953125,95,475000,20.5069,10889.5
146.8368,10239.3,96,-1779.32958984375,96,480000,21.9212,10473.43
145.6637,10135.03,97,-1709.524658203125,97,485000,20.3284,11100.81
146.113,10060.47,98,-1813.198974609375,98,490000,18.8014,10819.25
146.3074,10341.42,99,-1796.078125,99,495000,20.6448,10759.51
146.2342,10619.17,100,-1762.2635498046875,100,500000,21.4705,11007.43
146.561,10687.26,101,-1767.6412353515625,101,505000,22.1494,10768.01
146.9833,9612.18,102,-1847.7564697265625,102,510000,20.9722,11003.21
146.4967,10093.15,103,-2029.0699462890625,103,515000,19.402,11079.71
146.0065,10549.05,104,-1839.2918701171875,104,520000,21.3361,10776.74
146.6651,10445.36,105,-1967.2030029296875,105,525000,19.4041,10822.14
145.459,10660.77,106,-1888.149169921875,106,530000,20.7795,11172.89
145.3622,10631.65,107,-1886.98583984375,107,535000,20.6205,11069.27
146.3116,10455.33,108,-1923.2431640625,108,540000,20.8636,10885.45
146.1368,9633.09,109,-1967.59033203125,109,545000,20.9501,11060.78
145.4834,10661.1,110,-1978.049072265625,110,550000,21.3733,11145.1
146.3591,10695.37,111,-1991.784912109375,111,555000,21.0951,11234.08
146.0173,10747.34,112,-2023.95458984375,112,560000,21.1701,11210.2
145.6145,10352.91,113,-2123.08935546875,113,565000,20.6834,11151.56
145.9745,10646.26,114,-2103.02490234375,114,570000,20.0484,11196.68
145.423,10220.09,115,-1996.9854736328125,115,575000,21.4199,11135.16
145.7762,10381.16,116,-2126.030029296875,116,580000,20.2184,10732.72
145.9604,10859.78,117,-2208.572265625,117,585000,20.0248,11246.07
145.167,10514.94,118,-2297.074951171875,118,590000,19.6749,11275.68
146.2097,10530.14,119,-2209.989013671875,119,595000,21.8336,10873.08
145.7239,10438.78,120,-2147.608154296875,120,600000,21.3356,11355.85
145.8468,10779.12,121,-2255.810546875,121,605000,21.0627,11238.94
145.3018,10330.59,122,-2199.48291015625,122,610000,21.0991,10919.07
145.9406,10658.56,123,-2223.053955078125,123,615000,21.2702,11168.25
146.2278,10113.34,124,-2356.90673828125,124,620000,22.0281,10428.29
145.3076,8106.67,125,-2419.515625,125,625000,17.9346,9808.36
145.8971,10480.06,126,-2357.70458984375,126,630000,21.1118,10934.15
145.3423,10255.31,127,-2507.647705078125,127,635000,19.4509,11148.17
