Real Sto Return,Reward Loss,Real Det Return,Running Update Time,Running Forward KL,Running Env Steps,Itration,Running Reverse KL
-211.85,21.493642807006836,-15.02,0,158.5364,0,0,11.5817
-107.06,-27.070432662963867,3.07,1,158.5616,5000,1,11.8991
110.71,-76.14925384521484,694.37,2,158.4219,10000,2,12.5459
428.81,-145.4486083984375,763.78,3,158.3571,15000,3,14.287
546.94,-181.34503173828125,918.58,4,158.1917,20000,4,14.619
584.64,-233.8268585205078,835.63,5,158.3763,25000,5,14.2491
643.55,-266.4356689453125,1022.24,6,157.9077,30000,6,14.4497
827.19,-301.4070739746094,1184.09,7,157.8739,35000,7,15.0878
928.01,-338.2630615234375,1344.49,8,157.982,40000,8,15.6141
1058.24,-354.4918212890625,1392.16,9,157.7096,45000,9,15.9472
1085.2,-396.9472351074219,1533.58,10,157.6281,50000,10,15.7859
1120.31,-431.45452880859375,1590.93,11,157.8799,55000,11,16.1463
1138.67,-462.5514221191406,1565.45,12,157.7551,60000,12,16.1991
1243.92,-512.3690185546875,1685.02,13,157.74,65000,13,16.5564
1204.66,-556.3012084960938,1655.9,14,157.924,70000,14,16.4866
1263.48,-594.8153076171875,1695.98,15,157.8547,75000,15,16.5186
1354.82,-642.83544921875,1817.47,16,157.4799,80000,16,16.6192
1340.9,-682.8446655273438,1778.89,17,157.7166,85000,17,16.3266
1340.44,-729.3668212890625,1790.16,18,157.7748,90000,18,16.56
1392.92,-764.9760131835938,1869.53,19,157.5381,95000,19,16.0424
1400.53,-814.9346313476562,1819.08,20,157.8206,100000,20,16.2152
1465.65,-854.6375732421875,1845.89,21,157.5614,105000,21,16.3499
1439.38,-894.8156127929688,1809.18,22,157.7734,110000,22,16.1512
1537.46,-927.8209228515625,1905.91,23,157.592,115000,23,16.5958
1481.77,-961.0526123046875,1874.09,24,157.7021,120000,24,16.3072
1516.4,-1011.0069580078125,1868.86,25,157.5637,125000,25,16.1713
1561.95,-1047.6832275390625,1952.16,26,157.5599,130000,26,16.1101
1524.39,-1089.3753662109375,1887.5,27,157.4741,135000,27,16.1733
1609.04,-1109.3258056640625,1966.01,28,157.4531,140000,28,16.3058
1588.93,-1160.7030029296875,1963.2,29,157.6092,145000,29,16.3568
1604.39,-1199.022216796875,1981.78,30,157.3606,150000,30,16.1654
1608.56,-1239.0926513671875,2032.59,31,157.5444,155000,31,16.5529
1631.33,-1263.6844482421875,1991.83,32,157.4396,160000,32,16.2504
1637.61,-1317.570068359375,1950.71,33,157.3919,165000,33,16.4029
