Running Update Time,Running Env Steps,Real Sto Return,Real Det Return,Reward Loss,Itration,Running Reverse KL,Running Forward KL
0,0,-129.08,145.34,-329.6575012207031,0,11.5637,158.3014
1,5000,70.86,591.71,-445.8216552734375,1,12.3595,158.1827
2,10000,70.19,-29.67,-456.23193359375,2,12.7158,158.5748
3,15000,470.94,60.63,-612.203125,3,14.1097,158.2322
4,20000,636.42,570.97,-694.9049682617188,4,14.242,157.9696
5,25000,571.86,692.57,-673.0048828125,5,13.9289,157.8365
6,30000,701.53,254.21,-697.77880859375,6,13.5689,157.7883
7,35000,755.96,786.03,-696.4969482421875,7,13.8072,157.7313
8,40000,601.83,15.94,-721.3795166015625,8,14.1291,158.0739
9,45000,-28.66,-246.96,-703.7841186523438,9,14.033,158.3663
10,50000,775.92,11.21,-817.1583251953125,10,15.4021,158.049
11,55000,995.27,1331.16,-904.62158203125,11,15.3555,157.8463
12,60000,1028.09,1160.94,-933.9857177734375,12,16.0478,158.1577
13,65000,1151.51,1557.33,-1013.6982421875,13,16.3785,157.7769
14,70000,1107.33,1378.68,-1018.06640625,14,16.1429,158.0551
15,75000,1115.1,1430.24,-1046.26123046875,15,16.329,158.1953
16,80000,1175.8,1384.4,-1092.892333984375,16,16.5068,158.0138
17,85000,1218.38,1539.59,-1137.81689453125,17,16.4931,157.9184
18,90000,1242.43,1654.0,-1188.3795166015625,18,16.3979,157.7705
19,95000,1270.06,1703.86,-1235.0218505859375,19,16.3233,157.5766
20,100000,1322.67,1761.32,-1269.2379150390625,20,16.4352,157.6396
21,105000,1323.51,1700.28,-1268.9378662109375,21,16.2885,157.6406
22,110000,1363.57,1745.54,-1355.670166015625,22,16.2786,157.7248
23,115000,1332.86,1761.76,-1366.728271484375,23,16.17,157.7321
24,120000,1425.68,1715.06,-1425.6553955078125,24,16.3389,157.6912
25,125000,1479.74,1856.32,-1464.46435546875,25,16.4631,157.7819
26,130000,1449.2,1862.7,-1492.313720703125,26,16.2573,157.644
27,135000,1503.29,1882.85,-1520.091796875,27,16.2622,157.4578
28,140000,1475.06,1869.19,-1578.969482421875,28,16.3396,157.5542
29,145000,1502.33,1846.3,-1608.300048828125,29,16.8475,157.8214
30,150000,1544.63,1931.49,-1657.4764404296875,30,16.4203,157.59
31,155000,1567.68,1911.62,-1672.3597412109375,31,16.6271,157.4845
32,160000,1533.13,1880.19,-1698.9466552734375,32,15.9552,157.7674
33,165000,1584.74,1941.86,-1763.845458984375,33,16.5359,157.5824
34,170000,1549.28,1921.41,-1779.6392822265625,34,16.1195,157.5455
35,175000,1567.18,1933.49,-1815.2108154296875,35,16.4069,157.4653
36,180000,1601.25,1999.72,-1859.799072265625,36,16.3843,157.4945
37,185000,1624.1,2016.0,-1920.7314453125,37,16.5366,157.3991
38,190000,1605.78,1975.23,-1937.585205078125,38,16.3402,157.6403
39,195000,1611.87,1965.81,-1975.3973388671875,39,16.3276,157.4211
40,200000,1613.16,1932.61,-2003.398681640625,40,16.035,157.4921
41,205000,1617.67,1909.17,-2056.46044921875,41,16.1442,157.5305
42,210000,1648.9,1986.82,-2110.197265625,42,16.4169,157.527
43,215000,1613.5,1939.33,-2132.8017578125,43,15.9527,157.4576
44,220000,1702.1,2056.06,-2184.44775390625,44,16.4015,157.3737
45,225000,1650.69,1963.11,-2216.50341796875,45,16.1596,157.4651
46,230000,1523.55,2071.58,-2260.88525390625,46,16.0452,157.2811
47,235000,1641.7,1930.03,-2285.030029296875,47,15.9041,157.1916
48,240000,1700.14,2053.21,-2316.195556640625,48,16.2672,157.3884
49,245000,1695.98,2049.01,-2377.151611328125,49,16.3624,157.3036
50,250000,1681.4,2055.36,-2430.845947265625,50,16.2795,157.3641
51,255000,1672.3,1999.85,-2430.071044921875,51,16.0535,157.2317
52,260000,1679.92,2078.13,-2509.051513671875,52,16.1011,157.3395
53,265000,1680.23,2063.85,-2540.558837890625,53,16.0173,157.1059
54,270000,1686.55,2024.29,-2558.129150390625,54,16.0035,157.0372
55,275000,1681.44,2049.85,-2609.6455078125,55,15.8952,156.9453
56,280000,1644.2,1944.26,-2637.587646484375,56,15.7619,157.2007
57,285000,1731.99,2083.38,-2693.171142578125,57,16.4825,157.2336
58,290000,1692.09,2053.98,-2734.1962890625,58,16.009,157.1813
59,295000,1684.5,2025.83,-2766.865234375,59,16.1203,157.2462
60,300000,1745.94,2120.22,-2818.903564453125,60,16.1736,156.976
61,305000,1694.1,2049.18,-2873.5830078125,61,16.153,157.2325
62,310000,1697.66,2036.78,-2905.609619140625,62,16.0685,157.0377
63,315000,1718.82,2073.47,-2950.80712890625,63,16.1992,157.129
64,320000,1693.82,2049.26,-2978.3173828125,64,15.972,157.1428
65,325000,1726.04,2119.85,-3033.61083984375,65,16.2919,157.1854
66,330000,1779.88,2132.31,-3078.717041015625,66,16.3748,157.1454
67,335000,1728.94,2132.78,-3132.319091796875,67,15.8521,156.9434
68,340000,1698.5,2045.92,-3150.03564453125,68,15.9424,157.0813
69,345000,1740.8,2072.39,-3211.9619140625,69,16.1429,157.1784
70,350000,1738.15,2079.85,-3236.6298828125,70,16.108,157.3281
71,355000,1762.26,2120.8,-3291.41064453125,71,16.1024,157.0366
72,360000,1751.8,2105.71,-3325.820556640625,72,15.9695,157.0608
73,365000,1748.35,2074.14,-3377.744140625,73,15.8571,157.1043
74,370000,1744.71,2108.1,-3420.434326171875,74,15.8544,157.0477
75,375000,1712.62,2101.23,-3423.3857421875,75,15.8866,157.1317
76,380000,1755.17,2086.34,-3511.72705078125,76,15.6373,156.9374
77,385000,1737.11,2059.49,-3547.97705078125,77,15.8925,157.2214
78,390000,1765.39,2102.85,-3610.96826171875,78,16.1977,157.2596
79,395000,1707.5,2043.0,-3626.51513671875,79,15.6231,157.1201
80,400000,1760.84,2109.41,-3678.6220703125,80,15.8771,156.8645
81,405000,1791.75,2155.09,-3731.578125,81,15.8164,156.9246
82,410000,1758.38,2061.83,-3773.36865234375,82,15.7135,157.0462
83,415000,1717.3,2089.07,-3819.390869140625,83,15.893,157.1154
84,420000,1763.42,2111.77,-3894.5419921875,84,16.0148,156.8491
85,425000,1737.12,2051.67,-3887.584228515625,85,15.6777,156.962
86,430000,1759.9,2128.6,-3942.434814453125,86,16.0066,157.109
87,435000,1757.84,2151.98,-4022.8876953125,87,15.8486,156.9104
88,440000,1772.82,2118.31,-4044.154052734375,88,16.0297,156.9452
89,445000,1764.99,2115.89,-4111.27685546875,89,16.0243,156.9525
90,450000,1842.3,2175.46,-4178.72705078125,90,16.4219,156.8775
91,455000,1774.56,2129.21,-4197.3203125,91,15.8415,156.8587
92,460000,1820.55,2161.67,-4245.41943359375,92,15.9175,156.8721
93,465000,1766.6,2080.56,-4286.419921875,93,15.7556,156.8683
94,470000,1792.56,2149.04,-4336.7373046875,94,16.3037,157.1164
95,475000,1783.94,2174.86,-4395.9208984375,95,15.8806,156.8544
96,480000,1765.32,2133.99,-4427.408203125,96,15.847,156.8664
