Real Det Return,Running Forward KL,Itration,Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps,Real Sto Return
-2.34,158.5812,0,0,37.323326110839844,11.5549,0,-198.36
-17.71,158.9279,1,1,-46.00632095336914,13.9228,5000,-9.65
389.03,158.3858,2,2,-15.312671661376953,12.0703,10000,141.83
1004.78,158.038,3,3,-128.33668518066406,12.5424,15000,438.85
1713.93,157.5825,4,4,-199.4487762451172,12.8868,20000,1002.13
2488.27,157.2001,5,5,-293.4006042480469,13.8857,25000,1628.99
3031.88,157.3907,6,6,-364.86358642578125,15.7589,30000,2090.68
3311.46,157.3012,7,7,-394.1913146972656,16.4599,35000,2717.2
3510.78,157.2736,8,8,-478.7899169921875,17.9781,40000,3094.4
4016.59,157.2545,9,9,-537.7506103515625,18.9428,45000,3508.93
4084.79,157.0215,10,10,-575.9592895507812,19.1793,50000,3510.48
4252.79,156.9188,11,11,-616.311767578125,19.9675,55000,3648.41
4308.69,156.9429,12,12,-641.8250732421875,19.0538,60000,3845.31
4483.62,156.8811,13,13,-664.9884033203125,20.586,65000,3817.5
4646.57,156.4738,14,14,-691.61962890625,19.0422,70000,4192.99
4906.28,156.2004,15,15,-715.1100463867188,17.96,75000,3646.33
4822.07,156.4543,16,16,-796.2913818359375,20.0379,80000,4448.77
4734.05,156.4114,17,17,-822.9605712890625,19.4161,85000,4235.42
4610.54,156.3384,18,18,-888.9424438476562,20.5064,90000,4433.4
5039.77,156.4795,19,19,-917.8408203125,20.4388,95000,4595.68
5008.13,156.37,20,20,-928.9954833984375,19.3489,100000,4657.73
5276.16,156.2454,21,21,-950.4453125,19.0953,105000,4817.4
5195.18,156.1153,22,22,-1004.6597900390625,20.0348,110000,4847.37
