Running Env Steps,Real Det Return,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Reverse KL,Running Update Time
0,-39.48,158.2641,-178.57,0,-297.00543212890625,11.2828,0
5000,-30.39,158.2021,-85.54,1,-338.5698547363281,11.5196,1
10000,-48.49,158.153,17.35,2,-361.0543212890625,11.6171,2
15000,291.33,157.8668,188.94,3,-352.10546875,11.6079,3
20000,695.91,157.7586,251.28,4,-378.6317443847656,11.7115,4
25000,793.77,157.7106,373.46,5,-400.3349609375,12.3486,5
30000,885.84,157.7584,485.1,6,-433.33856201171875,12.6762,6
35000,976.71,157.8962,620.35,7,-471.40869140625,13.6485,7
40000,1145.82,157.966,722.57,8,-529.7549438476562,14.0715,8
45000,1134.49,157.9742,841.89,9,-569.9586791992188,14.4733,9
50000,1358.79,158.1746,955.79,10,-581.9618530273438,15.6667,10
55000,1535.44,157.9298,1089.9,11,-597.7335205078125,16.2037,11
60000,1576.09,157.6991,1145.82,12,-649.0656127929688,16.271,12
65000,1587.99,157.726,1192.7,13,-675.5418090820312,16.322,13
70000,1622.96,157.7635,1225.14,14,-702.9755249023438,16.4747,14
75000,1650.38,157.7371,1233.75,15,-744.6316528320312,16.1711,15
80000,1667.37,157.8212,1270.01,16,-770.7799682617188,15.9412,16
85000,1705.76,157.6749,1320.94,17,-807.1864624023438,16.1345,17
90000,1741.17,157.7566,1318.22,18,-841.0189208984375,16.1563,18
95000,1771.83,157.9242,1381.5,19,-866.1204223632812,16.3603,19
100000,1787.05,157.8949,1382.66,20,-898.4320068359375,16.5048,20
105000,1770.16,157.7093,1407.98,21,-935.193603515625,16.0743,21
110000,1819.29,157.4456,1463.0,22,-970.6099243164062,16.0486,22
