Running Env Steps,Running Forward KL,Itration,Running Update Time,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL
0,158.2898,0,0,203.17636108398438,-208.91,-28.9,11.2432
5000,158.3242,1,1,186.2265167236328,-28.64,6.36,12.033
10000,157.9044,2,2,157.9674530029297,65.93,525.86,11.3248
15000,157.8475,3,3,107.78826904296875,198.46,799.7,11.944
20000,157.8938,4,4,58.47026443481445,388.92,912.72,12.9023
25000,157.7848,5,5,14.357834815979004,537.44,992.79,13.4602
30000,157.7992,6,6,-30.628114700317383,643.7,1184.66,13.9875
35000,157.6488,7,7,-51.344966888427734,664.0,980.82,13.9481
40000,157.9353,8,8,-83.81329345703125,802.7,1248.38,14.8382
45000,157.6214,9,9,-100.18733215332031,883.92,1366.2,14.806
50000,157.7463,10,10,-127.65909576416016,995.96,1314.48,15.7268
55000,157.6429,11,11,-149.48757934570312,1070.95,1516.44,15.815
60000,157.6042,12,12,-186.79254150390625,1174.45,1569.73,16.3612
65000,157.7942,13,13,-200.70669555664062,1230.3,1642.1,16.5642
70000,157.5065,14,14,-239.3677978515625,1283.37,1713.47,16.2801
75000,157.7745,15,15,-271.5766296386719,1331.6,1794.42,16.8655
80000,157.6653,16,16,-285.5071105957031,1341.41,1736.89,16.9545
85000,157.7408,17,17,-314.513427734375,1400.59,1818.66,16.4458
90000,157.4665,18,18,-338.1783752441406,1439.99,1841.65,16.8429
95000,157.4437,19,19,-368.065185546875,1482.72,1896.14,16.4305
100000,157.6988,20,20,-423.64508056640625,1489.09,1872.38,16.6925
105000,157.5783,21,21,-436.76947021484375,1533.57,1908.46,16.6136
110000,157.3789,22,22,-461.9747619628906,1590.6,1917.91,16.5789
115000,157.8197,23,23,-498.1247863769531,1531.84,1907.87,16.6995
120000,157.6339,24,24,-522.6067504882812,1565.93,1934.56,16.4036
125000,157.4737,25,25,-558.3611450195312,1588.73,1994.65,16.6966
130000,157.5857,26,26,-596.5244750976562,1625.69,2007.6,16.9734
135000,157.3606,27,27,-633.80712890625,1620.14,2012.67,16.7358
140000,157.3662,28,28,-658.5719604492188,1637.92,2013.42,16.6368
145000,157.4891,29,29,-684.7383422851562,1634.68,2020.61,16.6292
150000,157.415,30,30,-722.7442016601562,1671.88,2031.31,16.339
155000,157.4422,31,31,-747.6790771484375,1619.83,1929.81,16.211
160000,157.2953,32,32,-784.0648193359375,1652.48,2004.85,16.4193
165000,157.4821,33,33,-808.641357421875,1703.64,2083.0,16.7922
170000,157.1473,34,34,-837.4490966796875,1684.32,2028.83,16.3553
175000,157.4152,35,35,-867.997314453125,1685.17,2062.03,16.4244
180000,157.1737,36,36,-895.3788452148438,1690.41,2070.75,16.2185
185000,157.3457,37,37,-947.7484130859375,1680.7,2081.69,16.1001
190000,157.3162,38,38,-970.0023193359375,1663.6,2019.62,16.1356
195000,157.2222,39,39,-990.0960083007812,1719.82,2091.41,16.2178
200000,157.3699,40,40,-1032.3995361328125,1705.86,2064.21,16.1331
205000,157.2184,41,41,-1067.8248291015625,1697.38,2067.48,16.2472
210000,156.9735,42,42,-1083.6419677734375,1725.22,2116.28,16.748
215000,157.0241,43,43,-1127.9921875,1640.55,1903.96,15.3984
220000,157.0583,44,44,-1147.560302734375,1729.35,2068.57,16.1602
225000,157.1232,45,45,-1179.5374755859375,1670.76,1973.59,15.7051
230000,157.1435,46,46,-1216.1787109375,1708.29,2057.11,15.8427
235000,157.24,47,47,-1243.8939208984375,1678.25,2066.68,15.7809
240000,157.1715,48,48,-1278.9566650390625,1705.45,2042.38,15.9277
245000,157.053,49,49,-1304.4365234375,1758.88,2080.41,15.8761
250000,157.1878,50,50,-1338.401611328125,1763.1,2106.84,16.4432
255000,157.1381,51,51,-1365.174072265625,1741.03,2096.46,16.2778
260000,156.853,52,52,-1403.2813720703125,1757.23,2118.67,15.9691
265000,156.9732,53,53,-1431.320068359375,1708.52,2021.35,15.829
