Real Det Return,Itration,Reward Loss,Real Sto Return,Running Update Time,Running Env Steps,Running Forward KL,Running Reverse KL
-6.3,0,-16.270488739013672,-197.36,0,0,158.481,11.8288
-4.51,1,-50.32083511352539,-100.97,1,5000,158.4855,11.6657
62.19,2,-85.60636901855469,27.45,2,10000,158.4099,11.9949
592.63,3,-72.04389953613281,180.92,3,15000,158.4085,12.4856
708.17,4,-74.94276428222656,349.9,4,20000,157.8777,12.9747
701.02,5,-111.85342407226562,396.76,5,25000,157.9286,12.9366
825.99,6,-92.98151397705078,617.31,6,30000,157.9938,14.182
947.96,7,-146.15321350097656,686.47,7,35000,158.1656,14.476
1209.96,8,-165.3106231689453,839.58,8,40000,157.9708,15.1143
1346.44,9,-203.57620239257812,977.43,9,45000,157.8494,15.4904
1544.85,10,-192.1845703125,1151.58,10,50000,157.7127,16.7529
1530.99,11,-247.873779296875,1099.04,11,55000,157.6888,16.1065
1554.96,12,-290.4978942871094,1154.51,12,60000,157.6796,16.1588
1625.36,13,-353.5630798339844,1128.53,13,65000,157.4453,15.8835
1754.71,14,-344.83380126953125,1289.05,14,70000,157.5791,16.531
1731.58,15,-390.46435546875,1276.33,15,75000,157.7902,16.4985
1730.41,16,-432.5694580078125,1332.55,16,80000,157.6717,16.4363
1772.43,17,-430.0443420410156,1224.73,17,85000,157.5061,16.6695
1758.86,18,-494.2311096191406,1360.65,18,90000,157.7495,16.4017
1806.39,19,-534.7075805664062,1408.01,19,95000,157.8142,16.4617
1869.57,20,-554.3941040039062,1431.39,20,100000,157.4196,16.2287
1839.39,21,-588.5182495117188,1480.63,21,105000,157.7832,16.5225
1866.86,22,-639.7196655273438,1489.42,22,110000,157.789,16.3487
1893.2,23,-658.8905029296875,1486.98,23,115000,157.5486,16.3314
1801.43,24,-722.7649536132812,1494.72,24,120000,157.5711,15.9616
1961.47,25,-719.867919921875,1543.07,25,125000,157.4609,16.399
1962.4,26,-767.8089599609375,1576.74,26,130000,157.4284,16.2739
1928.51,27,-799.7412109375,1625.6,27,135000,157.723,16.6936
1928.84,28,-871.0272827148438,1561.04,28,140000,157.579,16.2475
1929.0,29,-907.7802124023438,1575.7,29,145000,157.4725,16.1594
1865.28,30,-943.3734130859375,1569.13,30,150000,157.5193,16.1477
1973.93,31,-965.1209716796875,1593.61,31,155000,157.4531,16.1498
1934.71,32,-992.6595458984375,1619.5,32,160000,157.1314,15.8591
1980.19,33,-1021.4984130859375,1656.04,33,165000,157.3825,16.6114
1972.89,34,-1061.1453857421875,1645.0,34,170000,157.5175,16.5294
2015.56,35,-1085.2724609375,1665.95,35,175000,157.2924,16.1478
1939.62,36,-1141.8707275390625,1631.06,36,180000,157.2548,16.2604
2012.44,37,-1153.800048828125,1610.65,37,185000,157.2858,16.2061
1998.24,38,-1199.4359130859375,1652.71,38,190000,157.2377,15.9304
2044.55,39,-1206.911376953125,1684.99,39,195000,157.0833,15.9659
2020.46,40,-1285.735107421875,1657.56,40,200000,157.2324,16.1316
1969.95,41,-1294.377685546875,1649.32,41,205000,156.9451,15.6137
2013.69,42,-1304.725830078125,1673.21,42,210000,157.1299,15.9902
1968.53,43,-1332.0692138671875,1648.1,43,215000,156.9375,15.9007
2048.46,44,-1391.643798828125,1678.79,44,220000,157.0945,15.9609
