Running Forward KL,Running Reverse KL,Running Update Time,Running Env Steps,Itration,Real Det Return,Reward Loss,Real Sto Return
158.4435,11.7459,0,0,0,-57.22,-1388.0615234375,-167.64
158.4616,12.0344,1,5000,1,5.69,-1686.8634033203125,-58.26
158.3391,12.6609,2,10000,2,641.86,-2143.006591796875,134.39
158.3437,14.0805,3,15000,3,840.67,-2946.225830078125,399.83
158.2935,14.8662,4,20000,4,985.48,-3212.177490234375,530.73
157.8477,14.8089,5,25000,5,1122.39,-3358.267578125,708.15
157.9218,14.7618,6,30000,6,1194.43,-3418.01611328125,764.33
157.6862,15.0371,7,35000,7,1259.59,-3552.677001953125,851.84
157.6958,15.3228,8,40000,8,1337.67,-3837.978759765625,903.3
157.9438,15.5871,9,45000,9,1382.76,-3939.27783203125,1008.24
157.9587,16.1508,10,50000,10,1436.82,-4273.42138671875,1076.38
157.6484,16.1231,11,55000,11,1559.34,-4525.599609375,1164.57
157.6794,16.2623,12,60000,12,1617.82,-4714.58935546875,1183.04
157.6789,15.9329,13,65000,13,1406.64,-4908.482421875,1215.26
157.8309,16.3762,14,70000,14,1660.18,-5073.79248046875,1269.86
157.6651,16.2402,15,75000,15,1740.58,-5277.1396484375,1332.06
157.4874,16.3867,16,80000,16,1765.81,-5493.9365234375,1356.11
157.8733,16.1558,17,85000,17,1781.43,-5651.02734375,1374.37
157.8039,16.644,18,90000,18,1819.95,-5765.583984375,1448.52
157.7887,16.387,19,95000,19,1817.72,-5903.83203125,1478.29
157.6909,16.7932,20,100000,20,1879.98,-6273.40478515625,1521.41
157.7684,16.6513,21,105000,21,1884.7,-6289.26123046875,1551.79
157.6847,16.8281,22,110000,22,1904.51,-6477.94140625,1521.26
157.6881,16.7556,23,115000,23,1906.06,-6544.158203125,1540.8
157.746,16.4909,24,120000,24,1851.42,-6866.83349609375,1532.59
157.7768,16.7666,25,125000,25,1961.68,-7045.0625,1572.77
157.8745,16.8446,26,130000,26,1937.0,-7192.3798828125,1601.21
157.694,16.7595,27,135000,27,1945.97,-7493.74853515625,1602.84
157.5269,17.1543,28,140000,28,1976.73,-7664.4140625,1630.86
157.7851,16.906,29,145000,29,1964.14,-7904.0966796875,1621.54
157.5984,16.4151,30,150000,30,1942.66,-7993.2041015625,1628.47
157.2967,16.6388,31,155000,31,1993.64,-8223.392578125,1646.66
157.4688,16.3761,32,160000,32,1941.34,-8345.359375,1627.71
157.5137,16.2355,33,165000,33,1944.48,-8632.6982421875,1609.68
157.3562,16.3917,34,170000,34,1944.92,-8725.158203125,1659.85
157.6379,16.5162,35,175000,35,1969.33,-9004.9599609375,1625.39
157.6356,16.4488,36,180000,36,1985.19,-9160.205078125,1641.79
157.5953,16.8711,37,185000,37,2014.89,-9366.458984375,1669.72
157.4504,16.3296,38,190000,38,1991.64,-9565.8720703125,1677.7
157.3636,16.1188,39,195000,39,1963.77,-9676.384765625,1670.16
157.4101,16.2707,40,200000,40,2059.24,-9997.4765625,1689.4
157.4701,16.3677,41,205000,41,2027.84,-10169.1572265625,1702.87
157.3189,16.5903,42,210000,42,2031.95,-10384.888671875,1731.82
157.1848,16.2409,43,215000,43,2045.85,-10617.626953125,1697.16
157.0253,16.2966,44,220000,44,2090.22,-10734.1650390625,1709.16
157.476,16.2575,45,225000,45,1991.82,-10939.2119140625,1651.43
157.2125,15.7778,46,230000,46,2027.83,-11147.4345703125,1685.88
157.443,16.6739,47,235000,47,2106.43,-11343.6220703125,1760.43
157.336,16.1293,48,240000,48,1969.78,-11451.6142578125,1687.41
157.3743,16.2561,49,245000,49,2041.87,-11756.427734375,1717.69
157.1188,16.2304,50,250000,50,2054.79,-11970.8564453125,1700.64
157.2836,16.303,51,255000,51,2086.14,-12259.7958984375,1718.13
157.2697,15.8777,52,260000,52,1980.25,-12316.322265625,1703.48
157.1826,15.7788,53,265000,53,1968.54,-12518.9169921875,1694.87
157.2014,16.2442,54,270000,54,2045.72,-12828.705078125,1737.42
156.9013,15.6005,55,275000,55,2023.3,-12888.5283203125,1700.69
157.0044,15.8825,56,280000,56,2044.64,-13157.7744140625,1736.8
157.2467,16.0778,57,285000,57,2070.68,-13302.7607421875,1733.36
157.2069,15.8812,58,290000,58,2019.14,-13609.90234375,1696.5
157.2144,16.0049,59,295000,59,2043.16,-13707.736328125,1722.6
157.0182,16.2616,60,300000,60,2097.22,-14032.646484375,1762.24
156.9167,15.7786,61,305000,61,2024.63,-14170.052734375,1738.73
156.9847,16.1683,62,310000,62,2097.89,-14447.1904296875,1774.12
157.07,15.9215,63,315000,63,2089.83,-14642.171875,1745.7
157.1915,16.2039,64,320000,64,2079.03,-14786.708984375,1747.5
157.0157,16.046,65,325000,65,2133.46,-15204.4296875,1782.33
156.8688,15.685,66,330000,66,2051.17,-15274.119140625,1728.72
156.8936,15.9225,67,335000,67,2127.19,-15446.40234375,1798.07
157.0845,16.0275,68,340000,68,2057.22,-15691.4580078125,1751.57
157.0617,15.7301,69,345000,69,2039.94,-15854.57421875,1730.16
156.9281,16.0727,70,350000,70,2147.64,-16147.638671875,1804.07
157.0882,16.0046,71,355000,71,2076.76,-16291.619140625,1782.25
157.0458,15.8178,72,360000,72,2092.23,-16548.8203125,1765.32
157.0202,15.7586,73,365000,73,2040.04,-16707.466796875,1732.78
157.0195,15.6822,74,370000,74,2070.43,-16957.328125,1776.28
157.0182,15.7002,75,375000,75,2052.2,-17188.46875,1757.7
156.8301,15.7707,76,380000,76,2063.75,-17313.060546875,1764.57
156.9054,15.602,77,385000,77,2106.51,-17542.81640625,1785.86
157.0221,15.8598,78,390000,78,2042.8,-17641.71875,1767.64
156.8785,15.8356,79,395000,79,2110.91,-18048.939453125,1788.63
156.9466,15.6655,80,400000,80,2102.07,-18240.70703125,1790.3
156.8794,15.7186,81,405000,81,2135.59,-18453.2734375,1785.92
156.9711,16.0153,82,410000,82,2154.09,-18811.16796875,1806.81
156.9651,15.9711,83,415000,83,2101.51,-18845.08203125,1776.52
156.8415,16.0856,84,420000,84,2090.71,-19128.18359375,1823.9
157.0416,15.7966,85,425000,85,2109.21,-19461.236328125,1797.94
157.0431,15.5638,86,430000,86,2066.6,-19637.83203125,1756.54
156.8368,15.6397,87,435000,87,2106.8,-19770.4921875,1779.54
156.8813,16.0936,88,440000,88,2170.8,-20129.498046875,1852.87
156.992,16.0901,89,445000,89,2142.26,-20319.951171875,1831.93
156.7406,15.6877,90,450000,90,2123.06,-20505.75390625,1781.89
156.8351,15.7402,91,455000,91,2137.53,-20702.30859375,1817.17
157.0896,16.0356,92,460000,92,2174.27,-20919.923828125,1826.08
157.1503,16.073,93,465000,93,2154.24,-21265.6328125,1822.12
156.9224,15.8116,94,470000,94,2146.68,-21342.669921875,1801.08
156.8731,16.0209,95,475000,95,2206.82,-21839.365234375,1854.99
156.868,15.8927,96,480000,96,2122.02,-21983.068359375,1822.39
156.9179,15.7209,97,485000,97,2178.47,-22274.423828125,1837.47
156.9549,15.6464,98,490000,98,2144.27,-22381.380859375,1801.94
156.9024,15.7791,99,495000,99,2170.38,-22831.96875,1814.93
156.7828,15.5836,100,500000,100,2165.18,-22824.107421875,1839.32
156.8019,15.7885,101,505000,101,2150.99,-23242.0,1849.93
