Running Reverse KL,Running Update Time,Running Env Steps,Reward Loss,Running Forward KL,Real Sto Return,Real Det Return,Itration
11.3981,0,0,59.63190841674805,158.4046,-227.02,-6.34,0
11.5676,1,5000,-169.63519287109375,158.2949,-96.27,50.92,1
11.7683,2,10000,-420.08612060546875,158.06,139.1,710.66,2
11.7994,3,15000,-647.9010009765625,157.837,212.65,619.94,3
12.3098,4,20000,-873.4918823242188,157.7456,341.26,758.76,4
12.9493,5,25000,-1098.0966796875,157.8935,459.3,891.47,5
13.6736,6,30000,-1399.7913818359375,158.0219,598.48,965.11,6
14.4452,7,35000,-1656.063232421875,158.1657,752.41,1076.79,7
15.1676,8,40000,-1861.1842041015625,157.8746,872.79,1105.62,8
15.5385,9,45000,-2128.252685546875,157.712,961.19,1112.88,9
15.9482,10,50000,-2282.370849609375,158.0517,1049.9,1441.85,10
16.287,11,55000,-2446.732177734375,158.0618,1119.11,1559.23,11
16.6413,12,60000,-2724.410400390625,157.9704,1181.4,1623.63,12
16.5767,13,65000,-2879.999267578125,157.6362,1258.13,1652.34,13
16.6838,14,70000,-3099.2255859375,158.0055,1215.7,1699.21,14
16.5628,15,75000,-3326.78125,158.0296,1279.73,1695.79,15
16.6087,16,80000,-3541.212646484375,157.8717,1356.27,1755.9,16
16.9628,17,85000,-3687.650634765625,157.8231,1389.2,1763.84,17
16.9899,18,90000,-3881.425537109375,157.8446,1426.0,1844.36,18
16.3244,19,95000,-4020.78271484375,157.6907,1446.35,1851.02,19
16.5624,20,100000,-4229.435546875,157.7836,1495.48,1856.35,20
17.0368,21,105000,-4422.97705078125,157.7739,1550.76,1908.43,21
16.2399,22,110000,-4571.53271484375,157.7218,1488.02,1872.16,22
16.5222,23,115000,-4815.3349609375,157.7944,1566.11,1921.0,23
16.2624,24,120000,-4945.36083984375,157.7547,1553.23,1903.92,24
16.5232,25,125000,-5141.77294921875,157.5928,1614.82,1981.56,25
16.3863,26,130000,-5312.02587890625,157.4901,1608.81,1963.9,26
16.3679,27,135000,-5491.8427734375,157.4947,1597.7,1966.45,27
16.2767,28,140000,-5697.962890625,157.4961,1602.2,1962.36,28
16.274,29,145000,-5891.83837890625,157.4073,1635.47,2006.64,29
16.5134,30,150000,-6028.81640625,157.629,1650.94,1982.41,30
16.4343,31,155000,-6245.3310546875,157.491,1656.36,2023.29,31
16.3646,32,160000,-6405.4267578125,157.4588,1656.23,1996.17,32
16.123,33,165000,-6503.39208984375,157.3874,1621.17,1946.71,33
16.3184,34,170000,-6679.66796875,157.4834,1690.89,2005.94,34
16.174,35,175000,-6929.8876953125,157.2386,1678.85,2047.72,35
16.1169,36,180000,-7029.04443359375,157.3079,1674.46,2007.19,36
16.3728,37,185000,-7308.55126953125,157.2325,1690.54,2055.94,37
16.1965,38,190000,-7446.095703125,157.1723,1691.34,2023.52,38
16.1633,39,195000,-7675.466796875,157.1784,1659.47,2057.17,39
16.0766,40,200000,-7864.2841796875,157.158,1704.42,2083.61,40
15.7998,41,205000,-8007.34521484375,157.1867,1677.16,1967.83,41
15.9078,42,210000,-8224.3994140625,157.3078,1664.65,1984.58,42
16.1646,43,215000,-8318.9716796875,157.2598,1697.9,2032.11,43
16.1229,44,220000,-8549.2255859375,157.157,1718.87,2003.83,44
16.303,45,225000,-8877.681640625,157.2679,1683.23,2043.9,45
15.7875,46,230000,-8959.947265625,156.9958,1680.77,1997.03,46
16.0447,47,235000,-9139.2568359375,157.1417,1701.13,2060.46,47
15.6458,48,240000,-9365.3662109375,157.116,1655.38,1963.05,48
15.923,49,245000,-9583.66015625,157.0903,1677.45,2055.84,49
16.1711,50,250000,-9702.013671875,157.0362,1725.53,2077.54,50
16.088,51,255000,-9926.5634765625,156.9661,1739.46,2047.65,51
16.1651,52,260000,-10088.9111328125,157.044,1731.88,2072.38,52
16.1563,53,265000,-10187.3095703125,156.9928,1722.87,2073.87,53
16.219,54,270000,-10461.0498046875,157.1163,1731.63,2115.14,54
16.2207,55,275000,-10645.21484375,157.1033,1759.98,2131.58,55
16.2908,56,280000,-10887.697265625,156.9914,1765.49,2094.05,56
15.7959,57,285000,-11035.4072265625,157.0353,1724.11,2057.74,57
15.8748,58,290000,-11345.6708984375,156.93,1727.75,2039.09,58
15.718,59,295000,-11417.091796875,156.9802,1734.74,2057.05,59
15.7598,60,300000,-11540.421875,156.9633,1746.93,2071.26,60
16.1394,61,305000,-11786.203125,156.9493,1766.78,2111.78,61
16.231,62,310000,-12064.626953125,157.0077,1773.73,2138.61,62
16.0333,63,315000,-12164.939453125,156.9208,1755.76,2101.71,63
15.4752,64,320000,-12353.748046875,156.9879,1715.64,1990.64,64
15.6987,65,325000,-12517.3779296875,156.7538,1746.26,2112.89,65
15.6777,66,330000,-12784.49609375,156.9368,1752.9,2109.29,66
15.9005,67,335000,-13004.404296875,156.8771,1742.01,2110.37,67
15.8085,68,340000,-13118.7421875,156.7935,1775.1,2130.93,68
15.5659,69,345000,-13211.849609375,156.9204,1746.45,2090.29,69
15.8246,70,350000,-13481.9208984375,156.7627,1773.52,2120.11,70
15.6574,71,355000,-13669.8349609375,157.094,1748.46,2075.57,71
16.044,72,360000,-13994.3935546875,157.0512,1779.78,2123.28,72
15.7938,73,365000,-14173.689453125,157.0197,1799.65,2134.24,73
15.9254,74,370000,-14385.5732421875,156.9632,1776.41,2112.8,74
15.6466,75,375000,-14449.7197265625,156.7373,1798.85,2118.26,75
16.0165,76,380000,-14733.6591796875,157.0273,1777.74,2136.93,76
15.6571,77,385000,-14821.37890625,156.7114,1787.59,2100.08,77
15.9167,78,390000,-15137.2255859375,156.9766,1785.4,2122.56,78
15.4552,79,395000,-15343.328125,156.9267,1762.06,2099.71,79
16.0296,80,400000,-15575.3759765625,156.8235,1807.81,2145.71,80
15.7174,81,405000,-15810.2314453125,157.0696,1760.39,2059.46,81
15.444,82,410000,-15906.7177734375,156.9045,1764.54,2120.92,82
15.7526,83,415000,-16308.498046875,156.8876,1795.12,2125.94,83
15.832,84,420000,-16440.31640625,156.9067,1813.07,2162.07,84
15.4688,85,425000,-16518.1953125,156.7933,1779.9,2080.24,85
15.7358,86,430000,-16672.431640625,156.8878,1796.89,2116.39,86
16.2839,87,435000,-17082.6640625,156.7587,1857.68,2192.65,87
15.8772,88,440000,-17262.484375,156.9762,1814.62,2212.13,88
15.3326,89,445000,-17372.078125,156.7606,1776.5,2132.58,89
15.8469,90,450000,-17635.939453125,156.8713,1804.43,2160.7,90
15.9053,91,455000,-17832.666015625,156.8907,1812.27,2176.08,91
15.6001,92,460000,-17858.810546875,156.8047,1807.6,2148.32,92
15.6331,93,465000,-18268.51953125,157.0111,1805.22,2174.82,93
15.5485,94,470000,-18589.412109375,156.8465,1820.71,2109.62,94
15.8729,95,475000,-18629.23828125,156.7199,1830.22,2162.95,95
15.7102,96,480000,-18802.435546875,156.8065,1819.61,2144.87,96
16.0601,97,485000,-19217.271484375,156.8638,1845.54,2203.13,97
15.3774,98,490000,-19258.830078125,156.6918,1789.78,2132.39,98
15.8334,99,495000,-19526.00390625,156.7495,1834.92,2184.79,99
15.6801,100,500000,-19767.2578125,156.8208,1838.61,2121.78,100
15.3952,101,505000,-19909.80078125,156.7637,1802.87,2132.29,101
15.5155,102,510000,-20209.92578125,156.6999,1829.83,2159.23,102
15.5257,103,515000,-20536.943359375,156.7454,1811.58,2150.13,103
15.5429,104,520000,-20608.525390625,156.7277,1849.53,2144.73,104
15.8223,105,525000,-21163.630859375,156.8063,1846.66,2213.76,105
15.4479,106,530000,-21165.896484375,156.8148,1839.54,2183.61,106
15.5873,107,535000,-21150.3515625,156.6295,1836.59,2197.69,107
15.78,108,540000,-21771.64453125,156.891,1849.8,2164.5,108
15.7818,109,545000,-21799.658203125,156.7575,1843.04,2137.21,109
