Itration,Running Reverse KL,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Running Update Time,Running Env Steps
0,11.2518,-214.71,158.4144,145.4250946044922,-14.58,0,0
1,11.8495,-36.01,158.411,-13.695359230041504,-28.02,1,5000
2,11.6154,28.64,158.1439,-265.1116027832031,36.61,2,10000
3,11.5268,112.11,158.0076,-417.9296569824219,428.8,3,15000
4,11.8468,235.65,157.898,-664.6895141601562,674.83,4,20000
5,10.7136,252.76,157.5561,-798.656982421875,650.23,5,25000
6,11.158,403.5,157.7015,-1040.0638427734375,908.64,6,30000
7,12.1702,464.59,157.8142,-1269.4476318359375,906.1,7,35000
8,12.5262,592.22,157.6796,-1571.3077392578125,1103.22,8,40000
9,13.4023,752.1,157.883,-1863.1258544921875,1377.36,9,45000
10,13.4788,869.53,158.2275,-2118.33251953125,1557.48,10,50000
11,14.7311,1042.25,158.1337,-2440.92236328125,1575.04,11,55000
12,13.865,1046.56,157.6369,-2459.2177734375,1764.03,12,60000
13,14.0535,1233.41,157.528,-2659.4697265625,1897.6,13,65000
14,14.663,1479.2,157.4014,-2913.92431640625,2051.63,14,70000
15,15.4241,2220.01,157.4393,-2940.924560546875,3075.88,15,75000
16,17.8982,3016.39,157.3294,-2772.665283203125,3501.63,16,80000
17,18.4687,3367.31,157.1297,-2742.28173828125,3923.1,17,85000
18,18.7287,3485.83,157.337,-3083.655029296875,3954.26,18,90000
19,19.4426,3627.1,157.4478,-3248.4296875,4127.99,19,95000
20,20.1627,3772.94,157.2803,-3342.07421875,4189.0,20,100000
21,17.6625,3759.88,156.7288,-3650.096435546875,4317.76,21,105000
22,19.301,3925.54,156.7934,-3510.090576171875,4479.46,22,110000
23,18.613,4015.95,156.8804,-3720.167236328125,4537.79,23,115000
24,18.3691,4040.07,156.8962,-3940.31298828125,4587.61,24,120000
25,17.9756,4101.38,156.7176,-4181.98486328125,4624.47,25,125000
26,18.1478,4273.91,156.6739,-3999.12646484375,4799.31,26,130000
27,17.7358,4342.55,156.7149,-4165.4658203125,4930.11,27,135000
28,18.003,4418.55,156.9016,-4574.50830078125,5024.32,28,140000
29,17.647,4454.04,156.5957,-4493.39892578125,4928.07,29,145000
30,17.5626,4603.06,156.1735,-4571.9189453125,5251.32,30,150000
31,17.6861,4426.28,156.6218,-4789.38232421875,5331.28,31,155000
32,17.984,4844.27,156.3343,-4870.26318359375,5451.34,32,160000
33,17.1286,4811.15,156.293,-5138.00830078125,5368.38,33,165000
34,17.2778,4995.3,155.7509,-5066.833984375,5615.96,34,170000
35,16.9852,5026.03,155.6046,-5319.13623046875,5515.12,35,175000
36,17.5971,5242.38,155.8861,-5295.9853515625,5883.52,36,180000
37,17.1178,5487.22,155.1837,-5285.21044921875,6031.06,37,185000
38,16.3711,5377.12,155.2473,-5320.8037109375,5917.66,38,190000
39,16.3626,5351.31,155.189,-5399.27783203125,5658.11,39,195000
40,16.15,5544.3,155.3107,-5521.62060546875,5999.66,40,200000
41,16.4406,5410.9,154.8873,-5498.962890625,6101.2,41,205000
42,15.6324,5302.04,155.1812,-6018.09765625,5837.01,42,210000
43,16.6159,5973.14,154.3851,-5998.65185546875,6437.05,43,215000
44,16.0543,5790.26,154.6898,-5907.119140625,6386.44,44,220000
45,15.5458,5994.45,154.3373,-6017.31396484375,6478.84,45,225000
46,16.4982,6255.64,154.2285,-5914.68212890625,6800.4,46,230000
47,16.3739,6318.36,154.0537,-6134.6494140625,6895.44,47,235000
48,16.2305,6388.66,154.2134,-6038.17431640625,6909.43,48,240000
49,16.2598,6488.68,154.3436,-6234.3662109375,6918.92,49,245000
50,15.6756,6569.28,153.6348,-6128.6943359375,7042.3,50,250000
51,15.9714,6666.02,153.9782,-6273.37548828125,7175.77,51,255000
52,15.8919,6642.88,153.3216,-6289.205078125,7278.05,52,260000
53,15.5927,6868.41,153.1589,-6342.40869140625,7350.34,53,265000
54,15.6286,6880.49,153.5337,-6257.8017578125,7402.72,54,270000
55,15.6237,7020.4,153.5506,-6118.91796875,7481.36,55,275000
56,14.7087,6620.37,152.6478,-6743.05078125,7473.09,56,280000
57,14.9078,7032.26,152.0001,-6787.705078125,7275.27,57,285000
58,14.8106,7293.81,152.8534,-6432.93798828125,7825.35,58,290000
59,14.013,6751.19,151.516,-6628.07080078125,7573.61,59,295000
60,14.4904,6340.94,151.784,-6631.03271484375,7029.82,60,300000
61,13.8142,6146.5,150.9069,-7228.85791015625,6776.27,61,305000
62,14.4885,7090.45,150.8756,-7669.255859375,7747.23,62,310000
63,15.4166,7051.32,151.4034,-6764.8642578125,7904.71,63,315000
64,16.283,7184.36,152.9314,-7098.60205078125,7707.25,64,320000
65,14.5092,6379.61,152.2533,-7805.3955078125,7609.97,65,325000
66,14.4847,6600.59,151.3209,-7511.408203125,7535.7,66,330000
67,13.5571,4923.4,151.2557,-8518.158203125,3745.02,67,335000
68,15.1324,7696.55,150.9996,-7205.7685546875,8467.98,68,340000
69,16.6614,7454.96,151.6069,-7457.591796875,7898.96,69,345000
70,14.911,7982.2,150.2454,-7157.50537109375,8526.17,70,350000
71,14.5641,6581.7,149.5891,-8025.3125,8544.67,71,355000
72,16.5063,8016.78,150.7881,-6928.04345703125,9085.25,72,360000
73,15.8779,7234.26,150.4013,-7238.56494140625,8472.04,73,365000
74,16.814,8091.61,150.3727,-7490.38916015625,8285.87,74,370000
75,16.6383,8447.86,150.0155,-7086.81591796875,9105.72,75,375000
76,16.3547,8347.58,149.6564,-7702.6171875,8965.66,76,380000
77,17.014,8509.57,150.6312,-7514.69921875,8938.17,77,385000
78,17.3815,8439.85,150.2753,-7472.74658203125,9345.69,78,390000
79,17.5305,7888.61,150.1801,-7774.98095703125,9144.72,79,395000
80,17.4566,8472.76,149.3974,-7457.3642578125,8832.56,80,400000
81,17.4067,8688.04,149.8086,-7793.583984375,9216.9,81,405000
82,16.6526,8665.49,150.1816,-7726.1982421875,9461.86,82,410000
83,17.16,8962.81,149.3524,-7383.88427734375,9588.07,83,415000
84,16.281,8256.52,150.3001,-8456.19921875,8574.03,84,420000
85,17.7758,9174.4,148.4816,-7606.72216796875,9802.01,85,425000
86,17.9234,9245.98,149.3041,-7640.43359375,9460.47,86,430000
87,18.2987,9150.73,149.926,-7857.53173828125,9714.86,87,435000
88,17.3675,8743.97,148.7262,-8620.4091796875,9683.08,88,440000
89,16.6972,8479.57,149.252,-8839.49609375,9750.4,89,445000
90,18.0087,9375.22,148.1203,-7657.234375,9808.51,90,450000
91,19.5937,9417.96,148.9867,-8028.0634765625,9789.91,91,455000
92,18.5331,9500.93,148.0253,-7689.99365234375,9949.58,92,460000
93,15.4225,7877.65,149.5393,-9341.7744140625,9069.11,93,465000
94,18.0542,9503.46,148.5872,-8097.84521484375,9970.49,94,470000
95,18.3874,9681.61,148.6233,-8202.0859375,10269.79,95,475000
96,18.0989,9389.78,147.793,-8276.681640625,9663.86,96,480000
97,18.0546,9697.95,147.4219,-8163.48583984375,10163.88,97,485000
98,18.8108,9774.58,148.6683,-8264.8857421875,10292.7,98,490000
99,17.8652,9728.63,147.5045,-8183.08740234375,10287.01,99,495000
100,19.4907,9748.61,148.6482,-8419.6767578125,10130.78,100,500000
101,18.3631,9843.72,147.7893,-8327.1337890625,10204.31,101,505000
102,19.3089,10122.97,147.7126,-8206.9931640625,10495.77,102,510000
103,19.6194,9856.25,149.1317,-8695.2197265625,10308.56,103,515000
104,19.5841,9946.67,147.8299,-8648.4990234375,10437.81,104,520000
105,18.8165,10166.13,147.8527,-8478.841796875,10607.05,105,525000
106,16.8745,9166.35,147.2575,-9411.7421875,9430.77,106,530000
107,18.0293,9675.17,147.0074,-8761.943359375,10008.68,107,535000
108,18.7044,9922.37,147.4613,-8920.328125,10385.75,108,540000
109,18.5192,9901.54,146.7015,-9076.2529296875,10348.8,109,545000
110,18.2649,10175.8,146.6816,-8785.4853515625,10685.92,110,550000
