Real Det Return,Itration,Running Env Steps,Reward Loss,Real Sto Return,Running Reverse KL,Running Forward KL,Running Update Time
-107.6,0,0,53.5444221496582,-189.23,11.7353,158.5408,0
-8.55,1,5000,-98.18330383300781,-72.23,11.6062,158.2587,1
86.38,2,10000,-410.9094543457031,89.47,12.004,158.1362,2
680.94,3,15000,-721.306640625,264.75,12.5328,158.0424,3
888.87,4,20000,-902.0672607421875,429.92,13.0901,157.8875,4
847.44,5,25000,-1088.6300048828125,483.1,12.8376,157.6496,5
819.65,6,30000,-1417.3673095703125,600.2,13.7439,157.9424,6
921.52,7,35000,-1670.5439453125,662.3,13.877,157.9687,7
1266.31,8,40000,-1920.149658203125,856.82,14.7788,158.0383,8
1350.24,9,45000,-2126.425048828125,940.88,15.1378,157.6649,9
1532.59,10,50000,-2305.5439453125,1111.25,15.9094,157.7648,10
1569.3,11,55000,-2484.6572265625,1163.23,16.2746,157.7179,11
1615.07,12,60000,-2705.89111328125,1179.46,16.4094,157.807,12
1622.15,13,65000,-2888.822265625,1203.77,16.3004,157.6831,13
1682.71,14,70000,-3008.864013671875,1292.25,16.6432,157.7593,14
1704.78,15,75000,-3232.0400390625,1299.94,16.6834,157.6942,15
1774.95,16,80000,-3510.565673828125,1346.84,16.4244,157.6529,16
1803.19,17,85000,-3672.72998046875,1351.91,16.4456,157.5611,17
1771.48,18,90000,-3825.300048828125,1385.44,16.2537,157.5369,18
1771.45,19,95000,-3953.860595703125,1375.05,16.4923,157.6453,19
1859.38,20,100000,-4213.615234375,1459.75,15.9744,157.7042,20
1872.35,21,105000,-4286.10205078125,1453.68,16.4023,157.6293,21
1851.05,22,110000,-4523.9580078125,1483.36,16.3207,157.6557,22
1844.17,23,115000,-4620.90576171875,1475.83,16.0482,157.5277,23
1871.67,24,120000,-4823.01171875,1516.75,16.1219,157.4764,24
1946.79,25,125000,-5035.82568359375,1571.45,16.5805,157.5752,25
1926.51,26,130000,-5244.40966796875,1544.94,16.6992,157.8329,26
1943.02,27,135000,-5379.11962890625,1561.54,16.215,157.3993,27
1918.91,28,140000,-5628.42626953125,1573.52,16.4529,157.414,28
1953.49,29,145000,-5769.9541015625,1597.01,16.311,157.4878,29
1943.12,30,150000,-5871.71533203125,1604.03,16.3166,157.381,30
2022.43,31,155000,-6119.0146484375,1651.78,15.9554,157.068,31
1963.33,32,160000,-6295.75830078125,1635.95,16.3111,157.4752,32
2002.54,33,165000,-6459.99658203125,1638.64,15.9081,157.2813,33
2036.31,34,170000,-6670.3564453125,1657.36,16.3084,157.3751,34
2020.2,35,175000,-6793.15673828125,1668.38,16.3741,157.3107,35
2008.1,36,180000,-7036.32421875,1648.52,15.9929,157.2847,36
2058.37,37,185000,-7191.18359375,1679.76,16.5888,157.2144,37
2090.71,38,190000,-7524.455078125,1662.06,16.1082,157.2651,38
2061.41,39,195000,-7607.3583984375,1683.72,16.3554,157.3369,39
2042.07,40,200000,-7739.1806640625,1672.93,16.0486,157.1289,40
2085.05,41,205000,-7925.3125,1688.66,16.1152,157.2285,41
1945.04,42,210000,-8151.302734375,1645.12,15.7616,157.0876,42
1998.41,43,215000,-8348.51171875,1689.22,15.9912,157.164,43
2025.76,44,220000,-8460.4462890625,1672.4,15.8495,157.1921,44
2103.55,45,225000,-8633.3857421875,1728.04,16.1691,156.9352,45
2079.33,46,230000,-8899.0556640625,1711.61,16.1616,157.1812,46
2036.88,47,235000,-9096.4169921875,1678.82,16.1199,157.117,47
2087.17,48,240000,-9198.880859375,1707.1,15.7393,157.0259,48
2077.16,49,245000,-9438.3193359375,1743.26,15.9376,156.9942,49
2077.8,50,250000,-9584.2978515625,1712.47,15.6579,156.8944,50
2055.69,51,255000,-9783.59765625,1715.81,15.9626,156.933,51
