Running Env Steps,Itration,Real Sto Return,Running Forward KL,Reward Loss,Running Reverse KL,Real Det Return,Running Update Time
0,0,-183.83,158.4052,-1455.004638671875,11.3373,-70.93,0
5000,1,-60.92,158.2799,-1614.728759765625,11.6044,40.42,1
10000,2,127.1,158.1043,-2278.653564453125,12.0777,651.05,2
15000,3,293.19,157.8863,-3004.84423828125,12.9037,790.35,3
20000,4,436.7,157.8199,-3104.417236328125,13.1841,817.65,4
25000,5,539.21,157.5803,-3200.05615234375,13.0671,966.04,5
30000,6,541.69,157.6928,-3348.24560546875,12.9503,908.98,6
35000,7,693.31,157.9158,-3666.825439453125,14.0073,1080.84,7
40000,8,747.67,157.9889,-3810.556396484375,14.2546,1204.92,8
45000,9,798.94,158.1431,-4121.087890625,15.1258,1324.98,9
50000,10,1027.96,157.8151,-4281.791015625,15.3886,1405.78,10
55000,11,1112.79,157.6726,-4595.57568359375,15.8898,1669.44,11
60000,12,1134.36,157.4408,-4621.69677734375,15.4437,1629.45,12
65000,13,1174.83,157.3437,-4789.69580078125,15.6112,1660.74,13
70000,14,1218.79,157.3,-4993.75927734375,15.1977,1614.58,14
75000,15,1243.16,157.29,-5210.59765625,15.5474,1730.67,15
80000,16,1398.7,157.2987,-4908.47509765625,13.9662,1995.81,16
85000,17,1751.42,156.3295,-4872.93896484375,13.8885,2444.55,17
90000,18,2283.1,155.7835,-4250.671875,13.6077,3353.24,18
95000,19,2791.09,155.2349,-4096.3115234375,14.3035,2975.37,19
100000,20,3375.08,155.0514,-4204.9951171875,14.4884,3561.77,20
105000,21,3804.97,155.4442,-4005.038818359375,15.9434,4594.49,21
110000,22,4299.42,154.7721,-4333.22021484375,15.5323,4815.08,22
115000,23,4720.35,154.4469,-4091.883544921875,16.2508,5139.95,23
120000,24,4641.85,154.515,-4430.3017578125,15.854,5329.39,24
125000,25,5231.84,153.3778,-4726.3798828125,16.007,5815.18,25
130000,26,5303.05,153.081,-4945.49365234375,15.2368,5866.24,26
135000,27,5497.26,152.9333,-4805.14453125,15.4068,6059.34,27
140000,28,5717.25,152.6533,-4954.705078125,15.809,6237.06,28
145000,29,5829.17,152.0381,-5145.75732421875,16.2005,6331.36,29
150000,30,5989.48,152.2658,-5024.7138671875,15.9019,6777.36,30
155000,31,6050.52,151.9697,-5444.341796875,16.3405,6538.44,31
160000,32,6367.99,151.0356,-5433.38427734375,16.1048,6962.69,32
165000,33,6146.82,152.0249,-5387.8056640625,16.0945,6662.53,33
170000,34,6389.29,151.3303,-5594.5546875,16.1074,7372.87,34
175000,35,6245.77,150.9937,-5968.9345703125,16.2228,7191.65,35
180000,36,6650.56,151.4752,-5734.86328125,16.9047,7392.74,36
185000,37,6751.21,151.4247,-5981.84033203125,16.5684,7455.5,37
190000,38,7006.2,151.41,-5992.7158203125,16.5518,7448.76,38
195000,39,6829.57,151.4762,-5956.1455078125,16.9671,7183.52,39
200000,40,7060.99,150.2224,-6887.798828125,15.1226,7208.92,40
205000,41,7333.89,150.1256,-6055.27197265625,16.9748,8179.83,41
210000,42,7503.75,150.1802,-6547.81201171875,16.6347,7884.89,42
215000,43,7720.2,150.1622,-6516.48486328125,16.5675,8176.22,43
220000,44,7782.45,149.5141,-6500.48681640625,17.2804,8591.16,44
225000,45,7889.43,149.922,-6479.482421875,16.9384,8216.42,45
230000,46,7934.31,149.3815,-6399.3544921875,17.0689,8428.16,46
235000,47,7364.99,149.8942,-7163.9560546875,16.5482,7709.58,47
240000,48,8163.17,149.6983,-6638.31103515625,17.5323,8815.5,48
245000,49,8067.55,149.3997,-6784.1044921875,17.397,8777.97,49
250000,50,8437.98,149.4709,-7203.646484375,16.8517,9167.04,50
255000,51,7937.84,148.8325,-7055.09033203125,16.7526,8752.74,51
260000,52,8834.38,148.3971,-7268.732421875,17.3452,9368.76,52
265000,53,8708.47,148.7393,-7370.1533203125,17.1404,9298.38,53
270000,54,8952.78,148.0488,-6872.45849609375,17.5043,9545.56,54
275000,55,8615.57,149.002,-7377.13330078125,18.413,9627.44,55
280000,56,9068.73,147.8229,-7602.09912109375,16.6229,9833.04,56
285000,57,9184.88,147.1575,-7088.45361328125,17.4004,9965.9,57
290000,58,8711.74,148.2233,-7173.720703125,17.8923,9135.38,58
295000,59,8777.34,148.0029,-7331.9697265625,17.9076,9869.91,59
300000,60,8186.58,146.8561,-7356.458984375,18.0526,8983.6,60
305000,61,8524.32,147.6017,-8078.63720703125,17.3917,8987.0,61
310000,62,7620.3,148.4129,-7888.7763671875,17.889,8671.63,62
315000,63,8990.59,147.025,-8062.54248046875,16.9429,9870.25,63
320000,64,7673.0,148.5058,-9958.6484375,15.1953,9007.22,64
325000,65,7565.82,147.1945,-8236.3173828125,17.4373,8794.36,65
330000,66,8616.73,146.9017,-8682.580078125,16.119,8900.97,66
335000,67,8914.34,147.5072,-8260.572265625,18.2862,9337.87,67
340000,68,8785.05,146.3865,-8090.55908203125,18.0255,9354.4,68
345000,69,8980.17,146.53,-8138.515625,18.3161,9709.22,69
350000,70,9034.73,146.4328,-8044.763671875,18.2247,10024.01,70
355000,71,9037.78,146.7069,-8230.5283203125,18.0761,9250.91,71
360000,72,9875.84,146.2141,-8504.68359375,18.1827,10093.26,72
365000,73,8295.31,146.8738,-9675.7333984375,16.8873,9985.32,73
370000,74,9955.74,145.4479,-8375.00390625,18.4323,10277.39,74
375000,75,9749.31,145.3404,-8501.984375,18.436,9755.61,75
380000,76,9491.46,147.3647,-9451.8447265625,20.0113,10321.21,76
385000,77,9885.27,145.8428,-8859.1884765625,19.5748,10450.99,77
390000,78,9530.88,145.211,-8891.1796875,18.8935,10297.94,78
395000,79,9733.2,144.8233,-8954.8505859375,18.9578,10314.57,79
400000,80,9548.96,147.2688,-9509.23046875,19.4068,10363.86,80
405000,81,10110.94,146.4621,-9552.7099609375,19.4341,10508.29,81
410000,82,10106.11,145.384,-9511.388671875,18.8515,10659.45,82
415000,83,9996.46,146.148,-10042.259765625,19.6979,10634.9,83
420000,84,10214.24,145.3037,-9775.205078125,19.0973,10749.88,84
425000,85,10139.38,145.4501,-10093.1396484375,19.8049,10493.14,85
430000,86,9535.43,146.6326,-10440.359375,19.0357,10227.15,86
435000,87,9742.04,145.2454,-9947.5400390625,18.6102,10320.68,87
440000,88,10243.09,145.3798,-10309.396484375,20.2236,10442.66,88
445000,89,10303.38,144.7352,-9820.083984375,19.0337,10720.56,89
450000,90,10230.02,145.1589,-10165.5009765625,19.3364,10257.79,90
455000,91,9750.06,145.9982,-11039.54296875,18.2236,10572.57,91
460000,92,10101.28,143.8519,-10000.14453125,18.9394,10428.5,92
465000,93,10476.98,145.8163,-10736.4150390625,19.2803,10512.84,93
470000,94,10141.67,144.9211,-10465.1015625,18.899,10983.41,94
475000,95,9872.02,145.5414,-11230.119140625,18.5089,10178.09,95
480000,96,9608.82,146.1265,-11029.8447265625,18.5952,9820.98,96
485000,97,10250.25,145.5499,-11105.4560546875,19.0937,10653.7,97
490000,98,10420.83,145.1437,-11027.02734375,19.7968,10781.92,98
495000,99,10445.6,144.5816,-10801.0703125,18.833,10921.46,99
500000,100,10221.48,143.9833,-10808.9296875,19.5211,10628.52,100
505000,101,10609.4,143.4998,-11307.77734375,19.4596,11052.74,101
510000,102,10339.31,145.3348,-11819.9970703125,19.6615,10748.09,102
515000,103,10562.6,145.3834,-11448.95703125,19.0238,10881.5,103
520000,104,10268.1,145.3823,-12010.162109375,18.7118,10698.29,104
525000,105,9875.89,145.0175,-11783.4970703125,19.3515,10222.0,105
530000,106,10425.55,144.6043,-11665.59375,18.6347,10796.43,106
535000,107,10754.07,143.1796,-11494.177734375,19.1573,11119.86,107
540000,108,10506.02,143.4753,-11425.453125,19.0863,10922.78,108
545000,109,10758.96,143.9494,-12036.65625,19.1711,11130.35,109
550000,110,10790.55,143.1148,-11486.310546875,19.1844,11249.84,110
555000,111,10375.16,142.8879,-11874.4384765625,19.0092,11107.57,111
560000,112,10428.93,142.3899,-11875.240234375,20.4396,11173.45,112
565000,113,9694.94,142.8912,-12222.556640625,19.2472,10467.99,113
570000,114,10589.6,143.9304,-12496.353515625,20.6167,10972.96,114
575000,115,10814.8,143.2697,-12191.8037109375,19.5643,11202.19,115
580000,116,9717.49,143.7495,-12862.267578125,17.1042,10852.29,116
585000,117,9879.81,142.838,-12578.2060546875,19.7114,11215.34,117
590000,118,10766.08,142.8578,-12863.6025390625,19.1611,10884.66,118
595000,119,9067.89,143.7129,-13529.6298828125,15.5762,9554.49,119
600000,120,10622.93,142.4119,-12825.146484375,19.8369,10928.11,120
605000,121,10362.02,143.9052,-12878.1533203125,19.4366,11212.91,121
610000,122,10127.43,143.7396,-13413.4873046875,18.9584,11233.98,122
615000,123,10691.72,144.672,-13358.7177734375,19.1441,11132.85,123
620000,124,10100.34,144.56,-14012.5458984375,17.5212,10628.9,124
625000,125,10575.39,143.6727,-13681.708984375,18.4818,10693.42,125
630000,126,10061.49,143.9865,-13847.80078125,18.8116,11228.03,126
635000,127,10358.72,144.9117,-14400.3984375,19.4096,10766.98,127
640000,128,10941.0,142.3688,-13386.5791015625,19.5789,11366.83,128
645000,129,10321.3,144.4391,-13826.62890625,18.0389,10916.06,129
650000,130,9594.85,143.8063,-14696.1689453125,16.8586,10046.99,130
655000,131,10759.99,142.9159,-14342.9921875,18.0172,11050.26,131
660000,132,10652.95,144.1339,-14029.869140625,19.9598,10877.02,132
665000,133,10840.66,141.9093,-13899.8037109375,18.5849,11177.55,133
670000,134,11034.11,142.6366,-14154.7734375,18.8584,11379.6,134
675000,135,10918.29,142.7707,-13979.3212890625,19.819,11207.34,135
680000,136,10921.17,142.3665,-14120.279296875,19.694,11326.42,136
685000,137,9993.7,143.8889,-15013.572265625,18.1175,10749.82,137
690000,138,10898.26,143.0388,-14630.1572265625,19.4964,11387.5,138
695000,139,11081.49,142.8282,-14944.958984375,19.0081,11489.13,139
700000,140,10977.54,142.7527,-14548.29296875,18.6599,11372.42,140
705000,141,10934.2,143.1451,-14873.146484375,20.0863,11347.46,141
710000,142,9392.85,143.6821,-16663.103515625,17.437,10988.86,142
