Running Env Steps,Real Det Return,Running Update Time,Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL,Itration
0,-101.33,0,11.4158,91.89282989501953,-244.82,158.5226,0
5000,-54.83,1,12.1811,-120.36854553222656,-88.25,158.7093,1
10000,813.07,2,12.2361,-401.2264404296875,53.54,158.4181,2
15000,609.39,3,14.0407,-675.0263061523438,376.31,158.3145,3
20000,987.37,4,14.1724,-958.0057373046875,537.93,158.1367,4
25000,1049.77,5,14.6587,-1151.008544921875,619.09,158.128,5
30000,878.6,6,14.0994,-1307.991455078125,571.78,158.3054,6
35000,1174.98,7,14.8888,-1483.7196044921875,696.41,158.1764,7
40000,1285.91,8,15.2525,-1650.6241455078125,853.23,157.8212,8
45000,1371.32,9,15.6556,-1842.6201171875,946.95,158.04,9
50000,1420.32,10,16.4889,-2061.492919921875,1050.13,158.0927,10
55000,1469.43,11,16.5889,-2186.457275390625,1098.63,158.1601,11
60000,1564.1,12,16.6506,-2398.305908203125,1139.69,158.108,12
65000,1546.96,13,16.7711,-2688.895751953125,1149.27,158.0821,13
70000,1573.25,14,16.6881,-2835.94189453125,1159.36,158.0381,14
75000,1632.31,15,17.0183,-3116.83056640625,1227.35,158.057,15
80000,1681.38,16,17.1708,-3328.18505859375,1279.99,157.918,16
85000,1656.88,17,16.8372,-3456.08837890625,1239.94,157.8476,17
90000,1719.46,18,16.7935,-3711.3486328125,1317.74,158.0305,18
95000,1734.94,19,16.5838,-3942.269775390625,1324.87,158.0806,19
100000,1796.6,20,17.1911,-4131.302734375,1353.05,158.0559,20
105000,1806.55,21,17.1,-4349.3759765625,1397.84,157.9031,21
110000,1825.81,22,16.8121,-4516.701171875,1396.92,158.0423,22
115000,1813.58,23,16.7002,-4787.59814453125,1416.57,157.9745,23
120000,1867.76,24,16.8413,-4951.482421875,1419.87,157.7231,24
125000,1873.26,25,16.8207,-5095.345703125,1485.8,157.8648,25
130000,1890.16,26,16.8428,-5330.5693359375,1492.44,158.0351,26
135000,1885.31,27,16.5399,-5457.2021484375,1484.61,157.8292,27
140000,1923.41,28,17.1375,-5735.263671875,1540.87,157.8178,28
145000,1857.36,29,16.513,-5862.109375,1504.64,157.9663,29
150000,1899.46,30,16.7163,-6090.9130859375,1539.45,157.724,30
155000,1929.65,31,16.9056,-6246.6708984375,1534.66,157.7696,31
160000,1919.2,32,17.0064,-6424.10888671875,1534.74,157.9949,32
165000,1940.78,33,16.7523,-6614.54248046875,1569.75,157.6456,33
170000,1963.41,34,17.0568,-6812.22021484375,1560.13,157.9236,34
175000,2011.18,35,17.3481,-7024.99755859375,1595.92,157.9957,35
180000,2031.97,36,16.7712,-7146.50341796875,1618.92,157.609,36
185000,1950.01,37,16.4727,-7340.228515625,1579.73,157.6222,37
190000,1916.83,38,16.4115,-7475.73779296875,1607.04,157.6328,38
195000,1998.69,39,16.3605,-7644.5283203125,1623.74,157.5633,39
200000,2028.99,40,16.5233,-7914.3623046875,1640.75,157.6399,40
205000,1999.96,41,16.3554,-8081.236328125,1613.34,157.6764,41
210000,2024.81,42,16.6296,-8268.12890625,1675.25,157.5801,42
215000,1995.06,43,16.4039,-8477.3515625,1626.93,157.5132,43
220000,2039.43,44,16.791,-8637.7412109375,1670.94,157.5891,44
225000,2015.15,45,16.2064,-8727.2509765625,1665.66,157.4541,45
230000,2070.42,46,17.3446,-8997.556640625,1694.07,157.6063,46
235000,2002.93,47,16.0633,-9162.861328125,1645.87,157.4313,47
240000,2100.47,48,16.7658,-9404.6357421875,1735.23,157.4795,48
245000,2073.39,49,16.5181,-9557.65234375,1712.06,157.3436,49
250000,2064.58,50,16.4186,-9788.638671875,1702.64,157.5311,50
255000,2060.74,51,16.2749,-9937.111328125,1691.85,157.5213,51
260000,2061.83,52,16.4506,-10159.005859375,1699.81,157.34,52
265000,2060.81,53,15.9874,-10246.7021484375,1696.92,157.2116,53
270000,2039.82,54,16.2968,-10510.271484375,1698.58,157.2352,54
275000,2027.88,55,16.0123,-10714.119140625,1678.23,157.2373,55
280000,2020.28,56,16.055,-10950.4306640625,1709.04,157.1198,56
285000,2053.81,57,16.1981,-11073.69140625,1698.31,157.1459,57
290000,2071.03,58,15.9724,-11264.19140625,1708.39,157.1698,58
295000,2089.33,59,15.9305,-11475.2041015625,1721.18,157.228,59
300000,2094.75,60,16.1688,-11670.240234375,1740.37,157.1478,60
305000,2057.06,61,16.0478,-11847.8662109375,1731.6,157.1718,61
310000,2121.19,62,16.3541,-12022.8935546875,1763.1,157.1831,62
315000,2102.87,63,16.2392,-12272.5390625,1757.91,157.0696,63
320000,2057.62,64,16.2198,-12485.115234375,1747.82,157.1275,64
325000,2116.63,65,16.0802,-12726.6328125,1744.93,157.2134,65
330000,2051.69,66,15.981,-12838.572265625,1715.4,157.1989,66
335000,2152.0,67,16.1262,-13019.052734375,1772.8,157.0025,67
340000,2097.97,68,15.9072,-13325.48828125,1756.33,157.0287,68
345000,2028.72,69,15.9405,-13502.4267578125,1758.72,157.2497,69
350000,2138.2,70,16.2843,-13697.384765625,1768.7,156.9827,70
355000,2067.96,71,15.7601,-13983.150390625,1741.38,157.1962,71
360000,2074.82,72,15.7658,-14208.5595703125,1702.2,157.0752,72
365000,2120.28,73,15.8137,-14276.6435546875,1780.36,157.0139,73
370000,2096.02,74,15.8354,-14492.8994140625,1786.18,156.9425,74
375000,2107.85,75,15.9215,-14678.6435546875,1763.75,157.0538,75
380000,2121.96,76,16.043,-14924.8017578125,1748.21,156.8986,76
385000,2106.17,77,15.8351,-15032.9658203125,1778.79,156.8927,77
390000,2093.32,78,15.7873,-15398.5126953125,1764.08,156.9898,78
395000,2119.04,79,15.8338,-15564.1396484375,1759.36,157.0264,79
400000,2112.04,80,15.7851,-15735.603515625,1771.22,156.968,80
405000,2154.88,81,15.8586,-16021.234375,1772.04,156.9392,81
410000,2163.57,82,16.2101,-16274.1201171875,1808.65,156.9176,82
415000,2093.77,83,15.7286,-16484.373046875,1760.94,157.2785,83
420000,2179.21,84,15.8844,-16621.359375,1805.62,157.102,84
425000,2153.82,85,16.0456,-16832.341796875,1791.84,156.9047,85
430000,2141.41,86,15.616,-17017.384765625,1774.06,156.8092,86
435000,2169.63,87,15.9994,-17319.57421875,1808.22,156.9883,87
440000,2149.45,88,15.9374,-17518.595703125,1761.5,157.0426,88
445000,2158.77,89,15.8496,-17660.060546875,1788.16,156.8945,89
450000,2163.47,90,16.4159,-18080.26953125,1801.51,157.1927,90
455000,2115.97,91,15.8339,-18198.986328125,1772.33,156.9775,91
460000,2142.45,92,15.8902,-18423.0625,1797.34,157.0194,92
465000,2157.76,93,16.1546,-18673.919921875,1845.08,157.1323,93
470000,2144.89,94,15.89,-18901.166015625,1795.69,157.0511,94
475000,2146.92,95,15.901,-19044.732421875,1798.43,157.0614,95
480000,2179.86,96,16.0047,-19227.841796875,1838.24,156.8605,96
485000,2153.19,97,15.8206,-19501.75390625,1791.94,157.025,97
490000,2101.95,98,15.3342,-19676.73046875,1781.6,156.8362,98
495000,2167.5,99,15.9085,-20032.580078125,1849.26,156.8802,99
500000,2171.13,100,15.7473,-20157.9453125,1824.33,156.978,100
505000,2204.11,101,16.1757,-20576.39453125,1827.66,156.8698,101
510000,2200.1,102,15.9897,-20800.0625,1849.46,156.9167,102
515000,2158.74,103,16.1275,-21043.158203125,1802.66,157.0151,103
520000,2150.0,104,15.788,-21243.662109375,1817.16,156.9253,104
525000,2180.18,105,16.0628,-21485.529296875,1819.75,156.8938,105
