Running Reverse KL,Running Forward KL,Itration,Real Det Return,Real Sto Return
17.5405,38.3428,0,196.27,212.55
49.3955,37.9459,1,225.06,227.1
41.2759,37.7103,2,217.71,243.33
28.7581,37.8062,3,272.25,270.33
57.4945,38.6621,4,271.6,279.23
49.6925,36.754,5,281.41,280.71
38.3641,37.5623,6,298.76,293.13
39.6622,37.4299,7,309.86,307.94
34.819,37.6173,8,310.78,308.47
42.3867,37.2241,9,338.0,333.29
52.7252,37.4309,10,341.13,339.96
67.3072,37.4129,11,350.89,348.54
56.1934,36.7756,12,367.78,367.66
44.6326,37.0685,13,360.99,368.54
100.0429,37.5601,14,382.42,374.74
72.0243,37.467,15,395.74,385.21
30.2842,37.1633,16,399.31,395.44
47.4747,37.0515,17,394.47,391.01
44.0578,36.4512,18,409.11,399.52
52.447,36.6561,19,405.26,397.53
112.5692,32.9973,20,400.7,419.51
45.1659,33.2634,21,480.71,474.55
31.0656,32.4519,22,750.23,748.49
89.7191,33.6989,23,627.27,616.47
88.2744,31.1962,24,1076.23,922.69
51.2938,30.4691,25,930.37,1827.19
27.7887,29.2572,26,929.82,1294.04
82.2485,29.4814,27,2301.43,1871.63
14.1662,30.099,28,2591.64,2470.25
35.0828,28.8347,29,3082.39,2682.35
70.9324,30.473,30,3237.81,1467.61
73.2955,29.0087,31,3119.72,2353.11
79.3837,29.3966,32,3097.7,2234.77
99.2184,30.5867,33,986.65,940.3
72.5611,29.0422,34,3135.5,1922.71
35.8354,28.8557,35,3061.77,2175.46
82.8569,29.5202,36,3081.81,1210.09
16.3514,28.2415,37,3074.81,2931.56
58.8431,28.8926,38,3079.01,2750.11
58.7143,28.4525,39,3096.65,1966.37
14.8542,27.8637,40,3080.27,3153.19
57.6625,28.2718,41,3119.19,1991.83
27.1756,27.9625,42,3228.81,2102.71
106.6901,29.1326,43,1788.04,1135.58
46.3382,28.1515,44,3226.62,2301.6
32.3221,26.8799,45,3178.27,3111.57
19.3396,27.4553,46,3206.06,2601.45
41.5603,26.8646,47,3265.08,2567.92
17.5475,27.4107,48,3253.68,3250.13
19.164,26.7336,49,3037.87,3061.47
14.5649,27.5162,50,3171.66,3098.55
30.8603,27.1938,51,3090.34,2996.39
18.2979,26.4471,52,3149.03,3013.52
22.6163,26.1206,53,3271.34,2686.9
16.3066,26.8496,54,3259.32,2849.35
20.4328,26.8174,55,3286.03,2851.24
26.5327,27.0763,56,3238.02,3157.13
22.0034,27.0312,57,3280.11,3166.6
22.0348,26.4646,58,3295.87,2954.38
15.9033,26.9001,59,3234.97,3253.38
13.9509,26.2786,60,3247.18,3255.03
15.0158,26.1827,61,3299.47,3148.49
14.7325,26.6346,62,3295.88,3287.01
17.6176,26.8492,63,3271.94,3178.02
34.5247,25.9979,64,3369.46,2591.68
14.8002,26.7129,65,3275.68,3261.33
13.7546,26.2444,66,3264.52,3283.24
12.6471,25.6218,67,3339.94,3305.64
23.9257,26.3526,68,3273.31,2608.97
20.5717,25.8549,69,3315.66,3193.35
13.5725,26.0031,70,3328.51,3088.18
14.3371,26.9299,71,3270.03,3268.37
14.1974,26.3618,72,3276.58,3272.44
12.987,25.5664,73,3284.82,3273.48
13.0936,25.0817,74,3339.77,3335.16
13.1845,25.5766,75,3275.8,3265.75
13.5876,25.1135,76,3305.08,3308.3
12.7307,24.7528,77,3287.72,3274.33
14.1403,26.4294,78,3254.66,3261.81
13.4899,25.9777,79,3312.22,3238.66
13.4655,24.5852,80,3297.25,3309.66
12.9029,25.0171,81,3345.65,3334.29
12.576,24.8242,82,3390.46,3374.63
14.7754,25.6857,83,3348.31,3344.79
12.803,24.4316,84,3370.68,3342.6
13.8493,25.5139,85,3437.2,3409.66
14.431,25.4759,86,3367.35,3346.6
14.6758,25.8488,87,3324.99,3311.31
13.0087,24.4671,88,3385.76,3363.6
14.5398,25.3223,89,3390.45,3372.11
13.8129,25.3079,90,3346.57,3345.57
13.9534,25.0696,91,3391.75,3373.03
13.6855,24.9733,92,3383.92,3363.76
13.8649,25.4134,93,3316.37,3309.89
13.0751,24.3825,94,3326.91,3332.5
13.9487,24.2537,95,3413.17,3388.54
12.6476,23.9761,96,3374.38,3358.77
13.8214,25.0941,97,3400.17,3372.96
13.1049,25.0998,98,3381.84,3191.01
12.3511,23.825,99,3393.9,3372.48
13.8535,24.731,100,3390.22,3358.46
12.9947,24.1596,101,3415.93,3305.66
13.0133,24.4289,102,3432.0,3417.03
13.6997,24.9111,103,3370.56,3360.55
13.1675,24.9814,104,3401.23,3379.44
12.9334,24.5277,105,3395.04,3322.85
13.2984,24.7751,106,3401.65,3391.72
13.853,25.0965,107,3394.99,3372.65
13.2529,24.4049,108,3410.99,3391.69
14.136,25.0117,109,3436.86,3418.0
12.9699,24.6225,110,3414.89,3373.71
13.7043,24.8866,111,3410.47,3392.31
12.7607,24.2006,112,3439.65,3427.96
13.6633,24.9073,113,3415.59,3409.72
13.2108,24.3415,114,3435.94,3429.67
13.3185,24.8832,115,3425.52,3421.85
12.9879,24.3229,116,3405.32,3351.16
12.5945,24.5296,117,3435.66,3405.15
12.2772,23.9896,118,3442.81,3424.21
14.2138,24.9663,119,3451.76,3368.83
13.2126,24.5657,120,3433.83,3230.41
12.1778,24.1447,121,3418.26,3401.64
12.7279,24.0461,122,3390.98,3387.16
12.401,24.3185,123,3404.79,3358.15
13.7422,24.7647,124,3432.38,3407.21
13.2806,24.711,125,3431.93,3407.31
13.1245,24.7648,126,3456.49,3454.2
17.4526,25.0411,127,3419.92,3321.59
12.2117,24.1248,128,3413.78,3395.65
12.6229,24.5719,129,3389.76,3361.78
13.6256,25.3392,130,3406.64,3292.47
13.1632,24.291,131,3419.53,3420.64
12.7752,24.2523,132,3418.27,3415.73
13.5249,24.9406,133,3391.76,3388.66
12.4975,23.8744,134,3405.91,3396.19
12.376,23.9529,135,3443.76,3199.26
13.7557,23.5774,136,3401.93,3391.65
12.3124,23.7402,137,3438.0,3296.5
13.7137,24.102,138,3405.64,3385.5
12.6476,23.9364,139,3405.94,3212.6
12.5198,24.5154,140,3418.19,3277.64
12.7679,24.0671,141,3414.17,3396.54
13.1167,24.2253,142,3419.41,3409.21
12.4944,23.1996,143,3425.99,3330.37
14.5212,25.1098,144,3415.1,3285.25
14.1797,23.8785,145,3440.76,3323.59
12.9973,24.3992,146,3435.68,3420.5
16.7534,24.7721,147,3410.22,2709.56
12.4876,23.8683,148,3444.82,3346.65
13.0242,24.3438,149,3418.52,3216.53
15.2712,24.7806,150,3424.76,2701.89
13.4317,24.6785,151,3424.64,3411.52
17.0702,25.0649,152,3453.08,2666.39
16.7897,24.9267,153,3425.88,3255.14
13.6008,24.3584,154,3434.83,2965.26
