Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL,Itration
38.4585,207.6,222.09,28.2466,0
37.4303,269.09,280.02,43.1611,1
37.9149,217.49,239.23,59.2788,2
37.2337,305.8,304.55,56.3024,3
38.1757,300.36,287.68,46.3646,4
36.9132,296.0,303.65,65.8654,5
36.1066,341.96,353.04,50.8665,6
35.1825,354.88,347.1,59.9114,7
35.1733,402.02,373.37,51.5559,8
43.0195,50.7,252.47,39.0377,9
38.7337,247.6,335.58,67.8365,10
45.4175,1010.47,1010.44,48.8941,11
40.8529,997.4,995.41,25.3851,12
38.5231,232.19,230.75,24.2256,13
38.2782,591.82,609.85,25.2296,14
41.0018,341.64,348.35,33.7823,15
44.5455,1022.21,1021.24,24.5637,16
38.4273,207.36,86.12,35.8802,17
39.5677,891.26,766.19,34.9179,18
44.1902,1045.2,1047.0,29.2017,19
42.3249,1022.65,1022.63,39.0932,20
42.7646,1030.06,1030.19,39.8203,21
43.697,1050.19,1051.11,33.5604,22
