Real Det Return,Real Sto Return,Itration,Running Forward KL,Running Reverse KL
247.85,255.47,0,37.7931,17.5995
252.83,253.05,1,38.018,68.0565
265.08,270.42,2,38.1841,39.7481
286.53,277.55,3,38.1175,41.0481
309.81,305.75,4,37.8303,23.1578
327.97,304.2,5,37.0045,38.6812
292.87,289.67,6,38.2992,35.0366
316.62,317.24,7,37.346,31.5976
317.42,317.19,8,38.232,28.6761
318.08,316.95,9,37.6847,30.8167
317.51,325.53,10,38.6143,29.5099
321.27,319.51,11,37.9058,25.3798
321.75,318.86,12,37.8658,28.9656
325.57,321.69,13,38.0203,25.4396
316.13,314.29,14,37.2682,28.1721
318.96,317.49,15,37.6198,26.8948
317.86,317.99,16,37.3067,23.734
313.75,316.84,17,37.1464,32.07
319.27,319.95,18,37.3405,26.119
324.2,320.74,19,37.4163,24.2494
319.95,325.24,20,37.2668,20.6254
353.23,341.81,21,36.7243,25.3796
678.56,540.22,22,31.2799,15.0173
450.43,405.75,23,33.5178,52.5982
692.41,566.23,24,30.9904,35.9272
970.34,870.89,25,33.1036,17.111
950.52,891.59,26,31.2169,19.88
909.9,840.45,27,32.4946,17.9408
1026.03,846.83,28,30.975,16.1647
1311.44,1259.88,29,29.2334,14.6497
1441.71,1251.89,30,29.3316,16.966
1038.84,1227.73,31,29.9412,15.6256
931.85,896.01,32,29.1448,19.2942
1203.66,1086.63,33,29.7816,13.2693
1457.82,1279.49,34,28.7256,13.7406
352.56,1492.23,35,27.6943,12.2639
3161.43,1299.31,36,28.5114,15.2626
3189.17,2292.58,37,26.3382,16.3105
3091.6,2700.79,38,25.237,10.7364
3108.42,3144.45,39,26.7511,13.4086
1272.55,1442.5,40,28.2203,13.2601
2460.69,2525.16,41,24.97,12.4391
1615.14,2566.29,42,26.0381,11.4882
2215.81,2556.05,43,25.3278,21.3401
1020.77,2400.83,44,24.9764,15.3604
2838.88,3031.33,45,24.5927,11.1855
2983.08,2390.12,46,24.3474,10.2219
3382.02,3113.49,47,23.4345,10.5781
2895.66,3222.15,48,24.5292,11.027
3407.52,2904.73,49,23.1705,10.7318
3427.52,3122.95,50,22.9486,10.2765
3412.84,3339.2,51,24.4571,11.7941
3401.28,3272.08,52,23.2242,11.2635
3331.47,3307.53,53,24.203,10.9285
3437.16,3389.6,54,23.8459,12.007
3418.23,3344.64,55,23.2982,11.0642
3445.08,3383.22,56,23.195,11.7149
3359.47,3350.45,57,23.558,11.527
3340.21,3367.25,58,24.246,12.4233
3419.73,3367.5,59,22.7565,11.0497
1936.33,1686.68,60,24.7186,14.4746
3403.13,3357.27,61,24.2023,12.7783
3509.88,3423.43,62,23.2385,12.3955
3439.02,3261.72,63,23.5545,11.3333
3490.32,3443.81,64,22.4346,10.1959
3493.68,3105.61,65,22.474,11.3235
