Running Forward KL,Real Det Return,Real Sto Return,Itration,Running Reverse KL
38.9947,193.69,197.83,0,20.8641
37.0117,286.0,275.58,1,17.0607
37.9103,283.26,287.64,2,26.2934
37.4703,309.31,303.06,3,24.053
37.6626,312.04,318.07,4,23.4018
36.6539,321.19,312.3,5,28.3004
37.6235,282.88,292.19,6,31.8376
37.7146,297.47,306.96,7,27.8519
36.9253,319.21,318.19,8,27.268
36.984,329.06,328.63,9,23.0384
37.4172,332.24,329.05,10,20.9085
36.9574,347.14,329.57,11,23.2973
35.2374,280.95,285.86,12,20.9377
37.3247,319.24,318.89,13,22.2363
36.4794,329.54,326.81,14,21.63
35.168,376.66,368.09,15,22.6447
36.4714,338.46,343.13,16,20.5387
34.8383,385.46,374.36,17,18.0505
34.8275,415.12,417.41,18,16.63
34.0729,471.04,464.03,19,25.8281
33.9798,465.09,439.0,20,20.6325
33.6766,442.56,454.93,21,19.175
33.0963,474.7,465.89,22,16.1249
34.1849,517.79,406.48,23,15.7297
34.416,589.83,555.8,24,15.7349
33.8906,422.79,460.77,25,16.5227
34.8013,518.28,557.29,26,16.368
34.4096,355.24,413.77,27,16.6427
34.5688,514.55,554.25,28,16.9719
34.5027,600.88,589.73,29,16.049
33.9382,613.37,606.13,30,16.4954
34.6385,582.55,592.1,31,16.7219
33.3877,603.01,582.28,32,15.8061
34.0241,573.93,545.38,33,16.2546
34.2197,630.76,612.42,34,15.2752
34.3657,637.48,619.41,35,15.1765
34.2848,628.82,615.22,36,15.7759
33.9669,658.04,624.9,37,15.4492
33.9342,672.53,659.36,38,15.6951
34.0058,662.03,659.78,39,17.3405
34.6554,682.3,666.1,40,16.1592
34.5234,701.21,645.48,41,19.8642
34.4164,689.73,643.03,42,18.3345
33.4697,712.39,681.57,43,15.1423
34.2417,700.13,680.16,44,16.4478
33.9645,633.07,626.85,45,17.1524
34.0584,698.33,670.43,46,14.8894
33.9889,714.89,718.73,47,15.0704
33.9736,708.33,680.32,48,17.2401
34.1458,721.51,715.75,49,15.8001
33.6489,710.69,699.92,50,15.6411
33.8959,710.0,718.39,51,16.0883
32.9232,736.36,720.87,52,16.8408
32.733,845.88,778.27,53,15.4815
32.7533,705.97,695.13,54,15.1305
33.6674,851.53,798.33,55,15.203
32.1975,749.1,772.08,56,13.7549
32.8248,613.07,598.34,57,15.9426
32.3014,876.27,899.48,58,13.1101
32.7694,724.03,726.64,59,16.4866
32.9461,735.01,716.11,60,19.8557
32.7586,906.08,891.39,61,15.146
33.0225,721.44,702.87,62,24.3893
33.0257,731.97,731.65,63,24.9846
32.0739,786.94,738.79,64,23.8393
32.1819,951.15,843.56,65,25.4728
32.6301,729.56,702.17,66,21.0103
