Itration,Running Update Time,Reward Loss,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Running Env Steps
0,0,-104.0190658569336,17.8444,39.1541,192.41,198.01,0
1,1,-90.10130310058594,23.3525,36.8105,315.47,288.49,5000
2,2,-84.91702270507812,21.4281,36.1684,336.3,321.51,10000
3,3,-96.15247344970703,25.7518,35.5726,289.3,317.38,15000
4,4,-98.18871307373047,16.8849,35.7073,367.93,349.85,20000
5,5,-132.25680541992188,32.1762,36.0366,377.04,381.85,25000
6,6,-161.60377502441406,48.5186,35.4842,402.43,405.71,30000
7,7,-173.130615234375,49.5205,33.9384,439.17,424.86,35000
8,8,-169.761474609375,45.5491,34.8945,454.29,465.58,40000
9,9,-182.9900665283203,45.4237,33.6603,543.95,535.97,45000
10,10,-171.31248474121094,34.1356,33.5029,535.85,591.1,50000
11,11,-183.9101104736328,35.8273,33.551,561.63,553.77,55000
12,12,-176.20521545410156,30.3437,32.7264,599.42,606.63,60000
13,13,-192.37806701660156,31.1179,32.9184,569.35,569.03,65000
14,14,-189.03643798828125,28.2984,32.7604,593.4,645.54,70000
15,15,-183.38525390625,25.5619,32.3332,855.66,823.26,75000
16,16,-187.9912872314453,24.0566,33.0053,862.72,830.17,80000
17,17,-177.25469970703125,20.2588,33.774,878.11,887.35,85000
18,18,-166.9613800048828,28.5111,32.9872,878.94,856.34,90000
19,19,-165.91928100585938,35.8546,31.9531,858.02,857.58,95000
20,20,-173.1226043701172,35.9275,32.1825,900.55,921.26,100000
21,21,-186.9398956298828,33.691,32.6505,1183.52,1062.65,105000
22,22,-123.63003540039062,24.2096,30.6501,2108.93,1485.95,110000
23,23,-42.437076568603516,19.0969,30.7351,2437.41,2252.3,115000
24,24,-51.06107711791992,16.9065,30.3326,2819.37,2180.17,120000
