Reward Loss,Running Env Steps,Running Update Time,Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Real Det Return
-108.5185317993164,0,0,254.38,0,38.2496,22.3984,253.49
-107.8045425415039,5000,1,291.13,1,36.3207,25.0263,291.87
-76.70797729492188,10000,2,332.25,2,33.5179,16.1226,351.06
-131.65768432617188,15000,3,427.57,3,36.6562,25.0014,435.13
-119.08989715576172,20000,4,553.57,4,32.5628,17.7774,535.99
-88.20825958251953,25000,5,682.15,5,31.637,15.9585,788.41
-125.37406158447266,30000,6,443.0,6,31.3995,15.2712,802.43
-136.06849670410156,35000,7,1147.46,7,30.4681,14.3298,1168.65
-167.44654846191406,40000,8,696.6,8,30.7589,17.4109,684.52
-156.2228240966797,45000,9,791.25,9,30.3933,16.7161,843.72
-132.25013732910156,50000,10,926.8,10,29.2844,13.9713,853.93
-138.47386169433594,55000,11,1077.63,11,28.9151,13.7565,1044.78
-171.1483612060547,60000,12,964.77,12,29.7416,16.7894,955.95
-75.37979125976562,65000,13,2753.96,13,28.9033,12.0099,2996.22
-96.38862609863281,70000,14,2413.6,14,28.9623,13.1409,3021.78
-176.91552734375,75000,15,1381.73,15,29.1997,17.1194,1830.24
-149.0092315673828,80000,16,1862.33,16,27.7993,14.5808,2176.2
-177.89788818359375,85000,17,1288.56,17,28.7945,15.3375,1354.16
-159.4510040283203,90000,18,1701.87,18,28.3034,13.7736,3040.59
-79.75220489501953,95000,19,2931.22,19,27.915,11.4634,3151.81
-124.39533996582031,100000,20,2020.45,20,27.4458,12.0185,3242.71
-208.6796417236328,105000,21,1168.1,21,29.4375,14.5986,1349.28
-162.53323364257812,110000,22,2008.17,22,28.8238,13.5668,3234.35
-146.6623992919922,115000,23,2272.62,23,28.2123,14.5993,2741.75
