Running Reverse KL,Real Sto Return,Itration,Running Update Time,Reward Loss,Running Env Steps,Real Det Return,Running Forward KL
17.2473,200.07,0,0,146.20516967773438,0,194.68,36.7423
21.7904,295.92,1,1,235.76602172851562,5000,305.35,37.8032
15.9579,402.11,2,2,172.95928955078125,10000,407.51,36.1762
48.9858,453.62,3,3,203.66043090820312,15000,502.88,34.0602
36.1647,398.83,4,4,213.3111572265625,20000,407.03,36.5335
67.2383,425.88,5,5,137.91139221191406,25000,433.44,33.1455
67.2001,581.19,6,6,152.16229248046875,30000,593.09,31.5292
53.2098,1009.96,7,7,164.6444549560547,35000,1009.83,45.1481
25.1123,1027.24,8,8,173.2530517578125,40000,1022.35,36.8144
20.5198,956.19,9,9,156.4904022216797,45000,1036.99,38.0648
22.5718,695.34,10,10,72.66767120361328,50000,677.59,32.0856
46.6817,640.46,11,11,124.7259292602539,55000,1109.98,32.5595
53.5876,959.26,12,12,108.71646881103516,60000,1259.81,30.3845
31.4422,980.96,13,13,114.7851333618164,65000,986.54,43.3746
15.8476,1811.53,14,14,69.82720947265625,70000,1004.28,30.2414
14.4748,1079.01,15,15,35.922767639160156,75000,1366.61,30.9494
17.1481,777.66,16,16,77.3921127319336,80000,820.51,31.4568
18.3297,276.95,17,17,67.90943908691406,85000,64.48,32.5744
23.0578,791.94,18,18,78.32743072509766,90000,605.91,32.3646
15.7048,1204.88,19,19,55.34830856323242,95000,1024.59,30.3283
26.7334,1011.91,20,20,80.18029022216797,100000,1014.11,41.5758
20.6678,357.69,21,21,35.70319747924805,105000,270.41,32.6487
29.5395,985.57,22,22,58.8587646484375,110000,989.86,44.5232
39.9312,986.43,23,23,32.04880142211914,115000,985.9,42.8152
