Real Sto Return,Real Det Return,Running Update Time,Running Env Steps,Running Forward KL,Reward Loss,Itration,Running Reverse KL
192.06,190.57,0,0,39.8633,-83.98222351074219,0,23.4322
214.62,206.6,1,5000,39.0627,-27.90121841430664,1,56.0558
255.37,263.6,2,10000,38.8083,-97.0949478149414,2,22.2617
261.22,265.41,3,15000,37.9673,-113.04622650146484,3,19.5227
284.25,289.71,4,20000,36.2867,-124.98810577392578,4,16.5255
274.41,271.35,5,25000,38.1744,-125.72509002685547,5,17.4183
300.44,315.4,6,30000,36.1075,-115.51107788085938,6,15.9131
312.79,319.17,7,35000,36.6648,-124.14971923828125,7,18.4562
297.93,259.59,8,40000,36.0571,-121.7740249633789,8,16.0481
298.33,341.98,9,45000,35.5921,-109.7215347290039,9,45.489
351.49,355.42,10,50000,36.2762,-64.14142608642578,10,47.8986
529.16,528.51,11,55000,33.9193,-107.79316711425781,11,24.159
366.95,373.58,12,60000,36.1077,-134.82171630859375,12,37.2629
468.1,391.88,13,65000,32.4046,-135.47967529296875,13,44.1844
437.82,483.87,14,70000,32.5533,-146.87062072753906,14,47.8987
514.7,565.86,15,75000,32.0732,-147.73861694335938,15,44.4695
434.74,402.96,16,80000,31.9099,-188.29592895507812,16,29.8229
524.43,544.7,17,85000,33.6238,-200.19862365722656,17,84.3936
530.7,524.3,18,90000,30.2238,-221.5869903564453,18,54.4263
1.61,1.5,19,95000,43.592,-3.995701789855957,19,199.7357
651.6,683.96,20,100000,28.9603,-229.48414611816406,20,51.7526
816.28,846.67,21,105000,29.5637,-223.2449951171875,21,34.5261
608.51,597.14,22,110000,30.564,-248.89822387695312,22,56.9503
656.35,683.66,23,115000,30.2955,-269.93603515625,23,36.6935
690.89,698.87,24,120000,30.2771,-259.4471130371094,24,35.0992
680.3,694.59,25,125000,30.3433,-277.5820007324219,25,27.6053
800.89,853.29,26,130000,28.5977,-260.39337158203125,26,22.1308
1510.55,2396.87,27,135000,30.3087,-114.64698791503906,27,19.8612
1108.29,1152.07,28,140000,30.3117,-197.34677124023438,28,30.6231
2743.02,2661.58,29,145000,27.527,-52.71112823486328,29,14.3294
2582.83,2467.49,30,150000,29.0507,-45.811279296875,30,14.726
2203.19,2658.08,31,155000,27.0827,-26.303022384643555,31,14.3344
1989.04,2945.05,32,160000,28.5298,-166.3496856689453,32,14.9521
1610.08,2379.73,33,165000,28.7669,-224.9607696533203,33,14.9976
2550.06,3087.95,34,170000,26.2081,-84.69991302490234,34,13.5629
1555.47,2356.27,35,175000,28.9202,-207.33291625976562,35,13.6628
1569.56,1100.96,36,180000,29.5081,-253.4532012939453,36,14.7334
3065.56,3017.18,37,185000,25.7308,-5.492061614990234,37,12.1043
3012.93,3148.37,38,190000,26.6759,-4.632979393005371,38,12.9924
3144.29,3112.77,39,195000,25.5097,0.9534358978271484,39,13.5156
3163.82,3159.38,40,200000,25.8656,-5.282163619995117,40,14.0693
1716.36,3281.89,41,205000,26.8334,-210.1808319091797,41,14.8024
1469.32,1877.07,42,210000,28.5958,-245.9762420654297,42,20.2996
1445.31,2989.5,43,215000,26.6232,-250.79483032226562,43,14.5032
2312.19,3137.25,44,220000,27.6188,-54.897071838378906,44,15.3739
2542.98,3206.37,45,225000,26.701,-144.6455078125,45,15.0405
2370.78,3200.08,46,230000,27.2332,-116.70520782470703,46,14.8708
2828.16,3214.48,47,235000,26.7977,-9.553938865661621,47,14.0087
2478.06,3176.44,48,240000,27.1265,-76.18406677246094,48,13.6749
2915.01,3173.57,49,245000,25.2469,-84.04586029052734,49,12.4422
2748.72,3012.64,50,250000,27.1758,-43.38225555419922,50,21.5947
2928.86,3189.47,51,255000,25.1949,-36.39018630981445,51,13.1614
2635.76,3182.79,52,260000,25.4369,-53.12112045288086,52,12.4577
3187.45,3200.68,53,265000,25.069,-28.140724182128906,53,12.5187
3096.78,3204.88,54,270000,25.039,-17.866880416870117,54,12.7887
2067.05,3189.32,55,275000,27.8771,-190.24244689941406,55,22.4879
2667.94,3264.18,56,280000,26.5438,-126.80641174316406,56,13.9232
2956.27,3171.98,57,285000,26.6974,-32.49102783203125,57,12.6541
3139.39,3188.68,58,290000,25.8468,-33.63120651245117,58,12.3081
2840.81,3218.97,59,295000,25.5212,-90.91153717041016,59,13.9663
2841.66,3136.01,60,300000,25.5995,-69.84349822998047,60,13.2475
3098.98,3173.65,61,305000,24.4578,-31.94782066345215,61,11.1173
2986.26,3235.77,62,310000,25.4497,-23.475021362304688,62,13.3126
2914.37,3232.69,63,315000,25.2738,-34.654945373535156,63,12.4805
3037.57,3213.54,64,320000,25.5805,-31.18699836730957,64,12.2561
2579.5,3244.76,65,325000,26.5065,-49.68836975097656,65,13.7158
2889.6,3320.34,66,330000,24.8673,-86.21278381347656,66,15.1446
2216.95,3236.43,67,335000,26.7629,-207.38037109375,67,23.2282
485.14,7.17,68,340000,26.6752,-194.48512268066406,68,19.9145
3110.88,3237.89,69,345000,25.5293,-58.07057189941406,69,13.1586
3046.06,3327.1,70,350000,24.6635,-94.83531188964844,70,14.2384
3186.41,3218.94,71,355000,25.0613,-46.05039978027344,71,13.9496
3024.0,3243.26,72,360000,24.3822,-56.586952209472656,72,12.1388
3211.24,3244.61,73,365000,24.6404,-47.433555603027344,73,12.0008
3203.16,3237.47,74,370000,24.6193,-41.54404830932617,74,12.0227
2505.44,3221.84,75,375000,25.4765,-159.13641357421875,75,15.6109
2956.85,2821.79,76,380000,23.6252,-41.26083755493164,76,11.3142
3109.92,3262.21,77,385000,25.2293,-135.26087951660156,77,15.4259
2727.03,3268.1,78,390000,24.5609,-56.496768951416016,78,11.9419
3117.73,3348.33,79,395000,25.0942,-61.28623962402344,79,12.7857
3027.04,3381.77,80,400000,24.5515,-87.33061218261719,80,12.7291
3073.36,3244.49,81,405000,25.0312,-56.216060638427734,81,12.9854
3119.99,3231.93,82,410000,25.2802,-81.05379486083984,82,12.3595
3005.21,3309.37,83,415000,25.1913,-71.83605194091797,83,13.179
2046.28,2003.32,84,420000,23.8403,-85.78169250488281,84,11.873
3280.02,3275.6,85,425000,23.9446,-65.11482238769531,85,12.3017
3179.33,3337.14,86,430000,23.6136,-93.4080810546875,86,11.1483
2982.29,3299.86,87,435000,25.7215,-121.48761749267578,87,14.2584
3218.91,3312.67,88,440000,25.111,-122.81430053710938,88,12.6818
3204.78,3285.5,89,445000,24.4243,-73.45834350585938,89,12.7697
2787.46,3246.49,90,450000,26.0679,-121.25137329101562,90,14.6509
3179.08,3299.01,91,455000,26.188,-70.522216796875,91,13.5367
2662.21,3327.51,92,460000,25.4836,-122.53862762451172,92,15.1428
2433.78,3257.0,93,465000,27.3135,-214.81448364257812,93,33.2378
2902.77,3274.73,94,470000,25.5832,-123.9991455078125,94,14.0856
3178.9,3323.33,95,475000,24.6665,-69.27284240722656,95,12.3961
3062.08,3264.83,96,480000,24.8221,-113.29996490478516,96,21.2933
2969.68,3328.48,97,485000,24.3187,-80.63480377197266,97,12.5692
2711.21,3288.13,98,490000,26.2817,-162.91734313964844,98,15.6063
2052.44,2602.53,99,495000,26.3737,-242.09373474121094,99,19.4047
2072.36,2665.71,100,500000,26.1045,-200.30718994140625,100,20.5306
2348.39,2994.94,101,505000,26.3441,-268.7022705078125,101,14.1128
2748.87,3281.23,102,510000,25.541,-182.99647521972656,102,13.4836
1951.86,2987.87,103,515000,26.8264,-288.5079345703125,103,18.7042
2590.73,3327.48,104,520000,25.8726,-262.6497802734375,104,14.1757
2934.48,3287.98,105,525000,26.3794,-166.48239135742188,105,13.6411
2621.35,3107.34,106,530000,25.3264,-153.013916015625,106,14.4733
2942.38,3334.45,107,535000,24.5614,-147.0616455078125,107,11.9855
2799.89,3030.46,108,540000,24.2955,-84.1018295288086,108,11.0207
3082.84,3368.98,109,545000,23.8876,-120.96723937988281,109,11.3118
3033.47,3290.25,110,550000,25.4449,-141.1000213623047,110,12.507
3154.22,3311.15,111,555000,23.9003,-100.58403015136719,111,11.701
3088.65,3366.1,112,560000,24.6175,-158.12391662597656,112,12.2898
2749.22,2212.36,113,565000,25.3578,-129.14491271972656,113,12.0711
2715.67,3317.53,114,570000,26.6209,-198.20616149902344,114,14.7117
2339.14,3186.52,115,575000,25.937,-234.49676513671875,115,12.6989
2424.4,3274.94,116,580000,25.8822,-172.45489501953125,116,13.6299
3087.72,3326.17,117,585000,24.2196,-179.0631103515625,117,13.0823
2344.47,3148.31,118,590000,25.8012,-267.638427734375,118,19.7456
2965.99,3330.59,119,595000,25.2248,-201.12913513183594,119,13.9848
2098.03,1360.26,120,600000,26.7319,-304.9853820800781,120,14.7879
2051.43,1436.89,121,605000,25.7452,-284.71905517578125,121,15.6114
1663.77,1548.01,122,610000,27.2078,-363.88958740234375,122,17.6055
3108.58,3319.55,123,615000,23.9344,-159.3828125,123,11.737
396.67,894.67,124,620000,35.0391,-448.5846862792969,124,85.7982
1461.78,2396.77,125,625000,28.5345,-363.8645935058594,125,16.0859
988.54,990.2,126,630000,44.4219,-462.1915588378906,126,46.3669
1014.36,1014.3,127,635000,41.024,-498.31744384765625,127,40.5963
992.67,993.88,128,640000,43.2522,-446.9029235839844,128,29.7299
1021.67,1021.77,129,645000,41.7068,-527.7509155273438,129,44.3128
980.26,979.21,130,650000,42.8503,-516.2877197265625,130,30.0363
936.12,1031.59,131,655000,42.1702,-574.8159790039062,131,26.1724
2814.41,3354.07,132,660000,22.8763,-119.86553955078125,132,11.1242
3290.35,3310.44,133,665000,24.1272,-95.14635467529297,133,12.066
2781.1,3311.63,134,670000,25.6141,-218.58155822753906,134,13.1261
3042.83,3326.88,135,675000,24.425,-183.46136474609375,135,12.3506
2668.12,3372.36,136,680000,25.4865,-354.0675048828125,136,15.494
1919.45,2324.15,137,685000,25.6494,-402.7733154296875,137,17.0394
1117.32,2689.59,138,690000,27.6415,-506.4761657714844,138,27.089
1930.08,2723.82,139,695000,27.3151,-432.0990905761719,139,16.1883
2881.06,3393.86,140,700000,24.987,-186.41278076171875,140,13.069
2278.54,3383.84,141,705000,26.4205,-324.8200988769531,141,18.7067
2067.48,1949.77,142,710000,27.1149,-493.0711669921875,142,28.9166
1926.24,3112.37,143,715000,27.3696,-420.58294677734375,143,15.1849
1918.44,2327.4,144,720000,25.5039,-385.1180419921875,144,14.7393
2110.86,1678.17,145,725000,26.6284,-439.5745849609375,145,19.2546
3097.93,3345.88,146,730000,23.3037,-138.72879028320312,146,12.532
3368.66,3369.55,147,735000,23.428,-191.63710021972656,147,10.9772
3232.52,3361.65,148,740000,23.894,-140.027099609375,148,11.2062
2910.94,3367.5,149,745000,23.1759,-235.15916442871094,149,11.2321
3381.97,3396.42,150,750000,23.1716,-106.7464370727539,150,10.7487
3354.74,3387.55,151,755000,23.5306,-101.40633392333984,151,11.0404
2553.62,3339.98,152,760000,25.4054,-386.3747253417969,152,13.958
2277.07,3441.35,153,765000,26.2484,-470.769287109375,153,15.4188
3322.4,3382.65,154,770000,24.234,-103.94245147705078,154,11.4682
3349.17,3357.41,155,775000,23.2893,-118.9311752319336,155,10.807
3365.6,3387.17,156,780000,23.5905,-128.28993225097656,156,12.1457
3214.98,3406.41,157,785000,24.0075,-110.41694641113281,157,11.8731
