Itration,Running Env Steps,Running Update Time,Reward Loss,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return
0,0,0,119.6412353515625,15.2468,33.466,6.21,6.98
1,5000,1,71.8480224609375,30.5992,31.1879,295.56,291.69
2,10000,2,38.77220916748047,23.9753,31.8,218.0,228.75
3,15000,3,36.03712844848633,21.8898,31.0382,310.62,303.82
4,20000,4,32.05734634399414,20.6641,31.6053,331.84,327.05
5,25000,5,28.750247955322266,18.6984,31.3234,313.88,311.84
6,30000,6,25.176599502563477,25.7894,33.5373,350.65,353.39
7,35000,7,-4.168972492218018,26.4368,38.0691,1028.61,1025.53
8,40000,8,-14.523603439331055,35.1097,36.7587,1036.22,1027.02
9,45000,9,-25.086917877197266,32.9528,37.1484,1035.28,1034.39
10,50000,10,-31.982824325561523,38.4211,38.7775,975.96,975.36
11,55000,11,-40.321006774902344,22.1609,34.3696,1033.75,1004.87
12,60000,12,-48.37896728515625,18.3944,30.9988,419.37,650.81
13,65000,13,-66.72824096679688,26.3295,38.9454,1037.54,1036.32
14,70000,14,-76.60360717773438,27.4725,38.459,1054.22,1056.0
15,75000,15,-86.30105590820312,22.1906,34.6017,1050.59,995.05
16,80000,16,-98.78797912597656,31.9179,31.4435,365.22,356.27
17,85000,17,-102.63363647460938,35.1153,30.7902,330.4,325.84
18,90000,18,-76.1275863647461,47.1484,31.2106,352.84,346.89
19,95000,19,-119.243896484375,27.0596,33.5438,803.45,909.24
20,100000,20,-138.2108917236328,43.873,38.7126,978.29,976.31
21,105000,21,-142.2356414794922,26.4474,32.343,717.25,538.2
22,110000,22,-161.56349182128906,26.1741,35.6883,1053.31,1056.46
23,115000,23,-171.6915740966797,24.7829,35.305,1057.14,1059.17
24,120000,24,-179.97372436523438,22.8152,32.6049,637.08,581.48
25,125000,25,-193.9046173095703,25.1493,37.826,1039.01,1042.58
26,130000,26,-202.7987823486328,28.5427,33.8028,1053.37,1054.81
27,135000,27,-189.48402404785156,26.1522,31.4362,663.87,594.26
28,140000,28,-175.534912109375,29.9339,31.5163,197.13,197.1
29,145000,29,-235.76495361328125,25.7308,36.3245,1037.77,1037.63
30,150000,30,-242.84896850585938,24.0943,33.4865,1039.79,1047.53
31,155000,31,-256.6584777832031,24.4637,36.3091,1054.58,1055.46
32,160000,32,-267.6402893066406,23.3967,37.7385,1022.03,1021.2
33,165000,33,-281.2931213378906,34.8651,39.4898,1008.58,1008.62
34,170000,34,-289.76727294921875,36.5483,39.929,976.89,975.58
35,175000,35,-310.414306640625,76.0996,37.4769,15.46,15.51
36,180000,36,-308.5705261230469,34.3279,31.885,228.31,270.05
37,185000,37,-324.524658203125,38.5068,38.9187,989.29,985.08
38,190000,38,-298.238525390625,29.656,31.4252,192.08,476.82
39,195000,39,-304.7966003417969,33.1665,30.5745,310.58,310.25
40,200000,40,-357.7806091308594,33.9989,39.3872,1043.71,1036.42
41,205000,41,-257.4065246582031,22.5148,30.6292,527.66,528.54
42,210000,42,-317.1800231933594,18.5444,31.2896,185.87,194.66
43,215000,43,-371.1202392578125,27.0757,31.9437,302.41,302.47
44,220000,44,-142.08131408691406,19.1853,29.7825,368.41,365.34
45,225000,45,-403.95062255859375,30.5437,38.0288,992.55,990.94
46,230000,46,-414.53582763671875,40.5178,31.6153,281.0,275.99
47,235000,47,-432.6368713378906,43.219,31.6999,331.93,329.43
48,240000,48,-438.8160095214844,38.2447,37.8229,985.44,985.68
