Reward Loss,Real Sto Return,Running Reverse KL,Real Det Return,Itration,Running Update Time,Running Env Steps,Running Forward KL
212.28253173828125,191.99,24.0091,189.63,0,0,0,33.239
56.58653259277344,327.77,17.4238,331.56,1,1,5000,31.4436
232.21080017089844,220.49,31.3164,219.75,2,2,10000,30.7367
343.3517150878906,272.31,55.292,262.79,3,3,15000,30.1529
239.8266143798828,358.12,55.4592,366.43,4,4,20000,31.3661
314.50811767578125,307.79,45.6562,343.19,5,5,25000,31.9592
110.36670684814453,376.45,52.0346,380.22,6,6,30000,33.5375
-367.9322509765625,30.35,72.6737,15.86,7,7,35000,37.9221
-364.81805419921875,168.03,27.6683,152.01,8,8,40000,30.8737
-363.0629577636719,214.32,28.6057,221.95,9,9,45000,31.6857
-374.3785705566406,741.3,29.6503,707.29,10,10,50000,33.0993
-368.678466796875,1047.56,26.4975,1047.54,11,11,55000,36.9048
-358.7735900878906,1051.34,29.9436,1047.72,12,12,60000,36.9495
-351.0520324707031,1056.51,30.8504,1037.62,13,13,65000,35.0179
-444.85943603515625,1041.68,31.846,1040.18,14,14,70000,37.9068
-509.43341064453125,581.82,18.7126,501.08,15,15,75000,32.4033
-574.4013061523438,1027.23,40.1937,1027.5,16,16,80000,37.4835
-686.654296875,1012.42,31.216,1014.56,17,17,85000,37.3142
-499.76708984375,780.66,40.6284,760.6,18,18,90000,32.5564
-868.3682861328125,973.49,50.8148,973.89,19,19,95000,38.4471
-917.556396484375,995.17,49.8064,995.54,20,20,100000,38.2832
-895.334716796875,1011.14,31.7849,1010.9,21,21,105000,38.1752
-999.9857177734375,77.42,53.87,79.8,22,22,110000,38.3232
-1027.9127197265625,1005.42,50.1902,1005.22,23,23,115000,37.4683
-1099.5985107421875,982.59,51.1242,982.35,24,24,120000,36.709
-969.9712524414062,1047.06,27.7001,1046.54,25,25,125000,35.9103
-1217.9080810546875,976.83,57.6888,977.0,26,26,130000,38.1992
-1241.02880859375,970.79,53.3691,971.36,27,27,135000,38.864
-404.3947448730469,309.08,21.6779,310.2,28,28,140000,31.0907
-1061.064453125,420.94,29.0831,435.37,29,29,145000,33.5489
-1291.475830078125,1034.33,32.8049,1035.03,30,30,150000,36.1709
-1325.648193359375,1046.96,36.6788,1046.84,31,31,155000,36.8036
-1398.353759765625,1033.81,37.4043,1034.68,32,32,160000,36.9265
-1050.2469482421875,517.13,31.0184,610.5,33,33,165000,33.4673
-406.55230712890625,301.84,28.636,290.08,34,34,170000,31.0863
-1585.6307373046875,1012.81,36.8717,1012.09,35,35,175000,37.753
-1649.898681640625,975.94,53.2929,976.1,36,36,180000,39.4334
-1485.3917236328125,1052.82,30.9661,1052.23,37,37,185000,34.5004
-1417.2314453125,101.93,33.8249,100.59,38,38,190000,31.6211
-1377.631591796875,477.86,29.7931,1049.13,39,39,195000,33.3415
-1749.204345703125,1002.68,41.9083,970.96,40,40,200000,39.9986
-1816.5989990234375,987.92,49.67,987.36,41,41,205000,34.8811
-1888.3748779296875,684.76,37.9393,720.46,42,42,210000,39.1032
-1851.9326171875,212.6,27.8581,212.56,43,43,215000,34.4109
-1943.4664306640625,998.08,26.4377,998.17,44,44,220000,35.01
-2055.244384765625,982.8,45.7344,983.62,45,45,225000,37.7046
-2136.34765625,981.74,48.1138,981.03,46,46,230000,38.237
-2145.44287109375,1014.22,35.4503,1015.17,47,47,235000,36.9031
-1605.0615234375,505.28,18.4321,514.27,48,48,240000,33.096
-1929.731201171875,556.9,24.4408,570.96,49,49,245000,34.9292
-953.508056640625,150.31,45.0677,154.65,50,50,250000,33.5941
-1482.2088623046875,297.07,19.3824,306.46,51,51,255000,34.5142
-595.0025024414062,4.55,25.7375,3.81,52,52,260000,34.8718
-1091.57763671875,135.4,68.3262,135.98,53,53,265000,31.6266
-1791.313720703125,248.33,31.3008,254.68,54,54,270000,33.1126
-2437.710693359375,1006.36,41.2046,1006.3,55,55,275000,36.3169
-2549.376220703125,974.13,63.8447,974.1,56,56,280000,39.6234
-2537.756103515625,992.88,47.5658,992.81,57,57,285000,38.2394
-2596.321044921875,978.28,53.4323,978.87,58,58,290000,39.9303
-2660.296142578125,1007.43,32.6455,1008.25,59,59,295000,38.9769
-2718.077392578125,1021.12,39.8221,1022.25,60,60,300000,38.9224
-2497.49169921875,998.35,26.2293,1037.57,61,61,305000,34.254
-2500.3408203125,976.25,32.1656,975.4,62,62,310000,37.0012
-2770.37548828125,553.11,37.3043,538.06,63,63,315000,36.6423
-2860.326416015625,1025.19,35.5372,1025.42,64,64,320000,34.8916
-2724.763671875,1033.09,35.3513,1035.52,65,65,325000,38.1304
-2768.87744140625,1047.28,34.0521,1042.37,66,66,330000,39.309
-3033.452880859375,1029.81,36.2552,1029.78,67,67,335000,38.0835
-2334.555419921875,971.93,25.6503,981.97,68,68,340000,34.8592
-3117.234130859375,1009.22,39.6671,1011.21,69,69,345000,38.381
-3044.564697265625,46.79,30.0686,45.56,70,70,350000,39.4634
-3231.6044921875,1018.21,37.4117,1017.91,71,71,355000,39.9379
-2102.572509765625,531.45,24.6051,532.0,72,72,360000,33.2067
-2467.669921875,597.82,44.8148,599.28,73,73,365000,34.9833
-2390.933349609375,648.84,73.1785,668.2,74,74,370000,35.3767
-3415.541748046875,1002.73,36.2311,1004.61,75,75,375000,38.502
-3360.404541015625,1029.14,28.3379,1029.6,76,76,380000,38.5055
-3389.0908203125,1040.96,30.7887,1041.46,77,77,385000,38.8323
-3347.196533203125,1020.09,25.6661,1048.49,78,78,390000,35.8813
-2778.741943359375,317.2,37.4373,324.0,79,79,395000,34.514
