Running Env Steps,Running Forward KL,Running Update Time,Itration,Real Sto Return,Reward Loss,Real Det Return,Running Reverse KL
0,31.9413,0,0,215.07,656.7935180664062,216.33,18.7902
5000,31.0818,1,1,257.96,240.59512329101562,258.98,15.9438
10000,32.184,2,2,235.38,218.18319702148438,212.1,19.1949
15000,32.2132,3,3,288.42,156.33494567871094,296.24,29.3335
20000,30.9484,4,4,300.1,257.63885498046875,352.86,28.6501
25000,32.1695,5,5,329.94,80.88128662109375,333.21,19.2152
30000,30.2062,6,6,321.71,83.21858215332031,324.81,18.9779
35000,31.1349,7,7,340.79,-5.485703468322754,347.65,19.0911
40000,30.7005,8,8,352.12,-69.32025146484375,353.7,17.4123
45000,31.3876,9,9,344.97,-136.05152893066406,351.71,18.3714
50000,30.7361,10,10,349.25,-160.83888244628906,356.18,20.7799
55000,31.0645,11,11,369.67,-206.30111694335938,366.38,19.6045
60000,31.4926,12,12,358.16,-256.78302001953125,364.96,22.1519
65000,30.9892,13,13,436.52,-292.48388671875,457.18,22.3402
70000,31.0167,14,14,356.52,-354.5506591796875,370.96,21.4605
75000,30.858,15,15,385.35,-401.1041564941406,439.22,21.2748
80000,30.7492,16,16,508.03,-438.6639709472656,507.99,21.8792
85000,30.7247,17,17,633.49,-458.50970458984375,547.47,21.4891
90000,29.5193,18,18,561.14,-493.24090576171875,639.6,19.6889
95000,29.7516,19,19,544.23,-556.3977661132812,492.29,21.3289
100000,28.5992,20,20,569.12,-576.2871704101562,645.84,20.7124
105000,27.7309,21,21,705.53,-573.8615112304688,799.53,23.9112
110000,28.5229,22,22,695.2,-684.6117553710938,790.07,24.1612
115000,28.3464,23,23,765.08,-714.1563110351562,771.63,19.9034
120000,28.3009,24,24,757.6,-774.4857788085938,850.77,21.3146
125000,27.5819,25,25,873.49,-755.6654663085938,887.61,21.6372
130000,27.9152,26,26,812.78,-849.985107421875,837.78,25.4723
135000,27.8331,27,27,738.24,-908.3974609375,867.63,25.1696
140000,26.4544,28,28,902.7,-823.1941528320312,951.16,21.4813
145000,27.8671,29,29,849.35,-991.2113647460938,877.38,27.0391
150000,27.2944,30,30,846.29,-1009.2775268554688,741.47,22.1874
155000,26.814,31,31,1022.65,-903.7864990234375,1224.65,20.7514
160000,26.8971,32,32,642.01,-948.520751953125,1354.54,20.9496
165000,27.4956,33,33,1177.54,-899.1834106445312,1216.88,21.4037
170000,27.3903,34,34,1216.05,-990.9652709960938,1162.2,20.5249
175000,27.2828,35,35,1180.39,-993.5170288085938,1280.25,19.2405
180000,26.7672,36,36,1519.5,-498.6860046386719,2640.8,17.9729
185000,27.9414,37,37,2343.64,-475.6918029785156,2195.56,17.9882
190000,27.9065,38,38,1249.08,-1013.6033325195312,894.03,18.0117
195000,27.7538,39,39,2309.71,-618.650390625,2010.91,17.5893
200000,27.9949,40,40,1472.0,-980.378173828125,1104.94,18.4504
205000,26.7763,41,41,2682.47,-265.9154968261719,3068.05,17.3632
210000,26.7862,42,42,2447.15,-326.20513916015625,2991.86,17.8279
215000,28.0863,43,43,2416.59,-755.6472778320312,1922.03,19.2053
220000,26.814,44,44,2799.31,-411.2712097167969,3200.9,18.4354
225000,27.5311,45,45,1360.36,-1200.4576416015625,1339.57,22.8883
230000,26.8597,46,46,2402.74,-829.44287109375,3316.28,21.2494
235000,27.3356,47,47,2192.63,-585.7869262695312,2365.56,20.3552
240000,27.1281,48,48,1401.2,-1209.1519775390625,1428.38,20.744
245000,27.1467,49,49,2662.71,-643.5886840820312,3347.24,18.256
250000,27.0226,50,50,3124.83,-343.79473876953125,3268.81,18.8191
255000,25.9853,51,51,2931.29,-460.0391845703125,3300.26,17.8481
260000,26.7961,52,52,3229.56,-459.3898620605469,3225.47,19.5061
265000,26.9582,53,53,1759.4,-986.677978515625,2651.55,19.0078
270000,26.7169,54,54,3191.67,-239.1385955810547,3221.2,19.5054
275000,25.8527,55,55,2534.81,-560.9255981445312,3322.55,16.4058
280000,26.4587,56,56,3054.29,-368.99786376953125,3263.25,18.0052
285000,26.8861,57,57,1456.0,-1302.904052734375,3247.68,17.063
290000,26.5174,58,58,1763.99,-845.4863891601562,3306.98,18.02
295000,26.4946,59,59,3189.94,-649.6802368164062,3291.68,17.5155
300000,26.4336,60,60,2737.1,-532.3756713867188,3307.6,17.8168
305000,26.7556,61,61,2455.96,-921.2547607421875,3253.57,19.7473
310000,27.095,62,62,2675.96,-803.0150146484375,3293.94,19.5262
315000,27.0809,63,63,3006.25,-404.3775939941406,3236.28,19.6669
320000,26.2965,64,64,3072.33,-528.8412475585938,3245.72,18.4287
325000,26.3643,65,65,2853.67,-803.9606323242188,3286.36,17.8034
330000,26.4749,66,66,3225.06,-552.7933349609375,3260.22,18.2807
335000,26.7269,67,67,2488.93,-820.3554077148438,3318.49,20.8294
340000,26.3149,68,68,2707.99,-578.9556274414062,2274.02,18.7378
345000,26.6871,69,69,2142.25,-1167.500732421875,3356.07,20.8073
350000,26.9474,70,70,2085.76,-1513.6702880859375,3361.86,21.2738
355000,26.7296,71,71,3146.88,-594.7841796875,3281.77,18.0255
360000,27.4295,72,72,1661.97,-1602.4693603515625,1172.22,21.3722
365000,26.5747,73,73,2772.0,-940.3555908203125,3296.57,19.7524
370000,26.5945,74,74,2859.38,-767.1476440429688,3330.98,18.5114
375000,27.2959,75,75,1883.16,-1207.152587890625,3185.21,21.0574
380000,26.3222,76,76,2291.14,-1070.302490234375,1217.11,18.2556
385000,26.5508,77,77,2538.5,-806.7769165039062,3288.46,18.292
390000,25.5276,78,78,3274.62,-639.9270629882812,3267.24,18.2477
395000,27.0845,79,79,2203.08,-1371.3251953125,1850.97,17.0323
400000,26.6505,80,80,2307.51,-1034.7061767578125,3321.06,17.6883
405000,26.3269,81,81,3194.34,-740.350341796875,3306.29,18.4336
410000,25.757,82,82,2968.45,-698.2547607421875,3252.52,19.2043
415000,26.0429,83,83,2361.73,-867.028564453125,3367.84,17.6398
420000,25.3728,84,84,3143.07,-759.05712890625,3180.45,18.5255
425000,26.7608,85,85,2055.54,-1600.0189208984375,2227.85,15.7907
430000,26.4681,86,86,2871.47,-795.7554931640625,3280.68,18.9748
435000,25.8365,87,87,2450.55,-994.6187133789062,3282.82,20.1476
440000,25.109,88,88,3160.91,-1081.1611328125,3244.32,19.7028
445000,25.8467,89,89,2674.48,-1295.8343505859375,3342.88,19.8639
450000,25.4258,90,90,3216.34,-797.0955810546875,3200.2,18.4843
455000,26.0265,91,91,2786.52,-940.0947265625,3307.71,19.452
460000,25.5655,92,92,2397.19,-917.2457275390625,3342.47,19.8629
465000,25.3841,93,93,2750.8,-1038.3739013671875,3287.05,21.5792
470000,25.8723,94,94,3011.91,-973.0203247070312,3309.44,21.6082
475000,25.5623,95,95,2890.35,-1049.5499267578125,3279.83,19.521
480000,26.0749,96,96,3129.16,-819.2770385742188,3288.2,19.1571
485000,26.4629,97,97,3176.92,-952.137451171875,3259.29,20.1602
490000,24.8528,98,98,2769.88,-1153.8348388671875,3157.68,21.8671
495000,26.0803,99,99,2678.9,-1212.0330810546875,3334.54,22.8027
500000,25.9379,100,100,3011.17,-1237.7259521484375,3279.8,23.1648
505000,26.6626,101,101,1930.53,-1814.4580078125,3208.44,28.2215
510000,24.4595,102,102,3132.97,-1122.5189208984375,3280.86,21.0746
515000,26.2676,103,103,3094.38,-1277.6551513671875,3354.07,20.5287
520000,25.849,104,104,3243.95,-1001.4080200195312,3306.62,18.6374
525000,24.773,105,105,3194.01,-1050.9930419921875,3291.02,18.2269
530000,26.2975,106,106,2866.2,-1438.05517578125,3288.85,22.1549
535000,25.1615,107,107,3172.74,-1174.56982421875,3238.24,19.4493
540000,25.6676,108,108,3046.55,-1036.193603515625,3272.43,18.2003
545000,25.3545,109,109,3189.23,-995.9081420898438,3272.04,18.5253
550000,26.0737,110,110,3301.29,-1044.4337158203125,3305.3,19.2601
555000,25.8961,111,111,3163.83,-1223.5167236328125,3251.43,19.9512
560000,26.9045,112,112,3087.03,-1164.93701171875,3282.4,19.8123
565000,25.6472,113,113,3188.47,-1136.28173828125,3271.5,18.8904
570000,26.0009,114,114,3115.66,-1179.85693359375,3283.61,18.1006
575000,25.8855,115,115,2772.52,-1489.3389892578125,3343.68,21.8861
580000,25.9458,116,116,3257.91,-1339.15087890625,3268.72,20.4296
585000,25.8352,117,117,2714.43,-1503.2327880859375,3329.28,21.322
590000,25.2348,118,118,2586.21,-1311.013671875,3294.23,19.2793
595000,25.3243,119,119,3216.25,-1396.5216064453125,3297.71,20.2711
600000,25.6415,120,120,3142.54,-1393.81201171875,3313.38,19.3997
605000,25.7108,121,121,2613.7,-1767.625732421875,3336.81,24.2914
