Running Reverse KL,Running Forward KL,Reward Loss,Real Sto Return,Running Update Time,Running Env Steps,Itration,Real Det Return
25.8824,31.0724,-1368.958740234375,195.16,0,0,0,188.54
22.0884,31.2426,-1211.255859375,235.0,1,5000,1,247.66
28.9678,30.3856,-1198.2252197265625,289.02,2,10000,2,282.29
37.6019,28.0562,-1300.8194580078125,377.61,3,15000,3,358.16
35.5384,28.4456,-1398.002685546875,334.53,4,20000,4,200.16
43.4218,28.3535,-1434.8839111328125,458.61,5,25000,5,683.87
177.0716,37.7519,-2630.500244140625,0.46,6,30000,6,0.39
29.6354,37.1174,-2147.899169921875,795.98,7,35000,7,974.87
37.7163,37.8422,-2200.733154296875,999.56,8,40000,8,998.98
38.0785,34.4607,-2303.2177734375,20.79,9,45000,9,16.03
53.8945,30.9042,-2434.868896484375,292.02,10,50000,10,293.12
66.1893,27.8844,-1989.42138671875,290.29,11,55000,11,303.23
49.6513,30.6258,-2101.420654296875,259.96,12,60000,12,262.73
48.2312,29.8553,-1744.3355712890625,308.55,13,65000,13,335.38
89.6394,32.2472,-2142.388671875,605.42,14,70000,14,620.35
41.6374,34.7596,-2462.27001953125,972.43,15,75000,15,971.83
23.2807,35.3572,-2217.9150390625,987.03,16,80000,16,989.68
35.3985,38.0017,-2665.099609375,999.43,17,85000,17,1001.42
23.244,29.4583,-1454.270751953125,284.51,18,90000,18,285.3
21.6295,34.936,-2631.236328125,1052.45,19,95000,19,1055.97
20.7891,35.5715,-2713.618896484375,1025.25,20,100000,20,1016.82
68.6839,30.8288,-2476.642578125,338.03,21,105000,21,338.91
48.0244,32.5318,-2437.794921875,232.73,22,110000,22,231.77
28.2245,35.9623,-3104.474853515625,1034.1,23,115000,23,1031.89
29.4485,30.5023,-2487.211181640625,914.23,24,120000,24,927.99
26.3615,31.2725,-2451.314697265625,535.47,25,125000,25,526.72
19.5168,31.0195,-2198.84521484375,236.8,26,130000,26,242.22
48.6604,40.5036,-3046.928955078125,1009.96,27,135000,27,1010.51
30.3848,33.4548,-3183.587890625,1042.45,28,140000,28,1038.77
29.0683,37.5867,-3120.86181640625,1010.79,29,145000,29,1016.64
36.2245,36.2522,-3418.841552734375,1040.7,30,150000,30,1040.81
206.604,33.7067,-2213.397216796875,302.34,31,155000,31,302.33
32.0378,31.2056,-3170.6767578125,881.25,32,160000,32,1051.98
35.6746,37.8152,-3422.87451171875,1022.71,33,165000,33,1027.29
48.3491,39.0716,-3466.813232421875,974.33,34,170000,34,974.77
44.2532,37.6342,-3512.730224609375,983.84,35,175000,35,983.72
43.0663,38.3547,-3559.902099609375,977.18,36,180000,36,977.97
43.0452,38.0743,-3627.534423828125,979.4,37,185000,37,978.91
41.7942,33.3074,-3100.112060546875,107.76,38,190000,38,108.85
28.7136,33.4212,-2838.65625,634.26,39,195000,39,676.23
35.9701,34.3412,-3943.650634765625,332.45,40,200000,40,385.01
37.3429,35.992,-3876.202880859375,1045.56,41,205000,41,1044.67
45.1915,31.7479,-3614.6650390625,100.31,42,210000,42,95.74
37.5622,33.6044,-4173.5537109375,62.72,43,215000,43,63.61
43.9808,31.599,-3466.781005859375,724.83,44,220000,44,1058.31
105.4204,34.0878,-2837.023681640625,310.62,45,225000,45,315.84
23.9481,31.1296,-2900.29443359375,448.48,46,230000,46,452.31
40.7776,38.7125,-4146.62158203125,996.2,47,235000,47,996.15
38.9506,31.187,-3090.74072265625,433.69,48,240000,48,459.85
27.798,33.007,-4693.79736328125,179.52,49,245000,49,184.86
34.595,32.456,-4115.369140625,105.27,50,250000,50,104.71
55.9719,35.4342,-4307.888671875,440.25,51,255000,51,444.75
39.0142,38.5185,-4409.03515625,1002.23,52,260000,52,1002.58
29.9412,36.3965,-4449.29150390625,1046.27,53,265000,53,1051.57
31.0857,31.0052,-3525.302978515625,304.7,54,270000,54,303.17
31.7865,31.7891,-4215.21630859375,594.02,55,275000,55,617.8
35.9789,34.6688,-4573.23583984375,642.15,56,280000,56,750.13
34.9043,37.4646,-4508.0263671875,1018.88,57,285000,57,1017.87
38.456,38.1039,-4643.74951171875,1006.53,58,290000,58,1005.35
37.7845,38.8021,-5117.62646484375,1032.45,59,295000,59,1032.42
27.9243,32.4368,-3697.3134765625,172.86,60,300000,60,214.74
30.8152,34.1975,-5077.0849609375,19.57,61,305000,61,19.45
44.6864,39.4818,-4875.10498046875,1019.61,62,310000,62,1020.62
44.1822,38.9648,-5174.64111328125,998.65,63,315000,63,999.52
30.7929,36.1983,-5037.0693359375,976.13,64,320000,64,980.98
34.6926,37.1441,-5000.69921875,988.55,65,325000,65,991.73
34.9737,35.5254,-4913.25390625,992.82,66,330000,66,993.51
26.0826,29.4956,-3805.349853515625,36.74,67,335000,67,36.99
49.0221,38.8456,-5431.1123046875,980.15,68,340000,68,981.02
40.9435,40.7764,-5455.4208984375,992.5,69,345000,69,994.14
47.56,40.2678,-5532.41259765625,990.42,70,350000,70,989.07
45.5111,39.6427,-5460.0400390625,992.94,71,355000,71,993.54
41.565,39.826,-5544.5673828125,991.22,72,360000,72,990.96
34.3892,40.129,-5709.03857421875,1002.5,73,365000,73,1002.5
28.7629,37.8137,-5381.79150390625,998.15,74,370000,74,1002.08
33.6201,37.222,-5820.24755859375,1009.44,75,375000,75,1006.91
50.4029,39.7846,-5870.85498046875,970.46,76,380000,76,971.09
34.9598,39.159,-5987.17041015625,996.39,77,385000,77,995.92
46.3834,38.381,-5952.455078125,972.78,78,390000,78,972.55
39.9009,37.7207,-6015.046875,987.79,79,395000,79,989.65
33.9483,37.12,-6100.6796875,983.39,80,400000,80,979.47
35.229,36.8295,-6215.7294921875,981.31,81,405000,81,980.8
27.0206,35.7008,-5783.00146484375,1017.89,82,410000,82,1006.49
30.7849,35.2456,-6403.25,1024.66,83,415000,83,1046.97
39.4506,37.2506,-5982.3603515625,1048.33,84,420000,84,1048.41
39.176,37.3468,-6601.86572265625,703.65,85,425000,85,1048.22
39.8419,35.711,-6336.93310546875,1053.39,86,430000,86,1053.95
41.7168,35.702,-6515.86328125,1046.73,87,435000,87,1047.81
38.6692,35.6126,-6896.02294921875,150.85,88,440000,88,153.69
74.549,29.5927,-5650.80078125,346.99,89,445000,89,316.92
34.1355,32.7464,-6639.53955078125,237.12,90,450000,90,229.77
35.772,35.6183,-6938.0537109375,1059.43,91,455000,91,1058.88
33.0192,35.5787,-7005.30322265625,1050.28,92,460000,92,1050.77
23.5236,34.6286,-6264.8984375,1027.72,93,465000,93,1022.53
26.3814,33.4715,-6659.26171875,64.83,94,470000,94,65.12
37.2794,32.6662,-5559.66064453125,163.24,95,475000,95,160.91
46.7454,39.3796,-7277.68603515625,985.08,96,480000,96,980.58
42.1007,37.4288,-7243.70751953125,1012.75,97,485000,97,1011.8
46.6099,39.3147,-7276.78564453125,1019.23,98,490000,98,1018.57
33.186,37.2139,-7457.49658203125,811.19,99,495000,99,978.15
37.805,37.8275,-7580.11376953125,1034.2,100,500000,100,1034.65
34.9371,32.441,-6962.4765625,76.76,101,505000,101,75.98
44.8777,33.2279,-6130.41552734375,108.67,102,510000,102,108.07
33.1448,37.6972,-7634.3916015625,1012.02,103,515000,103,1008.32
88.1747,33.8861,-8077.1142578125,261.9,104,520000,104,258.22
39.05,37.5625,-7630.6611328125,1025.29,105,525000,105,1025.75
37.6985,31.8554,-6452.5390625,125.3,106,530000,106,120.75
69.6886,32.0588,-7743.46484375,108.16,107,535000,107,101.2
41.0552,38.0709,-8097.6865234375,1027.48,108,540000,108,1027.69
33.1664,37.0714,-8285.47265625,1045.97,109,545000,109,1045.63
47.1926,39.2769,-8343.982421875,975.3,110,550000,110,975.5
51.7506,39.7105,-8476.333984375,973.91,111,555000,111,974.35
44.9888,39.7397,-8467.2373046875,973.18,112,560000,112,973.28
51.3169,37.8325,-8454.5390625,975.49,113,565000,113,975.51
47.7723,32.7416,-7597.51611328125,101.29,114,570000,114,159.08
36.4448,33.8146,-8062.5732421875,499.76,115,575000,115,504.51
38.0608,35.7632,-8311.5478515625,490.43,116,580000,116,466.03
26.8771,37.0084,-8726.767578125,1028.73,117,585000,117,1029.45
35.4373,36.1944,-8878.49609375,1026.86,118,590000,118,1027.17
39.2996,35.1089,-8672.6640625,973.19,119,595000,119,1021.74
47.0914,37.6056,-8727.5595703125,991.0,120,600000,120,990.11
53.3907,40.4957,-8908.625,1008.32,121,605000,121,1008.56
51.6197,39.2502,-9105.5751953125,1008.82,122,610000,122,1008.16
46.262,35.4979,-9405.1572265625,663.79,123,615000,123,1041.12
61.6069,36.3749,-9393.6240234375,979.11,124,620000,124,1010.87
33.1813,32.4905,-7881.4150390625,183.81,125,625000,125,185.03
56.5418,41.0072,-9314.4892578125,1001.77,126,630000,126,1000.53
46.5436,38.3183,-9224.693359375,974.59,127,635000,127,979.3
108.552,35.6214,-9886.248046875,16.57,128,640000,128,15.97
55.4295,34.2329,-9440.501953125,373.06,129,645000,129,372.93
28.1378,34.4496,-9617.5283203125,397.61,130,650000,130,409.02
28.8521,35.8036,-9706.7763671875,1008.93,131,655000,131,1009.97
223.441,39.3572,-10269.1083984375,-2.43,132,660000,132,-2.36
43.7337,37.4324,-9920.7548828125,996.01,133,665000,133,998.21
35.8373,38.8508,-10002.5263671875,994.89,134,670000,134,989.09
42.7578,37.4974,-10148.955078125,985.36,135,675000,135,972.84
25.8232,37.0702,-10049.6123046875,997.18,136,680000,136,998.79
43.6276,37.9852,-10416.7216796875,974.79,137,685000,137,971.41
49.3035,38.3754,-10396.2509765625,991.5,138,690000,138,991.7
50.7679,38.2254,-10531.279296875,991.69,139,695000,139,991.96
33.0994,36.449,-10608.7509765625,1005.43,140,700000,140,1004.72
30.1662,36.1724,-10550.421875,977.23,141,705000,141,1012.01
25.8126,32.4249,-8831.490234375,45.47,142,710000,142,45.86
35.5088,38.0318,-11267.55078125,1013.55,143,715000,143,1013.49
36.4987,38.7136,-11065.0478515625,997.64,144,720000,144,998.11
34.2559,36.328,-11260.59375,1018.99,145,725000,145,1001.44
47.549,34.9993,-11606.625,17.24,146,730000,146,17.51
43.9851,36.7149,-11536.779296875,1030.66,147,735000,147,1030.83
43.3191,38.6232,-11234.68359375,1009.66,148,740000,148,1009.79
40.0746,36.9436,-10966.6337890625,1004.5,149,745000,149,1004.5
51.0965,37.9214,-11569.328125,1001.42,150,750000,150,1001.68
43.3184,36.977,-11709.8505859375,706.78,151,755000,151,840.73
47.5455,37.1993,-11617.4091796875,979.42,152,760000,152,981.03
50.3588,36.1993,-11895.490234375,982.71,153,765000,153,982.73
28.6369,34.692,-11856.189453125,1016.97,154,770000,154,1019.16
28.0859,37.2282,-12104.576171875,1047.41,155,775000,155,1025.38
30.96,36.1098,-11883.515625,994.07,156,780000,156,1007.6
22.916,34.851,-11694.7158203125,1005.67,157,785000,157,1005.71
42.7112,34.3498,-12718.7900390625,82.75,158,790000,158,83.32
42.5143,36.4098,-12263.09765625,1037.13,159,795000,159,1037.15
38.3374,33.0565,-12908.8916015625,50.5,160,800000,160,50.31
104.8961,33.1432,-10166.05078125,74.56,161,805000,161,69.6
61.4922,38.759,-12690.89453125,986.45,162,810000,162,986.53
55.144,38.1369,-12615.1513671875,1002.27,163,815000,163,1002.54
57.828,38.7542,-12837.7099609375,1005.69,164,820000,164,1005.45
31.9086,38.0959,-12675.86328125,1008.2,165,825000,165,1008.84
54.2303,38.5408,-12972.0068359375,1001.43,166,830000,166,1001.91
41.0147,38.4326,-12867.1015625,980.9,167,835000,167,980.73
54.3026,39.0865,-12774.876953125,1003.97,168,840000,168,1003.84
57.1294,38.4473,-13480.517578125,309.33,169,845000,169,308.23
58.4269,37.8803,-13253.826171875,1003.04,170,850000,170,1003.26
49.9465,35.981,-15494.7509765625,116.68,171,855000,171,116.57
61.6634,37.0204,-13611.662109375,1002.95,172,860000,172,1002.75
46.4401,33.5009,-12421.056640625,205.21,173,865000,173,205.08
48.1175,35.4426,-12775.5703125,496.76,174,870000,174,495.06
45.2259,39.0065,-13925.912109375,988.83,175,875000,175,988.99
29.0659,32.3213,-12935.3935546875,124.02,176,880000,176,177.79
37.6199,37.8841,-14365.154296875,33.1,177,885000,177,31.42
37.2733,35.9329,-13952.0537109375,1028.79,178,890000,178,1033.09
31.4338,37.0878,-14112.5908203125,1019.85,179,895000,179,1021.59
37.5993,38.5134,-14159.462890625,1004.94,180,900000,180,1006.21
32.9476,39.2686,-14386.615234375,1003.45,181,905000,181,996.0
38.5305,37.5899,-14438.26953125,1036.0,182,910000,182,1048.29
38.874,33.645,-14270.3017578125,63.59,183,915000,183,66.1
33.3508,37.3684,-14049.572265625,657.82,184,920000,184,1062.91
35.948,37.815,-14568.1904296875,997.0,185,925000,185,998.87
38.8315,37.2766,-14452.0146484375,999.45,186,930000,186,999.02
28.8183,36.4065,-14866.4990234375,900.78,187,935000,187,1050.44
75.041,35.3177,-16194.232421875,718.18,188,940000,188,279.86
42.1975,34.8715,-12435.3359375,365.78,189,945000,189,376.97
27.4669,34.968,-15351.2451171875,1016.12,190,950000,190,1010.57
31.0694,36.1052,-15652.7109375,1006.69,191,955000,191,998.26
29.1804,36.3584,-15538.0771484375,1053.96,192,960000,192,1053.4
29.2124,36.7499,-15889.43359375,1038.78,193,965000,193,1037.61
52.0063,36.2456,-15325.12109375,1012.85,194,970000,194,1012.4
46.6924,36.5737,-15665.314453125,1019.67,195,975000,195,1019.7
48.0641,38.408,-15741.611328125,1021.61,196,980000,196,1020.2
74.9949,33.2086,-16456.033203125,416.23,197,985000,197,346.67
33.3655,38.6325,-15683.578125,988.57,198,990000,198,988.13
179.6362,36.133,-18830.140625,61.07,199,995000,199,71.96
