Itration,Real Sto Return,Real Det Return,Running Forward KL,Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps
0,275.48,292.95,31.2227,0,403.7852783203125,13.6494,0
1,295.14,317.26,30.0768,1,641.6264038085938,15.8171,5000
2,328.65,334.65,29.853,2,322.61907958984375,16.789,10000
3,337.62,346.78,29.062,3,370.27081298828125,24.125,15000
4,366.15,387.09,28.0167,4,244.17401123046875,16.1498,20000
5,389.4,395.48,27.4288,5,121.33004760742188,20.3267,25000
6,392.79,389.49,27.3686,6,171.106689453125,21.4002,30000
7,426.49,435.43,25.9152,7,49.168113708496094,25.6011,35000
8,465.14,493.07,25.9193,8,50.632659912109375,25.6224,40000
9,545.1,543.83,24.1789,9,-68.90967559814453,22.7188,45000
10,621.06,589.68,25.2062,10,-104.53165435791016,31.0692,50000
11,636.71,638.72,25.6173,11,73.6644058227539,16.7989,55000
12,1031.49,819.85,25.1737,12,-122.39820098876953,16.8706,60000
13,653.52,626.9,25.7784,13,291.69732666015625,127.5042,65000
14,1082.67,979.35,24.0105,14,-132.0012969970703,18.7311,70000
15,1240.17,1353.18,23.0636,15,-85.46879577636719,41.7392,75000
16,917.04,805.73,24.2719,16,149.50271606445312,63.1195,80000
17,227.68,250.75,35.5731,17,-493.191162109375,128.2038,85000
18,1016.7,1016.65,37.0138,18,-461.6844482421875,37.3505,90000
19,333.21,336.41,31.8897,19,-516.7015380859375,18.8197,95000
20,1036.87,1040.23,36.7492,20,-551.5043334960938,33.7883,100000
21,527.09,628.74,26.5916,21,-519.5895385742188,23.1776,105000
22,1032.7,1034.83,34.6557,22,-478.06072998046875,23.7282,110000
23,974.51,972.45,37.4056,23,-669.0985717773438,34.6986,115000
24,548.73,587.26,29.7586,24,-231.3950958251953,18.2992,120000
25,324.04,295.97,27.5762,25,-601.1663208007812,23.2596,125000
26,1026.77,1021.57,37.053,26,-788.1980590820312,25.875,130000
27,1047.7,1083.99,33.4429,27,-707.8948364257812,18.9463,135000
28,286.01,283.5,31.0729,28,-179.0089874267578,18.8626,140000
29,224.22,221.83,30.8165,29,-1219.811767578125,120.2203,145000
30,136.16,380.98,32.3629,30,-781.4169921875,42.5429,150000
31,554.4,578.86,28.2587,31,-321.5889587402344,87.0843,155000
32,1039.51,1038.77,36.774,32,-1039.0068359375,35.8124,160000
33,467.79,431.55,27.9165,33,-415.47967529296875,23.2019,165000
34,452.99,320.02,27.8657,34,-589.0997314453125,23.2723,170000
35,654.21,774.2,25.1578,35,-147.6040802001953,14.47,175000
36,358.63,344.27,30.3546,36,-726.5158081054688,23.6472,180000
37,333.41,281.34,29.8046,37,5.161187648773193,24.2167,185000
38,957.64,1044.75,29.0607,38,-1093.29150390625,36.3279,190000
