Reward Loss,Running Forward KL,Running Reverse KL,Real Det Return,Running Env Steps,Itration,Real Sto Return,Running Update Time
387.8792724609375,31.9551,19.9719,207.73,0,0,207.33,0
331.77764892578125,30.5947,19.4146,341.88,5000,1,338.98,1
271.03607177734375,31.4379,24.6244,338.33,10000,2,329.71,2
266.74481201171875,31.0752,25.3195,392.02,15000,3,379.66,3
240.4129638671875,26.3438,23.9657,632.44,20000,4,516.52,4
97.60546112060547,26.6071,16.0211,274.1,25000,5,278.4,5
57.44722366333008,27.1665,27.8756,595.33,30000,6,515.83,6
188.2182159423828,25.9159,34.7249,743.09,35000,7,723.2,7
128.60366821289062,24.7359,40.953,1200.03,40000,8,941.09,8
93.33558654785156,26.6695,30.3047,562.73,45000,9,605.34,9
-40.014835357666016,22.5524,27.4102,1134.89,50000,10,1287.61,10
-179.4561767578125,35.656,38.5304,394.07,55000,11,410.86,11
-99.81095123291016,31.7574,19.3215,25.89,60000,12,26.15,12
-302.41680908203125,37.3579,43.8779,969.8,65000,13,968.94,13
-394.2752685546875,29.5971,53.4862,42.94,70000,14,83.53,14
-397.5982360839844,36.1923,30.3025,1041.19,75000,15,1043.57,15
-240.98240661621094,28.0982,25.465,538.29,80000,16,541.0,16
-532.8399658203125,26.2946,43.2047,708.05,85000,17,698.22,17
-192.76101684570312,26.2088,28.1526,428.63,90000,18,372.67,18
-469.2534484863281,27.4704,62.4831,589.21,95000,19,682.15,19
-674.095947265625,27.425,25.4028,726.84,100000,20,654.75,20
-660.4673461914062,36.4431,26.1937,992.64,105000,21,988.23,21
-651.4113159179688,36.7362,24.3802,994.65,110000,22,993.72,22
-355.6497497558594,26.06,20.4432,369.83,115000,23,439.76,23
-449.672607421875,27.482,32.3596,862.09,120000,24,744.65,24
-615.018310546875,28.3036,37.8941,425.76,125000,25,460.17,25
-624.591796875,30.6963,19.5861,325.09,130000,26,318.87,26
-974.5509643554688,40.2311,47.3162,135.21,135000,27,135.9,27
-956.8140258789062,35.9747,32.2582,1059.16,140000,28,1060.83,28
-853.2403564453125,36.0351,31.5013,1060.33,145000,29,1062.57,29
-1088.1109619140625,35.2285,40.8517,998.91,150000,30,1000.62,30
-808.2258911132812,32.2851,29.2839,1045.71,155000,31,786.71,31
-1266.64306640625,31.0741,27.5903,701.08,160000,32,652.12,32
-1287.451904296875,32.1863,30.6644,1045.11,165000,33,894.46,33
-1312.0616455078125,36.5063,38.3963,1032.64,170000,34,1032.11,34
-1203.3365478515625,30.502,34.3707,241.37,175000,35,235.29,35
-1386.4935302734375,34.5178,51.6511,219.45,180000,36,281.57,36
-1464.4378662109375,38.08,36.5409,999.5,185000,37,998.92,37
-1319.0653076171875,28.6228,25.0229,1056.34,190000,38,831.32,38
-1499.5032958984375,35.9332,21.2919,1018.94,195000,39,1018.16,39
-1618.298583984375,38.5187,45.562,992.61,200000,40,966.87,40
-936.2453002929688,28.3179,78.6076,433.45,205000,41,432.61,41
-951.786865234375,28.6398,79.8227,457.67,210000,42,508.35,42
-1557.32958984375,33.0297,32.6096,336.91,215000,43,303.71,43
-1614.9432373046875,30.1444,36.9748,434.26,220000,44,451.55,44
-1257.2119140625,31.9073,23.9449,84.75,225000,45,82.18,45
-1667.505615234375,33.0272,25.0045,437.56,230000,46,463.82,46
-2009.6624755859375,36.0241,41.3863,996.7,235000,47,997.21,47
-1433.9915771484375,30.4686,44.3653,288.25,240000,48,289.94,48
-2104.28369140625,36.4477,48.2316,986.68,245000,49,986.32,49
-1877.176513671875,33.9751,43.3388,393.21,250000,50,568.38,50
-2006.1654052734375,37.6279,26.5937,1015.87,255000,51,1015.21,51
-2217.8505859375,37.4484,26.0882,1029.93,260000,52,1029.4,52
-1444.8216552734375,28.4613,17.4891,1387.27,265000,53,1052.17,53
-2316.8662109375,35.3499,27.004,1034.8,270000,54,1041.17,54
-2218.99951171875,35.103,21.8431,1006.9,275000,55,1033.15,55
-2435.900146484375,35.1936,25.0837,1032.48,280000,56,1035.57,56
-2533.720947265625,38.5184,33.6627,1040.4,285000,57,1041.16,57
-2173.64501953125,31.9061,60.6443,44.84,290000,58,44.69,58
-2168.93359375,27.2966,114.5624,393.3,295000,59,418.68,59
-2698.0634765625,36.7026,33.5249,997.79,300000,60,998.46,60
-2609.510986328125,32.2863,24.5717,207.47,305000,61,206.71,61
-2217.012451171875,27.1851,26.6955,997.37,310000,62,1097.14,62
-2765.006103515625,36.3954,25.108,1012.63,315000,63,1009.85,63
-2868.5517578125,37.5173,30.3103,994.38,320000,64,998.46,64
-2920.128173828125,36.6416,26.877,1002.48,325000,65,1008.14,65
-3027.98291015625,36.7322,47.9085,981.81,330000,66,980.45,66
-3105.3193359375,38.1411,44.1065,982.34,335000,67,982.4,67
-3114.92041015625,38.6006,34.2187,979.0,340000,68,978.96,68
-3124.451171875,38.086,35.123,976.49,345000,69,978.19,69
-3275.209228515625,38.0133,46.9993,996.5,350000,70,997.35,70
-3336.684814453125,37.3469,37.3303,1041.67,355000,71,1041.49,71
-3443.828369140625,37.6746,35.9929,999.52,360000,72,1001.19,72
-3414.978515625,37.0154,28.5241,1008.38,365000,73,1010.11,73
-3537.68017578125,38.4452,44.4071,1001.9,370000,74,1008.33,74
-3605.603271484375,39.348,39.9673,999.13,375000,75,998.55,75
-3670.835693359375,36.7208,42.5611,1031.39,380000,76,1031.12,76
-3711.3134765625,39.434,29.8145,1029.47,385000,77,1028.19,77
-3771.35498046875,38.5692,27.1988,892.7,390000,78,936.89,78
-3776.42529296875,37.0652,28.0602,1057.81,395000,79,1058.45,79
-3896.1376953125,38.5943,31.9975,1016.24,400000,80,1016.26,80
-3889.740234375,37.557,44.0896,1011.91,405000,81,1012.36,81
-3968.435302734375,36.342,26.7774,1028.11,410000,82,1027.4,82
-4091.330322265625,39.4546,31.4858,1002.2,415000,83,1001.33,83
-4172.8916015625,40.1758,42.9144,1000.41,420000,84,999.71,84
-4238.4853515625,39.2134,55.0348,977.85,425000,85,977.89,85
-4033.468505859375,36.2282,46.2958,189.37,430000,86,181.94,86
-3597.183837890625,34.0194,57.7196,286.88,435000,87,253.47,87
-4168.43701171875,37.4489,41.073,1034.39,440000,88,1034.36,88
-4261.6787109375,35.4229,36.5865,379.14,445000,89,316.89,89
-4571.6494140625,36.7529,74.4637,4.17,450000,90,4.18,90
-4651.5546875,36.6466,45.4187,1005.67,455000,91,1005.68,91
-4349.568359375,34.8421,31.7732,87.58,460000,92,90.96,92
-4573.875,37.0351,31.0535,1054.8,465000,93,1054.23,93
-4625.677734375,33.8608,28.1324,94.38,470000,94,284.19,94
-4841.46630859375,35.9219,37.8992,1022.66,475000,95,1022.12,95
-4982.71240234375,40.3254,41.8453,995.29,480000,96,991.13,96
-4983.880859375,39.1188,45.3973,997.06,485000,97,995.25,97
-5104.3701171875,40.2534,42.9052,994.27,490000,98,993.71,98
-5177.14111328125,39.4288,36.0784,1001.06,495000,99,999.99,99
-5243.67578125,39.8381,36.6437,1002.86,500000,100,1001.07,100
-5259.419921875,38.7372,29.7191,1006.59,505000,101,1005.7,101
-5158.8251953125,37.3139,35.2632,1045.29,510000,102,1045.13,102
-4353.3115234375,29.2735,28.3377,174.39,515000,103,173.04,103
-5317.21044921875,36.5757,49.8281,92.7,520000,104,92.58,104
-5503.90576171875,36.2822,46.1913,88.61,525000,105,88.51,105
-5613.81396484375,37.6742,40.6108,1045.0,530000,106,1044.86,106
-5400.033203125,37.9449,26.6316,1023.64,535000,107,1023.53,107
-5800.890625,37.4288,37.9205,975.07,540000,108,975.02,108
-5696.90478515625,37.5126,33.2423,997.34,545000,109,998.7,109
-5886.513671875,38.0962,39.9148,1013.75,550000,110,1011.74,110
-5985.91357421875,38.3121,35.1476,1001.15,555000,111,1000.96,111
-6055.35400390625,39.8358,43.9971,999.75,560000,112,999.37,112
-5947.33984375,36.577,52.3264,184.39,565000,113,182.49,113
-6209.40185546875,38.8715,49.1124,989.89,570000,114,989.69,114
-6094.78076171875,37.0365,42.1779,1001.81,575000,115,970.99,115
-6212.408203125,37.675,53.1551,1003.03,580000,116,1003.64,116
-6314.16064453125,38.2825,34.8588,979.77,585000,117,979.38,117
-6258.78759765625,35.7665,26.1291,1020.11,590000,118,1020.05,118
-6304.96484375,35.1575,26.7591,1014.78,595000,119,1014.49,119
-6253.15380859375,35.2823,32.7687,1028.6,600000,120,1027.19,120
-6537.814453125,35.1154,31.8396,1006.66,605000,121,1006.68,121
-6557.6103515625,36.8231,28.7338,1006.29,610000,122,1016.31,122
-6713.61181640625,36.5531,34.0469,1015.93,615000,123,1016.8,123
-6747.33203125,38.6209,41.2171,1035.71,620000,124,1036.15,124
-6800.5380859375,34.6227,36.3365,1049.97,625000,125,1049.82,125
-6904.18603515625,37.7269,38.3299,1056.98,630000,126,1056.88,126
-6968.0263671875,38.9138,31.9802,1020.32,635000,127,1032.92,127
-7042.62890625,37.9985,38.0225,1041.32,640000,128,1041.4,128
-6860.466796875,34.0606,34.6709,1047.75,645000,129,1048.22,129
-7221.55859375,37.2961,45.379,975.36,650000,130,975.47,130
-7219.8017578125,38.4671,40.2031,1032.76,655000,131,1032.65,131
-7288.06201171875,34.3492,36.3771,1038.8,660000,132,1038.46,132
-7332.1884765625,34.2107,26.9685,351.35,665000,133,373.41,133
-7443.8994140625,36.0764,35.535,1028.17,670000,134,1027.96,134
-7604.91796875,36.7064,36.5354,987.81,675000,135,974.41,135
-7557.28466796875,35.6283,31.3325,1031.39,680000,136,1031.28,136
-7468.10400390625,35.5244,27.2633,1008.57,685000,137,964.51,137
-7761.77587890625,38.3801,37.03,1020.43,690000,138,1019.74,138
-7782.9326171875,37.5404,34.8733,1035.29,695000,139,1035.46,139
-7879.2490234375,34.7003,42.4282,1052.58,700000,140,1052.4,140
-7887.84521484375,33.9891,47.1244,1054.78,705000,141,1054.79,141
-7957.87939453125,37.0527,28.4639,1037.75,710000,142,1025.76,142
-8329.900390625,38.8463,46.0667,997.12,715000,143,996.23,143
-8229.1025390625,38.7341,30.3549,990.57,720000,144,990.37,144
-8366.681640625,39.1061,40.3936,997.2,725000,145,996.69,145
-8190.57177734375,35.027,37.8266,997.32,730000,146,996.49,146
-8417.13671875,34.1958,40.2385,1050.77,735000,147,1050.65,147
-8285.3505859375,31.3357,38.7802,1048.61,740000,148,1048.17,148
-8656.4296875,36.6441,39.4558,1029.94,745000,149,1047.02,149
-8683.1533203125,38.4045,28.3611,1028.59,750000,150,1027.33,150
-8608.30078125,37.7829,26.0211,1027.96,755000,151,1029.78,151
-8788.251953125,38.4064,34.5175,1047.72,760000,152,1047.08,152
-8799.6923828125,38.5976,32.0687,1029.32,765000,153,1028.9,153
-8793.0859375,38.3034,22.4088,1028.99,770000,154,1022.6,154
-7058.83349609375,27.9074,19.6816,80.6,775000,155,80.21,155
-9203.0068359375,37.3946,37.646,1038.89,780000,156,1039.24,156
-9059.9091796875,38.0372,26.4508,1034.61,785000,157,1034.51,157
-9257.458984375,38.69,25.6584,1023.45,790000,158,1020.39,158
-9446.837890625,39.5714,37.8893,1020.19,795000,159,1016.32,159
-8598.3857421875,34.7113,24.1242,1023.82,800000,160,1003.16,160
-9316.228515625,37.1871,23.904,1031.25,805000,161,1032.93,161
-9539.203125,34.3308,34.1476,1044.12,810000,162,1055.49,162
-9657.22265625,36.8194,30.8718,1050.02,815000,163,857.23,163
-9724.6328125,37.9266,32.9094,1040.39,820000,164,1039.68,164
-9108.5107421875,30.034,23.9867,971.39,825000,165,1007.46,165
-9875.0615234375,34.1715,35.7535,1005.08,830000,166,1049.67,166
-9904.775390625,38.6271,35.4693,1048.52,835000,167,1048.66,167
-9967.7177734375,37.6147,41.2144,1050.55,840000,168,1050.69,168
-10347.8876953125,40.1576,51.1314,976.58,845000,169,976.18,169
-10223.697265625,35.6047,32.7276,1045.89,850000,170,1047.05,170
-10265.24609375,37.657,26.19,1032.97,855000,171,1030.91,171
-9982.6015625,36.9613,26.041,1035.08,860000,172,1031.36,172
-10521.51171875,38.432,34.0634,1046.1,865000,173,1045.05,173
-10588.166015625,40.0775,41.7304,993.75,870000,174,993.79,174
-10818.2646484375,38.6099,44.3234,997.56,875000,175,1011.66,175
-10663.30859375,38.0359,28.8372,1040.62,880000,176,1026.98,176
-10799.6064453125,38.2283,36.1066,1040.01,885000,177,1039.98,177
