Running Forward KL,Real Det Return,Reward Loss,Running Update Time,Running Reverse KL,Itration,Real Sto Return,Running Env Steps
32.2796,220.43,-168.24850463867188,0,21.106,0,219.33,0
30.6939,238.94,-313.5450134277344,1,36.1691,1,226.99,5000
31.8431,265.98,-295.332763671875,2,34.3576,2,259.24,10000
31.0415,311.03,-447.600341796875,3,15.5645,3,305.74,15000
31.8483,310.5,-533.9086303710938,4,15.0923,4,306.22,20000
30.9179,335.84,-270.4171142578125,5,17.3968,5,330.75,25000
30.6197,347.19,-386.81988525390625,6,16.0263,6,339.84,30000
30.7885,335.98,-397.90435791015625,7,21.2206,7,321.18,35000
33.9714,1040.15,-658.325439453125,8,36.5802,8,685.1,40000
40.5095,996.19,-704.5343017578125,9,46.164,9,960.28,45000
37.4534,171.1,-29.551815032958984,10,55.325,10,192.21,50000
34.9633,1035.43,-851.4038696289062,11,26.0713,11,1033.64,55000
37.4802,36.45,87.80303192138672,12,226.2078,12,30.2,60000
32.3128,110.36,-1955.9937744140625,13,67.4599,13,111.72,65000
32.2164,995.31,-933.523681640625,14,43.1563,14,995.48,70000
33.2938,493.35,-636.4033203125,15,22.4348,15,493.31,75000
31.7219,167.15,-414.0753173828125,16,19.283,16,170.76,80000
30.7396,260.93,149.31500244140625,17,21.3338,17,262.5,85000
33.0096,359.78,-684.5407104492188,18,22.8162,18,391.6,90000
35.4301,1008.93,-1168.569091796875,19,42.2971,19,1009.21,95000
37.9996,995.07,-1174.764404296875,20,37.8144,20,993.56,100000
37.0527,64.04,-1141.3896484375,21,30.5386,21,65.58,105000
40.8359,990.64,-1253.6185302734375,22,46.9179,22,991.2,110000
35.8445,1003.42,-1302.36669921875,23,45.4082,23,1003.45,115000
34.3638,229.9,-1584.9263916015625,24,96.319,24,228.92,120000
34.878,109.01,-1999.1051025390625,25,93.3791,25,109.38,125000
38.9662,983.93,-1438.1497802734375,26,47.0517,26,984.75,130000
30.4625,169.99,-1197.4339599609375,27,30.0804,27,166.54,135000
34.083,982.88,-1347.9337158203125,28,31.0602,28,927.0,140000
35.9937,1006.14,-1467.590087890625,29,29.3332,29,1007.92,145000
38.0997,990.38,-1638.79296875,30,45.769,30,988.52,150000
37.9745,99.48,-1215.4100341796875,31,62.9655,31,94.5,155000
38.6887,998.6,-1748.8321533203125,32,44.9142,32,998.02,160000
34.6712,969.52,-1710.7059326171875,33,47.845,33,353.7,165000
39.5408,974.63,-1790.516845703125,34,46.5486,34,974.9,170000
36.8599,1054.15,-1669.75830078125,35,35.8018,35,1052.96,175000
34.579,457.35,-2052.45263671875,36,41.5054,36,630.36,180000
30.972,208.08,-1703.9754638671875,37,36.0556,37,205.9,185000
31.3518,183.41,-1588.44580078125,38,32.704,38,185.63,190000
33.935,466.82,-1968.1002197265625,39,28.8772,39,458.0,195000
35.6607,976.18,-2136.841064453125,40,36.092,40,915.16,200000
32.7032,205.98,-2009.658935546875,41,49.5801,41,250.82,205000
33.1654,1011.13,-2141.0400390625,42,35.1074,42,1010.97,210000
29.5661,302.82,-1804.6400146484375,43,28.3516,43,341.15,215000
35.001,1035.38,-2302.954345703125,44,31.2666,44,1036.08,220000
31.2407,69.99,-1595.794189453125,45,21.3069,45,68.98,225000
34.1428,1000.8,-2318.68701171875,46,34.9428,46,1001.99,230000
32.2368,582.95,-2506.179931640625,47,45.4153,47,396.66,235000
39.4452,969.07,-2454.766357421875,48,62.2984,48,969.28,240000
34.374,972.03,-2484.09033203125,49,47.0852,49,901.61,245000
37.7685,972.66,-2550.7890625,50,47.1951,50,971.96,250000
38.8912,973.47,-2608.982177734375,51,61.2217,51,973.14,255000
39.2622,177.28,-2539.147216796875,52,36.9153,52,168.45,260000
34.3991,210.02,-2795.93994140625,53,31.8771,53,213.68,265000
40.24,1000.73,-2885.183349609375,54,54.3602,54,1001.03,270000
30.3899,122.77,-1523.171875,55,19.7071,55,112.69,275000
