Itration,Running Forward KL,Reward Loss,Running Reverse KL,Real Det Return,Running Env Steps,Running Update Time,Real Sto Return
0,31.9592,128.09300231933594,22.746,188.2,0,0,192.0
1,30.7239,102.94126892089844,22.7619,248.75,5000,1,260.65
2,30.5662,143.3244171142578,15.7491,306.26,10000,2,295.24
3,29.8489,-6.197414875030518,22.0941,295.36,15000,3,306.98
4,30.7427,359.693603515625,44.0052,305.63,20000,4,286.13
5,29.095,141.35464477539062,38.7605,322.61,25000,5,317.6
6,31.6452,161.6464080810547,52.076,365.54,30000,6,356.9
7,30.913,99.5205078125,57.276,369.08,35000,7,347.62
8,29.6312,29.35719871520996,53.7459,366.67,40000,8,386.08
9,28.0791,-96.97664642333984,50.8458,441.9,45000,9,402.9
10,28.6821,-104.42173767089844,42.1603,659.43,50000,10,609.26
11,28.9463,-231.76467895507812,49.4031,533.56,55000,11,531.11
12,29.4591,-186.7335662841797,52.6664,857.73,60000,12,744.38
13,29.0524,-231.76638793945312,48.412,676.34,65000,13,648.49
14,26.8797,-106.58731079101562,55.0042,755.91,70000,14,733.93
15,26.0876,-153.11134338378906,42.3309,962.21,75000,15,884.23
16,27.2202,-212.4783935546875,43.0148,1195.56,80000,16,1133.56
17,27.8146,-305.325439453125,41.2948,1221.8,85000,17,1300.51
18,27.2877,-295.10601806640625,27.392,1838.12,90000,18,1605.58
19,27.0014,-323.61773681640625,20.0587,2726.2,95000,19,2245.08
20,26.9204,-346.72991943359375,24.5691,2893.13,100000,20,2203.78
21,28.8492,-342.4814453125,15.5784,2640.42,105000,21,2443.98
22,27.6161,-277.8542175292969,17.0191,2892.37,110000,22,2420.8
23,27.3707,-372.0992126464844,17.4816,3064.78,115000,23,2707.65
24,27.316,-421.6993408203125,16.128,3185.6,120000,24,1836.54
25,27.3887,-355.3607482910156,17.2066,3107.7,125000,25,2739.33
26,27.2596,-402.7831115722656,17.8656,2633.01,130000,26,2679.69
27,26.7594,-427.93780517578125,19.1268,3071.15,135000,27,2724.29
28,26.4305,-404.4866027832031,16.2252,3138.48,140000,28,2597.67
29,26.7794,-370.2439270019531,14.5918,2991.23,145000,29,2736.69
30,26.7716,-356.8419494628906,16.0471,2615.8,150000,30,2647.13
31,26.9768,-431.64398193359375,15.954,2946.43,155000,31,2735.75
32,27.0795,-456.4150695800781,18.1898,2483.9,160000,32,2829.86
33,26.5075,-396.83782958984375,15.9052,2324.84,165000,33,2741.33
34,26.707,-437.27484130859375,15.7005,3085.96,170000,34,2958.07
35,26.2982,-412.27239990234375,16.6295,3214.46,175000,35,3180.88
36,26.672,-461.0081787109375,16.2872,3147.24,180000,36,3045.03
37,26.669,-477.4466857910156,16.3132,3179.8,185000,37,3197.08
38,26.8871,-474.7166748046875,16.703,3223.81,190000,38,3201.37
39,26.4335,-500.72796630859375,16.314,3248.03,195000,39,3228.7
40,25.4227,-503.1092834472656,15.7347,2826.33,200000,40,3100.99
41,25.9643,-574.6351928710938,15.7814,3237.26,205000,41,3218.06
42,25.1301,-517.2984008789062,15.4095,3343.23,210000,42,3204.47
43,25.1168,-527.61767578125,15.9494,3306.9,215000,43,3146.2
44,23.0819,-531.2470092773438,14.7641,3363.17,220000,44,2907.39
45,24.5216,-581.2421875,14.7134,3330.02,225000,45,3204.24
46,24.1496,-577.8407592773438,14.6027,3352.83,230000,46,3147.54
47,24.5469,-570.3598022460938,15.728,3350.24,235000,47,3295.3
48,24.4321,-600.2938232421875,15.8652,3353.48,240000,48,3314.98
49,24.2067,-608.0230102539062,15.2382,3400.86,245000,49,3007.79
50,24.3439,-671.1004028320312,15.6501,3355.32,250000,50,2896.55
51,24.3015,-685.6595458984375,15.8377,3373.03,255000,51,3358.41
52,23.4591,-645.5234375,14.4412,3396.68,260000,52,3264.4
53,23.8029,-661.6275024414062,15.5919,3447.58,265000,53,3422.17
54,23.828,-664.0280151367188,15.5182,3420.99,270000,54,3255.05
55,23.8705,-723.4806518554688,15.7886,3363.05,275000,55,3355.28
56,23.193,-628.2945556640625,14.5934,3455.96,280000,56,3445.57
