Running Forward KL,Running Reverse KL,Itration,Running Update Time,Real Det Return,Real Sto Return,Running Env Steps,Reward Loss
31.4062,23.8429,0,0,184.02,167.39,0,426.35076904296875
30.6141,14.6263,1,1,320.55,303.39,5000,736.3619995117188
30.7139,21.4458,2,2,288.73,301.68,10000,681.2802734375
28.0626,28.1821,3,3,362.52,391.18,15000,518.2691650390625
27.037,14.4345,4,4,331.61,365.77,20000,400.6488952636719
26.0348,16.4736,5,5,660.17,573.53,25000,163.46890258789062
26.9511,60.6461,6,6,436.12,417.33,30000,469.2445068359375
26.2266,18.6429,7,7,560.22,512.98,35000,97.15191650390625
26.6936,27.6002,8,8,682.49,670.07,40000,62.70516586303711
26.5648,33.3878,9,9,646.1,645.07,45000,114.1603775024414
25.5852,21.1477,10,10,595.74,643.31,50000,8.783982276916504
27.5832,21.208,11,11,671.86,650.75,55000,-138.0876007080078
25.5465,31.9637,12,12,748.92,772.26,60000,122.10531616210938
24.8006,18.7899,13,13,920.18,851.66,65000,-96.01899719238281
25.0882,23.387,14,14,923.79,892.09,70000,-86.8211898803711
24.0399,21.0235,15,15,1376.44,1154.52,75000,-223.64874267578125
24.9034,25.3907,16,16,922.91,1001.19,80000,-142.1240997314453
23.8697,23.233,17,17,1057.03,1123.93,85000,-318.8004150390625
22.4255,18.2203,18,18,2995.16,1873.92,90000,-91.1234359741211
23.3561,18.4442,19,19,2955.95,2252.47,95000,-62.84409713745117
23.593,17.2942,20,20,2508.95,1936.24,100000,-152.6048583984375
24.23,18.992,21,21,1062.46,1861.51,105000,-299.2945556640625
22.8461,13.6172,22,22,2804.92,2250.11,110000,-115.9458999633789
23.5965,16.6494,23,23,1512.29,1113.98,115000,-466.8730163574219
21.2271,16.3681,24,24,3153.4,2092.82,120000,-284.87335205078125
20.8829,13.105,25,25,3202.61,2125.43,125000,-307.9934997558594
20.8782,14.0365,26,26,3164.41,2724.65,130000,-199.8389434814453
20.4214,12.6657,27,27,3167.16,3092.64,135000,-122.51042175292969
20.8986,13.2766,28,28,3217.77,2816.08,140000,-108.49298095703125
19.7763,12.1932,29,29,3192.08,3201.72,145000,-135.7838134765625
19.1119,11.9059,30,30,3244.32,3248.55,150000,-87.47130584716797
19.1698,12.3491,31,31,3233.43,3237.32,155000,-94.60884094238281
18.7354,12.0084,32,32,3293.74,3263.16,160000,-67.9336166381836
19.9142,12.8754,33,33,3266.27,3261.16,165000,-99.09027862548828
19.1234,12.0413,34,34,3274.78,3277.67,170000,-95.34947204589844
18.3565,11.7027,35,35,3285.96,3277.91,175000,-95.40440368652344
18.2244,11.1328,36,36,3285.14,3284.23,180000,-89.61841583251953
18.3759,11.5041,37,37,3316.86,3305.87,185000,-99.1181411743164
18.689,12.138,38,38,3337.92,3335.82,190000,-62.38949966430664
18.0948,10.6791,39,39,3360.95,3344.29,195000,-85.98668670654297
18.344,11.5753,40,40,3381.69,3350.35,200000,-99.3068618774414
18.3107,11.6788,41,41,3379.9,2907.42,205000,-50.064388275146484
18.7636,11.7745,42,42,3358.28,3109.3,210000,-259.3563232421875
17.8963,11.4688,43,43,3360.26,3348.41,215000,-126.64014434814453
18.4617,11.3262,44,44,3269.35,3252.13,220000,-152.41583251953125
18.4915,11.4332,45,45,3393.91,3360.66,225000,-151.52487182617188
18.1142,11.1845,46,46,3390.19,3158.93,230000,-118.93119049072266
17.3009,10.6673,47,47,3342.86,3308.2,235000,-135.82533264160156
18.2841,11.4251,48,48,3404.85,2992.02,240000,-152.20162963867188
18.8852,14.6756,49,49,3380.73,3250.9,245000,-308.7445068359375
18.2254,10.9593,50,50,3388.11,3348.77,250000,-133.515869140625
18.4145,11.6254,51,51,3382.49,3338.67,255000,-170.244384765625
17.5536,11.2886,52,52,3376.95,3301.28,260000,-149.31088256835938
17.4269,11.0945,53,53,3396.93,3367.03,265000,-166.63038635253906
17.7518,11.4202,54,54,3403.16,3366.53,270000,-183.07659912109375
17.6798,10.8528,55,55,3400.04,3354.53,275000,-199.16748046875
17.544,11.0785,56,56,3362.77,3338.25,280000,-183.97471618652344
18.1433,11.7223,57,57,3424.1,3388.22,285000,-178.29122924804688
17.3427,10.9987,58,58,3384.95,3354.42,290000,-174.55433654785156
17.9393,11.4369,59,59,3357.46,3332.2,295000,-205.201171875
17.1805,10.6483,60,60,3375.07,3356.83,300000,-182.38363647460938
18.021,11.6421,61,61,3382.08,3354.44,305000,-237.08705139160156
17.6268,11.4046,62,62,3409.77,3254.78,310000,-253.8605499267578
17.4101,10.6149,63,63,3401.85,3329.95,315000,-191.34571838378906
16.7854,10.1653,64,64,3428.36,3292.85,320000,-186.17137145996094
17.8322,10.8049,65,65,3383.49,2655.59,325000,-208.6112823486328
17.6556,10.7369,66,66,3387.27,3358.55,330000,-214.04876708984375
17.734,11.5345,67,67,3416.19,3387.44,335000,-211.89309692382812
16.5723,10.3791,68,68,3404.95,3386.17,340000,-234.09677124023438
17.4341,10.6187,69,69,3397.84,3111.18,345000,-225.21800231933594
16.9749,10.4624,70,70,3431.52,3388.25,350000,-220.1280975341797
16.9242,10.746,71,71,3412.36,3346.16,355000,-241.26771545410156
17.0574,10.7057,72,72,3427.76,3388.6,360000,-210.8936004638672
16.7388,10.0493,73,73,3394.27,3351.18,365000,-226.2430877685547
17.3797,10.5898,74,74,3454.67,3328.5,370000,-209.33456420898438
17.0304,10.5139,75,75,3434.15,3395.07,375000,-248.11155700683594
17.0441,10.5253,76,76,3410.31,3368.69,380000,-292.5841979980469
17.3085,10.6542,77,77,3414.06,3388.14,385000,-264.5452575683594
17.1878,10.5222,78,78,3444.21,3385.61,390000,-247.3126983642578
17.0938,10.0409,79,79,3398.14,3364.57,395000,-275.90264892578125
16.0466,9.4917,80,80,3426.64,3396.25,400000,-255.03231811523438
16.7426,10.4709,81,81,3430.46,3399.68,405000,-277.4764099121094
16.7452,10.4105,82,82,3446.81,3353.26,410000,-249.9717559814453
17.1694,10.4061,83,83,3406.73,3369.99,415000,-294.690673828125
