Running Reverse KL,Running Env Steps,Itration,Real Sto Return,Running Update Time,Reward Loss,Real Det Return,Running Forward KL
20.2978,0,0,236.93,0,322.70050048828125,236.61,32.9009
16.2214,5000,1,297.45,1,47.652278900146484,288.95,30.1802
20.2349,10000,2,262.26,2,180.758544921875,321.44,30.7709
28.3982,15000,3,307.31,3,199.8323211669922,284.06,31.1441
15.0827,20000,4,323.05,4,207.0809326171875,322.61,29.559
14.1637,25000,5,453.24,5,233.53321838378906,427.27,28.2986
16.2887,30000,6,360.77,6,322.2105712890625,376.47,28.5544
39.1645,35000,7,358.78,7,226.66513061523438,356.45,29.598
19.8338,40000,8,8.57,8,154.29368591308594,5.07,32.2178
46.2979,45000,9,60.16,9,214.15040588378906,60.12,32.3858
47.664,50000,10,267.35,10,104.53900909423828,270.16,34.5585
28.5172,55000,11,1043.25,11,-188.12435913085938,1042.69,35.8975
35.7821,60000,12,374.27,12,-208.008056640625,357.67,34.6229
34.6857,65000,13,487.26,13,-160.55226135253906,516.66,31.589
40.6753,70000,14,192.3,14,87.67491912841797,231.03,29.7981
134.608,75000,15,302.02,15,-171.9529571533203,323.84,30.2647
23.5907,80000,16,413.7,16,-197.81289672851562,418.92,30.3616
25.0588,85000,17,974.01,17,-424.9398193359375,981.38,34.7375
54.6413,90000,18,129.1,18,-278.7185363769531,131.2,32.8834
24.8118,95000,19,425.93,19,-333.29681396484375,440.63,28.8415
42.0001,100000,20,1007.9,20,-577.8402709960938,1005.55,38.6808
45.7289,105000,21,259.62,21,-421.6716613769531,236.27,32.2497
35.5674,110000,22,1038.18,22,-644.4212646484375,1037.88,36.0218
49.8678,115000,23,1024.59,23,-676.98974609375,1024.87,35.8633
90.9976,120000,24,684.26,24,-672.1323852539062,697.28,30.338
63.9996,125000,25,444.09,25,-1108.245361328125,442.39,30.0354
35.879,130000,26,443.18,26,-1121.3460693359375,436.49,28.4066
37.216,135000,27,221.28,27,-653.26123046875,220.53,30.8091
64.0693,140000,28,569.67,28,-926.2276000976562,428.42,29.9335
50.0018,145000,29,989.85,29,-1033.8731689453125,990.43,39.0584
34.9568,150000,30,882.82,30,-1050.5693359375,883.21,37.3333
40.2153,155000,31,982.82,31,-1111.749755859375,981.42,37.2765
53.6437,160000,32,981.42,32,-1157.173828125,981.32,38.0072
45.4378,165000,33,1009.63,33,-1195.727783203125,1009.84,38.2539
45.2188,170000,34,1022.22,34,-1308.3536376953125,1022.06,39.0282
20.0331,175000,35,526.09,35,-1136.57763671875,522.17,31.8196
43.1167,180000,36,1045.47,36,-1410.205078125,1046.01,37.4166
43.9584,185000,37,995.35,37,-1423.516845703125,995.32,38.849
50.9775,190000,38,999.47,38,-1516.961181640625,999.25,37.8028
38.3943,195000,39,998.87,39,-1527.6116943359375,998.68,36.3718
36.1739,200000,40,1026.17,40,-1597.8896484375,1025.74,36.175
33.0915,205000,41,1047.16,41,-1676.0999755859375,1047.15,36.9287
34.5092,210000,42,1024.58,42,-1659.1383056640625,1024.48,37.9882
37.0258,215000,43,1028.86,43,-1736.448486328125,1029.22,33.5389
46.8518,220000,44,1004.94,44,-1847.052734375,1005.74,39.0945
48.1511,225000,45,1005.78,45,-1905.622314453125,1005.22,38.3333
44.1888,230000,46,1032.25,46,-1949.8548583984375,1032.49,36.1651
36.3639,235000,47,309.91,47,-1544.677490234375,247.23,30.2363
48.8327,240000,48,1041.64,48,-2035.2745361328125,1040.55,35.3586
31.7734,245000,49,1045.93,49,-2104.73779296875,1046.13,37.1279
59.9512,250000,50,807.79,50,-2171.877197265625,979.19,36.9558
45.3219,255000,51,1001.86,51,-2240.384521484375,1001.6,38.0828
60.9069,260000,52,999.85,52,-2301.86279296875,999.9,37.5794
46.5756,265000,53,1014.8,53,-2367.00146484375,1014.99,37.1349
45.7355,270000,54,988.49,54,-2393.6015625,988.8,38.8723
61.1202,275000,55,1001.22,55,-2461.2041015625,1000.96,40.3833
24.1503,280000,56,926.74,56,-2201.3955078125,914.34,33.3184
28.0117,285000,57,429.45,57,-2255.172119140625,433.01,34.4266
34.6883,290000,58,1036.6,58,-2638.081787109375,1036.22,36.1727
55.3101,295000,59,1006.83,59,-2714.753173828125,1006.81,37.433
43.5584,300000,60,382.17,60,-2405.884033203125,437.8,34.0236
43.9334,305000,61,155.27,61,-2556.240234375,159.15,32.8007
50.4392,310000,62,1001.13,62,-2628.339111328125,954.34,35.5311
56.4737,315000,63,1003.55,63,-2923.74462890625,1003.68,38.8599
184.6066,320000,64,18.9,64,-2609.53076171875,18.96,35.6551
35.882,325000,65,739.21,65,-3029.6884765625,823.12,38.7716
54.4526,330000,66,973.88,66,-3045.896484375,973.99,38.951
59.2847,335000,67,991.3,67,-3111.31005859375,991.38,39.0784
59.3124,340000,68,976.4,68,-3182.29150390625,976.47,38.8244
58.3209,345000,69,978.33,69,-3260.071533203125,978.8,39.0628
