Itration,Running Reverse KL,Reward Loss,Real Sto Return,Running Update Time,Real Det Return,Running Forward KL,Running Env Steps
0,17.4668,-1154.7470703125,199.55,0,206.67,32.3925,0
1,17.7554,-1242.8765869140625,277.74,1,287.53,30.7313,5000
2,19.5246,-851.833740234375,291.57,2,280.64,30.539,10000
3,16.6829,-734.0760498046875,342.88,3,351.84,29.4259,15000
4,26.0335,-1310.076171875,334.7,4,343.47,29.8529,20000
5,19.3655,-1373.1651611328125,321.0,5,325.38,30.7655,25000
6,17.6711,-1241.630126953125,294.6,6,295.24,30.7026,30000
7,21.1175,-1294.7965087890625,285.01,7,283.9,30.5815,35000
8,33.684,-2070.642333984375,244.23,8,269.38,32.0244,40000
9,22.1644,-1920.642578125,273.04,9,291.81,30.1559,45000
10,21.7964,-2101.5908203125,1023.29,10,1041.73,35.6883,50000
11,15.9159,-1221.8956298828125,425.24,11,432.32,27.1961,55000
12,20.5588,-1462.8221435546875,439.99,12,444.97,27.054,60000
13,18.7489,-1844.075439453125,209.39,13,202.56,31.4241,65000
14,13.2627,-1571.3585205078125,380.99,14,387.86,26.3329,70000
15,14.0425,-1520.7978515625,760.4,15,769.24,26.7117,75000
16,13.0014,-1065.1348876953125,1255.9,16,1452.66,25.2165,80000
17,32.2185,-2060.929443359375,551.69,17,617.8,25.6684,85000
18,33.0559,-1434.7052001953125,593.15,18,802.78,24.4236,90000
19,13.2364,-1230.764404296875,1538.61,19,1149.52,24.3165,95000
20,25.2268,-1917.1004638671875,911.57,20,984.59,25.6557,100000
21,15.7668,-1173.0302734375,1246.4,21,1408.57,23.5303,105000
22,12.0563,-1510.5634765625,1039.76,22,967.72,22.4482,110000
23,11.7196,-773.23779296875,2219.03,23,2395.95,21.8627,115000
24,11.0814,-862.794921875,2447.95,24,2509.22,23.6105,120000
25,15.2852,-875.0945434570312,1268.01,25,520.63,25.716,125000
26,21.9735,-1927.37548828125,1345.94,26,813.72,24.2922,130000
27,16.4924,-1560.548095703125,1835.3,27,1813.47,24.6723,135000
28,17.3653,-2131.972412109375,1653.21,28,2504.55,24.4861,140000
29,14.4023,-1743.2249755859375,745.29,29,735.04,23.789,145000
30,24.6107,-887.8213500976562,1381.14,30,1591.18,21.3571,150000
31,21.695,-2002.254150390625,1287.08,31,419.17,23.0109,155000
32,19.6406,-1474.2025146484375,1588.88,32,1696.12,21.3288,160000
33,18.8384,-1898.139892578125,1401.79,33,995.86,21.9846,165000
34,20.2179,-1307.0146484375,1487.88,34,1710.4,20.8112,170000
35,39.6206,-2911.5771484375,1035.48,35,992.96,28.7469,175000
36,20.0605,-1702.4710693359375,1849.21,36,2842.3,22.6313,180000
37,51.8775,-1342.3935546875,1239.0,37,1504.69,21.4732,185000
38,29.5982,-2779.83935546875,474.01,38,1178.06,24.364,190000
39,11.1318,-1004.9171142578125,2540.92,39,2519.34,22.0241,195000
40,44.3323,-3304.52880859375,842.9,40,586.6,35.2972,200000
41,11.5658,-845.957763671875,2441.95,41,2656.7,21.2148,205000
42,18.4968,-2195.300048828125,1936.51,42,2083.12,22.0749,210000
43,15.4658,-1381.28125,2580.32,43,1982.25,21.3448,215000
44,20.59,-2159.808349609375,1586.57,44,2148.81,21.9702,220000
45,17.7996,-1873.904052734375,1512.19,45,1796.45,23.0527,225000
46,13.974,-460.1005554199219,3051.71,46,3167.68,20.4382,230000
47,24.6772,-1559.9669189453125,1900.26,47,2064.17,19.3297,235000
48,24.2606,-2131.8876953125,1494.69,48,1600.97,21.7386,240000
49,12.5558,-624.2857055664062,3155.5,49,3084.44,19.9879,245000
50,16.7837,-1053.1942138671875,2325.1,50,3323.83,19.1739,250000
51,11.5446,-401.4591369628906,3001.27,51,3362.63,18.7226,255000
52,10.8485,-169.41111755371094,3248.6,52,3309.28,17.0989,260000
53,12.2521,-157.69186401367188,3344.52,53,3351.46,18.0871,265000
54,13.7946,-640.026123046875,2860.62,54,3441.37,18.7916,270000
55,11.174,-165.841064453125,3257.35,55,3395.2,17.709,275000
56,12.1803,-427.59027099609375,3213.06,56,3455.35,18.0373,280000
57,14.2247,-932.8303833007812,2460.43,57,3375.84,19.3151,285000
58,12.4507,-230.82962036132812,3388.68,58,3453.37,18.8393,290000
59,12.0033,-228.36167907714844,3329.99,59,3299.76,17.5847,295000
60,11.5289,-321.9043884277344,3343.75,60,3340.85,17.3053,300000
61,13.1127,-511.7762451171875,3039.67,61,3409.24,18.8267,305000
62,12.2026,-161.7429656982422,3261.8,62,3448.76,18.6096,310000
63,12.9608,-394.3147277832031,3191.46,63,3421.4,19.1751,315000
64,11.9912,-405.4927978515625,3069.45,64,3401.31,17.596,320000
65,11.4656,-227.35052490234375,3166.22,65,3297.83,17.5731,325000
66,14.2548,-322.75439453125,3293.81,66,3410.38,19.802,330000
67,12.8309,-222.0332489013672,3441.74,67,3454.83,17.9594,335000
68,12.0428,-444.02703857421875,3270.55,68,3329.96,17.8073,340000
69,12.2047,-323.7810363769531,3443.88,69,3413.09,18.2659,345000
70,12.1275,-262.75653076171875,3358.65,70,3339.87,18.0409,350000
71,13.1507,-704.8031005859375,3297.16,71,3362.14,18.7853,355000
72,12.1305,-464.79217529296875,3412.37,72,3445.3,17.6481,360000
73,12.1974,-222.25250244140625,3007.29,73,3470.11,18.746,365000
74,12.8478,-372.1995544433594,3145.68,74,3464.09,18.5833,370000
75,12.0272,-175.4564971923828,3285.69,75,3508.69,18.0817,375000
76,13.3942,-425.8929748535156,3450.19,76,3495.04,18.6238,380000
77,12.7363,-450.05487060546875,3007.44,77,3402.72,19.5258,385000
78,14.2829,-791.5250244140625,1651.92,78,3387.2,18.4752,390000
79,12.4021,-356.2493896484375,2771.74,79,3404.81,17.5452,395000
80,12.5001,-263.1206970214844,3411.03,80,3444.04,17.8337,400000
81,13.5934,-567.099365234375,3330.16,81,3436.44,19.203,405000
82,21.2222,-562.7747802734375,3160.04,82,3462.72,19.0647,410000
83,11.8354,-210.62857055664062,3321.14,83,3478.8,17.1339,415000
84,77.6235,-5883.93310546875,25.75,84,25.84,38.0084,420000
85,28.851,-3588.95947265625,991.25,85,992.86,35.647,425000
86,53.1777,-4280.85107421875,243.59,86,241.27,33.1781,430000
87,47.137,-4389.24072265625,404.65,87,375.5,33.2678,435000
88,21.4583,-4154.3173828125,911.9,88,975.54,33.561,440000
89,47.9205,-4189.0146484375,312.11,89,370.17,32.8651,445000
90,28.5372,-4234.07080078125,1032.56,90,1031.01,36.5193,450000
91,153.1836,-7606.7080078125,5.82,91,5.65,39.9227,455000
92,48.8164,-4267.82080078125,969.5,92,969.99,39.8512,460000
93,50.4933,-4338.93359375,977.29,93,977.12,38.6386,465000
94,26.9851,-4190.4833984375,1011.44,94,1010.67,35.6333,470000
95,51.4773,-4534.900390625,969.79,95,970.4,38.3258,475000
96,62.3143,-4619.82080078125,129.78,96,131.05,38.3693,480000
97,26.5333,-4685.1220703125,1009.17,97,1013.74,38.7533,485000
98,28.0956,-4636.7958984375,1004.16,98,1002.83,37.0757,490000
99,25.7792,-4433.767578125,993.06,99,990.9,34.6068,495000
100,24.5849,-4882.60986328125,984.81,100,979.58,36.3304,500000
101,29.3593,-4902.70751953125,1015.11,101,1014.83,37.4763,505000
102,24.5072,-5027.7314453125,1036.77,102,1035.26,36.9901,510000
103,30.3789,-5080.9736328125,1012.99,103,920.1,33.2183,515000
104,21.2912,-3284.70849609375,602.06,104,598.94,24.2637,520000
105,39.1842,-4497.03955078125,544.07,105,544.14,27.0637,525000
106,27.8308,-4826.27294921875,133.03,106,145.79,30.1598,530000
107,33.6024,-4209.5537109375,602.59,107,602.88,26.313,535000
108,46.2291,-5475.50537109375,985.77,108,985.33,38.6144,540000
109,29.6618,-5384.72509765625,1003.7,109,1003.15,38.3396,545000
110,15.1146,-1499.205810546875,2494.97,110,2575.73,24.6404,550000
111,15.1657,-1607.1123046875,1925.8,111,1368.32,23.3429,555000
112,15.153,-2420.804443359375,667.93,112,650.14,27.2558,560000
113,24.4319,-5127.158203125,1016.22,113,815.04,29.7221,565000
114,19.3026,-2828.82275390625,2044.75,114,1788.22,28.6204,570000
115,20.924,-2404.532958984375,2217.09,115,2172.48,28.2644,575000
116,21.0992,-3295.074951171875,1628.58,116,2238.52,26.9226,580000
117,42.2598,-3368.069091796875,1567.11,117,999.0,25.9887,585000
118,14.7345,-1476.3486328125,2206.3,118,1515.27,23.6878,590000
119,14.9725,-2050.25537109375,102.84,119,102.41,23.5472,595000
120,17.3336,-3204.471435546875,226.24,120,234.16,28.1968,600000
121,39.8567,-4693.6865234375,535.05,121,543.31,27.8204,605000
122,51.185,-6285.2216796875,982.38,122,982.24,37.1404,610000
123,41.1363,-6436.64306640625,993.15,123,991.78,37.3615,615000
124,45.0316,-6354.62646484375,975.52,124,975.11,37.4237,620000
125,52.3066,-6326.7802734375,989.66,125,989.88,37.5305,625000
126,30.7914,-6290.1318359375,280.9,126,272.43,30.5066,630000
127,24.8342,-4673.611328125,900.06,127,983.45,28.0781,635000
128,39.0064,-6447.328125,1009.39,128,1008.78,36.7052,640000
129,27.2228,-6313.3125,1001.3,129,1002.36,37.7387,645000
130,28.5412,-6496.14794921875,998.67,130,996.48,36.8416,650000
131,29.8676,-5917.33447265625,413.91,131,259.56,31.5515,655000
