Reward Loss,Itration,Running Update Time,Real Sto Return,Real Det Return,Running Env Steps,Running Forward KL,Running Reverse KL
-1402.2249755859375,0,0,201.75,183.23,0,32.6882,15.5039
-1395.013916015625,1,1,226.44,224.87,5000,31.8915,22.2599
-1074.9871826171875,2,2,277.63,288.02,10000,29.4574,14.91
-1218.0107421875,3,3,238.01,245.18,15000,28.9917,12.1755
-1520.5782470703125,4,4,306.68,301.64,20000,30.4152,49.9558
-1071.4686279296875,5,5,330.91,457.47,25000,26.2209,36.8342
-870.6786499023438,6,6,494.16,426.74,30000,26.6038,41.4192
-990.1942749023438,7,7,869.73,1085.26,35000,24.209,29.1469
-1366.6968994140625,8,8,496.2,499.54,40000,26.5474,14.85
-1129.283447265625,9,9,918.57,1291.66,45000,25.4028,29.0478
-1256.98486328125,10,10,1066.64,1632.65,50000,24.2253,14.0461
-1059.869140625,11,11,817.65,177.5,55000,23.5011,12.2902
-834.0652465820312,12,12,2268.99,2267.06,60000,24.9097,13.2243
-817.9631958007812,13,13,1585.76,1343.99,65000,21.8666,16.0722
-743.374755859375,14,14,1699.23,2301.24,70000,22.7645,15.0775
-595.0020141601562,15,15,1729.22,2625.13,75000,24.4443,14.0139
-686.4154052734375,16,16,1559.89,1315.3,80000,24.2558,13.612
-1060.4146728515625,17,17,1730.45,1573.65,85000,24.0945,15.3321
-1431.3253173828125,18,18,1063.37,1267.68,90000,24.2699,15.8293
-1061.4937744140625,19,19,2095.38,889.54,95000,22.3601,21.7468
-1432.03271484375,20,20,1838.18,2172.98,100000,22.7388,22.968
-454.3923645019531,21,21,2924.77,3200.32,105000,20.0267,20.3621
-803.9593505859375,22,22,1990.35,3246.63,110000,20.9141,17.7825
-1792.19921875,23,23,649.64,1134.74,115000,21.2447,27.2978
-1872.073974609375,24,24,915.17,446.8,120000,24.8454,36.6813
-1075.0765380859375,25,25,1745.01,1496.99,125000,21.8322,19.0925
-670.7389526367188,26,26,1986.24,2860.17,130000,20.0011,18.0543
-1155.5340576171875,27,27,1944.6,2476.77,135000,20.4135,18.0384
-826.8564453125,28,28,504.24,2054.77,140000,20.9623,37.5805
-968.1939697265625,29,29,1947.41,2590.01,145000,20.2015,35.0836
-464.3948669433594,30,30,2487.81,2922.85,150000,20.3048,24.9644
-1089.635986328125,31,31,2194.59,3120.81,155000,20.8948,43.6776
-672.863525390625,32,32,2147.81,3137.0,160000,20.4004,23.6625
-768.9832153320312,33,33,2600.52,3166.19,165000,20.0076,11.392
-722.4380493164062,34,34,3108.02,3295.32,170000,19.91,10.8589
-779.9136352539062,35,35,2878.81,2451.84,175000,20.4127,18.2469
-1562.4442138671875,36,36,1813.63,1543.48,180000,20.8687,13.9373
-1128.965576171875,37,37,2408.41,3188.95,185000,20.2605,17.1596
-1389.7889404296875,38,38,2202.74,3389.36,190000,22.1135,17.7268
-1268.0435791015625,39,39,109.09,646.03,195000,23.325,37.6196
-414.6908874511719,40,40,2272.24,3378.87,200000,20.6113,13.0858
-1779.958740234375,41,41,1724.35,3394.77,205000,22.963,15.3731
-2336.789794921875,42,42,912.98,1044.56,210000,27.9338,53.2594
-1951.9188232421875,43,43,1432.66,1773.69,215000,25.8595,20.1334
-1082.44775390625,44,44,971.77,2447.76,220000,23.8736,17.5303
-1607.527099609375,45,45,2292.94,2160.02,225000,23.2165,29.2437
-2386.841064453125,46,46,569.5,385.82,230000,26.1923,23.0674
-2324.080322265625,47,47,1006.57,1586.65,235000,23.9125,26.7991
-1941.3585205078125,48,48,1307.93,1376.09,240000,22.1837,25.5981
-2661.345947265625,49,49,971.4,874.94,245000,25.2974,33.3771
-2480.5986328125,50,50,1133.52,1069.1,250000,25.4221,29.1019
-2381.993408203125,51,51,1312.74,1717.02,255000,24.5357,45.601
-2265.639892578125,52,52,1316.82,1876.94,260000,23.4647,70.1584
-3039.12353515625,53,53,887.55,310.62,265000,25.7121,91.458
-2388.951171875,54,54,1140.5,1701.95,270000,23.9623,46.0853
-2739.383056640625,55,55,1046.3,908.55,275000,23.0613,75.3339
-2500.11767578125,56,56,1049.12,1007.77,280000,24.5745,60.6065
-2764.245849609375,57,57,1104.28,1001.5,285000,23.898,36.7584
-2301.08251953125,58,58,1181.41,1949.82,290000,21.8536,24.1213
-3021.987060546875,59,59,1011.86,1649.1,295000,25.3127,45.7185
-2853.902099609375,60,60,1397.05,2070.01,300000,23.275,37.0009
-2805.60205078125,61,61,1239.92,1200.62,305000,23.6538,60.3623
-1988.0037841796875,62,62,2219.35,2898.95,310000,22.8411,37.2604
-3039.235107421875,63,63,1147.43,915.54,315000,24.2728,29.5372
-3004.88037109375,64,64,1043.55,1099.21,320000,24.7601,56.5326
-3572.0830078125,65,65,975.4,1156.23,325000,25.1365,34.4407
-2255.85107421875,66,66,1550.03,2393.22,330000,21.0616,24.9736
-2374.61572265625,67,67,1337.78,2542.62,335000,22.4247,46.1886
-2534.282958984375,68,68,2035.62,3447.96,340000,22.8599,35.6149
-2693.0595703125,69,69,1909.84,1395.02,345000,23.7304,22.0022
-3409.560791015625,70,70,931.39,1032.11,350000,23.588,31.0071
-2937.162841796875,71,71,1113.32,2477.1,355000,22.1889,30.5829
-3201.407470703125,72,72,1525.76,3437.69,360000,23.4159,26.5496
-3631.61865234375,73,73,1005.93,1385.98,365000,23.0739,32.3579
-3568.4150390625,74,74,956.65,895.34,370000,23.7047,25.6326
-3286.705078125,75,75,1082.61,1707.82,375000,23.2523,31.472
-3043.180419921875,76,76,1199.11,1121.5,380000,22.6838,51.2046
-3094.316650390625,77,77,1183.85,2194.24,385000,23.1289,22.7336
-3637.0380859375,78,78,1204.73,1027.1,390000,22.8771,55.7937
-2189.81103515625,79,79,2068.09,3135.45,395000,21.3051,16.7448
-2435.500732421875,80,80,1750.81,3400.82,400000,20.6176,17.0914
-3745.756103515625,81,81,1055.98,1120.36,405000,23.5743,32.3154
-969.6259765625,82,82,2520.76,3437.38,410000,19.6177,12.899
-2920.455810546875,83,83,1229.16,1102.94,415000,22.083,37.9222
-3925.710205078125,84,84,1272.45,3396.93,420000,23.4255,23.1204
-3973.351806640625,85,85,1119.25,1016.9,425000,23.5449,40.7189
-3165.458740234375,86,86,1563.34,2737.78,430000,22.5824,31.2974
-1963.38427734375,87,87,2271.59,3454.03,435000,20.1426,23.6771
-3648.82373046875,88,88,1773.78,3143.55,440000,22.7706,31.4504
-4102.7666015625,89,89,1068.28,3466.08,445000,24.7846,21.4069
-3767.31103515625,90,90,1068.13,3476.49,450000,21.4438,23.9595
-4048.289794921875,91,91,1235.74,1701.37,455000,23.1582,20.9765
-2950.045654296875,92,92,1334.34,3552.77,460000,21.2212,16.9693
-4254.14892578125,93,93,1246.46,3462.55,465000,23.2476,25.604
-3662.87060546875,94,94,1307.18,1370.3,470000,23.0291,20.2516
-4417.3115234375,95,95,1247.9,1796.4,475000,22.8749,24.4007
-3629.6044921875,96,96,1602.08,3425.17,480000,22.2582,24.8309
-3977.509521484375,97,97,1324.86,2216.27,485000,22.1224,17.9594
-5524.8857421875,98,98,1038.28,635.53,490000,23.8003,48.8316
-2616.742431640625,99,99,2017.4,3490.36,495000,20.7438,13.5438
-3859.3525390625,100,100,1270.91,1211.25,500000,22.3473,27.5513
-2576.704833984375,101,101,2066.69,1368.78,505000,21.6484,19.8694
-1982.2373046875,102,102,915.8,1263.33,510000,20.4344,13.189
-4856.962890625,103,103,1401.08,2036.45,515000,23.244,20.007
-3910.216552734375,104,104,1664.53,1793.43,520000,22.8187,17.808
-4540.66162109375,105,105,910.54,1505.68,525000,22.9172,20.9862
-3469.696044921875,106,106,1568.58,596.86,530000,22.0109,23.0194
-4545.10107421875,107,107,1438.06,314.29,535000,23.4107,34.863
-6182.53369140625,108,108,1088.62,969.77,540000,37.0108,47.1502
-1270.031494140625,109,109,2362.69,3501.2,545000,20.476,15.5294
-2193.26904296875,110,110,1979.7,3298.6,550000,21.1256,13.625
-3899.794921875,111,111,1544.11,2329.31,555000,21.6957,28.8275
-4257.04150390625,112,112,1708.08,1672.01,560000,21.6291,37.7489
-4363.40478515625,113,113,1779.09,2810.38,565000,22.1038,36.5839
-3701.06201171875,114,114,1551.08,1525.35,570000,22.6065,22.0242
-4968.80615234375,115,115,1298.35,3523.19,575000,23.3541,42.8209
-4160.66064453125,116,116,857.18,1103.42,580000,24.4788,15.5799
-3234.03271484375,117,117,1727.96,2179.35,585000,21.6877,23.8055
-5369.8525390625,118,118,1278.56,1488.17,590000,23.0123,40.7037
-5379.60888671875,119,119,1976.61,1460.88,595000,24.2888,44.3241
-3605.5068359375,120,120,995.72,3382.36,600000,22.6498,13.9854
-4498.9501953125,121,121,1880.34,2598.49,605000,21.9791,17.6957
-5493.92578125,122,122,739.78,2073.63,610000,24.4324,23.8385
-3727.281494140625,123,123,2166.39,3364.85,615000,23.121,14.0179
-4668.99462890625,124,124,1454.23,1855.41,620000,23.5036,24.2924
-4926.31884765625,125,125,1126.03,1832.74,625000,23.1468,22.2215
-4519.9189453125,126,126,860.27,1232.05,630000,23.434,15.293
-4651.3837890625,127,127,1530.56,3436.61,635000,22.3031,50.6398
-4504.10546875,128,128,1195.82,380.42,640000,21.3663,34.9062
-5768.41650390625,129,129,1282.15,1296.68,645000,23.0723,50.9536
-3141.342529296875,130,130,2578.66,3460.27,650000,21.7745,25.2276
-5401.5390625,131,131,1542.37,1561.35,655000,23.5579,40.4686
-4692.361328125,132,132,2472.14,3442.29,660000,22.9493,27.4646
-5851.83740234375,133,133,1622.62,1484.33,665000,22.3304,29.1966
-5143.86962890625,134,134,1809.98,2105.59,670000,22.3794,20.3733
