Running Update Time,Running Forward KL,Itration,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL,Running Env Steps
0,32.0642,0,350.7539367675781,182.8,116.68,20.4645,0
1,29.0914,1,233.18331909179688,264.56,256.55,15.8716,5000
2,29.1825,2,260.3583984375,289.85,300.77,14.4197,10000
3,28.3267,3,212.4796905517578,410.54,414.79,18.1526,15000
4,26.2947,4,37.554412841796875,427.81,324.4,28.585,20000
5,27.2879,5,153.4295196533203,456.81,472.93,40.2691,25000
6,26.4922,6,143.51968383789062,596.39,641.71,30.1616,30000
7,27.138,7,100.26522064208984,695.51,933.69,17.6717,35000
8,26.8478,8,-34.382972717285156,1188.1,1833.57,17.2892,40000
9,26.4368,9,-34.27870559692383,722.65,1286.74,17.6756,45000
10,25.915,10,77.23731231689453,690.15,1102.09,18.743,50000
11,27.2886,11,96.7857666015625,801.83,923.48,17.0847,55000
12,29.3051,12,-311.60040283203125,407.73,236.04,19.2181,60000
13,26.9592,13,-3.083076238632202,814.64,676.18,16.5191,65000
14,31.4965,14,18.198108673095703,211.29,205.45,22.4871,70000
15,26.441,15,-155.78411865234375,498.48,251.92,14.5038,75000
16,25.1534,16,-96.42534637451172,1890.35,2318.16,16.4695,80000
17,26.5732,17,-178.80381774902344,1633.27,1488.99,31.1531,85000
18,26.3775,18,-231.3276824951172,307.64,219.0,30.1607,90000
19,25.4108,19,-95.53663635253906,719.76,1017.42,13.9031,95000
20,24.7989,20,-87.32745361328125,1766.69,1711.97,13.2752,100000
21,24.4526,21,-212.03651428222656,1680.06,1412.52,12.3846,105000
22,25.2342,22,-180.82777404785156,622.01,348.12,15.7222,110000
23,25.6326,23,-116.2995376586914,1111.63,1020.49,14.9678,115000
24,24.7538,24,-224.9270782470703,1177.04,1954.54,12.3619,120000
25,24.1423,25,-319.297607421875,2330.2,2938.15,14.4616,125000
26,24.0558,26,-315.0647888183594,2066.31,2841.75,13.97,130000
27,24.5987,27,-312.8653259277344,1327.05,1486.65,13.6184,135000
28,23.9771,28,-310.1206359863281,1594.02,1403.6,13.9402,140000
29,24.5842,29,-384.10772705078125,1296.97,1813.87,17.8901,145000
30,24.3778,30,-416.36419677734375,1183.05,1841.42,17.4583,150000
31,25.4052,31,-433.7236022949219,1011.22,686.59,16.0949,155000
32,26.1286,32,-454.1092529296875,1163.47,1255.49,13.0138,160000
33,25.1835,33,-427.0572814941406,898.82,941.12,13.4126,165000
34,26.5877,34,-491.51092529296875,1103.25,943.77,16.2111,170000
35,26.2535,35,-469.8399353027344,982.07,973.86,13.9545,175000
36,24.9471,36,-511.34991455078125,1374.53,945.39,12.4482,180000
37,24.0283,37,-457.221923828125,2461.23,2609.28,14.4439,185000
