Running Reverse KL,Itration,Real Det Return,Running Forward KL,Real Sto Return,Running Env Steps,Running Update Time,Reward Loss
20.2959,0,176.53,34.1378,180.97,0,0,460.4708251953125
16.8298,1,250.5,34.8983,210.61,5000,1,402.6966247558594
46.6916,2,285.79,30.2617,284.58,10000,2,499.3490295410156
18.5381,3,230.79,31.8722,220.58,15000,3,555.9921875
38.0176,4,306.32,31.3063,178.76,20000,4,529.1289672851562
171.2955,5,327.22,30.114,333.35,25000,5,657.588134765625
137.0993,6,329.47,29.5844,324.3,30000,6,462.5670166015625
71.8151,7,361.66,29.6148,319.82,35000,7,340.97442626953125
41.0786,8,347.24,29.9379,353.86,40000,8,297.8393249511719
61.313,9,161.07,29.1071,299.64,45000,9,226.05726623535156
43.1409,10,816.88,25.4071,726.87,50000,10,126.80827331542969
22.0915,11,390.51,26.2699,339.37,55000,11,70.92524719238281
35.7241,12,692.83,27.9072,733.1,60000,12,20.580799102783203
19.2712,13,520.55,25.1136,1131.4,65000,13,59.32723617553711
47.8824,14,571.37,26.4132,619.29,70000,14,-89.30731201171875
28.6108,15,1013.97,24.5092,1058.72,75000,15,-54.42507553100586
29.5416,16,477.72,24.7253,1131.39,80000,16,-145.78231811523438
25.4153,17,977.46,23.5135,1242.33,85000,17,-238.22071838378906
26.5702,18,449.84,25.9163,828.15,90000,18,-187.4412078857422
12.6372,19,2409.76,24.7355,2440.31,95000,19,-19.002479553222656
17.4375,20,2664.76,23.355,1805.75,100000,20,-154.6933135986328
14.232,21,1879.87,23.3248,1907.19,105000,21,-171.77511596679688
20.0742,22,2365.67,23.64,2011.67,110000,22,-142.97744750976562
32.9569,23,1839.12,21.7464,1447.57,115000,23,-265.5531005859375
36.0444,24,2034.21,21.1599,2006.4,120000,24,-275.42230224609375
22.3612,25,1562.67,21.601,1313.53,125000,25,-323.33905029296875
23.2588,26,1758.52,22.5999,1321.67,130000,26,-389.70361328125
27.4813,27,1653.64,23.7464,1561.29,135000,27,-492.4901123046875
24.9502,28,2974.54,22.4767,1670.92,140000,28,-136.82525634765625
36.4151,29,1630.43,21.1608,1652.69,145000,29,-368.63555908203125
55.3536,30,1083.18,22.7766,1174.96,150000,30,-597.9434814453125
36.7174,31,1778.78,23.1429,1644.49,155000,31,-563.0274658203125
23.1611,32,1741.82,22.2955,2031.19,160000,32,-302.90911865234375
70.8509,33,1065.24,24.3899,1163.33,165000,33,-747.4453735351562
69.4159,34,1354.1,23.4474,1194.88,170000,34,-711.2085571289062
52.6544,35,1558.15,23.0928,1289.54,175000,35,-694.8272094726562
49.4596,36,1074.28,24.3403,1188.7,180000,36,-860.3192138671875
29.3901,37,1291.11,23.3367,1127.55,185000,37,-892.20849609375
54.4543,38,1136.66,23.5747,981.93,190000,38,-875.1371459960938
25.5334,39,1758.93,22.689,1121.42,195000,39,-817.5335693359375
48.9118,40,1601.23,22.49,1113.78,200000,40,-734.5578002929688
37.5985,41,1336.23,22.5968,1078.26,205000,41,-810.619384765625
29.1512,42,1032.29,23.6477,1042.1,210000,42,-934.6460571289062
32.5388,43,1279.5,22.8312,1496.28,215000,43,-870.3304443359375
28.7362,44,1128.56,24.1956,1170.29,220000,44,-978.6714477539062
26.864,45,1261.18,23.7399,1197.25,225000,45,-887.312255859375
30.3369,46,1029.93,22.76,1367.45,230000,46,-1044.634521484375
36.4479,47,1077.75,24.6563,1094.84,235000,47,-1256.2982177734375
33.0074,48,1546.32,22.3468,1411.5,240000,48,-839.4073486328125
24.7174,49,1393.77,23.037,1087.63,245000,49,-1100.857421875
14.9969,50,1023.22,24.5912,1025.7,250000,50,-1109.3819580078125
31.8163,51,1131.75,23.0671,1185.35,255000,51,-1102.296630859375
24.9932,52,1287.32,22.5046,1166.35,260000,52,-1186.7203369140625
50.4053,53,1393.29,22.9388,1356.6,265000,53,-1341.79931640625
36.8208,54,1115.2,21.5717,1297.19,270000,54,-1252.8253173828125
37.9805,55,1191.65,22.391,1351.3,275000,55,-1410.997314453125
21.8997,56,73.56,21.9328,891.4,280000,56,-1159.884765625
37.7606,57,1263.87,21.2716,1485.91,285000,57,-1356.970458984375
29.04,58,2266.34,21.0098,1856.21,290000,58,-1182.31103515625
33.4,59,1132.1,22.1483,1705.93,295000,59,-1417.6820068359375
20.3924,60,3402.38,19.9416,1791.11,300000,60,-1061.47998046875
50.9669,61,1951.38,22.0857,1403.13,305000,61,-1608.27783203125
12.4009,62,1710.82,20.6828,2156.12,310000,62,-1055.6219482421875
29.5028,63,1354.86,21.9472,1118.46,315000,63,-1561.7281494140625
18.3594,64,2054.48,20.1793,1799.49,320000,64,-980.5285034179688
19.9447,65,2119.75,21.0584,1389.28,325000,65,-1476.3607177734375
26.993,66,2217.61,20.395,1542.22,330000,66,-1457.4085693359375
38.5016,67,1047.58,21.284,1205.26,335000,67,-1786.373046875
25.3892,68,238.68,22.1957,1443.5,340000,68,-1806.96875
17.2568,69,1213.12,20.0868,736.38,345000,69,-1380.1297607421875
28.4757,70,1017.25,20.6434,1389.53,350000,70,-1840.0660400390625
24.48,71,891.36,20.9611,1145.11,355000,71,-1939.7911376953125
40.0253,72,931.6,22.7,1002.57,360000,72,-2420.98681640625
73.211,73,963.0,24.2187,951.71,365000,73,-2551.903564453125
55.9647,74,1806.58,21.59,1339.46,370000,74,-1931.393798828125
58.3355,75,1263.4,22.5391,981.53,375000,75,-2262.484130859375
24.2486,76,928.75,23.0319,1243.03,380000,76,-2313.889892578125
38.8764,77,1465.15,21.9248,1583.16,385000,77,-1793.697998046875
25.4975,78,1347.24,21.7869,1657.25,390000,78,-1721.2833251953125
33.5795,79,1411.65,21.3732,1664.75,395000,79,-1980.786376953125
29.2753,80,3246.35,22.7058,1043.07,400000,80,-2260.36279296875
24.1356,81,3376.11,21.4159,1252.75,405000,81,-1590.14892578125
21.9187,82,1555.72,21.6502,1035.31,410000,82,-2024.6455078125
26.8526,83,3192.46,20.6671,2095.99,415000,83,-1639.94287109375
38.1787,84,2358.97,21.1059,1737.78,420000,84,-1848.5506591796875
23.0129,85,2438.87,20.4602,2114.34,425000,85,-1361.9654541015625
43.6022,86,1509.02,21.0307,1492.1,430000,86,-2501.791259765625
16.7598,87,3384.86,19.3844,2289.44,435000,87,-1033.5328369140625
17.7343,88,2005.52,20.4553,2183.3,440000,88,-1704.62939453125
25.6014,89,1317.6,21.3464,1527.69,445000,89,-2420.45556640625
27.1091,90,980.2,22.718,1821.06,450000,90,-2702.783935546875
15.1996,91,3375.3,20.805,2092.47,455000,91,-1310.5556640625
25.3841,92,2126.28,20.8785,1275.17,460000,92,-2329.57958984375
25.083,93,982.36,21.3678,1551.06,465000,93,-2378.08544921875
25.3841,94,1301.53,19.4112,1504.75,470000,94,-1947.560546875
17.5628,95,2620.95,19.7235,1983.46,475000,95,-1905.0689697265625
40.5319,96,1475.4,20.1501,1684.79,480000,96,-2476.4375
53.8087,97,2554.15,21.2798,2013.94,485000,97,-2628.2646484375
21.0515,98,3435.6,19.2353,2191.12,490000,98,-1490.2862548828125
19.9673,99,2784.22,19.5285,1970.35,495000,99,-1587.0469970703125
16.556,100,3395.77,19.147,1834.82,500000,100,-1999.150146484375
22.4784,101,3466.41,19.0168,2065.95,505000,101,-1693.5557861328125
55.7191,102,1451.43,21.0505,1616.37,510000,102,-3276.513916015625
39.064,103,1625.14,22.1134,1422.34,515000,103,-2853.817138671875
46.541,104,1419.74,20.328,1268.45,520000,104,-3162.5751953125
28.461,105,3480.17,18.4339,2425.0,525000,105,-1367.262939453125
30.9402,106,3431.35,21.6692,1540.92,530000,106,-3257.002685546875
41.2379,107,1784.83,19.772,1788.43,535000,107,-2244.991455078125
15.4825,108,3494.63,18.5204,2263.77,540000,108,-1703.1884765625
29.4061,109,3477.06,20.7691,1779.83,545000,109,-2422.635986328125
33.7396,110,3089.19,20.9156,1781.62,550000,110,-2655.8798828125
33.585,111,2942.4,21.3012,1676.23,555000,111,-3356.552490234375
24.93,112,2800.22,19.7134,1966.73,560000,112,-2478.62841796875
19.4614,113,3420.96,19.7516,2466.29,565000,113,-2216.437744140625
67.1292,114,1627.2,22.9769,1001.6,570000,114,-4109.3818359375
41.1873,115,1296.1,22.1563,1212.36,575000,115,-4055.727783203125
47.1134,116,2606.09,21.489,1565.37,580000,116,-3496.0166015625
40.0281,117,3486.52,21.8476,1294.27,585000,117,-3689.482666015625
43.7133,118,1469.63,21.6604,1302.03,590000,118,-3967.809814453125
59.1852,119,2997.96,21.3635,2068.48,595000,119,-3552.4404296875
