Itration,Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return,Running Update Time,Real Sto Return,Running Forward KL
0,19.1735,0,395.7138977050781,270.35,0,258.32,32.1968
1,23.5016,5000,247.13653564453125,253.37,1,250.7,31.383
2,19.83,10000,70.78975677490234,305.11,2,306.39,30.4925
3,26.6758,15000,76.20002746582031,157.01,3,179.87,30.9872
4,19.6812,20000,36.78730010986328,308.68,4,300.36,30.5529
5,20.5388,25000,-51.71506118774414,344.86,5,333.43,29.9932
6,24.6417,30000,-17.522212982177734,365.4,6,347.31,29.7889
7,42.5283,35000,281.5416564941406,451.27,7,397.12,28.2837
8,25.8986,40000,-224.2227020263672,313.37,8,312.42,31.8575
9,39.6456,45000,-105.82295989990234,166.91,9,162.71,35.908
10,59.2637,50000,-336.07421875,84.92,10,87.8,31.6826
11,37.5382,55000,-215.3641815185547,988.01,11,987.4,38.6811
12,25.7848,60000,-130.8415069580078,138.82,12,153.82,34.4659
13,78.3052,65000,-302.4311828613281,91.69,13,92.28,35.3782
14,74.0308,70000,-356.82928466796875,1024.55,14,1024.37,35.8387
15,63.6323,75000,-593.935302734375,73.03,15,72.21,36.6871
16,38.0634,80000,-429.45306396484375,1117.31,16,984.32,33.9799
17,31.7835,85000,-439.7317810058594,1010.04,17,1010.74,35.2477
18,23.8929,90000,-278.904052734375,961.61,18,963.57,33.9798
19,31.5001,95000,-365.18963623046875,937.19,19,938.21,35.0259
20,35.1093,100000,-406.3568115234375,1059.26,20,1059.17,34.0924
21,37.7227,105000,-675.5611572265625,1027.02,21,1037.96,35.5265
22,63.6478,110000,-759.0692749023438,1015.02,22,1014.88,35.257
23,110.9346,115000,-884.2589721679688,82.3,23,81.91,33.9322
24,197.2941,120000,-754.1989135742188,88.29,24,89.14,34.7576
25,57.4485,125000,-944.9447631835938,1004.65,25,1004.75,39.1695
26,77.0453,130000,-1022.8615112304688,1012.6,26,1013.05,36.7865
27,117.1069,135000,-552.9933471679688,633.05,27,793.54,32.3786
28,238.6026,140000,-966.3366088867188,64.7,28,63.5,34.6958
29,194.6394,145000,-1451.3135986328125,62.19,29,61.23,33.0712
30,73.494,150000,-1204.968017578125,986.61,30,986.46,40.0702
31,103.6933,155000,-1251.19384765625,1010.43,31,1010.03,41.2676
32,91.6887,160000,-1293.445556640625,986.82,32,986.95,40.7484
33,86.1841,165000,-1337.90771484375,130.15,33,130.64,37.3529
34,91.9563,170000,-1406.550048828125,163.86,34,163.32,37.6698
35,113.2875,175000,-1451.201171875,88.81,35,88.22,37.1958
36,54.665,180000,-1491.84033203125,126.39,36,125.97,37.9212
37,64.2525,185000,-1646.5177001953125,168.61,37,168.7,38.9527
38,48.7921,190000,-1660.4293212890625,105.53,38,105.34,36.7523
39,33.165,195000,-966.1005859375,263.88,39,261.59,28.145
40,121.809,200000,-1727.072021484375,732.54,40,565.17,35.5607
41,61.1689,205000,-1779.5640869140625,1024.0,41,1024.01,38.0628
42,75.7121,210000,-1930.6878662109375,248.75,42,249.03,39.601
43,36.7969,215000,-1220.144287109375,130.44,43,131.67,29.4159
44,97.3039,220000,-1918.3302001953125,321.54,44,500.19,35.8988
45,117.0861,225000,-2121.8720703125,1012.04,45,1011.91,39.3671
46,97.1662,230000,-2119.331787109375,1030.42,46,1030.16,38.0025
47,94.1285,235000,-2096.14892578125,183.37,47,184.17,38.1469
48,101.0294,240000,-2157.45068359375,168.11,48,168.38,38.2996
49,66.211,245000,-2192.70166015625,1029.42,49,1029.61,39.2728
50,76.0987,250000,-2154.634521484375,341.82,50,424.83,34.4323
51,53.2904,255000,-1414.032958984375,493.67,51,514.62,27.612
52,120.9405,260000,-1455.3907470703125,293.96,52,293.4,27.9325
53,54.8458,265000,-1977.27197265625,546.05,53,511.32,29.379
54,47.2917,270000,-2411.227294921875,938.45,54,885.9,37.1633
55,96.6273,275000,-2611.986083984375,169.39,55,170.28,37.3759
56,65.7793,280000,-2638.95361328125,153.74,56,154.5,37.6998
57,28.4522,285000,-1403.762939453125,389.86,57,389.93,28.068
58,98.1177,290000,-2792.648681640625,1013.46,58,1013.67,37.6702
59,106.3727,295000,-2898.577880859375,1017.12,59,1017.32,38.2328
60,73.595,300000,-2895.908203125,1023.99,60,1024.13,38.0797
61,74.6906,305000,-2947.871826171875,190.19,61,191.55,38.904
62,64.6915,310000,-2005.4864501953125,874.04,62,877.85,28.9796
