Itration,Real Det Return,Running Update Time,Running Env Steps,Real Sto Return,Running Reverse KL,Running Forward KL,Reward Loss
0,138.42,0,0,191.55,17.8733,31.8554,723.4151000976562
1,256.8,1,5000,254.81,26.4233,31.3994,301.8769226074219
2,291.92,2,10000,290.34,39.6644,30.7366,214.2550506591797
3,338.43,3,15000,333.03,38.4706,30.3291,152.03741455078125
4,345.03,4,20000,348.67,26.6151,30.9566,163.56370544433594
5,372.0,5,25000,365.6,26.9297,30.7473,110.9476089477539
6,366.84,6,30000,341.57,33.6837,30.9464,51.06389236450195
7,375.68,7,35000,375.15,30.0107,31.0573,22.27054214477539
8,244.69,8,40000,367.02,23.618,30.2462,61.44192123413086
9,248.9,9,45000,331.56,109.7949,32.0015,-78.50128936767578
10,1001.58,10,50000,1001.17,53.6045,40.11,-157.54714965820312
11,76.98,11,55000,77.29,69.6982,35.0187,-42.583160400390625
12,322.6,12,60000,318.75,39.1084,34.5821,-242.232666015625
13,254.17,13,65000,249.7,42.0093,31.8895,77.22593688964844
14,993.56,14,70000,994.86,33.2278,34.996,-319.3638000488281
15,841.59,15,75000,842.72,26.434,33.3543,-287.3708190917969
16,888.5,16,80000,886.84,28.7662,33.5136,-322.8987121582031
17,390.9,17,85000,391.81,32.0935,31.4798,-433.5133056640625
18,54.75,18,90000,48.43,31.2536,31.6329,-276.5086975097656
19,70.51,19,95000,76.69,24.3547,31.136,-168.57846069335938
20,277.76,20,100000,285.8,140.468,31.8473,-900.6181640625
21,389.02,21,105000,387.73,48.7086,33.3589,-375.89007568359375
22,583.32,22,110000,572.04,29.6854,30.5186,-492.7823181152344
23,337.08,23,115000,406.54,34.5375,32.7236,-366.7747802734375
24,657.78,24,120000,677.4,26.0387,32.5379,-518.0228881835938
25,118.88,25,125000,115.18,21.4236,32.4845,-468.2723388671875
26,490.5,26,130000,468.67,25.715,32.772,-739.2100830078125
27,968.55,27,135000,973.87,21.9574,33.1798,-768.8106079101562
28,707.97,28,140000,673.14,24.2723,32.8483,-760.4061279296875
29,1084.43,29,145000,1084.21,24.2821,33.7543,-847.8089599609375
30,1049.09,30,150000,1049.39,43.3593,34.7299,-1020.5081787109375
31,1063.41,31,155000,1062.9,38.4405,34.4105,-1052.0362548828125
32,1063.03,32,160000,1062.72,32.8407,34.2234,-1128.638916015625
33,1051.05,33,165000,1051.12,34.8858,34.017,-1209.4014892578125
34,810.49,34,170000,817.78,22.1364,33.7306,-956.049560546875
35,178.03,35,175000,172.77,179.6129,34.0437,-1390.5968017578125
36,881.96,36,180000,877.36,28.9277,33.2886,-1105.423095703125
