Real Sto Return,Running Update Time,Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Forward KL,Running Env Steps
191.16,0,0,15.1437,-318.2736511230469,191.28,31.9893,0
313.32,1,1,41.2956,-162.6485137939453,314.33,31.1406,5000
331.97,2,2,38.3047,-223.046142578125,362.61,31.9592,10000
424.77,3,3,27.6504,-278.5769958496094,368.05,29.9923,15000
473.21,4,4,21.1106,-276.30780029296875,533.14,27.7915,20000
611.33,5,5,23.5321,-376.5538635253906,545.24,26.5984,25000
400.6,6,6,47.3778,-565.319580078125,153.36,28.008,30000
583.16,7,7,33.6312,-483.30487060546875,800.58,27.7618,35000
660.62,8,8,31.9033,-593.0684204101562,749.81,27.0818,40000
598.7,9,9,15.1416,-516.343505859375,354.88,27.7328,45000
45.93,10,10,19.1385,-443.77783203125,76.71,30.193,50000
490.93,11,11,28.0229,-447.9273681640625,456.97,30.2363,55000
284.61,12,12,51.2385,-767.6735229492188,290.12,29.5908,60000
715.99,13,13,67.5709,-1000.6874389648438,788.6,27.3116,65000
224.3,14,14,22.5307,379.0225830078125,223.43,31.8391,70000
24.12,15,15,162.7812,-563.2755737304688,12.99,34.3703,75000
135.38,16,16,25.3397,-381.7958068847656,151.09,31.9228,80000
69.86,17,17,66.1543,-959.4027099609375,66.1,31.6888,85000
221.23,18,18,23.9126,-1272.5721435546875,235.2,30.3558,90000
247.62,19,19,120.0735,-2473.437255859375,246.54,31.1653,95000
227.54,20,20,47.8021,-1313.0679931640625,227.81,32.4521,100000
193.33,21,21,24.7493,-786.3407592773438,216.42,31.92,105000
167.95,22,22,50.3557,-1078.525146484375,167.3,38.5917,110000
15.45,23,23,130.9794,1307.239013671875,27.33,34.9218,115000
58.19,24,24,56.4556,86.60938262939453,58.37,38.469,120000
37.52,25,25,134.5194,-435.85882568359375,37.45,35.1202,125000
999.02,26,26,74.6071,-1390.1741943359375,998.97,38.913,130000
529.69,27,27,30.3119,-1406.242919921875,626.97,35.9192,135000
595.49,28,28,40.5574,-1438.4942626953125,628.65,36.302,140000
162.72,29,29,40.2038,-1635.8251953125,162.6,37.4739,145000
495.81,30,30,49.2832,-1613.866455078125,492.47,37.5853,150000
394.49,31,31,38.1849,-1548.9393310546875,394.33,37.0278,155000
1011.84,32,32,46.1336,-1674.5469970703125,1011.94,38.0767,160000
973.25,33,33,36.903,-1625.158203125,974.07,36.4908,165000
972.98,34,34,39.9078,-1705.95458984375,972.87,37.1002,170000
344.16,35,35,79.476,-1387.17724609375,342.79,35.3823,175000
199.91,36,36,39.7012,-1563.12060546875,200.43,35.3091,180000
391.76,37,37,24.3108,-443.51837158203125,391.09,29.9261,185000
124.9,38,38,43.5217,-192.66143798828125,125.61,27.1571,190000
326.3,39,39,75.5647,-1467.6405029296875,328.29,31.4459,195000
13.19,40,40,233.1342,-1070.3956298828125,13.38,36.1575,200000
222.49,41,41,148.2058,-2480.017822265625,221.82,34.0315,205000
242.12,42,42,191.1693,-1268.984130859375,249.61,31.9791,210000
101.55,43,43,41.5301,-1544.262939453125,101.74,31.2648,215000
287.76,44,44,51.8523,-1815.495361328125,290.88,32.5779,220000
173.43,45,45,41.9526,-2204.123291015625,173.39,35.8582,225000
88.28,46,46,46.9205,-2112.607421875,86.81,32.4193,230000
198.84,47,47,114.5571,-2348.315185546875,199.43,32.9298,235000
165.23,48,48,27.1117,-1484.0863037109375,162.3,32.563,240000
234.94,49,49,179.0317,-1663.8240966796875,238.71,33.4877,245000
120.73,50,50,41.6148,-1636.5767822265625,135.76,32.7223,250000
97.14,51,51,28.5397,-2201.252197265625,97.48,31.7177,255000
753.89,52,52,27.5471,-2290.778076171875,795.02,34.3812,260000
48.68,53,53,53.5847,-2426.640869140625,48.76,37.909,265000
1016.17,54,54,87.7917,-2695.278564453125,1016.41,39.8545,270000
204.21,55,55,51.5722,-2590.07080078125,205.2,38.2327,275000
291.15,56,56,47.5583,-2143.884033203125,291.23,30.6839,280000
431.71,57,57,81.2051,-2260.10009765625,373.69,33.1222,285000
873.34,58,58,36.9314,-2450.2412109375,842.8,30.8793,290000
879.01,59,59,22.2876,-2074.4091796875,847.54,33.1945,295000
262.38,60,60,24.7515,-2376.928466796875,436.42,33.63,300000
284.21,61,61,76.7244,-2859.243408203125,283.25,37.7339,305000
1002.54,62,62,95.2776,-2980.003173828125,1002.37,38.3898,310000
