Itration,Real Sto Return,Running Update Time,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Running Env Steps
0,201.75,0,198.83,34.1805,842.855712890625,34.9895,0
1,241.17,1,246.65,32.1209,348.9230041503906,17.0141,5000
2,131.01,2,90.32,31.3482,290.0372009277344,15.0291,10000
3,273.86,3,275.23,28.7692,280.1612854003906,15.2372,15000
4,336.61,4,344.11,27.5991,227.04891967773438,20.9982,20000
5,417.71,5,442.62,26.607,482.27911376953125,15.486,25000
6,444.63,6,483.48,30.001,188.79893493652344,23.5398,30000
7,363.89,7,372.71,28.8092,205.60707092285156,26.0413,35000
8,557.09,8,593.27,25.6868,356.84613037109375,21.3821,40000
9,474.82,9,545.55,27.0876,221.5036163330078,15.8671,45000
10,717.57,10,915.58,27.5394,69.57099151611328,22.5765,50000
11,546.62,11,744.63,28.2269,-76.2373275756836,20.5764,55000
12,580.34,12,579.13,28.0906,15.716280937194824,14.7244,60000
13,996.9,13,998.41,40.1735,-172.53927612304688,40.1823,65000
14,720.1,14,1046.8,32.5104,-226.64309692382812,24.7315,70000
15,675.52,15,738.12,27.687,-67.07501220703125,15.1757,75000
16,814.05,16,799.18,27.562,24.87491798400879,15.1253,80000
17,739.66,17,738.84,26.5063,133.70021057128906,16.9132,85000
18,702.86,18,719.46,27.4891,-285.6492919921875,19.3781,90000
19,637.56,19,591.16,27.7683,-93.78079986572266,15.323,95000
20,896.41,20,1152.93,27.6028,-331.5975646972656,22.9516,100000
21,1428.83,21,1485.33,25.1111,-253.41468811035156,17.9184,105000
22,1440.72,22,1977.55,25.0753,-199.45594787597656,13.6961,110000
23,860.42,23,1066.33,26.7082,-452.3564147949219,25.3674,115000
24,1051.37,24,2455.74,26.4732,-416.31719970703125,20.4054,120000
25,2302.53,25,2958.18,25.2754,-174.56971740722656,16.0759,125000
26,1843.93,26,1500.19,23.7679,-300.78424072265625,15.2575,130000
27,795.36,27,838.56,27.1403,-486.35211181640625,18.8376,135000
28,404.41,28,402.61,29.6552,-409.43115234375,14.7759,140000
29,786.81,29,724.78,26.5381,-312.8493347167969,15.2975,145000
30,1010.16,30,1198.3,26.7819,-399.8332214355469,27.0955,150000
31,2839.92,31,2805.59,26.8168,-198.0597381591797,19.3927,155000
32,1033.25,32,1033.54,35.2493,-779.5769653320312,27.8936,160000
33,1037.88,33,1038.3,36.017,-843.7691650390625,28.093,165000
34,1317.84,34,1073.27,32.9551,-753.8958740234375,22.7256,170000
35,1222.64,35,1032.4,29.0126,-861.3655395507812,27.7236,175000
36,392.83,36,360.49,36.6393,-935.608642578125,37.5492,180000
37,356.21,37,307.92,30.3088,-571.127685546875,17.3176,185000
38,394.81,38,378.85,25.9324,-513.0579223632812,20.1974,190000
39,979.05,39,982.43,35.9149,-1052.73876953125,33.3683,195000
40,506.64,40,502.55,32.0012,-1018.8768920898438,40.3162,200000
41,974.7,41,976.35,38.1409,-1157.774658203125,38.3712,205000
42,267.42,42,264.68,31.607,-1027.353759765625,28.1485,210000
43,1031.32,43,1031.59,37.3589,-1281.778076171875,37.6075,215000
44,346.39,44,353.57,30.6136,-856.859619140625,87.66,220000
45,483.45,45,515.86,32.9339,-1049.721435546875,77.366,225000
46,166.16,46,167.72,31.225,-1189.288818359375,81.3393,230000
47,7.07,47,7.2,38.0031,-1578.77001953125,229.3944,235000
48,26.8,48,26.45,38.5849,-1632.3895263671875,222.7008,240000
49,234.89,49,230.49,34.9219,-1524.10009765625,114.8657,245000
50,70.51,50,70.42,35.445,-2239.056884765625,97.6961,250000
51,124.29,51,123.53,30.809,-587.8316650390625,17.5893,255000
52,75.27,52,69.81,35.5138,-1788.87255859375,204.7021,260000
53,18.44,53,18.54,35.5379,-1792.314208984375,194.4822,265000
54,7.39,54,7.4,39.0196,-1989.863525390625,228.6457,270000
55,8.58,55,8.48,38.7073,-1829.15625,133.1252,275000
56,4.43,56,4.43,36.58,-1852.5982666015625,57.4712,280000
57,65.78,57,54.99,35.0604,-2002.0318603515625,155.1647,285000
58,115.9,58,118.67,32.0663,-1627.156005859375,89.6352,290000
59,396.01,59,381.47,29.2148,-1909.6414794921875,113.5287,295000
60,185.73,60,184.09,31.5679,-1410.9761962890625,75.7334,300000
61,223.97,61,232.53,30.0476,-2015.766357421875,157.6469,305000
62,407.14,62,423.08,28.092,-317.72784423828125,32.3225,310000
63,418.39,63,356.75,28.9514,-1580.6319580078125,82.8856,315000
64,202.41,64,192.5,32.988,-2273.135009765625,24.3359,320000
65,109.99,65,109.97,33.9891,-2615.150146484375,66.9214,325000
