Itration,Running Update Time,Running Env Steps,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return
0,0,0,203.42,32.852,907.3526000976562,23.9165,205.48
1,1,5000,261.16,30.8403,777.471435546875,21.9099,280.57
2,2,10000,262.85,31.5397,736.4522705078125,21.9176,256.0
3,3,15000,333.25,31.3033,721.6748657226562,27.5808,321.9
4,4,20000,320.38,31.7485,706.7843627929688,48.4842,317.31
5,5,25000,375.7,31.8529,588.3576049804688,32.6142,354.04
6,6,30000,437.17,29.7879,319.9197998046875,55.6021,432.41
7,7,35000,403.12,30.9183,315.3792724609375,58.3502,402.42
8,8,40000,422.79,30.387,232.05445861816406,59.9664,422.53
9,9,45000,411.05,29.3922,127.89204406738281,67.4468,420.25
10,10,50000,407.91,30.2057,144.76885986328125,55.5412,423.46
11,11,55000,452.71,29.3402,-33.75408172607422,73.5086,440.8
12,12,60000,419.74,28.0969,-61.2759895324707,61.2253,413.05
13,13,65000,442.83,25.5219,-168.09500122070312,52.1939,507.98
14,14,70000,113.84,27.8685,-257.06561279296875,159.6807,200.58
15,15,75000,934.51,23.2577,-193.9575653076172,45.9232,927.4
16,16,80000,854.1,23.6118,-282.49468994140625,53.7384,829.97
17,17,85000,848.87,23.0067,-260.9793701171875,70.0333,828.31
18,18,90000,848.12,23.4867,-257.6773986816406,90.4015,856.05
19,19,95000,281.22,23.2224,-204.4904022216797,93.0657,500.37
20,20,100000,1068.2,24.0645,-216.99440002441406,48.6286,1053.75
21,21,105000,1067.37,23.7042,-236.8119659423828,72.3015,1010.16
22,22,110000,968.25,23.2167,-322.86212158203125,82.4038,913.0
23,23,115000,974.37,24.465,-354.6488037109375,88.2677,907.27
24,24,120000,1493.97,21.5296,-115.94389343261719,25.6454,1850.28
25,25,125000,921.16,23.4157,-446.6444396972656,69.8944,914.91
26,26,130000,987.08,23.7111,-431.28857421875,32.0157,976.18
27,27,135000,1041.64,21.9447,-256.5347595214844,36.0058,1034.45
28,28,140000,2871.52,21.0479,-138.04344177246094,10.7186,2516.42
29,29,145000,1661.49,21.1312,-394.73858642578125,67.8096,1435.0
30,30,150000,3013.35,21.2723,-180.48727416992188,27.5444,2440.59
31,31,155000,1886.0,20.9307,-92.27413940429688,14.3121,2166.46
32,32,160000,3016.88,19.52,-168.8036346435547,10.5264,2920.43
33,33,165000,3130.08,19.5506,-650.746826171875,50.2869,1645.62
34,34,170000,2921.27,19.5856,-283.3188171386719,13.7094,2715.83
35,35,175000,1762.94,21.4418,-793.8822631835938,71.169,1168.76
36,36,180000,2965.12,19.9383,-252.48150634765625,11.0377,2981.61
37,37,185000,1914.77,18.7801,-399.7354431152344,28.4566,1852.5
38,38,190000,3214.76,18.4192,-229.44723510742188,13.8325,2647.6
39,39,195000,1313.52,20.5414,-689.2219848632812,51.5719,1352.1
40,40,200000,1215.15,19.7746,-573.20751953125,47.5801,1726.3
41,41,205000,3210.17,18.3023,-263.2652587890625,21.6215,2318.22
42,42,210000,2621.07,20.2679,-678.0394287109375,49.8668,1917.27
43,43,215000,3271.14,20.1293,-576.9032592773438,39.1123,2059.77
44,44,220000,1304.22,19.4997,-801.3994140625,45.8047,1381.33
45,45,225000,1338.88,23.8508,-1172.647705078125,75.6005,1052.49
46,46,230000,60.44,18.8494,-345.43487548828125,12.4779,1780.61
47,47,235000,346.68,29.8748,-1758.758544921875,82.1688,374.08
48,48,240000,311.23,30.1941,-1126.7547607421875,22.0635,309.97
49,49,245000,3281.39,18.8636,-205.60281372070312,15.9036,3228.09
50,50,250000,2660.23,20.8815,-758.8306274414062,35.1865,1682.76
