Running Forward KL,Reward Loss,Running Env Steps,Running Reverse KL,Real Det Return,Real Sto Return,Running Update Time,Itration
31.5233,-1237.1605224609375,0,24.3164,266.13,278.15,0,0
31.5295,-1341.1905517578125,5000,32.1903,271.15,264.17,1,1
31.0022,-1440.6634521484375,10000,30.7177,305.0,314.79,2,2
30.0626,-1498.0792236328125,15000,34.6581,275.47,286.72,3,3
30.8876,-1567.324462890625,20000,31.9469,327.94,291.63,4,4
31.4504,-1569.1905517578125,25000,22.4918,344.69,352.17,5,5
31.3165,-1589.8206787109375,30000,24.71,350.15,356.59,6,6
29.9138,-1672.4080810546875,35000,27.1501,392.03,366.95,7,7
27.6392,-1702.0430908203125,40000,41.4107,399.82,390.23,8,8
28.0866,-1759.6707763671875,45000,40.2937,388.3,390.63,9,9
27.054,-1759.9095458984375,50000,21.6393,393.34,397.22,10,10
27.9274,-1819.8753662109375,55000,26.5392,408.79,403.87,11,11
27.0562,-1777.2335205078125,60000,26.5856,463.86,475.81,12,12
26.1799,-1879.4013671875,65000,24.9852,516.12,507.47,13,13
27.0224,-1728.519287109375,70000,20.5103,513.23,492.3,14,14
27.0371,-1943.9796142578125,75000,26.6118,494.25,469.89,15,15
27.5728,-1967.7919921875,80000,27.9998,547.24,537.33,16,16
27.4647,-2043.07177734375,85000,33.1,612.95,593.25,17,17
26.2892,-1858.4166259765625,90000,35.3647,890.3,741.04,18,18
25.5998,-1863.568115234375,95000,35.8995,997.83,867.25,19,19
24.492,-1940.802001953125,100000,30.1477,992.27,871.88,20,20
22.6766,-1185.896728515625,105000,20.7279,1606.26,1236.12,21,21
24.7271,-1840.092529296875,110000,29.493,920.89,1068.73,22,22
24.0345,-1816.04736328125,115000,20.0612,1943.78,1258.03,23,23
25.1469,-2088.995361328125,120000,18.8652,820.14,745.27,24,24
25.7443,-2303.760986328125,125000,18.6899,684.8,695.97,25,25
23.8069,-1902.1019287109375,130000,29.3517,1371.73,1133.06,26,26
25.1576,-2299.716552734375,135000,20.3405,798.35,776.88,27,27
24.0163,-2361.053466796875,140000,17.8676,798.08,783.46,28,28
25.2717,-2612.09130859375,145000,20.6144,705.93,687.93,29,29
23.7268,-2158.793212890625,150000,18.4212,1093.64,1206.29,30,30
25.6118,-2646.064697265625,155000,20.4174,780.53,739.78,31,31
23.2059,-1152.60791015625,160000,15.6468,977.59,1261.19,32,32
23.692,-1718.88916015625,165000,17.4469,2908.16,2024.36,33,33
23.8274,-2377.176513671875,170000,32.235,2051.26,1713.51,34,34
25.3921,-2604.45068359375,175000,44.7907,883.67,847.0,35,35
22.4771,-2078.04736328125,180000,32.506,1741.14,1240.4,36,36
24.4871,-2504.208984375,185000,23.0156,1597.68,1077.55,37,37
22.8923,-2631.909912109375,190000,46.7631,1182.84,978.9,38,38
21.0878,-419.6702575683594,195000,12.5319,3117.77,2901.81,39,39
20.149,-781.8484497070312,200000,15.1398,3295.7,2340.56,40,40
21.5009,-1771.12451171875,205000,23.587,2875.14,1702.76,41,41
22.4622,-2260.01708984375,210000,17.068,3329.39,1325.24,42,42
21.0964,-2058.677978515625,215000,16.3582,2803.46,1399.79,43,43
23.0185,-2833.174560546875,220000,17.8162,1156.84,953.03,44,44
19.6836,-966.9877319335938,225000,15.4676,3342.54,2284.36,45,45
22.7978,-2838.25927734375,230000,23.7026,1112.27,1060.27,46,46
22.0258,-3174.71826171875,235000,35.6848,967.07,923.73,47,47
18.9111,-1670.134521484375,240000,20.0815,3400.26,2417.63,48,48
20.1542,-349.3829345703125,245000,13.6255,3380.17,3372.02,49,49
20.3133,-73.7335433959961,250000,12.002,3411.07,3039.02,50,50
