Running Forward KL,Real Sto Return,Running Reverse KL,Running Env Steps,Running Update Time,Reward Loss,Real Det Return,Itration
33.3428,197.65,23.9704,0,0,-93.47099304199219,187.66,0
31.5505,246.44,21.6912,5000,1,-201.9694366455078,250.34,1
29.6755,315.13,18.9547,10000,2,-340.6968994140625,310.54,2
27.5684,436.18,30.6808,15000,3,-413.6148681640625,452.77,3
26.1678,638.07,34.5061,20000,4,-654.755859375,656.71,4
26.3518,622.94,33.2699,25000,5,-621.4785766601562,659.73,5
27.84,512.33,20.3045,30000,6,-455.69873046875,574.46,6
26.4199,624.4,16.3851,35000,7,-383.8401184082031,633.49,7
25.924,808.23,18.1959,40000,8,-446.50042724609375,788.21,8
26.7404,637.67,16.9772,45000,9,-421.0286865234375,607.5,9
26.2238,809.51,15.5795,50000,10,-318.600830078125,883.58,10
25.5278,841.05,17.0184,55000,11,-321.8732604980469,827.88,11
25.3775,940.53,15.4951,60000,12,-429.565185546875,961.55,12
24.4092,1936.33,14.1337,65000,13,-300.27606201171875,2791.6,13
26.4001,952.71,24.217,70000,14,-614.5029907226562,1004.04,14
24.028,1195.08,29.8788,75000,15,-754.3197631835938,1525.86,15
25.8022,757.48,39.14,80000,16,-721.8311767578125,862.71,16
25.9308,863.15,25.5598,85000,17,-743.6577758789062,930.0,17
26.0416,936.61,25.5449,90000,18,-810.8375854492188,965.04,18
24.9049,951.49,21.1077,95000,19,-776.1748046875,994.38,19
22.8199,2349.65,21.6098,100000,20,-679.6375122070312,3140.76,20
24.0558,2772.29,17.0916,105000,21,-579.9682006835938,3018.86,21
25.6666,932.47,22.0686,110000,22,-916.6287231445312,962.12,22
24.6568,1008.19,18.6238,115000,23,-951.6791381835938,964.44,23
24.5662,1284.57,20.613,120000,24,-1029.937255859375,3013.77,24
24.2937,984.56,20.6651,125000,25,-1092.54345703125,975.78,25
24.176,1210.22,20.8343,130000,26,-1090.6898193359375,2530.19,26
23.9301,1245.13,30.2137,135000,27,-1196.671875,3028.46,27
22.5051,1759.18,15.3552,140000,28,-868.2738037109375,3009.21,28
24.4666,1014.61,21.8533,145000,29,-1224.94921875,1064.15,29
