Itration,Running Reverse KL,Real Sto Return,Reward Loss,Running Update Time,Running Env Steps,Real Det Return,Running Forward KL
0,24.7179,382.96,61.3914680480957,0,0,382.77,31.0652
1,29.7,289.03,67.18035888671875,1,5000,295.95,30.5908
2,28.0251,333.31,52.36728286743164,2,10000,338.99,31.0481
3,32.032,345.79,-46.79490280151367,3,15000,338.68,30.653
4,28.5018,437.91,-65.30042266845703,4,20000,589.6,29.4353
5,20.0357,432.73,58.40706253051758,5,25000,432.31,28.9188
6,31.6037,858.23,-30.423686981201172,6,30000,238.92,25.5567
7,60.7407,586.67,77.44651794433594,7,35000,590.12,26.1606
8,59.6345,682.4,25.680330276489258,8,40000,727.45,25.5362
9,35.7813,948.71,-145.623291015625,9,45000,1049.04,23.4842
10,46.8261,1041.89,-20.15472412109375,10,50000,1130.88,24.4236
11,48.4446,909.98,-123.82945251464844,11,55000,922.59,24.7096
12,38.3486,957.27,-187.26060485839844,12,60000,1035.94,24.4062
13,18.6331,1687.16,-139.9178924560547,13,65000,2459.78,22.6565
14,21.0408,1184.98,-253.09005737304688,14,70000,1383.07,23.7103
15,46.9171,1071.86,-160.65647888183594,15,75000,2477.18,23.5692
16,14.19,2662.83,-58.73187255859375,16,80000,3068.92,22.3595
17,13.7121,2128.79,-73.52108764648438,17,85000,2073.84,21.5959
18,12.3783,3014.49,-54.47584533691406,18,90000,2961.3,21.5966
19,13.9803,3027.35,-51.60889434814453,19,95000,3030.58,22.2464
20,14.2074,3035.61,-101.39089965820312,20,100000,3078.23,22.6346
21,11.6746,2208.31,-73.4532470703125,21,105000,3087.61,20.5914
22,13.2495,2401.08,-246.74658203125,22,110000,3098.73,21.379
23,12.6751,2969.57,-122.46209716796875,23,115000,2932.96,22.1588
24,13.5002,3109.16,-124.44723510742188,24,120000,3101.7,22.1024
25,11.9755,2230.99,-97.61106872558594,25,125000,3033.43,21.0398
26,11.977,2883.56,-150.35516357421875,26,130000,2769.99,21.0578
27,12.6829,2326.13,-219.85765075683594,27,135000,1045.34,20.563
28,11.694,2564.36,-249.53799438476562,28,140000,942.7,20.6361
29,11.7407,2672.77,-154.67196655273438,29,145000,2788.87,20.5949
30,16.5381,2396.63,-190.72315979003906,30,150000,1116.23,19.7053
31,11.4726,2515.37,-262.026611328125,31,155000,2501.33,20.568
32,12.5519,2202.23,-286.90716552734375,32,160000,989.54,20.4401
33,11.479,2261.46,-261.20611572265625,33,165000,1201.12,20.7403
34,11.8709,2493.98,-208.53756713867188,34,170000,2324.72,21.0842
35,15.9331,2749.14,-213.286376953125,35,175000,3024.25,20.9273
36,16.3586,2310.47,-314.26611328125,36,180000,924.79,21.1225
37,14.0156,2696.72,-294.7555236816406,37,185000,2982.99,20.8895
38,11.0611,2579.27,-292.36328125,38,190000,1414.29,20.3085
