Running Update Time,Reward Loss,Real Sto Return,Running Env Steps,Running Forward KL,Running Reverse KL,Itration,Real Det Return
0,374.77056884765625,184.44,0,33.4541,19.8162,0,178.72
1,294.703369140625,247.67,5000,30.2988,23.6924,1,237.45
2,259.1383056640625,333.12,10000,28.4342,16.2236,2,345.86
3,556.1670532226562,376.21,15000,28.4169,16.1829,3,386.96
4,343.1776428222656,353.05,20000,28.8783,23.1815,4,359.63
5,477.3670349121094,352.42,25000,27.5766,35.8933,5,441.43
6,309.4960021972656,332.99,30000,28.4872,42.6666,6,366.79
7,270.3375549316406,377.53,35000,27.4494,23.4425,7,375.27
8,540.0496215820312,410.63,40000,27.2913,81.594,8,383.56
9,197.59201049804688,403.93,45000,27.2104,18.6266,9,407.67
10,264.2020568847656,415.95,50000,27.1044,16.5732,10,427.08
11,187.158447265625,429.68,55000,26.9071,17.2572,11,436.12
12,-49.29343032836914,437.56,60000,26.9232,16.2794,12,441.31
13,-167.83128356933594,436.41,65000,26.4397,19.0473,13,447.89
14,-222.73068237304688,450.33,70000,26.9368,19.729,14,460.49
15,-234.9307098388672,495.32,75000,25.6932,16.4764,15,501.24
16,-244.73092651367188,534.73,80000,25.0539,15.3742,16,503.88
17,-345.8621826171875,586.97,85000,25.3684,23.0299,17,600.92
18,-255.8335418701172,658.11,90000,24.0051,26.626,18,874.44
19,-265.2343444824219,534.65,95000,23.8472,17.9293,19,866.02
20,-276.529541015625,604.7,100000,24.0277,24.5009,20,772.13
21,-309.7460632324219,798.61,105000,22.9815,13.0891,21,864.61
22,-391.6579895019531,811.24,110000,23.9256,15.3517,22,869.24
23,-314.1156311035156,789.19,115000,23.9349,11.8345,23,776.95
24,-472.12432861328125,823.1,120000,24.055,16.3931,24,890.88
25,-438.7979736328125,951.14,125000,23.1943,15.964,25,1094.17
26,-310.74822998046875,1642.44,130000,22.4693,13.736,26,3007.9
27,-89.24304962158203,1548.0,135000,21.9428,11.355,27,1771.53
28,-103.82039642333984,2294.66,140000,21.7182,12.2541,28,2937.74
29,-285.6959228515625,1776.05,145000,22.1366,12.2352,29,1182.18
30,-136.93177795410156,1838.95,150000,21.6013,11.9798,30,3041.72
31,-132.03631591796875,2245.83,155000,21.4649,11.4117,31,3109.98
32,-86.87665557861328,2697.92,160000,21.3817,12.1953,32,3078.35
33,-79.18537139892578,2605.21,165000,21.2626,12.0848,33,3161.66
34,3.4397852420806885,3112.78,170000,19.935,11.7471,34,3088.95
35,-95.68485260009766,2539.46,175000,19.8034,10.861,35,3100.55
36,-318.04412841796875,2000.8,180000,22.3202,12.4048,36,3257.05
37,-18.78459358215332,2757.82,185000,20.537,12.9065,37,3172.12
38,-77.48615264892578,2382.47,190000,20.5319,12.7233,38,3255.41
39,-229.95916748046875,2221.53,195000,20.2669,11.1817,39,3202.17
40,24.028417587280273,3143.39,200000,20.1541,12.7196,40,3144.74
41,-262.0042419433594,2666.99,205000,21.7158,11.2949,41,2963.64
42,-257.8073425292969,2581.82,210000,21.5785,10.7263,42,1475.07
43,-215.07814025878906,2386.48,215000,21.4624,10.8755,43,2424.93
44,-52.46110534667969,3060.5,220000,20.4613,11.5594,44,3188.53
45,-195.83815002441406,2532.02,225000,21.4432,10.7084,45,1317.88
46,-177.93594360351562,2685.82,230000,21.3105,10.8455,46,3141.87
47,-37.31636047363281,2849.22,235000,19.1631,11.4938,47,3223.82
48,-232.60162353515625,3086.29,240000,21.4265,11.9168,48,3054.54
49,-32.448421478271484,2988.33,245000,19.2399,11.6691,49,3167.9
50,-134.2412872314453,3227.43,250000,20.562,12.2678,50,3250.02
51,-26.254741668701172,3304.59,255000,18.3321,11.5552,51,3313.17
52,-31.622161865234375,3301.51,260000,19.5055,12.5338,52,3293.8
53,-54.53342056274414,3312.26,265000,18.8303,13.1634,53,3294.61
54,-17.83879852294922,3331.72,270000,20.7547,13.5859,54,3383.7
55,-29.681163787841797,3295.38,275000,19.2707,11.9387,55,3263.11
56,-53.325233459472656,3339.68,280000,20.3344,13.4462,56,3362.93
57,-29.256467819213867,3336.71,285000,20.3221,13.0275,57,3385.64
58,-76.35648345947266,3346.97,290000,19.128,12.8054,58,3375.08
59,-91.71302032470703,3213.25,295000,19.0624,13.0715,59,3328.26
60,-77.83330535888672,3239.23,300000,18.2528,11.0933,60,3258.87
61,-116.6658935546875,3227.64,305000,18.8902,11.9768,61,3308.54
62,-90.19029998779297,3090.02,310000,19.8963,12.2904,62,3355.2
63,-394.35797119140625,2576.82,315000,19.8195,11.5793,63,3350.56
64,-114.47994995117188,2980.18,320000,18.4384,12.0838,64,3297.75
65,-176.1419677734375,2092.72,325000,18.215,10.991,65,248.31
66,-100.48431396484375,2556.07,330000,18.7905,12.4728,66,3327.75
67,-359.279052734375,2869.16,335000,20.3729,12.8175,67,3379.83
68,-279.3582763671875,2831.7,340000,19.0818,12.4963,68,3313.88
69,-576.2914428710938,2112.76,345000,19.9062,14.3209,69,3344.89
70,-231.24786376953125,3153.5,350000,19.0577,11.9006,70,3370.84
71,-359.9829406738281,2517.15,355000,19.5481,12.7587,71,3382.59
72,-311.12530517578125,3184.06,360000,18.8157,11.2174,72,3376.39
73,-1019.4981689453125,2117.79,365000,22.0372,13.845,73,3370.96
74,-160.8181610107422,3273.72,370000,17.5673,10.226,74,3326.55
75,-577.4373168945312,2394.14,375000,20.0996,15.4126,75,2622.2
76,-555.6495971679688,2695.41,380000,19.0154,15.4665,76,3143.96
77,-434.84832763671875,2745.89,385000,19.1738,13.2371,77,3383.12
78,-514.9631958007812,2831.34,390000,19.2129,14.251,78,3350.96
79,-974.70068359375,2212.81,395000,20.7774,16.8587,79,2668.25
80,-671.9044799804688,2468.49,400000,19.8339,14.4196,80,3394.22
81,-411.68011474609375,3263.2,405000,18.7523,13.535,81,3365.19
82,-714.641357421875,2790.83,410000,20.483,15.4381,82,3401.14
83,-713.1060180664062,2654.37,415000,19.9237,17.086,83,3403.34
84,-698.39990234375,2609.76,420000,19.505,16.1122,84,3416.45
85,-827.7848510742188,2534.07,425000,19.9088,19.1612,85,3397.92
86,-861.7807006835938,1999.28,430000,19.5473,18.2872,86,3386.01
87,-476.4959411621094,2850.99,435000,18.6329,14.218,87,3368.59
88,-1012.4229125976562,2333.36,440000,20.2414,21.5005,88,3440.51
89,-715.8766479492188,2687.1,445000,19.7667,16.7372,89,3404.36
90,-1170.32568359375,2178.07,450000,21.4706,21.4761,90,3433.33
91,-562.7054443359375,2876.48,455000,19.1209,13.4092,91,3409.63
92,-474.7432556152344,3134.4,460000,19.4739,13.0962,92,3418.14
93,-767.1647338867188,2696.68,465000,19.4323,17.1696,93,3398.4
