Running Update Time,Real Det Return,Real Sto Return,Itration,Running Forward KL,Reward Loss,Running Env Steps,Running Reverse KL
0,334.88,319.63,0,31.5638,-1176.5426025390625,0,18.6148
1,39.82,64.82,1,31.1443,-1117.5076904296875,5000,16.9845
2,312.44,300.19,2,30.292,-1320.7803955078125,10000,20.0005
3,366.52,361.32,3,28.9247,-973.6226806640625,15000,62.6575
4,412.8,439.59,4,27.9665,-1025.6990966796875,20000,31.1378
5,449.13,455.22,5,26.9737,-1257.9383544921875,25000,18.1018
6,400.57,399.32,6,26.7404,-913.6956176757812,30000,14.6977
7,745.37,696.69,7,27.3805,-1372.72998046875,35000,19.9762
8,528.14,576.32,8,28.342,-1632.4725341796875,40000,21.3675
9,551.42,592.06,9,28.1031,-1654.5062255859375,45000,21.2801
10,661.17,650.69,10,26.9658,-1695.637939453125,50000,21.3461
11,643.3,654.56,11,26.7627,-1753.03564453125,55000,22.3799
12,680.83,737.48,12,26.2545,-1639.0760498046875,60000,21.8549
13,696.37,777.9,13,26.1922,-1680.2828369140625,65000,20.2981
14,649.46,655.9,14,26.681,-1209.851806640625,70000,18.8957
15,2571.61,2233.08,15,26.3132,-783.6046752929688,75000,15.6393
16,2602.96,2526.03,16,26.2693,-689.572265625,80000,16.2413
17,2506.47,1625.14,17,25.5559,-1000.9292602539062,85000,15.9103
18,910.63,1252.27,18,26.1754,-1401.9295654296875,90000,21.1062
19,834.6,827.99,19,26.3669,-1658.83154296875,95000,17.7932
20,1053.22,1509.66,20,26.0329,-1241.1832275390625,100000,18.0748
21,831.27,833.81,21,26.7869,-1908.535400390625,105000,19.3077
22,942.0,972.27,22,25.5094,-1780.2069091796875,110000,19.5291
23,938.77,893.61,23,25.7729,-1935.23388671875,115000,18.6813
24,855.71,903.05,24,26.4068,-1916.1434326171875,120000,17.407
25,3045.58,1343.35,25,25.7701,-1509.9710693359375,125000,14.6487
26,1222.75,1022.4,26,26.1083,-1669.02685546875,130000,15.9185
27,945.52,953.84,27,26.0058,-1489.5123291015625,135000,20.5317
28,1022.93,1443.75,28,25.5005,-1630.279052734375,140000,14.4705
29,1147.17,1397.06,29,25.5014,-1661.451416015625,145000,16.104
30,984.52,1357.35,30,25.8488,-1754.979248046875,150000,25.3594
31,2063.45,1822.92,31,25.8201,-1493.7799072265625,155000,14.4641
32,3009.36,2383.22,32,25.4934,-977.7876586914062,160000,14.2102
33,2831.07,1660.44,33,25.6505,-1245.1358642578125,165000,19.0895
34,980.01,1529.53,34,25.3187,-1296.55517578125,170000,14.2201
35,2823.72,1849.29,35,24.5737,-1307.2713623046875,175000,23.6809
36,2775.93,1839.7,36,24.7175,-1278.095458984375,180000,15.6721
37,1344.78,1304.09,37,25.3788,-1420.951171875,185000,14.7963
38,1141.47,1101.01,38,25.618,-1719.105224609375,190000,21.0495
39,1016.2,1120.93,39,25.4847,-1823.84423828125,195000,15.4248
40,1043.88,1195.16,40,25.0446,-1787.4117431640625,200000,20.6198
41,1330.36,1134.39,41,25.9257,-1745.2515869140625,205000,15.3987
42,1102.19,1372.15,42,25.4361,-1970.216552734375,210000,16.69
43,895.17,933.73,43,25.9721,-1604.2935791015625,215000,15.4775
44,939.27,936.55,44,25.5312,-1493.683837890625,220000,15.1185
45,981.71,1074.93,45,25.6671,-1997.54541015625,225000,14.6283
46,943.08,1062.1,46,25.1191,-1642.846435546875,230000,14.2634
47,2804.4,1755.45,47,25.2104,-1636.215576171875,235000,15.3693
48,1247.17,1493.92,48,24.8806,-1823.3233642578125,240000,14.0005
