Itration,Running Env Steps,Running Update Time,Real Det Return,Running Reverse KL,Running Forward KL,Reward Loss,Real Sto Return
0,0,0,205.19,21.7538,31.7405,331.1911315917969,199.67
1,5000,1,258.44,21.8972,31.9167,278.966064453125,261.63
2,10000,2,280.35,15.7188,31.183,320.2974548339844,284.54
3,15000,3,290.73,17.3777,30.8278,163.67245483398438,293.13
4,20000,4,240.03,16.4647,30.872,169.96926879882812,274.74
5,25000,5,359.74,15.9182,30.0215,125.27228546142578,345.55
6,30000,6,365.93,16.9863,27.0336,27.022491455078125,360.07
7,35000,7,429.88,17.1674,27.6424,-41.90078353881836,394.43
8,40000,8,535.25,15.0446,26.9322,-48.696128845214844,511.87
9,45000,9,448.19,14.8821,25.7655,-111.1742172241211,429.85
10,50000,10,553.51,19.2404,25.5299,-167.79405212402344,530.57
11,55000,11,666.45,36.2301,25.6937,-108.18576049804688,610.23
12,60000,12,737.92,30.3014,24.0558,-210.81361389160156,530.76
13,65000,13,725.55,17.6609,24.5059,-209.7657470703125,668.0
14,70000,14,1054.79,15.6245,24.6383,-193.2935028076172,1104.48
15,75000,15,811.33,19.1445,24.3393,-82.23434448242188,807.02
16,80000,16,1035.89,24.4085,25.1255,-41.80607604980469,715.25
17,85000,17,526.04,15.5857,23.3896,-151.8094024658203,493.69
18,90000,18,772.67,27.3112,24.322,-50.412681579589844,747.82
19,95000,19,822.21,24.8063,24.4657,-101.35733795166016,764.49
20,100000,20,872.31,19.5498,22.7526,-180.7022247314453,849.22
21,105000,21,1045.0,28.1718,23.8959,-293.8766784667969,931.96
22,110000,22,849.3,31.3284,24.1456,-371.8612365722656,820.41
23,115000,23,871.55,31.2856,23.7676,-291.88800048828125,819.92
24,120000,24,669.5,21.4179,24.0475,-434.89654541015625,666.96
25,125000,25,1079.51,25.2031,22.9011,-451.25927734375,1074.66
26,130000,26,845.14,21.5453,23.8032,-454.8010559082031,793.56
27,135000,27,2512.37,13.5293,22.5724,-180.96713256835938,1285.65
28,140000,28,2977.14,15.2748,23.132,-111.26292419433594,2196.51
29,145000,29,2874.34,14.7391,22.417,-105.27859497070312,2896.09
30,150000,30,2949.85,14.3657,22.4142,-100.66788482666016,2850.74
31,155000,31,3049.93,13.4517,22.5077,-315.4025573730469,1950.15
32,160000,32,1050.5,13.847,24.2294,-553.7925415039062,925.51
33,165000,33,3067.63,12.9123,22.3701,-479.9784240722656,1519.97
34,170000,34,950.41,13.668,24.472,-506.397216796875,885.48
35,175000,35,3350.79,24.7813,22.3737,-402.6598815917969,1332.11
36,180000,36,3304.24,13.9584,21.5068,-172.69509887695312,3021.28
37,185000,37,3306.08,15.7017,21.599,-168.2397003173828,3185.69
38,190000,38,3116.73,31.1242,22.636,-629.4777221679688,1835.77
39,195000,39,2356.74,23.1582,22.6044,-698.855224609375,1868.23
40,200000,40,3348.03,15.595,21.2477,-299.7550048828125,2895.23
41,205000,41,3385.96,14.1992,20.8134,-525.8005981445312,1934.21
42,210000,42,3383.18,40.6996,22.0031,-733.3912353515625,2184.55
43,215000,43,2371.46,14.4383,22.7637,-846.3421630859375,1213.22
44,220000,44,3364.68,14.7979,21.287,-593.7075805664062,2144.45
45,225000,45,3370.32,29.473,23.2252,-877.3723754882812,2238.6
46,230000,46,1223.19,46.9454,23.8107,-973.439697265625,1406.56
47,235000,47,3219.61,13.2105,20.9656,-122.5493392944336,3190.78
48,240000,48,1439.81,40.7958,21.9744,-1054.7020263671875,1320.54
49,245000,49,3237.37,27.914,21.703,-872.1238403320312,2045.61
50,250000,50,2568.77,15.8621,23.9357,-958.6827392578125,1208.14
51,255000,51,3343.72,14.434,21.3791,-268.7270812988281,2970.85
52,260000,52,3369.32,15.2283,23.9854,-1007.8292846679688,1798.97
53,265000,53,3336.51,14.9714,22.5505,-204.16305541992188,3106.41
54,270000,54,3055.77,22.2127,22.4845,-999.3103637695312,1320.9
55,275000,55,3216.89,13.2038,20.2064,-224.43153381347656,3137.83
56,280000,56,3304.95,13.1694,21.4066,-550.4669799804688,2151.1
57,285000,57,3363.26,16.4543,21.1674,-406.2449035644531,2697.15
58,290000,58,3333.8,14.2237,21.1073,-243.37066650390625,3219.2
59,295000,59,3264.66,29.4643,21.7727,-558.2880859375,2885.61
60,300000,60,2895.88,35.0327,23.1635,-1295.459228515625,1284.49
61,305000,61,3300.28,14.5664,20.8325,-303.5406799316406,3181.65
62,310000,62,3294.93,13.8977,19.4012,-196.4937744140625,3184.44
63,315000,63,3338.44,33.8644,21.4255,-824.5504760742188,2382.96
64,320000,64,3344.11,37.7559,22.8697,-1242.620849609375,1376.04
65,325000,65,3337.67,17.4047,20.5137,-658.378662109375,2644.3
66,330000,66,3279.76,14.214,21.4785,-321.995849609375,2959.38
67,335000,67,3160.65,12.8519,20.8552,-286.93267822265625,3168.13
68,340000,68,1069.89,19.2322,24.1199,-1472.6370849609375,965.36
69,345000,69,3300.81,13.8342,20.0857,-420.3307800292969,2669.79
70,350000,70,3272.92,13.8552,21.4556,-561.0897216796875,2571.41
71,355000,71,3171.71,16.5714,20.2913,-403.7489929199219,2752.8
72,360000,72,3306.98,18.878,21.2981,-779.333740234375,2785.55
73,365000,73,3221.34,13.2179,19.6163,-245.19859313964844,3150.95
74,370000,74,1247.1,17.4666,23.6459,-1556.1220703125,1071.13
75,375000,75,3272.17,13.3711,20.8249,-366.5142517089844,3268.28
76,380000,76,3274.99,11.8675,19.708,-420.2742614746094,2965.72
77,385000,77,3267.04,13.4971,20.1145,-324.0758972167969,3083.05
78,390000,78,3233.81,13.4225,20.517,-316.2586975097656,3142.69
79,395000,79,3261.48,13.4442,20.6246,-456.3179931640625,3006.07
80,400000,80,3322.57,18.7533,21.0629,-894.96240234375,2477.41
81,405000,81,3042.41,12.4323,20.4498,-372.7696838378906,3018.62
82,410000,82,3328.15,16.8637,21.7668,-1308.931884765625,2447.06
83,415000,83,3285.21,12.2764,19.492,-687.4041748046875,2915.95
84,420000,84,3234.17,12.2859,20.5717,-477.69818115234375,2939.12
85,425000,85,3300.87,13.0478,19.8742,-387.3401794433594,3031.16
86,430000,86,3235.8,13.0414,19.3506,-333.4151306152344,3197.29
87,435000,87,3232.27,12.4232,21.2746,-1218.216796875,2213.77
88,440000,88,3249.74,12.3906,19.7638,-379.99798583984375,3274.94
89,445000,89,3216.42,12.4431,19.8536,-353.16986083984375,3149.43
90,450000,90,3135.82,12.0638,19.98,-348.9514465332031,3066.17
91,455000,91,3333.34,12.8358,20.9557,-552.2039794921875,3102.33
92,460000,92,3296.5,12.7352,18.1061,-319.6778259277344,3194.55
93,465000,93,3311.88,12.9906,19.7718,-334.3043518066406,2507.86
94,470000,94,3325.2,12.8597,20.0779,-606.7601318359375,2855.8
95,475000,95,3313.11,13.1297,20.0208,-377.6631164550781,3204.72
96,480000,96,3341.61,17.3453,20.3948,-481.5090026855469,3233.53
97,485000,97,3354.5,15.0205,20.0748,-785.6546020507812,2472.17
98,490000,98,3317.71,12.213,19.3995,-389.4710388183594,3205.22
99,495000,99,3342.9,12.3122,19.2319,-486.9566955566406,3246.9
100,500000,100,3302.96,14.8737,20.2656,-598.7313842773438,2901.27
101,505000,101,2902.74,16.1957,20.2041,-810.3533935546875,2067.33
102,510000,102,3324.28,12.3193,19.8983,-543.02294921875,2535.39
103,515000,103,3311.06,13.5146,20.0268,-535.3902587890625,2894.61
104,520000,104,3334.0,12.4472,20.2466,-528.669677734375,3218.38
105,525000,105,3345.79,12.3101,19.2115,-446.0537414550781,3340.3
106,530000,106,3342.35,16.208,21.2623,-694.9752197265625,2093.03
107,535000,107,3280.63,11.4435,17.5702,-332.6728820800781,3280.23
108,540000,108,3334.45,13.5784,21.9531,-1329.8211669921875,1516.67
109,545000,109,3203.26,11.4177,18.8794,-403.6417236328125,3127.11
110,550000,110,3367.26,11.4478,18.4975,-448.71844482421875,3267.48
111,555000,111,3277.66,11.7739,19.0407,-415.04364013671875,3205.57
112,560000,112,3383.63,13.3726,19.6114,-658.2138061523438,2726.91
113,565000,113,3374.83,12.77,19.4282,-410.599365234375,3267.15
114,570000,114,3319.78,17.6951,20.2864,-887.2022705078125,2547.89
115,575000,115,3307.6,13.5591,18.6755,-805.6099853515625,3313.76
116,580000,116,3359.89,12.5224,18.6604,-601.5879516601562,3246.28
117,585000,117,3337.71,15.0296,19.5877,-652.3807373046875,2702.15
118,590000,118,3247.81,11.5605,18.3212,-460.57427978515625,3162.69
119,595000,119,3297.33,12.2753,19.5288,-522.7272338867188,3208.03
120,600000,120,3215.35,23.5766,20.0919,-1397.713623046875,2013.68
121,605000,121,3341.07,12.0696,18.2803,-485.31744384765625,3230.57
122,610000,122,3311.18,10.007,17.2676,-319.51025390625,3295.12
123,615000,123,3335.21,13.9106,18.557,-736.1599731445312,3030.28
124,620000,124,3332.52,11.1047,18.0271,-439.92620849609375,3039.86
125,625000,125,3373.01,10.623,17.972,-636.7882690429688,3073.22
126,630000,126,3422.16,11.9327,18.427,-463.0983581542969,3280.69
127,635000,127,3318.43,11.0356,18.1862,-460.0120544433594,3255.39
128,640000,128,3364.34,12.1929,18.2821,-567.2904052734375,3247.53
129,645000,129,3363.47,14.1513,19.0442,-1115.676025390625,2782.68
130,650000,130,3386.42,12.7121,19.2722,-537.58740234375,2892.28
131,655000,131,3304.45,18.4139,20.1519,-872.1495971679688,2327.49
132,660000,132,3276.66,12.1279,19.2381,-547.8768920898438,3096.36
133,665000,133,3252.51,11.799,19.0106,-516.5385131835938,3280.47
134,670000,134,3318.09,11.8813,18.6119,-565.197998046875,3316.1
135,675000,135,3259.57,16.9291,20.6962,-1451.0302734375,1868.31
136,680000,136,3215.19,12.2332,18.946,-612.2225341796875,2220.22
137,685000,137,3357.19,12.4797,19.2728,-500.7625732421875,3301.35
138,690000,138,3386.82,11.901,19.0292,-475.0409851074219,3217.45
139,695000,139,3323.31,14.4668,19.3892,-1070.9830322265625,2394.07
140,700000,140,3353.72,15.3998,20.739,-1541.594482421875,2049.94
141,705000,141,3354.32,11.5489,18.4846,-705.7997436523438,2502.09
142,710000,142,3386.53,11.193,18.3041,-570.2630004882812,3129.94
143,715000,143,3328.45,29.2269,20.5977,-1691.259765625,1798.57
144,720000,144,1962.11,52.144,21.831,-2823.05859375,1243.09
145,725000,145,3364.24,21.4276,20.6393,-1389.702880859375,1956.48
146,730000,146,3326.92,12.5755,18.7239,-583.8993530273438,2455.81
147,735000,147,3242.73,17.4451,20.1573,-1617.83984375,2134.99
148,740000,148,1853.88,62.1158,22.842,-3076.2294921875,1286.22
149,745000,149,3373.64,13.441,18.4895,-836.4963989257812,3123.37
150,750000,150,3324.61,11.1974,18.5142,-456.46527099609375,3208.71
151,755000,151,3364.71,21.1653,20.0961,-1880.9095458984375,2341.8
152,760000,152,3356.82,11.8023,19.2744,-632.3558959960938,3208.3
153,765000,153,3328.32,13.6489,19.3286,-868.26708984375,3051.7
154,770000,154,3386.58,11.6977,17.9859,-616.7828369140625,2912.52
155,775000,155,3388.06,15.9252,19.8314,-1034.1795654296875,2950.43
156,780000,156,3334.84,11.8919,19.2472,-735.786865234375,2784.01
157,785000,157,3376.71,11.5888,18.726,-655.8419799804688,2932.34
158,790000,158,3311.86,13.3247,18.5233,-918.5933227539062,2180.92
159,795000,159,3349.4,13.9287,18.8283,-1195.0186767578125,2622.87
160,800000,160,3321.71,13.984,20.6349,-1630.8895263671875,2560.53
161,805000,161,3342.87,14.0967,20.1889,-1192.5477294921875,2649.03
162,810000,162,3363.88,21.8293,20.6591,-1325.6260986328125,2726.26
163,815000,163,3281.33,11.4775,18.5477,-701.644287109375,3182.79
164,820000,164,3351.58,12.7832,20.5517,-762.2372436523438,3284.97
165,825000,165,3349.65,19.4702,18.9317,-1153.6510009765625,2673.61
166,830000,166,3361.84,11.6189,18.5801,-660.9427490234375,3110.35
167,835000,167,3364.14,10.8169,18.075,-655.9918212890625,3078.64
168,840000,168,3333.2,14.7219,20.2632,-1618.644775390625,2580.53
169,845000,169,3367.11,11.5105,19.8585,-914.4293212890625,2610.53
170,850000,170,3361.3,11.2632,18.7695,-841.0259399414062,3238.0
171,855000,171,3374.28,13.6105,19.2476,-843.1652221679688,3259.47
172,860000,172,3315.66,12.6901,19.6256,-1440.8583984375,2479.53
173,865000,173,3367.95,12.2605,19.3025,-1034.2550048828125,2827.58
174,870000,174,3356.51,12.2913,19.9513,-1344.23486328125,2807.27
175,875000,175,3370.47,12.0076,18.8147,-972.4136352539062,3105.62
176,880000,176,3361.38,11.2808,18.0399,-774.6409301757812,3104.7
177,885000,177,3358.66,10.9578,18.0066,-636.4147338867188,3279.9
178,890000,178,3381.47,11.5555,19.3697,-717.2368774414062,3207.31
179,895000,179,3388.15,18.3002,21.4542,-1775.2042236328125,1595.93
180,900000,180,3338.41,13.7352,19.868,-1412.5537109375,2417.8
181,905000,181,3360.21,13.2355,18.7253,-1194.407470703125,3049.63
182,910000,182,3366.66,11.0675,18.0565,-705.0633544921875,3102.18
183,915000,183,3402.52,12.3109,19.5014,-722.4452514648438,3099.97
184,920000,184,3310.32,11.1372,19.0121,-893.2738647460938,3159.04
185,925000,185,3405.09,13.3534,18.6278,-1304.28369140625,2382.57
186,930000,186,3321.24,25.7775,20.5262,-2081.809326171875,2116.88
187,935000,187,3380.61,23.0795,19.6701,-1702.6724853515625,2446.9
188,940000,188,3326.19,16.9689,18.9527,-1604.05029296875,2630.97
189,945000,189,3366.85,10.7667,16.6606,-688.8449096679688,3059.22
190,950000,190,3380.21,13.2499,18.4679,-1219.284912109375,3137.7
191,955000,191,3316.71,10.3768,18.3924,-838.68115234375,2795.16
192,960000,192,3362.7,9.8212,16.8678,-596.9657592773438,3023.61
193,965000,193,3401.0,13.1351,18.3237,-1191.457763671875,2725.9
194,970000,194,3371.87,12.0774,18.6397,-1216.4100341796875,2831.85
195,975000,195,3319.36,11.8158,18.5221,-943.8955078125,3107.41
196,980000,196,3404.37,12.1155,18.5158,-1154.673095703125,3313.04
197,985000,197,3381.22,12.0743,17.8399,-1052.3507080078125,3189.96
198,990000,198,3390.27,12.0445,19.0536,-907.3968505859375,3281.84
199,995000,199,3384.85,11.7106,18.4968,-791.411376953125,3275.92
