Running Env Steps,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Reward Loss,Itration,Running Update Time
0,25.1493,32.6035,197.26,200.12,-86.9422836303711,0,0
5000,47.5408,30.9382,270.48,268.74,29.95227813720703,1,1
10000,37.7641,31.3721,198.43,218.79,-56.39497375488281,2,2
15000,28.4659,31.2279,287.15,240.05,-161.92001342773438,3,3
20000,44.4911,31.3688,326.78,319.58,-184.42025756835938,4,4
25000,37.156,31.5115,330.74,325.07,-245.89578247070312,5,5
30000,26.5386,30.8972,319.22,315.09,-267.1880187988281,6,6
35000,22.1202,30.9646,318.51,316.21,-289.8381652832031,7,7
40000,17.5979,30.048,318.1,320.36,-349.96551513671875,8,8
45000,21.0082,30.9616,320.59,320.73,-391.4588317871094,9,9
50000,18.585,30.3625,322.9,327.63,-468.3695068359375,10,10
55000,23.6131,30.6745,319.0,321.27,-549.8895874023438,11,11
60000,24.9505,30.8835,324.83,322.22,-608.1826782226562,12,12
65000,24.6806,30.7352,335.45,331.08,-657.40966796875,13,13
70000,27.7403,29.9259,339.78,333.89,-694.2931518554688,14,14
75000,20.325,27.1955,398.62,392.5,-689.1411743164062,15,15
80000,19.9063,25.374,1098.22,954.71,-576.7216186523438,16,16
85000,137.5918,31.4591,371.17,216.52,-379.3680419921875,17,17
90000,19.4075,24.8321,1072.17,1297.98,-604.2634887695312,18,18
95000,20.3093,25.2034,885.77,842.63,-710.6741943359375,19,19
100000,21.1547,23.6252,1249.04,1426.32,-614.2396240234375,20,20
105000,19.7383,23.9866,2314.94,2001.82,-600.2786865234375,21,21
110000,25.0094,25.0006,750.72,818.6,-835.8521118164062,22,22
115000,23.3198,25.3029,828.79,833.96,-864.7964477539062,23,23
120000,19.3661,23.0624,832.48,1706.81,-779.843505859375,24,24
125000,19.1244,23.2408,935.79,1742.16,-727.0183715820312,25,25
130000,22.2956,24.7018,821.52,1113.02,-855.8102416992188,26,26
135000,20.2197,23.844,717.26,1135.68,-879.6807250976562,27,27
140000,12.2902,21.8751,2490.89,2896.42,-560.4331665039062,28,28
145000,12.6651,21.7755,2988.58,2964.67,-521.6032104492188,29,29
150000,12.1114,22.1047,892.1,2055.49,-693.9603881835938,30,30
155000,12.7331,22.2165,3190.03,1765.98,-726.9609985351562,31,31
160000,11.7747,21.6002,3148.46,2816.64,-645.565185546875,32,32
165000,13.2849,22.2113,3068.08,3020.86,-555.1444702148438,33,33
170000,12.4751,21.1488,3180.98,2944.87,-456.1797180175781,34,34
175000,12.5863,22.5879,3061.79,3114.4,-621.4083862304688,35,35
180000,11.7545,21.3391,3191.05,3147.86,-557.4482421875,36,36
185000,12.1847,21.7787,3167.18,3024.91,-590.9822998046875,37,37
190000,12.7149,21.8654,3148.44,2644.85,-625.4390869140625,38,38
195000,12.0868,21.1159,3248.49,3172.44,-563.0509643554688,39,39
200000,12.0921,20.3161,3238.36,3236.7,-533.3296508789062,40,40
205000,11.8179,21.419,2705.54,3012.78,-723.082763671875,41,41
210000,12.6457,21.0751,3274.0,3235.51,-591.6593627929688,42,42
215000,12.7865,20.8018,3290.44,3252.48,-520.0542602539062,43,43
220000,11.6331,20.3864,3252.77,3189.57,-575.906494140625,44,44
225000,11.7492,19.8668,3298.49,3274.5,-578.811767578125,45,45
230000,12.0853,20.7656,3287.53,3222.97,-586.0401000976562,46,46
235000,12.5287,20.541,3287.48,3275.06,-568.7163696289062,47,47
240000,10.6693,19.2844,3348.78,3200.18,-534.1832275390625,48,48
245000,11.6116,19.5376,3341.98,3300.52,-487.10357666015625,49,49
250000,11.9857,18.9896,3374.54,3350.14,-447.2835693359375,50,50
255000,12.8411,20.0273,3359.07,3352.61,-481.6409606933594,51,51
260000,12.2952,19.639,3330.58,3295.94,-591.2750244140625,52,52
265000,12.5709,20.0023,3374.13,3340.58,-570.001220703125,53,53
270000,13.6709,20.7764,3321.99,3322.11,-557.6312255859375,54,54
275000,12.0508,19.7791,3361.64,3325.29,-542.2564086914062,55,55
280000,11.6704,19.2286,3394.39,3345.69,-526.2382202148438,56,56
285000,11.6125,19.0814,3320.33,3299.11,-562.0739135742188,57,57
290000,11.3957,19.1765,3353.81,3334.67,-527.8814697265625,58,58
295000,12.6935,20.0675,3340.22,3305.37,-674.274169921875,59,59
300000,11.0353,18.7321,3276.48,3267.99,-611.704345703125,60,60
305000,11.5883,20.1083,3405.32,3327.43,-604.5597534179688,61,61
310000,11.638,19.6151,3367.33,3326.8,-613.9149780273438,62,62
315000,11.1237,19.6827,3388.41,3341.19,-642.0396118164062,63,63
320000,12.9712,18.8091,3399.96,3391.62,-486.5141296386719,64,64
325000,12.5059,19.0133,3396.69,3360.7,-560.770751953125,65,65
330000,11.8213,18.9131,3319.47,3310.86,-628.6914672851562,66,66
335000,12.5462,18.8792,3353.97,3334.26,-590.1287841796875,67,67
340000,13.3634,20.399,3415.97,3366.65,-619.7693481445312,68,68
345000,11.7261,18.2547,3324.97,3330.03,-558.9527587890625,69,69
350000,12.4647,19.7445,3377.7,3242.31,-651.983154296875,70,70
355000,12.7172,19.9376,3373.21,3306.54,-648.306884765625,71,71
360000,13.4477,19.9397,3407.67,3428.31,-569.4714965820312,72,72
365000,11.7227,18.4615,3321.16,3330.2,-553.8043212890625,73,73
370000,13.2544,20.6429,3383.23,3152.11,-653.9354248046875,74,74
375000,11.6993,17.9991,3399.58,3379.63,-577.019775390625,75,75
380000,12.1501,19.2593,3421.13,3241.35,-669.2534790039062,76,76
385000,12.4098,19.525,3396.22,3377.27,-608.932861328125,77,77
390000,11.8926,18.5117,3385.84,3342.44,-609.0216064453125,78,78
395000,12.2283,18.5329,3422.61,3395.53,-570.4159545898438,79,79
400000,12.1626,18.4023,3437.43,3432.58,-495.3387145996094,80,80
