Running Update Time,Reward Loss,Running Reverse KL,Running Forward KL,Real Sto Return,Running Env Steps,Real Det Return,Itration
0,340.21905517578125,19.2306,31.2542,314.58,0,310.58,0
1,288.1794738769531,25.5913,30.7149,315.86,5000,316.68,1
2,338.27984619140625,34.084,31.2297,278.13,10000,268.09,2
3,251.6068115234375,37.1421,31.4912,291.6,15000,303.42,3
4,208.9686737060547,29.347,31.4843,367.29,20000,361.92,4
5,-8.197458267211914,35.6397,32.1271,381.52,25000,360.96,5
6,-83.82691192626953,44.1519,29.8338,363.05,30000,380.42,6
7,-88.37643432617188,32.6365,25.5915,459.43,35000,470.3,7
8,-93.03365325927734,20.8492,26.3035,709.71,40000,750.53,8
9,-124.65557861328125,21.4591,26.6294,817.1,45000,774.82,9
10,22.340585708618164,13.5719,26.0096,642.02,50000,589.41,10
11,84.13805389404297,14.3956,24.9378,991.0,55000,1144.44,11
12,0.039085935801267624,13.7393,24.8359,1196.41,60000,883.95,12
13,-67.38946533203125,12.0938,23.2331,798.7,65000,583.15,13
14,-135.90087890625,14.0437,23.9837,1840.58,70000,1176.92,14
15,-251.46115112304688,16.2755,25.5686,931.54,75000,1114.42,15
16,-318.5848083496094,16.9288,25.4405,985.48,80000,1011.95,16
17,-341.0368957519531,17.4458,24.6533,1129.74,85000,1201.57,17
18,-162.94544982910156,13.9539,23.6864,1355.83,90000,1592.26,18
19,-142.04971313476562,15.2606,23.192,3110.11,95000,2982.84,19
20,-177.85916137695312,14.0221,23.4985,1189.15,100000,1425.88,20
21,-94.37239074707031,14.5586,22.601,2956.6,105000,3215.58,21
22,-179.4703369140625,14.2916,23.2211,1772.09,110000,3366.56,22
23,-79.7150650024414,14.6513,21.3356,3272.02,115000,3304.38,23
24,-97.56950378417969,14.7472,20.2248,3311.23,120000,3328.53,24
25,-378.1806640625,28.0412,23.0714,1326.83,125000,1568.44,25
26,-184.2860107421875,15.6195,22.4195,3242.41,130000,3261.55,26
27,-235.51339721679688,16.9678,21.3953,2204.34,135000,3381.33,27
28,-105.83234405517578,14.3361,20.0151,3318.75,140000,3379.02,28
29,-100.21814727783203,13.5379,20.492,3316.56,145000,3318.17,29
30,-118.63607788085938,15.1338,22.1669,3110.07,150000,3344.78,30
31,-146.53733825683594,15.5183,21.2177,3358.68,155000,3370.16,31
32,-241.72381591796875,13.2058,21.6597,2533.19,160000,3418.12,32
33,-187.06634521484375,15.8529,22.0172,3357.36,165000,3386.97,33
34,-163.5749969482422,14.2086,19.9886,3333.61,170000,3326.65,34
35,-184.24717712402344,15.0566,21.0736,3376.52,175000,3403.08,35
36,-353.1664733886719,14.0411,21.3819,2649.1,180000,3410.7,36
37,-196.18902587890625,15.8809,21.3339,3341.55,185000,3378.48,37
38,-190.52728271484375,14.3477,19.6923,3309.26,190000,3426.12,38
39,-188.4595489501953,13.1611,20.4291,3181.37,195000,3373.37,39
40,-211.605224609375,15.2328,20.7034,3374.74,200000,3422.18,40
41,-209.01199340820312,14.6698,20.3339,3350.41,205000,3397.43,41
42,-241.00775146484375,14.4646,20.7078,3348.39,210000,3396.13,42
43,-245.05630493164062,14.3976,20.3548,3398.71,215000,3437.21,43
44,-225.53518676757812,14.7949,20.2695,3352.7,220000,3390.47,44
45,-261.2068786621094,13.6725,21.2874,3149.27,225000,3391.04,45
46,-230.10842895507812,14.1206,19.4361,3431.39,230000,3463.38,46
47,-204.32754516601562,13.2932,19.4849,3439.53,235000,3463.92,47
48,-213.30657958984375,13.972,19.4725,3414.08,240000,3446.37,48
49,-244.98989868164062,13.1761,19.375,3352.46,245000,3373.82,49
50,-240.38340759277344,12.8529,19.2381,3374.22,250000,3454.09,50
51,-265.3914489746094,14.2393,19.8618,3388.7,255000,3418.59,51
52,-264.5838317871094,13.7312,19.4943,3405.75,260000,3430.2,52
53,-263.7378845214844,13.6948,19.4382,3372.91,265000,3400.99,53
54,-264.1949768066406,13.6814,19.7073,3188.55,270000,3412.69,54
55,-354.3689880371094,11.8756,19.7877,2592.42,275000,3454.06,55
56,-319.34527587890625,14.0079,20.4816,3382.55,280000,3414.99,56
57,-230.2059783935547,13.0399,18.6885,3418.54,285000,3440.75,57
58,-322.3265075683594,13.027,20.0367,3235.77,290000,3435.93,58
