Running Update Time,Running Reverse KL,Running Forward KL,Reward Loss,Real Det Return,Running Env Steps,Real Sto Return,Itration
0,25.4269,33.2301,386.1832580566406,152.78,0,170.93,0
1,24.3819,30.5912,192.56777954101562,279.62,5000,278.05,1
2,21.5648,30.5458,155.23568725585938,325.66,10000,312.68,2
3,33.4705,29.773,168.1262969970703,336.93,15000,329.96,3
4,31.4414,28.7468,122.41402435302734,355.71,20000,324.45,4
5,16.7636,30.2685,82.448974609375,341.24,25000,342.62,5
6,26.9219,28.5098,-66.48037719726562,531.77,30000,440.38,6
7,30.4138,26.5468,-48.76026916503906,658.96,35000,626.19,7
8,43.1635,26.5521,-52.57439041137695,273.82,40000,377.65,8
9,44.0345,26.5303,-51.57314682006836,912.17,45000,719.78,9
10,39.1963,26.4964,-79.0666732788086,719.94,50000,669.44,10
11,28.4901,26.6265,-172.38966369628906,517.74,55000,712.53,11
12,37.2052,25.3565,-137.39422607421875,871.83,60000,1071.55,12
13,20.0036,25.109,-304.0345458984375,952.34,65000,1035.65,13
14,22.6194,25.4534,-392.228271484375,925.31,70000,897.94,14
15,23.7834,24.6626,-426.1752014160156,1160.34,75000,1084.07,15
16,21.9135,24.3958,-460.2947692871094,1027.78,80000,993.02,16
17,32.681,23.8526,-202.14810180664062,1319.52,85000,1199.72,17
18,22.9253,24.6179,-495.79449462890625,1296.88,90000,1196.85,18
19,24.1919,24.1801,-423.51715087890625,1140.63,95000,1319.3,19
20,25.2552,24.0507,-395.96697998046875,1331.87,100000,1335.07,20
21,41.4801,23.7348,-163.79379272460938,1698.53,105000,1925.34,21
22,53.4128,23.9386,-199.77459716796875,3111.85,110000,1475.02,22
23,16.2994,24.4193,-63.90483856201172,2832.56,115000,2845.62,23
24,23.067,24.048,-154.37600708007812,3160.3,120000,1943.46,24
25,55.8088,23.7183,-219.22796630859375,3134.67,125000,1875.72,25
26,22.6668,23.1022,-195.13682556152344,3145.42,130000,2391.71,26
27,21.6778,24.1868,-234.30557250976562,2939.56,135000,2339.52,27
28,20.8868,23.3258,-215.41995239257812,3067.24,140000,2643.7,28
29,16.5868,23.6247,-98.84235382080078,3101.84,145000,2138.48,29
30,15.4947,23.3746,-109.82990264892578,3112.69,150000,2840.35,30
31,16.5393,22.8188,-103.0308837890625,3107.67,155000,3120.08,31
32,15.6093,23.167,-266.5801086425781,3225.14,160000,1998.03,32
33,15.6287,23.0812,-174.16941833496094,3207.79,165000,2852.31,33
34,16.8754,23.662,-130.40077209472656,3085.34,170000,2834.01,34
35,15.6419,23.2613,-366.8966979980469,3176.48,175000,2519.53,35
36,15.8041,23.124,-222.9554443359375,3198.36,180000,2582.11,36
37,16.3629,22.6798,-645.1119995117188,3165.62,185000,1406.37,37
38,15.3131,22.8082,-256.1231994628906,3132.27,190000,2698.25,38
39,17.0236,23.1002,-219.8061065673828,3211.89,195000,3076.31,39
40,15.3203,22.6898,-277.67822265625,3176.57,200000,2494.44,40
41,15.2887,23.1228,-354.4208068847656,3184.03,205000,2710.06,41
42,14.927,22.4004,-332.78204345703125,3178.34,210000,2542.43,42
43,15.7867,22.6767,-283.1694030761719,3194.3,215000,3011.59,43
44,16.2413,23.0653,-261.89935302734375,3177.94,220000,3103.4,44
45,17.3233,23.3689,-266.38446044921875,3172.69,225000,2969.14,45
46,14.7945,22.2384,-448.1709899902344,3187.81,230000,2422.95,46
47,16.0211,23.1334,-320.6432800292969,3154.0,235000,2994.13,47
48,15.6793,22.6859,-319.05975341796875,3175.11,240000,2795.21,48
49,16.1952,22.7469,-322.1312561035156,3169.82,245000,3021.21,49
50,16.4686,23.264,-348.088134765625,3163.87,250000,3046.54,50
51,16.4797,23.2493,-340.6693115234375,3157.57,255000,2970.42,51
52,15.3326,22.7997,-415.97589111328125,3157.07,260000,2783.19,52
53,15.0999,23.0126,-427.2954406738281,3188.02,265000,2848.89,53
54,16.0614,22.6773,-398.8149108886719,3156.36,270000,3143.26,54
55,15.4357,22.5395,-430.90618896484375,3184.17,275000,2892.59,55
56,15.3218,23.0524,-502.8532409667969,3175.17,280000,2255.1,56
57,15.3796,22.9442,-504.11724853515625,3179.88,285000,2493.64,57
58,15.3588,22.6507,-564.4737548828125,3187.29,290000,2999.37,58
59,16.2526,23.5516,-660.3955078125,3180.57,295000,2110.58,59
60,16.0023,22.9102,-525.0125122070312,3177.46,300000,2962.94,60
