Running Forward KL,Reward Loss,Running Env Steps,Real Det Return,Real Sto Return,Running Reverse KL,Running Update Time,Itration
32.6622,-1389.9578857421875,0,247.02,247.65,15.992,0,0
32.3207,-1145.4925537109375,5000,230.55,238.78,70.4966,1,1
31.9845,-1148.9110107421875,10000,280.0,274.0,64.6562,2,2
30.5948,-1303.3876953125,15000,249.85,252.06,70.3731,3,3
31.2196,-1587.41162109375,20000,299.14,288.96,17.4813,4,4
30.0315,-1323.125244140625,25000,334.19,329.76,71.9706,5,5
29.8602,-1320.7554931640625,30000,352.13,341.84,43.0357,6,6
29.1273,-1462.174072265625,35000,373.02,372.4,96.5079,7,7
29.803,-1466.0115966796875,40000,355.87,342.9,64.7287,8,8
29.7118,-1683.927001953125,45000,371.23,363.6,72.8763,9,9
29.3492,-1551.873291015625,50000,398.71,385.75,33.3714,10,10
27.9159,-1807.47119140625,55000,493.34,445.47,28.6484,11,11
28.4072,-1827.248291015625,60000,437.81,426.56,36.6196,12,12
27.4974,-1879.5794677734375,65000,535.85,529.35,35.4682,13,13
28.1249,-2249.278564453125,70000,415.19,410.39,37.166,14,14
28.1577,-1403.2244873046875,75000,540.9,536.71,44.0937,15,15
28.051,-2113.10986328125,80000,600.19,612.59,43.4842,16,16
27.2813,-2041.0189208984375,85000,650.16,609.78,59.5189,17,17
27.6414,-1196.224365234375,90000,696.94,696.57,45.5224,18,18
26.3826,-1395.0638427734375,95000,653.14,755.71,20.1371,19,19
28.0422,-1763.489013671875,100000,686.58,670.94,33.7602,20,20
27.9011,-1546.5186767578125,105000,660.28,678.52,31.6401,21,21
26.7496,-1792.2984619140625,110000,790.86,1070.14,93.0354,22,22
27.0101,-1812.045654296875,115000,730.15,826.93,80.8056,23,23
25.1367,-1102.5953369140625,120000,1015.99,1036.4,37.3899,24,24
27.227,-1839.1273193359375,125000,865.65,817.35,85.2038,25,25
27.0758,-1998.94970703125,130000,769.15,836.51,66.963,26,26
25.1579,-1840.010986328125,135000,1055.18,1178.92,48.9154,27,27
25.8711,-1919.4761962890625,140000,3153.14,1613.76,48.6589,28,28
25.5571,-1423.3074951171875,145000,912.54,1247.24,54.0677,29,29
25.4846,-1877.0810546875,150000,832.1,1502.26,40.6882,30,30
26.2147,-2374.6416015625,155000,963.59,945.46,47.468,31,31
22.186,-896.1898803710938,160000,2823.65,2166.57,32.648,32,32
26.0612,-2196.52783203125,165000,2387.77,1946.54,38.0377,33,33
24.373,-1033.228759765625,170000,3010.42,2901.79,36.9741,34,34
24.7576,-1976.8516845703125,175000,923.01,1462.7,55.5148,35,35
23.5377,-597.2340698242188,180000,3224.71,2620.69,13.4732,36,36
24.0481,-1540.842041015625,185000,3119.51,2319.19,24.9208,37,37
24.6849,-2130.628173828125,190000,2561.96,1668.93,84.1208,38,38
24.1528,-792.1410522460938,195000,3181.22,2889.36,20.2443,39,39
23.6231,-696.5385131835938,200000,3140.75,3049.63,20.9981,40,40
