Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Itration,Running Env Steps,Running Reverse KL
0,251.9,32.9416,306.9159240722656,253.37,0,0,17.086
1,275.71,32.3333,194.12374877929688,288.76,1,5000,19.9786
2,234.27,32.1647,207.60438537597656,235.35,2,10000,21.5767
3,272.86,32.5435,129.39334106445312,278.28,3,15000,20.1292
4,286.81,31.8293,89.4460220336914,290.28,4,20000,18.8851
5,224.41,30.4892,36.080482482910156,207.3,5,25000,18.126
6,314.35,30.8769,63.8706169128418,332.12,6,30000,20.4935
7,301.64,30.581,-12.638120651245117,302.9,7,35000,21.8268
8,320.3,30.3279,-62.95566940307617,324.29,8,40000,23.7637
9,327.02,29.5889,-214.74354553222656,330.3,9,45000,22.1793
10,336.4,29.5498,-177.02200317382812,337.27,10,50000,22.3047
11,337.82,28.9802,-279.70062255859375,347.0,11,55000,17.9866
12,369.92,27.121,-342.9189758300781,377.98,12,60000,17.7425
13,369.15,27.7022,-319.5047912597656,374.07,13,65000,16.7307
14,387.09,27.3174,-381.1283264160156,397.03,14,70000,16.763
15,429.54,27.3494,-438.4259948730469,476.43,15,75000,17.6785
16,450.81,28.4688,-581.1519775390625,452.06,16,80000,26.1461
17,463.68,26.7238,-614.1909790039062,475.07,17,85000,22.5879
18,523.11,26.3646,-653.9193115234375,510.23,18,90000,27.0952
19,504.41,26.5182,-671.9930419921875,475.33,19,95000,24.8946
20,560.71,26.5491,-744.6600341796875,479.49,20,100000,28.2738
21,450.94,27.5701,-900.0015258789062,572.12,21,105000,37.9984
22,471.49,26.0831,-865.0359497070312,554.01,22,110000,35.1201
23,697.39,25.854,-799.6632080078125,820.08,23,115000,28.9109
24,630.07,25.837,-926.0091552734375,569.69,24,120000,32.3338
25,628.92,26.3568,-993.3722534179688,561.73,25,125000,30.1951
26,839.77,24.1214,-954.908447265625,867.71,26,130000,28.9726
27,802.78,25.1371,-1073.2574462890625,815.04,27,135000,32.8872
28,947.02,24.7836,-1082.9566650390625,842.23,28,140000,33.5158
29,1602.93,22.5795,-763.0419921875,2662.08,29,145000,22.2253
30,2487.9,23.435,-116.87574768066406,2674.22,30,150000,12.7505
31,1572.48,22.3614,-665.9157104492188,1324.76,31,155000,20.4286
